ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Ambiente,02/11/2022,2022,https://ambiente.messefrankfurt.com,DM,"3 CLAVELES - BUENO HERMANOS, S.A.",G81,3.0,www.3claveles.com,exportacion@buenohermanos.com,+34 941 272724,,"26009, Logrono, La Rioja, Pol. Ind. Cantabria I, C/ Barrigüelo 6",Spain,Kitchen,,,"3 Claveles, Quality, Innovation and Design since 1930 BUENO HERMANOS, S.A. is the first brand in Spain and one of the most..."
Ambiente,02/11/2022,2022,https://ambiente.messefrankfurt.com,DM,3D Dekoratif Esya San. ve Tic. Ltd. Sti.,D43,4.2,www.3dglassware.com,sales@3dglassware.com,+ 90 216 5830470,,"34906, Pendik / Istanbul, Ramazanoglu Mah. Ensar Cad. No 6/1",Turkey,,,,"3D Glassware is a prominent manufacturer and supplier of fused glassware, based in Istanbul since 1998. 3D Glassware provides..."
Ambiente,02/11/2022,2022,https://ambiente.messefrankfurt.com,DM,"3DC - Intelligent Nature, Lda.",C55,8.0,http://www.3dcork.com/,snunes@3dcork.com,,,"4535-516, Pacos de Brandao, Zona Industrial do Pousado 67",Portugal,Interior Design,,,Beautify life and protect the world! We are a Portuguese Company owned by father and daughter that joined their best skills...
Ambiente,02/11/2022,2022,https://ambiente.messefrankfurt.com,DM,3RD CULTURE,E75,8.0,www.3rdcultureproject.com,emre@3rdcultureproject.com,+905314622170,,"34425, Istanbul, Cukurcuma Caddesi 38/2 Beyoglu",Turkey,Interior Design,,,3rd Culture is an Istanbul-based decoration brand and concept store by product designer Zeynep Lale Rende and photographer...
Ambiente,02/11/2022,2022,https://ambiente.messefrankfurt.com,DM,4 Seasons Collections,A21,10.0,,,,,"283203, Firozabad, Mohamadpur, Circular Road 122/7",India,,,,
Ambiente,02/11/2022,2022,https://ambiente.messefrankfurt.com,DM,17;30 Hamburg - Agentur Anna-Katharina Upleger GmbH &amp; Co. KG,F21,8.0,www.1730.de,anna@1730.de,+49 40 468976260,,"22113, Hamburg, Grusonstr. 55",Germany,Interior Design | Gift Ideas,,,"WELCOME TO THE LIFESTYLE BRAND 17;30 HAMBURG!
	
	17;30 - Because giving is fun! - Creative, funny & special for every occasion..."
Ambiente,02/11/2022,2022,https://ambiente.messefrankfurt.com,DM,23 CONCEPTS,A76,10.0,,,,,"110020, New Delhi, D-9/2, Ground Floor, OKHLA Industrial",India,,,,
Ambiente,02/11/2022,2022,https://ambiente.messefrankfurt.com,DM,24Bottles Societ&agrave; Benefit S.r.l.,E19,8.0,www.24bottles.com,francesca@24bottles.com,+39 051 0330500,,"40055, Bologna, Via Arturo Toscanini 9-11",Italy,Kitchen Trends | Urban Gifts,,,24Bottles is the Italian design brand born in 2013 to reduce the impact of disposable plastic bottles on the planet and our...
Ambiente,02/11/2022,2022,https://ambiente.messefrankfurt.com,DM,A&amp;A Accessories,C42,10.0,,,,,"201301, Noida, U.P., E39 Sector 8",India,,,,
Ambiente,02/11/2022,2022,https://ambiente.messefrankfurt.com,DM,AAY KAY INTERNATIONAL,B40,10.0,,,,,"201301, Noida, F-305, Sector-63, Gautam Budh Nagar",India,,,,We are in field of Manufacturing and Exporting Indian Handicrafts and Fashion Jewellery items since more than 25 years. We...
