ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Atlanta Gift - Winter,01/11/2022,2022,https://atlantamarket.com/,DM,"Dorfman Pacific Co., Inc.",B3 8-W121 | B3 8-W121 | B3 8-W121,Building 3,,,1-2122684616,,"393 Fifth Avenue, 7th Floor",United States,"Hats, Scarves & Gloves | Prom, Social Occasion | Travel & Luggage",,,"Dorfman Pacific is the largest full-line, in-stock headwear and handbag company in the world. Since opening its doors in 1921, in a small storefront in Oakland, CA, Dorfman Pacific has had only one goal in mind, providing every customer with superior customer service and the best selection of headwear in the industry. Now the largest wholesaler of hats and accessories in the nation, Dorfman Pacific still maintains that same goal. We are able to offer our customers an impressive selection of brands, including Stetson, Callanan, Cappelli Straworld, Tommy Bahama, and Scala to mention only a few. With products at every price point for every age and function, we have a hat for every head. We keep products in stock ready to ship in our 275,000 square foot, state-of-the-art distribution center in California. Our quality is unbeatable and our service is even better."
Atlanta Gift - Winter,01/11/2022,2022,https://atlantamarket.com/,DM,"Dorfman Pacific Co., Inc.",B3 8-W121 | B3 8-W121 | B3 8-W121,Building 3,,,1-2122684616,,"393 Fifth Avenue, 7th Floor",United States,"Hats, Scarves & Gloves | Prom, Social Occasion | Travel & Luggage",,,"Dorfman Pacific is the largest full-line, in-stock headwear and handbag company in the world. Since opening its doors in 1921, in a small storefront in Oakland, CA, Dorfman Pacific has had only one goal in mind, providing every customer with superior customer service and the best selection of headwear in the industry. Now the largest wholesaler of hats and accessories in the nation, Dorfman Pacific still maintains that same goal. We are able to offer our customers an impressive selection of brands, including Stetson, Callanan, Cappelli Straworld, Tommy Bahama, and Scala to mention only a few. With products at every price point for every age and function, we have a hat for every head. We keep products in stock ready to ship in our 275,000 square foot, state-of-the-art distribution center in California. Our quality is unbeatable and our service is even better."
Atlanta Gift - Winter,01/11/2022,2022,https://atlantamarket.com/,DM,"Dorfman Pacific Co., Inc.",B3 8-W121 | B3 8-W121 | B3 8-W121,Building 3,,,1-2122684616,,"393 Fifth Avenue, 7th Floor",United States,"Hats, Scarves & Gloves | Prom, Social Occasion | Travel & Luggage",,,"Dorfman Pacific is the largest full-line, in-stock headwear and handbag company in the world. Since opening its doors in 1921, in a small storefront in Oakland, CA, Dorfman Pacific has had only one goal in mind, providing every customer with superior customer service and the best selection of headwear in the industry. Now the largest wholesaler of hats and accessories in the nation, Dorfman Pacific still maintains that same goal. We are able to offer our customers an impressive selection of brands, including Stetson, Callanan, Cappelli Straworld, Tommy Bahama, and Scala to mention only a few. With products at every price point for every age and function, we have a hat for every head. We keep products in stock ready to ship in our 275,000 square foot, state-of-the-art distribution center in California. Our quality is unbeatable and our service is even better."
Atlanta Gift - Winter,01/11/2022,2022,https://atlantamarket.com/,DM,"Dorfman Pacific Co., Inc.",B3 8-W121 | B3 8-W121 | B3 8-W121,Building 3,,,1-2122684616,,"393 Fifth Avenue, 7th Floor",United States,"Hats, Scarves & Gloves | Prom, Social Occasion | Travel & Luggage",,,"Dorfman Pacific is the largest full-line, in-stock headwear and handbag company in the world. Since opening its doors in 1921, in a small storefront in Oakland, CA, Dorfman Pacific has had only one goal in mind, providing every customer with superior customer service and the best selection of headwear in the industry. Now the largest wholesaler of hats and accessories in the nation, Dorfman Pacific still maintains that same goal. We are able to offer our customers an impressive selection of brands, including Stetson, Callanan, Cappelli Straworld, Tommy Bahama, and Scala to mention only a few. With products at every price point for every age and function, we have a hat for every head. We keep products in stock ready to ship in our 275,000 square foot, state-of-the-art distribution center in California. Our quality is unbeatable and our service is even better."
Atlanta Gift - Winter,01/11/2022,2022,https://atlantamarket.com/,DM,"Dorfman Pacific Co., Inc.",B3 8-W121 | B3 8-W121 | B3 8-W121,Building 3,,,1-2122684616,,"393 Fifth Avenue, 7th Floor",United States,"Hats, Scarves & Gloves | Prom, Social Occasion | Travel & Luggage",,,"Dorfman Pacific is the largest full-line, in-stock headwear and handbag company in the world. Since opening its doors in 1921, in a small storefront in Oakland, CA, Dorfman Pacific has had only one goal in mind, providing every customer with superior customer service and the best selection of headwear in the industry. Now the largest wholesaler of hats and accessories in the nation, Dorfman Pacific still maintains that same goal. We are able to offer our customers an impressive selection of brands, including Stetson, Callanan, Cappelli Straworld, Tommy Bahama, and Scala to mention only a few. With products at every price point for every age and function, we have a hat for every head. We keep products in stock ready to ship in our 275,000 square foot, state-of-the-art distribution center in California. Our quality is unbeatable and our service is even better."
Atlanta Gift - Winter,01/11/2022,2022,https://atlantamarket.com/,DM,"Dorfman Pacific Co., Inc.",B3 8-W121 | B3 8-W121 | B3 8-W121,Building 3,,,1-2122684616,,"393 Fifth Avenue, 7th Floor",United States,"Hats, Scarves & Gloves | Prom, Social Occasion | Travel & Luggage",,,"Dorfman Pacific is the largest full-line, in-stock headwear and handbag company in the world. Since opening its doors in 1921, in a small storefront in Oakland, CA, Dorfman Pacific has had only one goal in mind, providing every customer with superior customer service and the best selection of headwear in the industry. Now the largest wholesaler of hats and accessories in the nation, Dorfman Pacific still maintains that same goal. We are able to offer our customers an impressive selection of brands, including Stetson, Callanan, Cappelli Straworld, Tommy Bahama, and Scala to mention only a few. With products at every price point for every age and function, we have a hat for every head. We keep products in stock ready to ship in our 275,000 square foot, state-of-the-art distribution center in California. Our quality is unbeatable and our service is even better."
Atlanta Gift - Winter,01/11/2022,2022,https://atlantamarket.com/,DM,"Dorfman Pacific Co., Inc.",B3 8-W121 | B3 8-W121 | B3 8-W121,Building 3,,,1-2122684616,,"393 Fifth Avenue, 7th Floor",United States,"Hats, Scarves & Gloves | Prom, Social Occasion | Travel & Luggage",,,"Dorfman Pacific is the largest full-line, in-stock headwear and handbag company in the world. Since opening its doors in 1921, in a small storefront in Oakland, CA, Dorfman Pacific has had only one goal in mind, providing every customer with superior customer service and the best selection of headwear in the industry. Now the largest wholesaler of hats and accessories in the nation, Dorfman Pacific still maintains that same goal. We are able to offer our customers an impressive selection of brands, including Stetson, Callanan, Cappelli Straworld, Tommy Bahama, and Scala to mention only a few. With products at every price point for every age and function, we have a hat for every head. We keep products in stock ready to ship in our 275,000 square foot, state-of-the-art distribution center in California. Our quality is unbeatable and our service is even better."
Atlanta Gift - Winter,01/11/2022,2022,https://atlantamarket.com/,DM,"Dorfman Pacific Co., Inc.",B3 8-W121 | B3 8-W121 | B3 8-W121,Building 3,,,1-2122684616,,"393 Fifth Avenue, 7th Floor",United States,"Hats, Scarves & Gloves | Prom, Social Occasion | Travel & Luggage",,,"Dorfman Pacific is the largest full-line, in-stock headwear and handbag company in the world. Since opening its doors in 1921, in a small storefront in Oakland, CA, Dorfman Pacific has had only one goal in mind, providing every customer with superior customer service and the best selection of headwear in the industry. Now the largest wholesaler of hats and accessories in the nation, Dorfman Pacific still maintains that same goal. We are able to offer our customers an impressive selection of brands, including Stetson, Callanan, Cappelli Straworld, Tommy Bahama, and Scala to mention only a few. With products at every price point for every age and function, we have a hat for every head. We keep products in stock ready to ship in our 275,000 square foot, state-of-the-art distribution center in California. Our quality is unbeatable and our service is even better."
Atlanta Gift - Winter,01/11/2022,2022,https://atlantamarket.com/,DM,"Dorfman Pacific Co., Inc.",B3 8-W121 | B3 8-W121 | B3 8-W121,Building 3,,,1-2122684616,,"393 Fifth Avenue, 7th Floor",United States,"Hats, Scarves & Gloves | Prom, Social Occasion | Travel & Luggage",,,"Dorfman Pacific is the largest full-line, in-stock headwear and handbag company in the world. Since opening its doors in 1921, in a small storefront in Oakland, CA, Dorfman Pacific has had only one goal in mind, providing every customer with superior customer service and the best selection of headwear in the industry. Now the largest wholesaler of hats and accessories in the nation, Dorfman Pacific still maintains that same goal. We are able to offer our customers an impressive selection of brands, including Stetson, Callanan, Cappelli Straworld, Tommy Bahama, and Scala to mention only a few. With products at every price point for every age and function, we have a hat for every head. We keep products in stock ready to ship in our 275,000 square foot, state-of-the-art distribution center in California. Our quality is unbeatable and our service is even better."
Atlanta Gift - Winter,01/11/2022,2022,https://atlantamarket.com/,DM,"Dorfman Pacific Co., Inc.",B3 8-W121 | B3 8-W121 | B3 8-W121,Building 3,,,1-2122684616,,"393 Fifth Avenue, 7th Floor",United States,"Hats, Scarves & Gloves | Prom, Social Occasion | Travel & Luggage",,,"Dorfman Pacific is the largest full-line, in-stock headwear and handbag company in the world. Since opening its doors in 1921, in a small storefront in Oakland, CA, Dorfman Pacific has had only one goal in mind, providing every customer with superior customer service and the best selection of headwear in the industry. Now the largest wholesaler of hats and accessories in the nation, Dorfman Pacific still maintains that same goal. We are able to offer our customers an impressive selection of brands, including Stetson, Callanan, Cappelli Straworld, Tommy Bahama, and Scala to mention only a few. With products at every price point for every age and function, we have a hat for every head. We keep products in stock ready to ship in our 275,000 square foot, state-of-the-art distribution center in California. Our quality is unbeatable and our service is even better."
