ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Atlanta Gift - Summer,07/14/2021,2021,https://atlantamarket.com/,DM,Maileg,B2 2-100I,Building 2,,,,,"1110 Ridgeland Parkway, Suite 102",United States,,,,"We believe in story making!
We believe that memories are made through the simple joys of children, bringing their imaginations to life.
The best stories are their stories. We believe in inspiring children and everyone in their life to bring themselves and their stories to the world through innocent imaginative play. Play that connects and creates something greater. Something that endures through generations. Something that brings us all together."
Atlanta Gift - Summer,07/14/2021,2021,https://atlantamarket.com/,DM,Le Chateau European Interiors,B3 1-132,Building 3,,,,,1151 Chattahoochee Avenue,United States,,,,"Le Chateau European Interiors is a luxury antique importer in the Atlanta home furnishings marketplace. We offer furniture, lighting, dècor, as well as interior design services.
 
For over 30 years, we have specialized in hard to find, unique pieces from all over the world. Our travels throughout Europe and just about everywhere in between, has resulted in Le Chateau becoming the premier curators of the finest antique collections that the world has to offer.

Our team of in-house craftsmen restore each piece to your custom specifications, therefore we leave much of our inventory untouched. This allows our clients to create a one of a kind piece that is not only beautiful but unique. 
 
Conveniently located in Midtown Atlanta, we sell to dealers, designers, and individual buyers. As we are constantly selling our current pieces and gathering new ones, our inventory is ever-changing. We invite you stop in and browse our collections so that you can see the magic for yourself."
Atlanta Gift - Summer,07/14/2021,2021,https://atlantamarket.com/,DM,Vintage Decor Inc.,B3 4-507,Building 3,http://www.vintagesilverrose.com,vintagedecor@hotmail.com,1-9055984655,,69 Seachart Place,Canada,"Apparel, Vintage | Fashion Accessories/Jewelry | Handbags",,,"Brand that inspires style and comfort. Proudly designed since 2008

Our Hallmark, Strong sense of quality and affordability to our customers. Created in 2008 as a wholesale and manufacturing company in vegan, leather handbags and women's apparel. 

Most of our customers have been with us for more than 5 years and we take pride in that fact.
Vintage Decor aspiration is to introduce the latest fashion with affordable price while keeping in mind the need of high quality.
Effortless Style and Authenticity is the heart of the company. 

Inspired By you and Designed for you is our moto !!

Our Team comes with an innate sense of glamour and an unfailing eye for timeless chic accessories. Vintage Decor is wholly dedicated to a vision of style that is as sophisticated as it is indulgent, as iconic as it is modern. 
"
Atlanta Gift - Summer,07/14/2021,2021,https://atlantamarket.com/,DM,Hoo Hoops,B3 4-1810,Building 3,http://www.shop-hoo.com,hoohoops@outlook.com,4345342535,,116 Mountain Laurel Dr.,United States,,,,"Hoo Hoops is a jewelry line with a focus on light-weight, hypoallergenic hoop earrings made out of acrylic. These hoops come in two sizes and endless colors."
Atlanta Gift - Summer,07/14/2021,2021,https://atlantamarket.com/,DM,R. Willett,B3 1-525,Building 3,,,,,2031 Chelton Way,United States,,,,"Small decorative antiques including, among other things, antique silver, oil paints, watercolor paintings, porcelain, creamware, majolica, boxes."
Atlanta Gift - Summer,07/14/2021,2021,https://atlantamarket.com/,DM,Salty Cali,B3 5-1800,Building 3,http://www.saltycali.com,info@saltycali.com,,,841 Turquoise Street #C,United States,Fashion Accessories/Jewelry | General Gift | Women's Contemporary | Women's Resort,,,"Salty Cali is a jewelry brand based in San Diego, California. A women owned small business, Salty Cali started in 2014 when friends Miriam and Leslie set out to create delicate, simple jewelry that was irresistibly cute, high quality, and affordable. With $30 and a passion for home made jewelry, within a few years the girls created a brand that expands far beyond its California roots, with retailers most US states and Europe.
The collections are inspired by the beach, surf, and the Californian lifestyle. Designed and handcrafted in the San Diego showroom, each piece is made of unique natural stones, shells, and dainty pendants on 925 Sterling and 18k gold over sterling chain; earrings and bolo bracelets are made on gold and silver plated hypoallergenic materials."
Atlanta Gift - Summer,07/14/2021,2021,https://atlantamarket.com/,DM,Rustic Charm Candles,B3 5-107,Building 3,http://www.wholesale.rusticcharmcandles.com,Wholesale@rusticcharmcandles.com,1-5124136160,,1410 E Walker St,United States,Candles and Holders | General Gift | Holiday/Seasonal,,,"Our company, Rustic Charm Candles, has been hand pouring candles in the heart of Texas for over 10 years. We are known for our all-natural, non-toxic, soy-blend candles and their incredible scent throw. We also offer Wax Melts, Room & Car Sprays, as well as Wood Round Car Air Fresheners. Come by our booth for a tour of our custom fragrances and get some free samples!"
Atlanta Gift - Summer,07/14/2021,2021,https://atlantamarket.com/,DM,The South Candle ,B3 5-1107,Building 3,,,,,701 Doug Baker Blvd,United States,,,,"The South Candle is a 14 oz. candle set in a repurposed glass jar. It has a 60-80 hour burn time.
Our products are handmade and made to order. All orders will ship from Birmingham, Alabama."
Atlanta Gift - Summer,07/14/2021,2021,https://atlantamarket.com/,DM,Raggidy Edges,B3 2-300,Building 3,,,,,1604 Turfland Blvd S,United States,,,,Raggidy Edges is a company that makes everything from vintage American and European fabrics. We offer a Fall Line and a Christmas Line. Everything we make is made by hand in the state of Ohio.
Atlanta Gift - Summer,07/14/2021,2021,https://atlantamarket.com/,DM,Farmhouse Paint,B3 2-2103,Building 3,http://www.farmhousepaint.com,info@farmhousepaint.com,,,327 N. Tennessee St,United States,Accent Furniture | Antique & Reproduction Accessories | Antique & Reproduction Furniture | Antique/Vintage | Decorative Accessories,,,"FARMHOUSE PAINT is a unique FURNITURE AND CABINET PAINT. The Original  NO PREP, NO WAX, NO TOPCOAT. The new generation of high performance FURNITURE AND CABINET PAINT"" using the latest advances in paint technology. completely durable on its own. Available in over 53 colors. Our PRO Products include: Glazing Gels, Crusting Mix, Metallic Shimmers, 3-D Mediums, Sealers, Metallic, Wood Stains, and more. BECOME A RETAILER with a low investment opportunity and zip code protection available.
Come see us 
www.FarmhousePaint.com 404-806-3700"
