ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Atlanta Gift,01/11/2022,2022,https://atlantamarket.com/,DM,Dona Bela Shreds,B3 4-1701,Building 3,https://www.donabelashreds.com/,wholesale@donabelashreds.com,8773610884,,1251 73rd Street,United States,"Athleisure | Collegiate | Fabrics & Trims | Fashion Accessories/Jewelry | General Gift | Handbags | Hats, Scarves & Gloves | Home Textiles | Ready to Assemble | Scarves | Wall Coverings | Wall Decor | Women's Contemporary | Women's Resort | Youth & Baby Lifestyle & Gifts",,,"Dona Bela Shreds upcycles textile remnants and creates USA-made eco-fabulous sustainable fashion accessories. Shreds are a fun cross between a necklace and a scarf. Dona Bela Shreds offers neckwear, headwear and DIY ECO KIT creations. Samples can be viewed at www.donabelashreds.com."
Atlanta Gift,01/11/2022,2022,https://atlantamarket.com/,DM,Diverse Marketing,B2 14-1418 | B2 14-1431 | B2 14-1421 | B2 14-1418 | B2 14-1431 | B2 14-1421,Building 2,http://diversemarketing.com,contact@diversemail.com,214-741-4320,,2050 N. Stemmons Freeway #439,United States,"Adult Games | Board Games | Body & Bath Products | Books & Publications | Costume Jewelry | Dolls/Plush | educational items | Eyeglasses & Sunglasses | Games & Toys, Baby & Kids | Licensed Product | Souvenir / Novelties | Stemware | Tabletop | Tech Accessories | Toys / Games / Plush",,,"Founded in 1959, Diverse Marketing is a leader within our industry, and the only one to have a sales force focused within three distinct divisions: Key Accounts, Specialty Toy & Gift. Headquartered in the Dallas World Trade Center, we have over 100 Territory Managers nation-wide. Operating with showrooms in Dallas, Atlanta, Las Vegas, Minneapolis and Seattle, we have the widest variety of products to shop!"
Atlanta Gift,01/11/2022,2022,https://atlantamarket.com/,DM,Papersalt,B2 7-798 | B2 7-798,Building 2,http://papersalt.com,orders@papersalt.com,1-206.659.5227,1-206.659.5227,3663 1st Avenue South,United States,Books & Publications | educational items | Greeting Cards | Licensed Product | Notecards | Stationery/Paper Goods | Wall Decor | Youth & Baby Lifestyle & Gifts,,,"ABOUT USAt Papersalt, we create things you won’t find anywhere else. With a unique look & feel to each product, our gifts are made to be anything but ordinary. HOW WE STARTED We wanted to make things differently than what we’d seen out there. We started with our signature line of books using extremely thick paper and wire-o binding, so the books lay flat – with simple content and bold designs to engage readers. A LOOK AT US TODAY Our line features over 200 products – from books to magnets to stickers to Tear & Share notecards – all with the same quality and design in mind. And, in addition to our original Papersalt content, you’ll now find officially licensed collections for Bob Ross and Mister Rogers as well as hit TV shows and films like The Office and Shrek. A GLIMPSE INTO THE FUTURE As our brand continues to grow, our goal remains the same as day one – to create things you won’t find anywhere else. MADE IN THE USAOur products are written, designed, manufactured and fulfilled from our Pacific Northwest facility.LICENSESMister Rogers, Bob Ross, The Office, Parks and Recreation, Trolls World Tour, Shrek - with more coming soon.BEST SELLERSBooks, Tear & Share Lunch Notes and Notecards, Mister Rogers and The Office."
Atlanta Gift,01/11/2022,2022,https://atlantamarket.com/,DM,Mon Ami Designs,B3 3-301,Building 3,http://www.monami-designs.com/wholesale,wholesale@monami-designs.com,1-678-249-9293,,P.O. Box 533 ,United States,"Children's Apparel | Christmas | Christmas Trees, Stands & Skirts | Dolls/Plush | Games & Toys, Baby & Kids | Halloween | Ornaments | Pet | Pillows | Religious Gifts | Youth & Baby Lifestyle & Gifts",,,"MON AMI is a premier destination for exceptional children’s toys, accessories and décor. You’ll find whimsical designer dolls, cuddly plush toys, beautiful blankets and pillows, unique nursery decor, and magical holiday favorites. MON AMI is a premier destination for exceptional children’s toys, accessories and décor. You’ll find whimsical designer dolls, cuddly plush toys, beautiful blankets and pillows, unique nursery decor, and magical holiday favorites. French for “my friend”, MON AMI creates one-of-a-kind treasures that both children and their parents love. Whether creating a precious tea set or holiday plush ornament, our team of talented product designers translate elegant European design into a style and price point that resonates with the American market."
Atlanta Gift,01/11/2022,2022,https://atlantamarket.com/,DM,Lemonade Stand Sales,B3 13-S116B | B3 13-S116B | B3 13-S116B,Building 3,http://www.lemonadestandshowroom.com,adavis@lemonadestandshowroom.com,704-752-5949,,8432 Highgrove St.,United States,"Children's Activewear | Children's Apparel | Childrens Apparel & Access. | Children's Shoes | Children's Sleepwear | Games & Toys, Baby & Kids | Handbags | Hats, Scarves & Gloves | Maternity | Toys / Games / Plush | Youth & Baby Lifestyle & Gifts",,,"Founded in 2007, Lemonade Stand Sales represents top selling children's product companies to retailers in the Southeastern United States. Focused on shoes, accessories, baby and specialty apparel, Lemonade Stand Sales offers fine products for babies, children and tweens.  Many product lines have an international flair or are parent-inspired, thus providing retailers unique offerings to delight their shoppers.We can be found at AmericasMart in Atlanta, GA, Building 3, 13th Floor, # 13S-116B during major trade shows and for private appointments.  The showroom is located along the atrium and only 30 steps from the elevator to the 13th floor - ChildrensWorld!  Some of our largest lines include Magnetic Me, Hatley, Robeez, See Kai Run, Paty, Lilies and Roses, and WeeFarers.  We also attend Southeast regional trade shows and travel to targeted regions of the territory."
Atlanta Gift,01/11/2022,2022,https://atlantamarket.com/,DM,Sandy Ruben & Associates,B2 7-780A | B2 7-780A,Building 2,https://www.sandyrubenandassociates.com/,sandyrubeninfo@gmail.com,8436964464,,,,"Adult Games | Apparel | Board Games | Books & Publications | craft supplies (ribbon/beading) | Dolls/Plush | educational items | Games & Toys, Baby & Kids | games/puzzles | Outdoor Games | Souvenir / Novelties | Toys / Games / Plush | Youth & Baby Lifestyle & Gifts",,,"Sandy Ruben and Associates represents leading specialty toy and children's product lines to retailers throughout the southeast. As industry veterans, our goal is to find the best products to fit your store. We are here to provide advice and support to help you grow your business.  Bldg 2 #780A    www.sandyrubenandassociates.com"
Atlanta Gift,01/11/2022,2022,https://atlantamarket.com/,DM,Cherished Moments,B3 3-1801,Building 3,https://cherishedmomentsshop.com/,sales@cherishedmomentsshop.com,801-737-3907,,"3677 North Highway 126, Suite P",United States,"Childrens Apparel & Access. | Fashion Accessories/Jewelry | Fine Jewelry | Games & Toys, Baby & Kids | Religious Gifts | Youth & Baby Lifestyle & Gifts",,,"Keepsake Jewelry at Unbelievable Prices.  Cherished Moments creates timeless sterling silver jewelry for children including beaded bracelets, charm necklaces, earrings, birthstone, binky clips, baby rings, etc. Our jewelry is exclusively designed for children from 0 - 12 years. We specialize in keepsake pieces for baptisms and christenings, first communion, flower girls, and Mom and Me bracelet sets.Our jewelry is beaded-jewelry is hand-made in the USA from the finest materials such as .925 sterling silver and freshwater pearls, and Swarovski crystals.  Bracelets are adjustable with a grow-with-me extension chain for a perfect fit. Cherished Moments has been creating these keepsakes for over 13 years and is proud to provide timeless pieces you can be proud to sell at unbelievable prices.We have recently added Amber Teething Jewelry ""Beads of Love"" to the collections we offer.  These are certified Baltic Amber bracelets and necklaces from Lithuania...best seller!"
Atlanta Gift,01/11/2022,2022,https://atlantamarket.com/,DM,Anne McGilvray & Company,B2 17-1735 | B2 17-1718 | B2 17-1735 | B2 17-1718,Building 2,https://www.annemcgilvray.com/,,307-4045869222,,2332 Valdina Street ,United States,Apparel | Body & Bath Products | Books & Publications | Calendars & Planners | Candles and Holders | Childrens Apparel & Access. | Dolls/Plush | educational items | Fashion Accessories/Jewelry | Fragrances | games/puzzles | Gift Wrap & Packaging | Greeting Cards | Holiday/Seasonal | Kitchen Textiles | Licensed Product | Outdoor/Garden Gift | Religious Gifts | Rug / Floor Coverings | Souvenir / Novelties | Stationery/Paper Goods | Tabletop | Tech Accessories | Toys / Games / Plush | Travel & Luggage | Wind Chimes & Wind Bells | Youth & Baby Lifestyle & Gifts,,,"We are here to help grow and manage your retail business. To do that, we have drawn on our forty six years of experience to bring together the industry’s best vendors, a team of professional sales representatives covering forty-one states with seven beautiful showrooms.Our sales force will guide you to products that will differentiate your store from the others. They will also ensure that you take advantage of the many perks and specials being offered by our showrooms and our vendors. Their job is to make your buying process as fruitful and enjoyable as possible.You can turn to us for sales projections, product knowledge, trend management and display suggestions. You will profit from our extensive list of show specials and of course, you can count on us for unprecedented customer service."
Atlanta Gift,01/11/2022,2022,https://atlantamarket.com/,DM,"Creative Gifts International, Inc.",B2 9-937A | B2 9-937A,Building 2,http://www.CreativeGiftsDirect.com,Sales@CreativeGiftsDirect.com,1-781-828-9999,,80 Shawmut Rd,United States,"Bar Accessories | Clocks | Crystal | cutting boards | Decor, Baby & Kids | Ornaments | Picture Frames & Custom Framing | Religious Gifts | Serveware | Stemware | Tabletop | Wine Products | Youth & Baby Lifestyle & Gifts",,,"Creative Gifts International specializes in non-tarnish metal, leather, wood, glass and crystal gifts suitable for engraving."
Atlanta Gift,01/11/2022,2022,https://atlantamarket.com/,DM,The Jammie Claus Company,B3 3-215 | B3 1-121,Building 3,https://www.jammieclaus.com/,hello@jammieclaus.com,2162307410,,PO Box 201203 ,United States,"Books & Publications | Christmas | Games & Toys, Baby & Kids | General Gift | Souvenir / Novelties",,,"The Jammie Claus Company is a social enterprise committed to empowering women and promoting resilience in children. Founded in 2019, we launched our cornerstone book titled “Jammie Claus: The Christmas Tradition of Unconditional Giving.” The book is about the woman everyone knows but knows nothing about—Mrs. Claus—and has key messages of female empowerment, unconditional love, and spreading kindness. Every year Mrs. Claus also known as Jammie Claus, delivers pajamas to kids unconditionally on Christmas Eve. Kids will enjoy taking part in this tradition by leaving out their signature Jammie Claus bag for her to fill; each book sold comes with the bag in a nice keepsake box."
