ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Toronto Gift - Spring,01/30/2022,2022,https://www.cangift.org/toronto-gift-fair/en/home/,DM,0808 Imports Ltd.,No Booth,,//www.0808imports.com,,(905) 201-1784,,,,,,,"Home & garden accents inspired by the garden & modern farmhouse. Merchandise to include: wooden & galvanized pots + planters, garden & farmhouse decor, baskets, artificial botanicals + wreaths, wall art, pillows & handmade needle felted ornaments. Featuring diffusers & candles from France,  milk bottle candles from the USA, and handmade night lights & mini wall art from Canada."
Toronto Gift - Spring,01/30/2022,2022,https://www.cangift.org/toronto-gift-fair/en/home/,DM,Asiatica Inc.,No Booth,,//www.asiatica.ca,,(514) 282-1388,,,,,,,
Toronto Gift - Spring,01/30/2022,2022,https://www.cangift.org/toronto-gift-fair/en/home/,DM,Asiri's Treasures Inc.,No Booth,,http://asiristreasures.com/,,(647) 871-2486,,,,,,,
Toronto Gift - Spring,01/30/2022,2022,https://www.cangift.org/toronto-gift-fair/en/home/,DM,Asia Imports Ltd.,No Booth,,,,(604) 687-4912,,,,,,Nice'nComfy,
Toronto Gift - Spring,01/30/2022,2022,https://www.cangift.org/toronto-gift-fair/en/home/,DM,Ashley Ann Distributors,No Booth,,//www.aadistributors.ca,,(902) 468-9076,,,,,,Our Own Candle Company,"Ashley Ann Distributors 10 Morris Drive, Unit 25, Dartmouth, Nova Scotia B3B 1K8. Phone 902-468-9076, Fax 902-484-7501.Toll Free Phone 1-855-468-9076, Toll Free Fax 1-855-484-7501. Exclusive Canadian Distributor for Our Own Candle Company. We also carry Barn Stars, Country, Harvest and Christmas  Giftware and Decor."
Toronto Gift - Spring,01/30/2022,2022,https://www.cangift.org/toronto-gift-fair/en/home/,DM,Artz Axentz Inc.,No Booth,,//www.socksmithcanada.com,,(416) 650-0440,,,,,,Socksmith | Flirty And Femme,
Toronto Gift - Spring,01/30/2022,2022,https://www.cangift.org/toronto-gift-fair/en/home/,DM,Artisanat Richard Cyr Et Fils In,No Booth,,//www.musicalspoons.ca,,(514) 995-4602,,,,,,,
Toronto Gift - Spring,01/30/2022,2022,https://www.cangift.org/toronto-gift-fair/en/home/,DM,Artimport,No Booth,,,,(905) 469-8687,,,,,,TMC Musicals | Uncle Goose | Lindenwood | Erzgebirge | Angel Chimes | Perisphere & Trylon | Mamelok | Jack Rabbit | Original Toy Company | Bozo the Clown | Warm Fuzzy,
Toronto Gift - Spring,01/30/2022,2022,https://www.cangift.org/toronto-gift-fair/en/home/,DM,Attitudes Import Inc.,No Booth,,//www.attitudesimport.com,,(450) 681-4147,,,,,,,
Toronto Gift - Spring,01/30/2022,2022,https://www.cangift.org/toronto-gift-fair/en/home/,DM,Artburn Inc.,No Booth,,//www.artburn.net,,(902) 404-8206,,,,,,Original Artburn T Shirt Painting Kits | Powerful Pillows | Pillowcase Painting Kits | The Magic Pillow,"Painting Kits for Kids aged 4 and up, Designed and Produced in Canada by hand, with a variety of fun, themed designs. Pillowcase Painting Kits - featuring the Powerful Pillows:  Sending Positive Messages to kids at Bedtime! Creates a feeling of peace, and thoughtful conversations between parents and kids, about self esteem, anti-bullying, intelligence and kindness. Custom name dropping available, to showcase your city or tourist destination. Vibrant fabric paints will remain bright for years; kids love our Painting Kits."
Toronto Gift - Spring,01/30/2022,2022,https://www.cangift.org/toronto-gift-fair/en/home/,DM,Zojie Enterprise Inc.,No Booth,,//www.zojie.net,,(905) 946-7667,,,,,,ZJ Collection / MJ / IEKE,"Zojie Enterprise Inc. is established in October 2002 in Canada. We build up reliable reputations and get a wide range of customers due to our counituous customers fulfillment. We made Custom Orders such as KIA, Mazda, Honda, Best Way Carpet, Keyman and Peavey etc. As one of the largest Fashion Watches suppliers in Canada, we are always focusing on Service, Styles and Quality."
Toronto Gift - Spring,01/30/2022,2022,https://www.cangift.org/toronto-gift-fair/en/home/,DM,"Artists' Garden, The",No Booth,,//www.artistsgarden.com,,(905) 468-4238,,,,,,,
