ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Ambiente,01/28/2022,2022,https://christmasworld.messefrankfurt.com,DM,Accentra GmbH &amp; Co. KG,D10,8.0,www.accentra.de,adammer@accentra.de,,,91572 Bechhofen Rudolf-Diesel-Str. 7,Germany,Christmas & Seasonal decoration | Candles & Fragrances,,,"What distinguishes an attractive range of products ? It offers quality, appeals to a wide range of consumers and has permanent..."
Ambiente,01/28/2022,2022,https://christmasworld.messefrankfurt.com,DM,ADAMLIGHTS AS,C80,9.0,www.adam.ee,,,,11314 Tallinn Järvevana tee 9,Estonia,Visual Merchandising & Light,,,"For more than 20 years, we have been designing and decorating public spaces and buildings with Nordic quality lighting solutions..."
Ambiente,01/28/2022,2022,https://christmasworld.messefrankfurt.com,DM,ADPAL Adam Szczepaniak,C57,8.0,,,,,63-720 Kozmin Wlkp. ul. Przemyslowa 1,Poland,,,,Adpal is one of the largest company in Poland dealing with candle production. Having regard to the environment protection...
Ambiente,01/28/2022,2022,https://christmasworld.messefrankfurt.com,DM,Advantech Handicrafts,A99,12.1,,,,,"110051 New Delhi p-15 Gali no.1,Shanker Nagar Extn.",India,,,,Advantech Handicrafts is based in India manufacturing Christmas Seasonal Decorations of Mango Wood & Aluminium. Having...
Ambiente,01/28/2022,2022,https://christmasworld.messefrankfurt.com,DM,AEC Offshore Trading Pvt Ltd,A96,12.1,www.aecoffshore.com,,,,"562117 Ramanagara, Karnataka Plot NO. R-5, R-6, 2nd Stage",India,,,,
Ambiente,01/28/2022,2022,https://christmasworld.messefrankfurt.com,DM,Alamgir Papier Machie House,D98,12.1,,,,,110014 New Delhi 6/3 Jangpura-B Ground Floor,India,,,,
Ambiente,01/28/2022,2022,https://christmasworld.messefrankfurt.com,DM,ALFAGR for Technical Industries Co.,E74,9.0,,carmen.siri@alfaglass.net,+20 100 2338871,,"12566 6th of October City, Giza #127 Extension of 3rd Industrial Zone",Egypt,Christmas & Seasonal decoration | Florists' requisites & Garden decoration,,,"Alfagr for Technical Industries Co. is a producer and exporter of decorative hand made, mouth blown glass articles such as flower..."
Ambiente,01/28/2022,2022,https://christmasworld.messefrankfurt.com,DM,Allayi GmbH,A14,11.0,,felix.keller@allayi.ch,0041 (0)79 151 91 39,,4144 Arlesheim Altenmatteweg 13,Switzerland,Christmas & Seasonal decoration,,,"Welcome to Allayi Ltd.We are a Swiss family business, which specializes in trading exquisite glass products from Egypt. As a wholesaler..."
Ambiente,01/28/2022,2022,https://christmasworld.messefrankfurt.com,DM,Alliy International,E86,12.1,www.alliyinternational.com,,,,"110094 Delhi H.NO-1, ST. No-1, Old Mustafabad",India,,,,"WE ARE THE MANUFACTURER AND EXPORTER OF CHRISTMAS ORNAMENTS & HOME DECOR FROM INDIA
	HIGH QUALITY PRODUCT

	COMPETITIVE..."
Ambiente,01/28/2022,2022,https://christmasworld.messefrankfurt.com,DM,A.L. Paper House LLP,C90,12.1,www.alpaperhouse.com,,,,"302029 Jaipur Near Tempo Stand, Shikarpura Road,",India,,,,"India's Largest Manufacturer and Exporter of Handmade Paper and Paper Products, like Paper Star, Giftwraps, Boxes, Bag..."
