ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Coverings,07/07/2021,2021,https://www.coverings.com/,DM,Ibis Smart Marble Pvt Ltd,1027,,http://www.ibissmartmarble.com,,,,"Morbi,, GJ, India",India,Tile | Tile - Ceramic (Glazed) | Tile - Ceramic (Unglazed) | Tile - Countertop | Tile - Decorative | Tile - Floor | Tile - Mosaic | Tile - Pavers | Tile - Porcelain | Tile - Wall,,IBIS is the perfect combination of visionary designs and technological performance.,Welcome to the world of beautiful porcelain slabs and tiles.
Coverings,07/07/2021,2021,https://www.coverings.com/,DM,Baldocer,5648,,http://www.baldocer.com,,,,"Vilafames,, Castellon, Spain",Spain,Tile | Tile - Floor | Tile - Porcelain | Tile - Wall,,"BALDOCER, BPLUS, BSMALL, BPRIME, BTOP","We are a company with over 25 years of experience 

"
Coverings,07/07/2021,2021,https://www.coverings.com/,DM,ARDEX Americas / DTA,3719,,http://www.ardexamericas.com,,,,"Aliquippa,, PA, United States",United States,Allied Products - Adhesives | Allied Products - Backerboard | Allied Products - Grout | Allied Products - Mortars | Allied Products - Shower Pans | Allied Products - Sponges | Allied Products - Tools | Allied Products - Underlayment | Allied Products - Waterproofing | Miscellaneous - Floor Heating Systems,,"ARDEX Tile & Stone Installation Systems
ARDEX FLEXBONE Uncoupling and In-Floor Heating Systems","With more than 60 years of global innovation leadership, ARDEX Tile & Stone Installation Systems deliver high-performance solutions for the most demanding tile and stone installations including large format tile, glass tile, super format-thin tiles, submerged applications, natural stone, stone veneer and exterior installations. "
Coverings,07/07/2021,2021,https://www.coverings.com/,DM,Apollo Stone Imports Inc.,433,,http://www.apollostone.com,,,,"Athens,, Greece",Greece,Stone - Limestone | Stone - Marble | Stone - Mosaic | Stone - Slab | Stone - Stone Tile,,"WHITES Thassos, Stellar, Pegasus, Pentelikon, Volakas, Spoleto & more; GREYS Martino, Sorrento, Monterey, Pewter; AND Creme Fedora, Trizina Silver, Corinthian Beige, Castilian Black, Cypress Limestone",Apollo Stone Imports: the most popular stones & great prices
Coverings,07/07/2021,2021,https://www.coverings.com/,DM,BACA Systems,5819,,http://www.BACASystems.com,,,,"Orion Township,, MI, United States",United States,Equipment & Machinery - Edging | Equipment & Machinery - Fabricating | Equipment & Machinery - Saws | Equipment & Machinery - Water-jet | Equipment & Machinery - CNC Equipment,,"Robo SawJet, Miter Saw Excel, BACA Edge, BACA BOSS",BACA Systems - American Stone Automation
Coverings,07/07/2021,2021,https://www.coverings.com/,DM,APE GRUPO,5145,,http://www.apegrupo.com,,,,"Castellon,, Castellon, Spain",Spain,Tile | Tile - Decorative | Tile - Porcelain | Tile - Swimming Pool | Tile - Wall,,"We are offering our product under three brands: Ape, Carmen and XLINING.","Welcome to APE GRUPO, Spanish tile trading company."
Coverings,07/07/2021,2021,https://www.coverings.com/,DM,Apavisa,5445,,http://www.apavisa.com,,,,"San Juan de Moro,, Castellon, Spain",Spain,Tile - Floor | Tile - Metallic | Tile - Mosaic | Tile - Porcelain | Tile - Wall,,"Apavisa —porcelain stoneware— solves the needs of professional and particular. Color, texture, size and finish variety offer the perfect tiles for upcoming projects.
Apavisa · District · Slabs",Find us at Coverings 2020 - Spanish Pav- Booth: 5326
Coverings,07/07/2021,2021,https://www.coverings.com/,DM,Anthology,3048,,http://anthologytile.com,,,,"Doral,, FL, United States",United States,Tile - Floor | Tile - Glass | Tile - Mosaic | Tile - Porcelain | Tile - Wall,,"ANTHOLOGY!  Our team has created a compilation of decorative mosaics, stone, glass, ceramic and field tile in unlimited varieties to fit any of your specifications.","ANTHOLOGY! Let our collections tell your story. Blending years of knowledge and expertise, our team has created a compilation of decorative mosaics, stone, glass, ceramic and field tile in unlimited varieties to fit any of your specifications. We bring to market a unique product offering that has yet to be seen. Our commitment to our clients will be an exceptional and growing product line with the sales and customer service support needed to rise above the competition. Very few companies say they can meet the needs of the client. Here at ANTHOLOGY we can, we strive to offer all this in one unique package."
Coverings,07/07/2021,2021,https://www.coverings.com/,DM,Argenta,5135,,http://www.argentaceramica.com,,,,"Vall D'Alba,, Castellon, Spain",Spain,Tile | Tile - Floor | Tile - Porcelain | Tile - Wall,,,"Visit us at COVERINGS 2021,  ARGENTA's New '21 collection."
Coverings,07/07/2021,2021,https://www.coverings.com/,DM,Yurtbay Seramik,441,,https://www.yurtbayseramik.com/,,,,"Norcross,, GA, United States",United States,Tile - Ceramic (Glazed) | Tile - Ceramic (Unglazed) | Tile - Floor | Tile - Porcelain | Tile - Wall,,Yurtbay Seramik,Allow us to turn your valuable time into a great opportunity
