ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Dallas Market - Lightovation,06/01/2022,2022,https://dallasmarketcenter.com/markets/lightovation,DM,Fish Hippie,WTC 7208,,,matt@fishhippie.com,336-789-3474,," 308 N. Main St. Mt. Airy , NC  27030  ",,Accessories | Activewear | Coastal Lifestyle Souvenirs | Collectibles/Figurines | Corporate/Promotional Products | Destination Based Souvenirs | Formalwear | Impulse Items | Party Favors | Scarves/Gloves/Wraps | Souvenir T-Shirts | Stickers | Suits/Sportcoats | Western,,Fish Hippie | Fish Hippie Wine,"Fish Hippie = Reestablishing traditional morals/values and the importance of equal parts, quality, and character. Fish Hippie truly reflects ""The Finer Side of Outdoor Life"".

With a Fine selection of: Woven's, Polo's, Belts, Short/Long Sleeve Tees, Hats, Accessories, and Wine. NEW ITEMS COMING SOON...

Check us out online @ www.fishhippie.com"
Dallas Market - Lightovation,06/01/2022,2022,https://dallasmarketcenter.com/markets/lightovation,DM,Hopely Clothing,WTC 11-5408 October Apparel,,www.HOPELY.com,order@hopely.com,323-897-5594,," 4627 S. Alameda St Vernon , CA  90058  ",,Item Tops | Young Contemporary,,2018 SPRING COLLECTION,"HOPELY believes in challenging the status quo.  We believe in thinking differently, especially in our styles.  We meticulously spend time on the craft and beauty of our styles which allows individuals to convey their inner beauty. EXCELLENCE IS OUR PURSUIT"
Dallas Market - Lightovation,06/01/2022,2022,https://dallasmarketcenter.com/markets/lightovation,DM,Trans Globe Lighting,TM 3616,,,sales@tglighting.com,818-768-5511,," 28104 Witherspoon Pkwy Valencia , CA  91355  ",,Chandeliers / Pendants | Fixtures | Floor & Table Lamps | Juvenile,,Trans Globe Lighting,"Trans Globe Lighting is proud to be your one-stop residential lighting manufacturer and distributor, selling a very broad spectrum of home lighting including; indoor families for every room of the house, European crystal collections, outdoor , LED landscape lighting, table lamps and floor lamps, brilliant ultra-contemporary collections, energy star lighting, table top accessories, mirrors, LED signs, and more."
Dallas Market - Lightovation,06/01/2022,2022,https://dallasmarketcenter.com/markets/lightovation,DM,Minka Group,TM 4103,,,sales@minkagroup.net,951-735-9220,," 1151 West Bradford Ct. Corona , CA  92882  ",,Accent Furniture | Chandeliers / Pendants | Decorative Lighting | Exterior Lighting | Fixtures | Floor & Table Lamps | Indoor and Outdoor Fans | Mirrors | Residential Lighting,,Ambience by Minka Lavery | George Kovacs | Metropolitan Lighting | Minka Aire | Minka Lavery | The Great Outdoors by Minka Lavery,
Dallas Market - Lightovation,06/01/2022,2022,https://dallasmarketcenter.com/markets/lightovation,DM,"Satco Products, Inc.",TM 4942,,,info@satco.com,214-760-0003,," 110 Heartland Blvd Brentwood , NY  11717  ",,Chandeliers / Pendants | Fixtures | Floor & Table Lamps | LED Decorative Product,,"Nuvo | Satco Products, Inc.",
Dallas Market - Lightovation,06/01/2022,2022,https://dallasmarketcenter.com/markets/lightovation,DM,Hinkley,TM 3210,,hinkley.com,service@hinkley.com,214-698-9818,," 33000 PIN OAK PARKWAY AVON LAKE , OH  44012  ",,Chandeliers / Pendants | Eco Friendly/Green Lighting | Fixtures | Indoor and Outdoor Fans | Landscape Lighting | LED/Lamps,,Fredrick Ramond | Hinkley | Hinkley Fans | Hinkley Landscape Lighting,"HINKLEY defines classic, chic lighting.
We take a sophisticated approach to illuminating environments: one that combines the best in   design and technical innovation with a stylish state of mind. We offer over 3,000 products in the Interior, Exterior, Fan, and Landscape categories, including a broad range of powerful, energy-efficient products engineered with exceptional design and creativity. Experience livable luxury lighting with Hinkley's Fredrick Ramond collections."
Dallas Market - Lightovation,06/01/2022,2022,https://dallasmarketcenter.com/markets/lightovation,DM,Toltec Lighting,TM 3343,,,sales@toltecltg.com,662-427-9515,," P.O. Box 325 Burnsville , MS  38833  ",,Chandeliers / Pendants | Fixtures | Floor & Table Lamps,,Toltec Lighting,"Founded in the 1970's, we are a family owned and operated company dedicated to creating quality and competitively priced lighting fixtures for your home.

While quality and value continue to be the hallmarks that Toltec is famous for, we take pride in having taken the lead in the field of design.  We are continually introducing new concepts and ideas while maintaining a close eye on tradition.  At Toltec, we bridge all possible worlds.

In Addition, our designs feature some of the most exquisite finis"
Dallas Market - Lightovation,06/01/2022,2022,https://dallasmarketcenter.com/markets/lightovation,DM,Kalco Lighting Ltd.,TM 3303,,,orders@kalco.com,800-525-2655,," 6355 Windy St Ste 3 Las Vegas , NV  89119  ",,Accent Furniture | Chandeliers / Pendants | Contemporary Furniture | Contract/Office Furniture | Fixtures | Floor & Table Lamps | LED Decorative Product | Shades | Traditional | Wrought Iron,,"KALCO Lighting, Inc.","For over 35 years, Kalco Lighting has been a leader in the Lighting Industry. Our dedication to Design, Service and Quality is the foundation of our success, and we are confident that our hand-crafted and hand-finished fixtures and furnishings will continue the tradition.

As you view our products, please keep in mind that many of our collections offer finish, glass and shade options. This provides the most unique opportunity for you and your clients to create a unique design to complement any decor."
Dallas Market - Lightovation,06/01/2022,2022,https://dallasmarketcenter.com/markets/lightovation,DM,Crystorama Lighting,TM 3503,,,info@crystorama.com,516-931-9090,," 95 Cantiague Rock Road Westbury , NY  11590  ",,Chandeliers / Pendants | Fixtures | Shades | Wrought Iron,,Crystorama Lighting,"For more than 60 years, Crystorama has been a leader in decorative lighting.  We bring magnificent artistry, intricate craftsmanship and unsurpassed quality in our designs, materials, and styles. Driven to be more than just a brand, we aspire to be a source of inspiration and style to design enthusiasts and the creative community.  Drawing upon our depth of knowledge and expertise and inspired by fashion and art, Crystorama continues to innovate with modern shapes, materials, and colors."
Dallas Market - Lightovation,06/01/2022,2022,https://dallasmarketcenter.com/markets/lightovation,DM,Maxim Group Companies,TM 3901,,,Adenas@maximlighting.com,626-956.4200,," 253 N Vineland Ave City Of Industry , CA  91746  ",,Bathroom Vanities | Chandeliers / Pendants | Eco Friendly/Green Lighting | Fixtures | Fixtures & Sinks | Floor & Table Lamps | Indoor and Outdoor Fans | Landscape Lighting | LED Decorative Product | LED/Lamps | Recesssed | Shades | Under Counter | Vanities | Vases | Bathroom Vanities | Chandeliers / Pendants | Eco Friendly/Green Lighting | Fixtures | Fixtures & Sinks | Floor & Table Lamps | Indoor and Outdoor Fans | Landscape Lighting | LED Decorative Product | LED/Lamps | Recesssed | Shades | Under Counter | Vanities | Vases | Bathroom Vanities | Chandeliers / Pendants | Eco Friendly/Green Lighting | Fixtures | Fixtures & Sinks | Floor & Table Lamps | Indoor and Outdoor Fans | Landscape Lighting | LED Decorative Product | LED/Lamps | Recesssed | Shades | Under Counter | Vanities | Vases,,ET2 Contemporary Lighting | Maxim Lighting International | Studio M Lighting | ET2 Contemporary Lighting | Maxim Lighting International | Studio M Lighting | ET2 Contemporary Lighting | Maxim Lighting International | Studio M Lighting,"For over 45 years, Maxim Lighting has defined lifestyle lighting, offering a variety of high-quality, decorative fixtures for the home, including chandeliers, sconces, pendants, ceiling mounts, and bath vanities.  ET2 Contemporary Lighting artfully blends luxurious finishes, smooth surfaces, and bold angles with creative shapes and forms that transform ordinary rooms into exceptional spaces.  Design inspiration from around the world characterizes our collections from the traditional to the unusual."
