ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
domotex,01/13/2022,2022,https://www.domotex.de,DM,Afshar Zarineh Carpet,D86,12,http://www.afsharzarineh.com,,+98 444 53572223,+98 444 5357224,"Shohada 2 5971848848 Miandoab Iran, Islamic Republic of Shohada 2 5971848848 Miandoab Iran, Islamic Republic of","Iran, Islamic Republic of",,,,
domotex,01/13/2022,2022,https://www.domotex.de,DM,Arka Hali ve Iplik,F27,5,http://www.arkacarpet.com,,+90 342 5023057,+90 342 5023058,3. OSB 83326 Nolu Cad. No:4 Sehitkamil No: 4 Baspinar OSB Mah. 27600 Baspinar Turkey 3. OSB 83326 Nolu Cad. No:4 Sehitkamil No: 4 Baspinar OSB Mah. 27600 Baspinar Turkey,Turkey,,,,Arka Carpet is one of the leading manufacturer and exporter of machine made rugs and carpets. We are serving you with the latest technology machinery facility and 20.000m2 production area.
domotex,01/13/2022,2022,https://www.domotex.de,DM,Adopen Plastik,E10,13,http://www.ado.com.tr,,+90 242 2362000,+90 242 2362090,OSB 2. Kisim 3 21 Cad. 07040 Dösemealti Turkey OSB 2. Kisim 3 21 Cad. 07040 Dösemealti Turkey,Turkey,,,,
domotex,01/13/2022,2022,https://www.domotex.de,DM,Apeks Tekstil,E64,11,http://www.apexhali.com,,+90 212 6750100,+90 212 6750696,"Ikitelli O.S.B., Masko 2A 34490 Basaksehir Turkey Ikitelli O.S.B., Masko 2A 34490 Basaksehir Turkey",Turkey,,,,
domotex,01/13/2022,2022,https://www.domotex.de,DM,ABC Italia,A02,2,http://www.abcitalia.net,,+39 0377 464311,+39 0377 832098,Strada Statale 234 26867 Somaglia Italy Strada Statale 234 26867 Somaglia Italy,Italy,,,,"Creativity, culture and commitment are the key components that have always bound art and trade together."
domotex,01/13/2022,2022,https://www.domotex.de,DM,ADESIV,,,http://www.adesiv.it,,+39 0424 566406,+39 0424 566473,Via delle Rose 31 36061 Bassano del Grappa Italy Via delle Rose 31 36061 Bassano del Grappa Italy,Italy,,,,"ADESIV, since 1971, produces glues, varnishes, oils and floor care products for parquet. It also has a range of adhesives for carpet, PVC, rubber and sports flooring. It is present in more than 40 countries around the world thanks to its excellent quality / price ratio."
domotex,01/13/2022,2022,https://www.domotex.de,DM,Arab Pioneers For Manufacturing,D56,11,http://www.ayntextile.com,,+962 6 4050066,+962 6 4051232,"Al Hatamiyyah Triangle Al Moaqqer Sahab, P.O. Box 179 11512 Amman Jordan Al Hatamiyyah Triangle Al Moaqqer Sahab, P.O. Box 179 11512 Amman Jordan",Jordan,,,,We are one of the leading carpet manufacturers in the Middle East Area
domotex,01/13/2022,2022,https://www.domotex.de,DM,Anmak Makina & Tekstil,F31,11,http://www.anmak.com.tr,,+90  3424771231,+90  3424771331,O.s.b. 3.bolge Mehmet Batalli Bulva 11-3 27620 Sehitkamil Turkey O.s.b. 3.bolge Mehmet Batalli Bulva 11-3 27620 Sehitkamil Turkey,Turkey,,,,
domotex,01/13/2022,2022,https://www.domotex.de,DM,Akkad,,,http://www.akkadcarpet.com,,+962 7 91384000,+962 7 91384000,Mowaqar Industrial Estate 1 11821 Amman Jordan Mowaqar Industrial Estate 1 11821 Amman Jordan,Jordan,,,,
domotex,01/13/2022,2022,https://www.domotex.de,DM,Akgün Yapi ve Zemin Kaplamalari,E56,13,,,+90 212 7712100,+90 212 7713437,"Cumhuriyet Mah, Firuze Sk. Avm 1. Bodr. 281-282-274-276-277 Istanbul Outlet Park 34500 Büyükcekmece Turkey Cumhuriyet Mah, Firuze Sk. Avm 1. Bodr. 281-282-274-276-277 Istanbul Outlet Park 34500 Büyükcekmece Turkey",Turkey,,,,
domotex,01/13/2022,2022,https://www.domotex.de,DM,Anlatici Makina San. Tic. Ltd.,,,http://www.anlaticimakina.com,,+90 342 2250910,+90 342 3570580,5. O.S.B. 83573 Nolu Cad. NO: 1/1 27120 Sehitkamil Turkey 5. O.S.B. 83573 Nolu Cad. NO: 1/1 27120 Sehitkamil Turkey,Turkey,,,,
domotex,01/13/2022,2022,https://www.domotex.de,DM,Almas Zarin Kashan,A39,11,http://www.keshmirgroup.con,,+98  0983155055,+98  0983155055,"1st km of Old Aran & Bidgol Road 0098315 8741633118 Kashan Iran, Islamic Republic of 1st km of Old Aran & Bidgol Road 0098315 8741633118 Kashan Iran, Islamic Republic of","Iran, Islamic Republic of",,,,
domotex,01/13/2022,2022,https://www.domotex.de,DM,Akdeniz Cam Alüminiyum,C02,11,http://www.akdenizhali.com,,+90 332 4441080,+90 332 2353877,Fevzi Cakmak Mah. Kosgeb Cad. 29 42050 Karatay Turkey Fevzi Cakmak Mah. Kosgeb Cad. 29 42050 Karatay Turkey,Turkey,,,,"Our company, Akdeniz Glass Marketing, was established in 1978 in Konya as a manufacturing and marketing company of glass products. Nowadays, our company has reached wide range of products and services such as glass, aluminium carpentry, curtain wall, building automation and glass siding systems."
domotex,01/13/2022,2022,https://www.domotex.de,DM,AIMMP,F45,13,http://www.aimmp.pt,,+351 223394 200,+351 223394 210,Rua Alvares Cabral 15 4050-041 Porto Portugal Rua Alvares Cabral 15 4050-041 Porto Portugal,Portugal,,,,
domotex,01/13/2022,2022,https://www.domotex.de,DM,AKSA Akrilik Kimya Sanayii,E44,11,http://www.aksa.com,,+90 226 3532545,+90 226 3533307,Merkez Mah. Yalova-Kocaeli Yolu Cad 34  Tasköprü 77602 Ciftlikköy Turkey Merkez Mah. Yalova-Kocaeli Yolu Cad 34  Tasköprü 77602 Ciftlikköy Turkey,Turkey,,,,"Aksa Akrilik Kimya Sanayii A.S. was established in Yalova in 1968 in order to meet the acrylic fiber needs of Turkey. Today, Aksa has around 300 clients in more than 50 countries, across 5 continents. 17 percent of the total acrylic fiber production on the world and 72 percent of the total consumption in Turkey is being served by its plant in Yalova. Aksa, which is a pioneer with its management systems, environmental applications as well as the social responsibility projects without a doubt is the leading manufacturer of acrylic fiber in the world."
domotex,01/13/2022,2022,https://www.domotex.de,DM,Bansal Carpets,,,http://www.bansalcarpet.com,,+91 562 4007919,+91 562 2230314,"Daya Nagar Pragati,, Shaheed Nagar Crossing Agra 282001 India Daya Nagar Pragati,, Shaheed Nagar Crossing Agra 282001 India",India,,,,"We have made massive involvement in India in the Indian designer carpets industry with our outstanding acquaintance of basics of making carpet. We have achieved considerable success as designer carpets and puja carpets manufacturer & exporter in India. The company ahs traversed new avenues under the proficient headship of our venerable CEO, Mr. Praveen Bansal. Our definitive aim is directed towards providing exquisite range of Home Furnishing Products that has enables us to build a broad based business network.The company boasts of state-of-the-art infrastructure which is equipped with technologically advanced tools and machinery. CAD and in-house dyeing facility is also made available to design most elegant and innovative range of products. Testing and R&D wing too is fully functional for endless innovation and improvisation of the products offered by us."
domotex,01/13/2022,2022,https://www.domotex.de,DM,Ambadi Enterprises,D46,12,http://www.ambadi.in,,+91 124 2398037,+91 124 2398032,"Udyog Vihar, Phase 5 5 Gurgaon 122016 India Udyog Vihar, Phase 5 5 Gurgaon 122016 India",India,,,,
domotex,01/13/2022,2022,https://www.domotex.de,DM,AGT Agac,E45,13,http://www.agt.com.tr,,+90 242 2491717,+90 242 2491727,"3. Kisim, 35. Cadde  Organize Sanayi. Bölgesi 07190 Dösemealti Turkey 3. Kisim, 35. Cadde  Organize Sanayi. Bölgesi 07190 Dösemealti Turkey",Turkey,,,,"The company has established since 1984 in Antalya with the dream that wood could be custom processed for individuals and companies by using developing technology. Today AGT is one of the leading companies operates in furniture sector by specializing in components. AGT provide services to furniture and decorations sector with MDF, Melamine Faced MDF, Panel, Profile and construction sector with Flooring, Door, Wall Panel and skirting in Antalya Organized Industrial Site with modern production facility. AGT, produces all the wooden products that can be needed in a living place, is in top 500 industrial enterprise with 400.000 million TL turnover, 50 million euro exports and over 1000 employment. Along with widespread dealer channel throughout the Turkey, AGT exports to more than 60 countries over 5 continents especially to Iran, Russia, Eastern Europe, Balkans, Libya. According to the Istanbul chamber of commerce, AGT rise 77 places to 267 from 344 in the 2014 ranking of industrial firms."
domotex,01/13/2022,2022,https://www.domotex.de,DM,"Barfuss, Manfred",B47,12,http://www.barfuss-teppich.at,,+43  69910993221,+43 2672 82311,Hainfelderstr. 108 2563 Pottenstein Austria Hainfelderstr. 108 2563 Pottenstein Austria,Austria,,,,
domotex,01/13/2022,2022,https://www.domotex.de,DM,"Ball, F.",C30,13,http://www.f-ball.co.uk,,+44 1538 361633,+44 1538 361115,"Station Road Cheddleton, Leek Churnetside Business Park Leek ST13 7RS United Kingdom Station Road Cheddleton, Leek Churnetside Business Park Leek ST13 7RS United Kingdom",United Kingdom,,,,"F. Ball and Co. Ltd. is a market leading manufacturer of subfloor preparation systems and specialist flooring adhesives for the installation of decorative floorcoverings. The range of products comprises floor levelling compounds, waterproof surface membranes, adhesives, primers and accessories, including"
domotex,01/13/2022,2022,https://www.domotex.de,DM,Ankamet Sergileme Sistemleri,,,http://www.ankamet.com,,+90 312 3950051,+90 312 3950251,1. O.S.B. Gazneliler Cad. 2 06930 Sincan Turkey 1. O.S.B. Gazneliler Cad. 2 06930 Sincan Turkey,Turkey,,,,"ANKAMET CARPET DISPLAY SYSTEMS CO. is proudly presenting itself as one of the leading manufacturer & exporter of CARPET , CERAMIC , LAMINATE  & PARQUET DISPLAY SYSTEMS from Turkey."
domotex,01/13/2022,2022,https://www.domotex.de,DM,Baglinox,,,http://www.baglinox.com,,+34 948 290552,+34 948 290553,Calle L 27 Pol. Comarca 1 31160 Orcoyen Spain Calle L 27 Pol. Comarca 1 31160 Orcoyen Spain,Spain,,,,"With more than 40 years of experience in the flooring sector, Basmat has developed the click assembly system for entrance mats. Basmat is Spain's leading company of entrance matting systems. Basmat exports its production to more than 30 countries in the 5 continents."
domotex,01/13/2022,2022,https://www.domotex.de,DM,A.N.G. Exports,D30,4,http://www.angexports.net,,+91  1806451632,+91  1802001631,"Sec. 29, Part II, Huda  Plot no. 70 & 73 Panipat 132103 India Sec. 29, Part II, Huda  Plot no. 70 & 73 Panipat 132103 India",India,,,,
domotex,01/13/2022,2022,https://www.domotex.de,DM,Bükücü Tekstil,D38,11,http://www.bukucu.com,,+90 342 3374410,+90 342 3372034,2. O.S.B. 83211 Nolu Cad. 27500 Sehitkamil Turkey 2. O.S.B. 83211 Nolu Cad. 27500 Sehitkamil Turkey,Turkey,,,,"Bukucu Textile, which started the carpet manufacture in 1978, has achieved great success and taste with its products of high quality with GIZA, DAISY,  CAYIRLI  brands."
domotex,01/13/2022,2022,https://www.domotex.de,DM,Brückner Trockentechnik,E26,11,http://www.brueckner-textile.com,,+49 7152 120,+49 7152 129254,Benzstr. 8-10 71229 Leonberg Germany Benzstr. 8-10 71229 Leonberg Germany,Germany,,,,
domotex,01/13/2022,2022,https://www.domotex.de,DM,Castro & Filhos,C41,13,http://www.castroefilhos.pt,,+351  253575555,+351  253575550,Rua Padre Joao Moreira Leite 1297 4800-611 Guimaraes Portugal Rua Padre Joao Moreira Leite 1297 4800-611 Guimaraes Portugal,Portugal,,,,"The main activity of the company CASTRO & FILHOS, S.A. is the transformation of wood to be used in the production of solid massive floors. To this end, it imports a wide range of inputs from all continents (African, European and American) and applies rigorous drying processes, a necessary condition to obtain floors with high quality. The final product is obtained through the utilisation of the most advanced technological processes available in the market."
