ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
ecommerceberlin,09/02/2022,2022,https://ecommerceberlin.com/about,DM,expandecocom,11:00 B,,,,,,,,,,,
ecommerceberlin,09/02/2022,2022,https://ecommerceberlin.com/about,DM,crossmasterscom,C10,,,,,,,,,,,
ecommerceberlin,09/02/2022,2022,https://ecommerceberlin.com/about,DM,Geizhals® - Preisvergleich Internet Services AG,A21,,https://geizhals.de/,,,,,europe,sales_generation | international_sales,,,"Geizhals-Preisvergleich existiert seit 1996 als unabhängige Preisvergleichs-Plattform im Internet.Aufgrund der großen Beliebtheit wurde im Jahr 2000 die Preisvergleich Internet Services AG gegründetund damit gelang der endgültige Durchbruch. Während in den Anfangsjahren noch der Fokus auf PC-Hardware und Unterhaltungselektronik lag, wurden mit der steigenden Popularität auch neue Bereichewie ""Haushalt"", ""Drogerie"" und ""Sport"" immer wichtiger. Die Geizhals-Produktdatenbank wird von derRedaktion laufend gepflegt und erweitert und zudem mit nützlichen Zusatzinformationen (Produkttests,Anleitungen, etc.) angereichert. In Kombination mit den detaillierten Produktfiltern wird dem User eineeinzigartige Hilfestellungen beim (Online-)Shoppen angeboten. Diesem konsumentenfreundlichen undtransparenten Zugang ist es zu verdanken, dass Geizhals mittlerweile zu einer der wichtigsten E-Commerce-Plattformen im deutschen Sprachraum zählt.""Geizhals Preisvergleich was conceived in 1996 in Austria as an independent price comparison service andsoon enjoyed enormous popularity. In June 2000 it incorporated and professionalized as ""PreisvergleichInternet Services AG"". In the early years Geizhals focused primarily ontechnical products ranging from hardware to consumer electronics, but with its growing popularity alsocategories like home &amp; living and health &amp; beauty became more and more important. All coveredproducts are carefully classified and regularly updated by the editors and completedby additional product information, expert and consumer reviews. The detailed product filters make iteasier for shoppers to find the right product within a category. With this tool they can select the featuresthey are looking for in a product. Due to this consumer-oriented features and broad scope, Geizhals, withits popular subsidiaries in Germany, UK and Poland, has established a strong leadership in central Europe."
ecommerceberlin,09/02/2022,2022,https://ecommerceberlin.com/about,DM,E-commerce Berlin Expo,B19,,https://ecommerceberlin.com,,,,,global,logistics | software | omnichannel,,,"The E-commerce Berlin Expo is organized by E-commerce Capitals who have also established the biggest e-commerce event in Poland:&nbsp;E-commerce Poland Trade Fair. The company is based in both, Berlin and Poznan."
ecommerceberlin,09/02/2022,2022,https://ecommerceberlin.com/about,DM,OXID eSales AG,B26,,https://www.oxid-esales.com/,,,,,europe,platform | software | omnichannel,,,"Die Freiburger OXID eSales AG ist einer der bekanntesten Anbieter von E-Commerce-Lösungen im deutschsprachigen Raum. Unternehmen wie die Deutsche Post, Edeka, Schiesser oder Metabo betreiben Onlineshops auf Basis der OXID Plattform. Diese ist für ihre hohe Flexibilität, Individualität und Qualität bekannt. Was OXID eSales ausmacht, ist die Summe aus dem, was das Unternehmen das OXID Ökosystem nennt: jeder einzelne Mitarbeiter, einzigartige Kunden, über 150 zertifizierte Partner, die tag- und nachtaktive Community, der hoch geschätzte Service, das hilfsbereite Supportteam und die Wissen transferierende Academy. Die Vorteile: eine hohe Innovationsgeschwindigkeit, qualitativ hochwertige Entwicklungen und langfristige Investitionssicherheit."
ecommerceberlin,09/02/2022,2022,https://ecommerceberlin.com/about,DM,ax-semanticscom,U2,,,,,,,,,,,
ecommerceberlin,09/02/2022,2022,https://ecommerceberlin.com/about,DM,sleeknotecom,A20,,,,,,,,,,,
ecommerceberlin,09/02/2022,2022,https://ecommerceberlin.com/about,DM,shipcloud,A21,,https://www.shipcloud.io/en,,,,,europe,logistics | software,,,"shipcloud - all carriers in one interface!shipcloud is the shipping service provider for online retailers, marketplaces and fulfillment service providers and offers you a simple and uniform interface to all relevant carriers (DHL, DHL Express, UPS, Deutsche Post, DPD, Hermes, Post AT, Post CH, GLS, GO!, Cargo International, ANGEL Last Mile, PARCEL.ONE etc.).shipcloud provides this service in a software-as-a-service platform. Thanks to the modern RESTful API and 130+ integrations into shop, ERP, inventory management, marketplace, checkout and fulfillment systems, the integration of the shipcloud service is faster and therefore more cost effective than connecting a single carrier. The shipcloud solution enables the automated generation and printing of shipping labels, automatic multi carrier tracking and a smart return solution for retailers and their customers."
ecommerceberlin,09/02/2022,2022,https://ecommerceberlin.com/about,DM,mindboxru,C5,,,,,,,,,,,
ecommerceberlin,09/02/2022,2022,https://ecommerceberlin.com/about,DM,tricoma,G2,,https://www.tricoma.de/,,,,,national,logistics | software | platform,,,"tricoma: Next Generation Business Solution - Mit unserer Software verkaufen Sie erfolgreich auf eBay, Amazon, real.de, Rakuten, hood und vielen weiteren Verkaufsplattformen. Durch die direkte Anbindung zu den Versandschnittstellen von DHL, DPD, Hermes, UPS, GLS, Dachser uvm. ist ein schneller Paketversand gewährleistet. Außerdem bieten wir ein leistungsstarkes Fulfillment aus eigenem Hause, geschulte Mitarbeiter und einen maßgeschneiderten Service."
