ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
ED Spaces,11/03/2021,2021,https://ed-spaces.com/,DM,"ModuForm, Inc.",1023,,http://www.moduform.com,,,,"Fitchburg, MA United States",United States,Library | Lounge | Residence Hall,,,Thanks for your interest in ModuForm and our seating options
ED Spaces,11/03/2021,2021,https://ed-spaces.com/,DM,Carpets for Kids Etc... Inc.,1215,,https://www.carpetsforkids.com/,,,,"Lake Oswego, OR United States",United States,Classroom | Preschool | Equipment/Furniture | Flooring - Carpet,,,"Carpets for Kids makes high quality, children's area rugs."
ED Spaces,11/03/2021,2021,https://ed-spaces.com/,DM,Brodart Co.,1324,,http://www.brodartfurniture.com,,,,"Williamsport, PA United States",United States,Shelving & Storage | Chairs | Library | Tables,,,Visit Brodart Co. in Booth 1324 for your furniture needs.
ED Spaces,11/03/2021,2021,https://ed-spaces.com/,DM,"Carpin Manufacturing, Inc.",1124,,http://www.carpin.com,,,,"Waterbury, CT United States",United States,Classroom | Desks | Office | Replacement Furniture,,,"Carpin is a leading manufacturer and distributor of metal stamped, plastic injection molded, and assembled parts, including casters, glides, and many other floor protection products for use in schools, universities, homes, commercial offices, hospitals, industrial applications, POS displays, and more. With a US-based manufacturing facility, Carpin offers custom design and product engineering services, rapid prototyping, and vertically integrated manufacturing and assembly operations to reliably deliver the highest quality parts at extremely competitive prices."
ED Spaces,11/03/2021,2021,https://ed-spaces.com/,DM,Christian School Products,852,,http://www.cspmag.com,,,,"Birmingham, AL United States",United States,Catalogs (printing & design) | Mailing List Rentals | Trade Magazines,,,Magazine devoted to product and services for school leaders.
ED Spaces,11/03/2021,2021,https://ed-spaces.com/,DM,Children's Museum of Pittsburgh,1057,,www.pittsburghkids.org,,,,"Pittsburgh, PA United States",United States,,,,
ED Spaces,11/03/2021,2021,https://ed-spaces.com/,DM,BenQ,2024,,http://www.benq.com,,,,"Plano, TX United States",United States,Distance Learning Equipment | Projectors | Screens | Signage:  Digital | Whiteboards | Emergency Communication Systems | Educational Technology,,,"The BenQ digital lifestyle brand stands for “Bringing Enjoyment and Quality to Life,” fusing ease of use with productivity and aesthetics with purpose-built engineering. BenQ is a world-leading human technology and professional solutions provider serving the enterprise, education, and entertainment markets. To realize this vision, the company focuses on the aspects that matter most to users, redefining traditional technology with innovative capabilities that increase efficiency, enhance learning, and amplify entertainment – all while ensuring a healthy, safe, and intuitive user experience. BenQ’s broad portfolio of professional installation solutions include digital, laser, and interactive projectors; premium flat panels; and interactive large-format displays that take visual enjoyment to new heights in corporate offices, classrooms and lecture halls, and home theaters. BenQ is the number-one-selling global projector brand. More information is available at"
ED Spaces,11/03/2021,2021,https://ed-spaces.com/,DM,"CFC Educational (Corilam Fabricating Co., Inc.)",1424,,https://www.cfceducational.com,,,,"Kernersville, NC United States",United States,Computer | Library | Science | Tables,,,Corilam welcomes both our current dealers and new prospects.
ED Spaces,11/03/2021,2021,https://ed-spaces.com/,DM,CERTWOOD Ltd,840,,http://www.storsystem.com,,,,"Steubenville, OH United States",United States,,,,
ED Spaces,11/03/2021,2021,https://ed-spaces.com/,DM,Bintiva LLC,2223,,http://bintiva.com/,,,,"Egg Harbor Township, NJ United States",United States,,,,
