ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Feria del mueble Yecla,10/22/2021,2021,https://en.feriayecla.com/,DM,2VM,F2b,,,proyectos@dosvecesmarketing.com,,,,,"MARKETING AGENCY (Strategy, digital marketing, web design, etc.)",,,"2VM is a marketing and design agency located in Murcia, which accompanies you choosing the marketing actions that your business really needs to achieve its objectives in an agile and simple way. Strategic marketing, digital, content marketing, offline, etc. "
Feria del mueble Yecla,10/22/2021,2021,https://en.feriayecla.com/,DM,JOSNIC SOFÁS S.L.,A10,,,info@sunseat.es,,,,,Upholstery (Manufacture and design),,,"JOSNIC SOFÁS S.L. is a company with extensive experience in the upholstered furniture sector that tries to improve itself every day to be able to offer a better product with higher quality, with many options to enjoy comfort and take advantage of spaces."
Feria del mueble Yecla,10/22/2021,2021,https://en.feriayecla.com/,DM,J. Calvo Sillería,C8,,,info@jcalvosilleria.com,,,,,"FURNITURE (Chairs, tables, stools, armchairs)",,,"J. Calvo Sillería  is a reference in the creation of customized furniture (chairs, stools, upholstered furniture, etc.). They open the doors to a plurality of styles and identity with a wide range of colors and designs. "
Feria del mueble Yecla,10/22/2021,2021,https://en.feriayecla.com/,DM,Mariano Farrugia,A9,,,info@mfarrugia.com,,,,,TEXTILES (leather) AND MECHANISMS,,,Mariano Farrugia is a manufacturer and distributor of leather for upholstery and decoration with a range of products from textiles to convertible mechanisms. 
Feria del mueble Yecla,10/22/2021,2021,https://en.feriayecla.com/,DM,Karibian Descanso,B7-C6,,,marketing@karibiandescanso.com,,,,,REST,,,Karibian Descanso  is a company dedicated to improving the rest of all people with a line of products where R+D+i and passion for work are 100% present. Its product range is focused on rest: mattresses and articulated beds. 
Feria del mueble Yecla,10/22/2021,2021,https://en.feriayecla.com/,DM,JSM El mundo del herraje,E15,,,jsm@elmundodelherraje.com,,,,,HARDWARE FOR FURNITURE AND UPHOLSTERY,,,"JSM El mundo del herraje  is a company specialized in hardware for furniture and upholstery (hinges, screws, wheels, etc.). They also create special pieces adapted to the needs of contract furniture. "
Feria del mueble Yecla,10/22/2021,2021,https://en.feriayecla.com/,DM,"Lino Barros & Ferreira, Lda",B13-C12,,,fredericodomingues@lbfmobiliario.com,,,,,FURNITURE,,,"Lino Barros & Ferreira, Lda  , since 1968, with a lot of commitment, persistence, innovation, many ideas, drawings, projects and ingenuity, builds piece by piece the furniture he places on the market. "
Feria del mueble Yecla,10/22/2021,2021,https://en.feriayecla.com/,DM,Koa-3 Muebles Tapizados,E10,,,+34 968 71 83 51,,,,,UPHOLSTERY,,,"Koa-3 Muebles Tapizados  produce muebles que combinan tradición, tecnología y diseño. Desarrollan soluciones ergonómicas para hogares, espacios públicos, instalaciones y oficinas, aplicando la máxima de crear productos que generen confianza en las personas que los utilizan. "
Feria del mueble Yecla,10/22/2021,2021,https://en.feriayecla.com/,DM,Mapay,F12b,,,info@mapayctm.com,,,,,Legs for sofas and couches,,,Mapay  focuses on the production of wooden frames for the upholstered furniture sector and on the manufacture of wooden legs for sofas and couches. It also manufactures handles and any wooden product for the rest. 
Feria del mueble Yecla,10/22/2021,2021,https://en.feriayecla.com/,DM,Mayor Tapizados,C3,,,info@mayortapizados.com,,,,,"UPHOLSTERY (Auxiliary furniture, sofas, sofa-beds, etc.)",,,"Mayor Tapizados  . was founded in 1985. Since then we have been evolving and adapting to the needs of a constantly changing market. We are leading manufacturers in the production of sofas and sofa-beds, with a wide variety of modular compositions and innovative models. "
