ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
For Garden,03/31/2022,2022,https://for-garden.cz/en/,DM,Aludřevo s.r.o.,19,Hala 1,www.aludrevo.cz,info@aludrevo.cz,+420/ 603 183 651,,"Pražská 1808, Dobříš, 263 01, Czech Republic",Czech Republic,6.2. - Garden constructions,,,"Sales of maintenance-free aluminum boards - facade cladding with precise wood imitation or one-color decor, ideal cladding for ventilated facades, gables, cornices and roof lining, etc. Zero maintenance, low weight, long life."
For Garden,03/31/2022,2022,https://for-garden.cz/en/,DM,Acoustic solution s.r.o.,87,Hala 1,www.dewit.cz,info@dewit.cz,+420/ 604 942 146,,"Čaková 73, 793 16, Czech Republic",Czech Republic,"6.10. - Garden tools, utensils and instruments",,,We offer wide range of DeWit forged garden tools made from quality steel.
For Garden,03/31/2022,2022,https://for-garden.cz/en/,DM,"ALERTE, spol. s r.o.",68,Hala 3,www.alerte.cz,praha@alerte.cz,+420/ 603 547 334,,"Šlikova 403/16, Praha 6, 169 00, Czech Republic",Czech Republic,2.2. - Security,,,
For Garden,03/31/2022,2022,https://for-garden.cz/en/,DM,ACOND a.s.,25,Hala 3,www.acond.cz,prodej@acond.cz,+420/ 382 521 159,,"Štěrboholská 1434/102a, Praha 10, 102 00, Czech Republic",Czech Republic,3.6.3. - Heat pumps,,,
For Garden,03/31/2022,2022,https://for-garden.cz/en/,DM,"Agrospoj, s.r.o.",43,Hala 1,www.agrospoj.eu,info@agrospoj.eu,+420/ 225 278 104,,"Letohradská 754/48, Praha 7, 170 00, Czech Republic",Czech Republic,,,,
For Garden,03/31/2022,2022,https://for-garden.cz/en/,DM,Acoustic solution s.r.o.,09,Hala 1,www.acousticsolution.cz,info@acousticsolution.cz,+420/ 739 498 793,,"Čaková 73, 793 16, Czech Republic",Czech Republic,1.3.6. - Insulation materials and products,,,"Distribution of acoustic materials - insulation, absorption systems and thermal insulations."
For Garden,03/31/2022,2022,https://for-garden.cz/en/,DM,3VKOVO s.r.o.,35,Hala 3,www.sulcinox.cz,kovo@sulcinox.cz,,,"Káranice 79, 503 66, Czech Republic",Czech Republic,,,,
For Garden,03/31/2022,2022,https://for-garden.cz/en/,DM,AGROP NOVA a.s.,9 A 23,Vstupní hala II,www.novatop-system.cz,novatop@agrop.cz,+420/ 582 319 235,,"Ptenský Dvorek 99, Ptení, 798 43, Czech Republic",Czech Republic,7. - FOR CITY,,,
For Garden,03/31/2022,2022,https://for-garden.cz/en/,DM,"4networks SK&CZ, s.r.o.",,,,,,,"Lamačská cesta 45, Bratislava, 841 03, Slovakia",Slovakia,,,,
For Garden,03/31/2022,2022,https://for-garden.cz/en/,DM,2VV s.r.o.,47,Hala 3,www.2vv.cz,barbora.peskova@2vv.cz,+420/ 727 913 494,,"Fáblovka 568, Pardubice VII, 533 09, Czech Republic",Czech Republic,"3.2. - Other heat sources | 3.2.4. - Hot-air units | 3.8. - Air handling, ventilation, air conditioning systems, central exhaust systems | 3.8.3. - Equipment for air inlet and exhaust | 3.8.9. - Use of waste heat, recuperation | 3.8.11. - Air distribution systems",,,"Renowned producer of air curtains, ventilation, heat recovery and heating units, including control systems. A wide range of other air handling products."
For Garden,03/31/2022,2022,https://for-garden.cz/en/,DM,Asociace bazénů a saun ČR - ABAS ČR,20,Hala 2,www.abascr.cz,info@abascr.cz,+420/ 272 655 561,,"Jabloňová 2992/8, Budova Polikliniky Zahradní Město, Praha 10, 106 00, Czech Republic",Czech Republic,,,,
For Garden,03/31/2022,2022,https://for-garden.cz/en/,DM,Architektonický klub s.r.o.,16,Hala 3,,,,,"Ondříčkova 321/22, Praha 3, 130 00, Czech Republic",Czech Republic,,,,
