ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,2have,8220,K,,,,,Støvring,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Burhens sp.zo o,9218,L,,,,,Przodkowo,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Blue Duck Command,5300,F,,,,,Struer,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Bloom K,5154,F,,,,,Herning,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Blomus GmbH,5176,F,,,,,Sundern,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Blomsterautomaten.dk,8112,K,,,,,Horsens,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,BeGin,4124,E,,,,,Tureby,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Barbara,8114,K,www.barbarashop.dk,,,,"Esbjerg V, Danmark",Danmark, | Kunstige blomster,,,Barbara sælger kunstige blomster og planter
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Bolcheværk,4132,E,,,,,Skødstrup,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Ørskov & Co. A/S,3170,D,,,,,Espergærde,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Én Gry & Sif,3230,D,,,,,Ringsted,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,ZoZozial Coffee Roasters ApS,4214,E,,,,,Svendborg,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Xocolatl,4350,E,,,,,Haderslev,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Würtz Design,8115,K,,,,,Bording,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Westphall Trading ApS,8160,K,,,,,Ringsted,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Westjysk Smag,4166,E,,,,,Skjern,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Wally and Whiz Aps,4112,E,,,,,Værløse,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,VUDEX d.o.o.,7232,J,,,,,Ljubljana,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Vondels B.V.,5030,F,,,,,CE Aalsmeer,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,VINDING et CO A/S,7238,J,,,,,Grindsted,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Vestjyske Delikatesser i/s,4210,E,,,,,Holstebro,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Vesterhavsmost Aps,4270,E,,,,,Ringkøbing,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Vejenlyst,5345,F,vejn.dk,,,,"Frørup, Danmark",Danmark, | Lampeskærme | Pendler |  | Design,Vejenlyst,Vejn,The luminous jellyfish is a cozy lamp that can be used anywhere. We believe a luminous gople is a dream vision that fascinates many people. The lamp creates a special atmosphere in the room it illuminates.
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Vejenlyst,5345,F,vejn.dk,,,,"Frørup, Danmark",Danmark, | Lampeskærme | Pendler |  | Design,Vejenlyst,Vejn,The luminous jellyfish is a cozy lamp that can be used anywhere. We believe a luminous gople is a dream vision that fascinates many people. The lamp creates a special atmosphere in the room it illuminates.
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Unique Furniture A/S,9240,L,,,,,Kolding,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Underflod ApS,5335,F,,,,,Odense C,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Uldkompagniet,6240,H,,,,,Brovst,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,U Go GrlZ I/S,5334,F,ugogrlz.com,,,,"København, Denmark",Denmark, | Bæredygtighed |  | Kunsthåndværk |  | Firmagaver |  | Butiksindretning |  | Design |  | Grafisk kunst | Plakater |  | Dekoration | Klistermærker |  | Barnedåb | Bryllup | Fastelavn | Halloween | Jul | Påske | Valentinsdag | Fødselsdag,,,"Handmade happy figurines, not bothered by rigid beauty standards ❤"
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,U Go GrlZ I/S,5334,F,ugogrlz.com,,,,"København, Denmark",Denmark, | Bæredygtighed |  | Kunsthåndværk |  | Firmagaver |  | Butiksindretning |  | Design |  | Grafisk kunst | Plakater |  | Dekoration | Klistermærker |  | Barnedåb | Bryllup | Fastelavn | Halloween | Jul | Påske | Valentinsdag | Fødselsdag,,,"Handmade happy figurines, not bothered by rigid beauty standards ❤"
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Trædition,5348,F,www.trædition.dk,,,,"Vanløse, Danmark",Danmark, | Borde | Designmøbler | Hylder | Opbevaring,,,Trædition er et nyt og frisk skud på stammen indenfor dansk møbeldesign.
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Trædition,5348,F,www.trædition.dk,,,,"Vanløse, Danmark",Danmark, | Borde | Designmøbler | Hylder | Opbevaring,,,Trædition er et nyt og frisk skud på stammen indenfor dansk møbeldesign.
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Trademark Living A/S,7138,J,https://www.trademarkliving.dk/,,,,"Skanderborg, Danmark",Danmark, | Toiletspande |  | Bæredygtighed | Genbrug |  | Bordlamper | Gulvlamper | Lampeskærme | Lyspærer | Pendler |  | Lysestager | Accessories | Urtepotteskjuler | Vaser |  | Firmagaver |  | Butiksindretning | Emballage |  | Puder |  | Krukker |  | Accessories | Glas | Skåle |  | Punge | Tasker | Toilettasker |  | Borde | Designmøbler | Hylder | Kommoder | Opbevaring | Reoler | Skænke | Skamler | Stole | Spiseborde | Lænestole | Vitrineskabe |  | Rådgivning,,,"Trademark Living is a Danish furniture and interior design company that, with a great love for recycling and sustainable materials, creates completely unique interior solutions for you and your business."
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Trademark Living A/S,7138,J,https://www.trademarkliving.dk/,,,,"Skanderborg, Danmark",Danmark, | Toiletspande |  | Bæredygtighed | Genbrug |  | Bordlamper | Gulvlamper | Lampeskærme | Lyspærer | Pendler |  | Lysestager | Accessories | Urtepotteskjuler | Vaser |  | Firmagaver |  | Butiksindretning | Emballage |  | Puder |  | Krukker |  | Accessories | Glas | Skåle |  | Punge | Tasker | Toilettasker |  | Borde | Designmøbler | Hylder | Kommoder | Opbevaring | Reoler | Skænke | Skamler | Stole | Spiseborde | Lænestole | Vitrineskabe |  | Rådgivning,,,"Trademark Living is a Danish furniture and interior design company that, with a great love for recycling and sustainable materials, creates completely unique interior solutions for you and your business."
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Top-Line A/S,9120,L,,,,,Møldrup,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,TINTOK,5190,F,,,,,Vejle,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Tim og Simonsen ApS,6262,H,www.timogsimonsen.dk,,,,"Vejle Øst, Danmark",Danmark, | Bælter | Sko | Tasker | Tøj,,,"Tim & Simonsen is a Danish brand designing for women since 2012. Quality footwear - sandals, sneakers and boots with great comfort and colors. Lasting leather bags and belts with a twist of joy. A wide range of basic öko-tex certified microfiber - tops, leggings and underwear in multiple, great colors."
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Tim og Simonsen ApS,6262,H,www.timogsimonsen.dk,,,,"Vejle Øst, Danmark",Danmark, | Bælter | Sko | Tasker | Tøj,,,"Tim & Simonsen is a Danish brand designing for women since 2012. Quality footwear - sandals, sneakers and boots with great comfort and colors. Lasting leather bags and belts with a twist of joy. A wide range of basic öko-tex certified microfiber - tops, leggings and underwear in multiple, great colors."
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Barbara,8114,K,www.barbarashop.dk,,,,"Esbjerg V, Danmark",Danmark, | Kunstige blomster,,,Barbara sælger kunstige blomster og planter
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Teministeriet,4162,E,,,,,Malmö,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,TE & KAFFE specialisten,4000,E,,,,,Karlslunde,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,The Mallows ApS,4128,E,,,,,Glostrup,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Søberg Møbler ApS,9024,L,,,,,Nyborg,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Sweetkynd Denmark,4166,E,www.sweetkynd.com,,,,"Brabrand, Danmark",Danmark, | Bæredygtighed |  | Firmagaver | Logotryk | Reklamegaver |  | Delikatesser | Økologiske fødevarer | Slik |  | Barnedåb | Bryllup | Jul | Påske | Valentinsdag | Fødselsdag,,,Sweetkynd Denmark ApS is a Danish company that offers luxury wine gums made with rosé wine. We use organic and natural ingredients in our products to create the best flavors and our mission is to offer high quality tasty organic sweets.
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Sweetkynd Denmark,4166,E,www.sweetkynd.com,,,,"Brabrand, Danmark",Danmark, | Bæredygtighed |  | Firmagaver | Logotryk | Reklamegaver |  | Delikatesser | Økologiske fødevarer | Slik |  | Barnedåb | Bryllup | Jul | Påske | Valentinsdag | Fødselsdag,,,Sweetkynd Denmark ApS is a Danish company that offers luxury wine gums made with rosé wine. We use organic and natural ingredients in our products to create the best flavors and our mission is to offer high quality tasty organic sweets.
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Sweetkitchen Engros,4255,E,,,,,Hornslet,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Svane Design A/S,9154,L,,,,,Blokhus,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Sufraco Savon de Marseille AB,5010,F,,,,,Åhus,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Stuff design of scandinavia,4238,E,,,,,Fredericia,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,StudioMakuko,5315,F,,,,,Berlin,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Strictly Design,9326,L,,,,,Randers NV,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Tarp Bryggeri,4010,E,,,,,Esbjerg N,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Stences ApS,5333,F,www.stences.dk,,,,"Holstebro, Danmark",Danmark, | Spejle |  | Keramik | Lysestager | Accessories | Urtepotteskjuler | Vaser |  | Design |  | Skåle,Stences ApS,,"A shared dream of creating something together as a family was in 2020 the starting shot for Stences. A family owned and operated business that bubbles and sizzles with creativity. Behind Stences are mother and daughter, Pia and Thea. Common is not only the middle name Christence, but also a drive and a passion to create."
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Stences ApS,5333,F,www.stences.dk,,,,"Holstebro, Danmark",Danmark, | Spejle |  | Keramik | Lysestager | Accessories | Urtepotteskjuler | Vaser |  | Design |  | Skåle,Stences ApS,,"A shared dream of creating something together as a family was in 2020 the starting shot for Stences. A family owned and operated business that bubbles and sizzles with creativity. Behind Stences are mother and daughter, Pia and Thea. Common is not only the middle name Christence, but also a drive and a passion to create."
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Stelton A/S,3226,D,www.stelton.dk,,,,"København K, Danmark",Danmark, | Bordlamper |  | Lysestager | Accessories | Vaser |  | Fastelavn |  | Bestik | Accessories | Udstyr | Glas | Køkkenartikler,RIG-TIG,RIG-TIG,"Stelton is a Scandinavian design company which has been a significant force within interior design since its establishment in 1960. We wish to continue the Scandinavian design heritage. Not by dwelling in history and tradition for the sake of it, but by using it as a source of inspiration and by refining and developing its unique strengths and ideals in collaboration with international architects and designers."
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,State of Art,6190,H,,,,,Ålborg SV,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Stacking Stories AB,5326,F,stackingstories.com/dk,,,,"Stockholm, Sweden",Sweden, | Accessories |  | Design |  | DIY | Papirvarer | Bøger og magasiner |  | Barnedåb,,,"Create an invaluable keepsake for you and your child. This is a memory book which stretches from pregnancy to those first days at school. Stylish and made to last a lifetime, it's the perfect centrepiece for your home now and for years to come."
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Stacking Stories AB,5326,F,stackingstories.com/dk,,,,"Stockholm, Sweden",Sweden, | Accessories |  | Design |  | DIY | Papirvarer | Bøger og magasiner |  | Barnedåb,,,"Create an invaluable keepsake for you and your child. This is a memory book which stretches from pregnancy to those first days at school. Stylish and made to last a lifetime, it's the perfect centrepiece for your home now and for years to come."
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Brafab AB,9150,L,,,,,Hishult,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Sprit & Co. ApS.,E4134,E,www.sprit-co.dk,,,,"Frederiksberg, Danmark",Danmark, | Firmagaver |  | Chokolade | Delikatesser | Drikkevarer | Økologiske fødevarer |  | Jul | Påske |  | Accessories | Glas,,,"Siden 2006 har vi hos Sprit & Co leveret spiritus til barer, cafeer, restauranter og forhandlere i hele landet. Vi har agenturet for en række stærke kvalitetsmærker, hvilket betyder, at det er os, som repræsenterer dem på det danske marked. Men derudover fungerer vi også som grossist, og vores lager ligger derfor inde med samtlige etablerede spiritusbrands samt glas og barudstyr, så vi kan dække et hvert behov fra vores kunder."
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Broste Copenhagen,5270,F,http://www.brostecopenhagen.com,,,,"Hvidovre, Danmark",Danmark, | Spejle | Vaskeklude | Vasketøjsopbevaring |  | Bordlamper | Gulvlamper | Havelamper | Lampeskærme | Pendler |  | Keramik | Kurvevarer | Lysestager | Stearinlys | Urtepotteskjuler | Vaser |  | Plaider | Puder | Tæpper og måtter |  | Haveartikler | Havedekoration | Krukker | Lanterner og fakler |  | Dekoration |  | Jul |  | Bestik | Dækkeservietter | Accessories | Duge | Glas | Karklude | Servietter | Skåle | Spisestel | Viskestykker |  | Borde | Hylder | Opbevaring | Polstermøbler | Reoler | Skamler | Stole | Spiseborde | Lænestole | Sofa | Udendørsmøbler |  | Duftlys og æteriske olier,Broste Copenhagen,Broste Copenhagen,"aims to add a sense of familiarity to the designs of tableware, furniture, decorations & more. The SS22 collection marks a fresh start, an appetite for a new season, a playful take on everyday essentials, summer house necessities, and those little quirky treats that turn your house into a home."
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Sprit & Co. ApS,4134,E,,,,,Frederiksberg C,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Spliid,6150,H,,,,,Hovedgård,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,spiritium.dk,4118,E,,,,,København V,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Spice by Spice,4154,E,,,,,Farsø,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Spunky Import,6208,H,,,,,Nørresundby,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Speedtsberg A/S,7166,J,https://www.speedtsberg.com/da,,,,"Brabrand, Danmark",Danmark, | Spejle |  | Bæredygtighed |  | Bordlamper | Gulvlamper |  | Keramik | Kunsthåndværk | Kunstige blomster | Kurvevarer | Lysestager | Accessories | Urtepotteskjuler | Vaser |  | Plaider | Puder | Tæpper og måtter |  | Malerier |  | Blomsterbinderi artikler | Haveartikler | Havedekoration | Havemøbler | Krukker | Lanterner og fakler |  | Dekoration |  | Barnedåb | Bryllup | Påske | Valentinsdag | Fødselsdag |  | Dækkeservietter | Accessories | Duge | Glas | Porcelæn og faience | Servietter |  | Smykker |  | Borde | Designmøbler | Hylder | Kommoder | Opbevaring | Reoler | Lænestole | Udendørsmøbler | Vitrineskabe,,,"Speedtsberg is characterized by minimalism and modern Scandinavian design, which consists of interior decor, textiles, furniture etc."
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Sprit & Co. ApS.,E4134,E,www.sprit-co.dk,,,,"Frederiksberg, Danmark",Danmark, | Firmagaver |  | Chokolade | Delikatesser | Drikkevarer | Økologiske fødevarer |  | Jul | Påske |  | Accessories | Glas,,,"Siden 2006 har vi hos Sprit & Co leveret spiritus til barer, cafeer, restauranter og forhandlere i hele landet. Vi har agenturet for en række stærke kvalitetsmærker, hvilket betyder, at det er os, som repræsenterer dem på det danske marked. Men derudover fungerer vi også som grossist, og vores lager ligger derfor inde med samtlige etablerede spiritusbrands samt glas og barudstyr, så vi kan dække et hvert behov fra vores kunder."
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,SoSchjelde,5332,F,,,,,Herning,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Snoremark,4160,E,www.snoremark.dk,,,,"Roskilde, Danmark",Danmark, | Drikkevarer |  | Glas |  | Smykker,Snoremark | Woodviking | Merkurius,,"Snoremark is a small local meadery located in the countryside north of the historic town of Roskilde, Denmark. The award winning handcrafted applemead is brewed from local honey, apples and herbs found in the nature around the old farm and along the shores of Roskilde Fjord."
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Snoremark,4160,E,www.snoremark.dk,,,,"Roskilde, Danmark",Danmark, | Drikkevarer |  | Glas |  | Smykker,Snoremark | Woodviking | Merkurius,,"Snoremark is a small local meadery located in the countryside north of the historic town of Roskilde, Denmark. The award winning handcrafted applemead is brewed from local honey, apples and herbs found in the nature around the old farm and along the shores of Roskilde Fjord."
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Smallrevolution,5330,F,,,,,København,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Speedtsberg A/S,7166,J,https://www.speedtsberg.com/da,,,,"Brabrand, Danmark",Danmark, | Spejle |  | Bæredygtighed |  | Bordlamper | Gulvlamper |  | Keramik | Kunsthåndværk | Kunstige blomster | Kurvevarer | Lysestager | Accessories | Urtepotteskjuler | Vaser |  | Plaider | Puder | Tæpper og måtter |  | Malerier |  | Blomsterbinderi artikler | Haveartikler | Havedekoration | Havemøbler | Krukker | Lanterner og fakler |  | Dekoration |  | Barnedåb | Bryllup | Påske | Valentinsdag | Fødselsdag |  | Dækkeservietter | Accessories | Duge | Glas | Porcelæn og faience | Servietter |  | Smykker |  | Borde | Designmøbler | Hylder | Kommoder | Opbevaring | Reoler | Lænestole | Udendørsmøbler | Vitrineskabe,,,"Speedtsberg is characterized by minimalism and modern Scandinavian design, which consists of interior decor, textiles, furniture etc."
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Skaven Danmark / Retro Møbler Galleri,9208,L,,,,,Tarm,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,skaev keramik,5329,F,,,,,Middelfart,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Sköna Ting,3190,D,,,,,Hägersten,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Silver Needle Bar,5331,F,www.silverneedlebar.com,,,,"Valby, Danmark",Danmark, | Bæredygtighed |  | Delikatesser | Drikkevarer | Økologiske fødevarer | Te |  | Barnedåb | Bryllup | Jul | Fødselsdag,Noveltea | Copenhagen Sparkling Tea | Silver Needle Bar,Noveltea | Sparkling Tea | No/Low Te cocktails,"Silver Needle Bar Is the first mobilebar in the world, to serve no to low alcoholic cocktails exclusively based on tea."
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Silver Needle Bar,5331,F,www.silverneedlebar.com,,,,"Valby, Danmark",Danmark, | Bæredygtighed |  | Delikatesser | Drikkevarer | Økologiske fødevarer | Te |  | Barnedåb | Bryllup | Jul | Fødselsdag,Noveltea | Copenhagen Sparkling Tea | Silver Needle Bar,Noveltea | Sparkling Tea | No/Low Te cocktails,"Silver Needle Bar Is the first mobilebar in the world, to serve no to low alcoholic cocktails exclusively based on tea."
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Sidinge Gårdbutik & Frugtplantage,4260,E,,,,,Vig,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Schack Agentur,6276,H,,,,,Herning,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Specktrum ApS,3350,D,,,,,Østbirk,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Scanseason A/S,6192,H,,,,,Næstved,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Scanlux Packaging,6020,H,,,,,Fredensborg,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Scape Spirits ApS,4224,E,,,,,Hørsholm,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,rêve vert,5310,F,,,,,Charlottenlund,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,RUCON.dk,5313,F,,,,,Hesselager,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Samsø Bær,4266,E,,,,,Samsø,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Rosenbuen v/Finn Nygaard,8012,K,,,,,Egtved,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Rezas Oriental & Modern Rugs,9336,L,https://rezasrugs.com/,,,,"Odense, Danmark",Danmark, | Accessories |  | Design |  | Tæpper og måtter |  | Spiseborde | Lænestole | Sofa,,,"Rezas Oriental & Modern Rugs was founded in 1991 and is based in Odense, Denmark. Rezas is Northern Europe's largest wholesaler of handmade oriental rugs. Besides oriental rugs we also have a large attractive assortment of high-quality modern rugs."
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,RUCON.dk,5316,F,,,,,Hesselager,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Replant Art,5319,F,,,,,Lunderskov,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Remalux B.V.,7386,J,,,,,WR Purmerend,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Relove and Roses,3126,D,,,,,Århus C,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Relaxound GmbH,6102,H,,,,,Berlin,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,ReCollector,5090,F,,,,,Risskov,,,,,
Formland - January,03/02/2022,2022,https://www.formland.com/,DM,Rebekka Brogaard,6280,H,,,,,Kolding,,,,,
