ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
FORMEX,01/18/2022,2022,https://www.formex.se/,DM,Blomberg & Stenström AB,,,www.blombergstenstromhome.se,mikael@blombergstenstrom.se,0734 280 776,,"Illerbacken 2 0 tr, 181 45, Lidingö",Sverige,,,,
FORMEX,01/18/2022,2022,https://www.formex.se/,DM,Bergs Potter ApS,,,www.bergspotter.com,gb@bergspotter.com,+45 31 37 99 79,,"Holger Danskes Vej 17, st.th., 2000, FREDERIKSBERG",Danmark,,,,
FORMEX,01/18/2022,2022,https://www.formex.se/,DM,BLL Lager & Logistik AB,,,www.bll.nu,andreas@bll.nu,0708326686,,"Elestorpsvägen 135, 26991, Båstad",Sverige,Miscellaneous,,,
FORMEX,01/18/2022,2022,https://www.formex.se/,DM,Bergerlinds Förlag,,,www.bergerlind.se,jan@bergerlind.se,+46 736 187356,,"Granhällsvägen 7, 511 68, Hyssna",Sverige,,,,
FORMEX,01/18/2022,2022,https://www.formex.se/,DM,Bengt & Lotta AB,,,www.bengt-lotta.se,bengt@bengt-lotta.se,+46 8 660 65 15,,"Holländargatan 40, 113 59, Stockholm",Sverige,,,,
FORMEX,01/18/2022,2022,https://www.formex.se/,DM,Beckmans Designhögskola,,,www.beckmans.se,info@beckmans.se,+46 8 660 20 20,,"Brahegatan 10, 114 37, Stockholm",Sverige,,,,
FORMEX,01/18/2022,2022,https://www.formex.se/,DM,Beriksson AB,,,beriksson.se,info@beriksson.se,+46 520 820 07,,"Montörvägen 2, 461 37, Trollhättan",Sverige,,,,
FORMEX,01/18/2022,2022,https://www.formex.se/,DM,BERGO Lampskärmar,,,www.bergo.se,info@bergo.se,016-351206,,"Hällby Storsved 2, 635 10, Eskilstuna",Sverige,Soft Furnishibgs | Interior,,BERGO Home - Sverige | BERGO Lampskärmar - Sverige,
FORMEX,01/18/2022,2022,https://www.formex.se/,DM,BaooBaoo Leather Production AB,,,,info@baobaoo.se,070-9692504,,"Fredsgatan 25, 331 52, Värnamo",Sverige,,,,
FORMEX,01/18/2022,2022,https://www.formex.se/,DM,Ballongkungen.com,,,www.ballongkungen.com,info@ballongkungen.com,+46 60 66 40 00,,"Tegelvägen 3B, 853 50, Sundsvall",Sverige,,,,
FORMEX,01/18/2022,2022,https://www.formex.se/,DM,Bargi AB,,,www.bargi.se,fg@bargi.se,+46 40 53 55 00,,"Limvägen 3, 232 37, Arlöv",Sverige,,,,
