ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Furniture Manufacturers,02/01/2022,2022,https://www.bfm.org.uk/directory/furniture-manufacturers/,DM,Alma1938,,,http://alma1938.com/,sales@almahome.co.uk,020 7377 0762,,"12 - 14 Greatorex Street, Whitechapel, London, E1 5NF",,"Bedroom furniture | Bespoke furniture | Cabinets, storage and shelving | Dining seating and stools | Dining tables | Home entertainment | Home office | Occasional",,,"Since 1938, ALMA has been an inspirational and knowledgeable supplier of leather"
Furniture Manufacturers,02/01/2022,2022,https://www.bfm.org.uk/directory/furniture-manufacturers/,DM,Artistic Upholstery Limited,,,http://www.artisticupholstery.co.uk,sales@artisticupholstery.co.uk,0115 973 4481,,"Bridge Street, Long Eaton, Nottingham, NG10 4QQ",,Beds and mattresses | Bespoke furniture | Home office | Sofas and armchairs,,,Designers and Makers of Bespoke Furniture since 1952
Furniture Manufacturers,02/01/2022,2022,https://www.bfm.org.uk/directory/furniture-manufacturers/,DM,Alstons (Upholstery) Ltd,,,http://www.alstons.co.uk,info@alstons.co.uk,01206 765343,,"Albro Works, Gosbecks Road, Colchester, Essex, CO2 9JU",,Sofabeds | Sofas and armchairs,,,Beautiful Upholstery for over 60 years
Furniture Manufacturers,02/01/2022,2022,https://www.bfm.org.uk/directory/furniture-manufacturers/,DM,Ashley Manor Upholstery Ltd,,,http://www.ashleymanor.co.uk,info@ashleymanor.co.uk,01384 486 800,,"Unit 1 Woodside Ind. Estate, Pedmore Road, Dudley, West Midlands, DY2 0RL",,Sofas and armchairs,,,Making the present as meaningful as the past
Furniture Manufacturers,02/01/2022,2022,https://www.bfm.org.uk/directory/furniture-manufacturers/,DM,Alan Cooper Cabinetmaker Ltd,,,https://alancoopercabinetmaker.uk/,alan@ac-c.co.uk,7550002345,,"73 St. Annes Road, Aylesbury, Buckinghamshire, HP19 7RB",,"Bedroom furniture | Bespoke furniture | Cabinets, storage and shelving | Dining tables | Home entertainment | Home office | Kitchens | Occasional",,,Bespoke Fitted and Free-Standing Furniture
Furniture Manufacturers,02/01/2022,2022,https://www.bfm.org.uk/directory/furniture-manufacturers/,DM,Alpha Designs Upholstery Limited,,,,sales@alpha-designs.co.uk,01902 492937,,"Unit 1 Stag Industrial Estate, Oxford Street, Bilston, West Midlands, WV14 7HZ",,Sofas and armchairs,,,Alpha Designs Upholstery creates unique classic and contemporary sofas and chairs for residential and commercial use
Furniture Manufacturers,02/01/2022,2022,https://www.bfm.org.uk/directory/furniture-manufacturers/,DM,Airsprung Beds Ltd,,,http://www.airsprungbeds.co.uk/,sales@airsprungbeds.co.uk,01225 754 411,,"Canal Road, Trowbridge, Wiltshire, BA14 8RQ",,Beds and mattresses,,,Airsprung Beds has been manufacturing beds in Wiltshire for over 140 years
Furniture Manufacturers,02/01/2022,2022,https://www.bfm.org.uk/directory/furniture-manufacturers/,DM,Andrena Furniture Ltd,,,http://www.andrena.co.uk,enquiries@andrena.co.uk,01992 451 722,,"Geddings Road, Hoddesdon, Hertfordshire, EN11 0NT",,"Bespoke furniture | Cabinets, storage and shelving | Dining seating and stools | Dining tables | Home entertainment",,,Andrena Furniture Ltd is a family owned and managed company which began making Oak furniture over 30 years ago
Furniture Manufacturers,02/01/2022,2022,https://www.bfm.org.uk/directory/furniture-manufacturers/,DM,Adjustamatic Beds Limited,,,https://www.adjustablebeds.co.uk/,info@adjustablebeds.co.uk,0808 159 7283,,"1st Floor, The Pinnacle, Central Court,, Station Way, Crawley, RH10 1JH",,Beds and mattresses | Rise/ recliners | Sofas and armchairs,,,Beds and chairs tailor-made for your comfort
Furniture Manufacturers,02/01/2022,2022,https://www.bfm.org.uk/directory/furniture-manufacturers/,DM,A&G Furniture Ltd,,,,furniture104@protonmail.com,01255 762104,,"104 Old Road, Clacton-on-Sea, Essex, CO15 3AA",,,,,"We sell brand new and pre-owned furniture, Deep Sleep Beds & mattresses, sofas, white appliances, wall art, tables, chairs and curtain poles."
Furniture Manufacturers,02/01/2022,2022,https://www.bfm.org.uk/directory/furniture-manufacturers/,DM,Browns of West Wycombe,,,http://www.brownsofwestwycombe.com,enquiries@brownsofwestwycombe.com,01494 524 537,,"Church Lane, West Wycombe, Buckinghamshire, HP14 3AH",,"Bedroom furniture | Bespoke furniture | Cabinets, storage and shelving | Dining seating and stools | Dining tables | Home entertainment | Home office | Occasional | Sofas and armchairs",,,Contemporary and traditional furniture
