exhibitor_name,booth_number,exhibitor_url,category,address,description,website,instagram,facebook,twitter,linkedin
Wright Global Graphics,1600,https://www.furnituremanufacturingexpo.com/exhibitors/wright-global-graphics,,"Thomasville, NC, United States",,,,,,
ZUND,1305,https://www.furnituremanufacturingexpo.com/exhibitors/zund,Cutting & Sewing Equipment | Cutting & Tools For Foam,"Oak Creek, WI, United States","Zünd offers automated single-/dual-beam cutting solutions complete with nesting, capture, and pattern-matching systems for efficient processing of upholstered furniture materials including leather, textile, foam, and chipboard. Unmatched in versatility and productivity, Zünd cutting systems also excel in low cost of ownership.",http://www.zund.com,https://www.instagram.com/zundcutter_ch/,https://www.facebook.com/ZundAmericaInc/,https://twitter.com/zundamerica1?lang=en,https://www.linkedin.com/company/zund-america-inc/
The Manufacturing Solutions Center at CVCC,1021,https://www.furnituremanufacturingexpo.com/exhibitors/the-manufacturing-solutions-center-at-cvcc,,"Conover, NC, United States",,http://www.manufacturingsolutionscenter.org,,,,
Warm Industrial Nonwovens,1328,https://www.furnituremanufacturingexpo.com/exhibitors/warm-industrial-nonwovens,,"Lynnwood, WA, United States",,,,,,
TexTempo Shop Floor Controls and Incentive Payroll,1716,https://www.furnituremanufacturingexpo.com/exhibitors/textempo-shop-floor-controls-and-incentive-payroll,Computer Software / Information Technology,"Atlanta, GA, United States","Textempo helps furniture manufacturers optimize production and product development by providing high value software solutions to reduce labor costs, improve throughput and shorten delivery times. Our mission focuses on Real Time visualization and transparency of factory floor processes to insure SKU profitability while avoiding mistakes and seizing opportunities. ",http://www.textempo.com,,,,https://www.linkedin.com/company/textempo
Trotters Sewing Company,1522,https://www.furnituremanufacturingexpo.com/exhibitors/trotters-sewing-company,Contract Manufacturing,"Asheboro, NC, United States","Trotters Sewing Company is a family-owned and operated contract cut and sew business in Asheboro, NC.",http://www.trotterssewing.com,https://www.instagram.com/trotterssewing/,https://www.facebook.com/search/top?q=trotters%20sewing%20company,,https://www.linkedin.com/in/todd-trotter-12aab740/
USI Insurance Services: Employee Benefits/Property+Casualty,1230,https://www.furnituremanufacturingexpo.com/exhibitors/usi-insurance-services-employee-benefits/propertycasualty,Financial Management,"Charlotte, NC, United States","USI Insurance Services is one of the largest privately held insurance brokerage and consulting firms in the US, delivering solutions in Employee Benefits, Property and Casualty and Retirement.   Utilizing our innovative and proprietary OMNI analytics platform, we deliver customized results with positive bottom-line impact for our clients. ",https://www.usi.com/,,,,https://www.linkedin.com/company/usi-insurance-services/mycompany/
The Fox Company,1110,https://www.furnituremanufacturingexpo.com/exhibitors/the-fox-company,Adhesives / Finishes / Paints | Cutting & Sewing Equipment | Cutting & Tools For Foam | Distributors | Furniture Manufacturing Machinery | Research & Development | Supplies,"Charlotte, NC, United States","The Fox Company, based in Charlotte, North Carolina, has been specializing in machinery for the sewn-products industry and allied industries since our founding in 1932.",http://www.thefoxcompany.com,,https://www.facebook.com/TheFoxCompanyCharlotte,,
Wipelli Inc.,1423,https://www.furnituremanufacturingexpo.com/exhibitors/wipelli-inc,Fabrics / Upholstery,"Rhodhiss, NC, United States","Wipelli offers high-quality anilines, contract/hospitality, and aftermarket automotive leathers from Europe and South America.  With a modern onsite testing laboratory, an extensive Hair-on-Hide inventory with a user-friendly web selection platform, 400+ in-stock leather SKU’s, and an industry leading customer service team; Wipelli is set to change your leather buying experience.",http://www.wipelliusa.com,http://www.instagram.com/wipellileatherusa,http://www.facebook.com/WipelliUSA,,
Sunny Sewing Machines,1703,https://www.furnituremanufacturingexpo.com/exhibitors/sunny-sewing-machines,,"Dallas, TX, United States",,,,,,
Synthetic Yarn and Fabric Association,1013,https://www.furnituremanufacturingexpo.com/exhibitors/synthetic-yarn-and-fabric-association,,"Lyman  29365, SC, United States",,http://www.thesyfa.org,,,,
Brown Wood Inc.,1012,https://www.furnituremanufacturingexpo.com/exhibitors/brown-wood-inc,Contract Manufacturing | Hardware & Components | Wood / Wood Products,"Lincolnwood, IL, United States","Brown Wood Inc. is a full service wood component supplier for furniture, display and cabinetry. ",http://www.brownwoodinc.com,https://www.instagram.com/dodbybrownwood/,https://www.facebook.com/DODbyBrownwood/,https://twitter.com/dodbybrownwood,https://www.linkedin.com/company/designsofdistinction
Axiom America LLC,1217,https://www.furnituremanufacturingexpo.com/exhibitors/axiom-america-llc,Computer Software / Information Technology | Cutting & Sewing Equipment | Fabrics / Upholstery,"High Point, NC, United States",,,,,,
Bill's Sewing + Juki America,1211,https://www.furnituremanufacturingexpo.com/exhibitors/bills-sewing-juki-america,Cutting & Sewing Equipment | Supplies | Yarns / Threads,"Hildebran, NC, United States",,,,,,
BeA Fasteners USA,1204,https://www.furnituremanufacturingexpo.com/exhibitors/bea-fasteners-usa,Furniture Manufacturing Machinery | Supplies,"Greensboro, NC, United States",We at BeA are proud to be provide furniture makers with the right tool for the job - your MoneyMaker,http://www.beafastenersusa.com,http://www.instagram.com/beafastenersusa,http://www.facebook.com/beafastenersusa,,
Barber Manufacturing,1419,https://www.furnituremanufacturingexpo.com/exhibitors/barber-manufacturing,,"Anderson, IN, United States",,,,,,
Starline,1225,https://www.furnituremanufacturingexpo.com/exhibitors/starline,,"Canonsburg, PA, United States",,,,,,
