ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Furniture Manufacturing Expo,07/20/2021,2021,https://www.furnituremanufacturingexpo.com/,DM,Automated Solutions,1711,,,,,,"Lincolnton, NC, United States",,,,,
Furniture Manufacturing Expo,07/20/2021,2021,https://www.furnituremanufacturingexpo.com/,DM,Atlanta Attachment Company,1315,,https://www.atlatt.com,,,,"Lawrenceville, Georgia, United States",,Adhesives / Finishes / Paints | Computer Software / Information Technology | Cutting & Sewing Equipment | Research & Development,,,
Furniture Manufacturing Expo,07/20/2021,2021,https://www.furnituremanufacturingexpo.com/,DM,Kuris USA,1411,,http://www.kurisusa.com,,,,"Blountville, TN, United States",,Cutting & Sewing Equipment | Cutting & Tools For Foam | Distributors | Fabrics / Upholstery | Fibers | Findings / Trims | Foam | Furniture / Bedding Mechanisms | Furniture Manufacturing Machinery | Hardware & Components | Labels | Nonwovens | Packaging | Quilting Machinery | Racking Systems | Research & Development | Supplies | Testing Equipment,,,
Furniture Manufacturing Expo,07/20/2021,2021,https://www.furnituremanufacturingexpo.com/,DM,LINC Systems,1316,,http://www.lincsystems.com,,,,"Westfield, IN, United States",,Distributors | Hardware & Components | Labels | Packaging | Racking Systems | Supplies,,, 
Furniture Manufacturing Expo,07/20/2021,2021,https://www.furnituremanufacturingexpo.com/,DM,Lectra,1714,,https://www.lectra.com/,,,,"Smyrna, GA, United States",,Furniture Manufacturing Machinery,,,"With over 50 years of industry experience, Lectra offers intelligent and connected solutions that set new standards in the automated cutting of fabric and leather. These fully integrated solutions enable a variety of production models while focusing on innovation to support our customers' transformation into the digital age. "
Furniture Manufacturing Expo,07/20/2021,2021,https://www.furnituremanufacturingexpo.com/,DM,"Accu-Router, Inc",1011,,http://www.accu-router.com,,,,"Morrison, TN, United States",,,,,
Furniture Manufacturing Expo,07/20/2021,2021,https://www.furnituremanufacturingexpo.com/,DM,Amann-USA,1704,,https://www.amannusa.com/,,,,"Broomfield, CO, United States",,Supplies | Yarns / Threads,,,"Since 1854, AMANN Group has been one of the leading international manufacturers of high-quality sewing threads, embroidery threads and Smart Yarns.  For decades, AMANN USA has been serving the North American market - offering a great level of support and expertise not found elsewhere."
Furniture Manufacturing Expo,07/20/2021,2021,https://www.furnituremanufacturingexpo.com/,DM,Mocean First | Bartimaeus by Design,1505,,http://www.moceanfirst.com,,,,"Thomasville, NC, United States",,Contract Manufacturing | Distributors | Furniture / Bedding Mechanisms | Hardware & Components | Research & Development | Supplies,,,
Furniture Manufacturing Expo,07/20/2021,2021,https://www.furnituremanufacturingexpo.com/,DM,Assembly Tool Specialists,1019,,http://www.assytool.com,,,,"Twinsburg, OH, United States",,Hardware & Components | Supplies,,,"Assembly Tool Specialists, Inc. designs and manufacturers high-quality, unique tools that prevent damage to products and operator injury on the assembly line."
Furniture Manufacturing Expo,07/20/2021,2021,https://www.furnituremanufacturingexpo.com/,DM,Lee's Decorative Showcase | DADS Nails,1501,,http://www.leesdec.com,,,,"Hickory, NC, United States",,Distributors | Furniture / Bedding Mechanisms | Hardware & Components | Supplies | Yarns / Threads,,,"Wholesale supplier of decorative furniture nails, wood, acrylic and metal legs, pillow forms, trim and gimp, and many supplies for upholstery."
