ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,ABitQuackers,355,,http://www.abitquackers.com,,,,,,,,,"ABitQuackers are wholesaler suppliers of a wide range of mainly animal themed ornaments to garden centres, gift shops, nurseries, farm shops and other outlets throughout the UK."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,AC Jade Trading Ltd,725,,http://www.signaretapestry.com,,,,,,,,,"Signare is a vibrant British lifestyle brand. We design, manufacture and distribute stylish fashion handbags and home furnishings featuring distinctly individual patterns. The value of the brand is in the creation of Signare design artworks."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Alpha Toys Ltd,122,,http://www.alpha-toys.co.uk,,,,,,,,,Alpha Toys Ltd are the exclusive UK and Ireland  distributor of the German die-cast brand Siku. The company has been manufacturing this brand for over 50 years and can be found in 60 countries around the world.
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Amber Hall Jewellery,625,,http://www.amberhall.com,,,,,,,,,"Amber Hall are amber specialists offering silver and amber set jewellery alongside plain silver designs, on top of this there are children's amber necklaces and anklets. We also sell amber gifts such as small trees, boats and carved animals."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Ambiente Europe B.V,525,,http://www.ambiente.eu,,,,,,,,,"Manufacturer of printed paper napkins and  coordinating table products including  candles, napkin holders and  porcelain mugs.
New in our collection for 2020 glass water bottles,shopping bags,cosmetic purses,
Special offers available."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Angel Bones,707,,http://www.angelbones.co.uk,,,,,,,,,
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Atmosphere Publishing Ltd,129,,http://www.atmosphere.co.uk,,,,,,,,,"Publisher of top-quality, eco-friendly West Country postcards, greetings cards and best-selling photographic souvenirs. Supplying retailers and bespoke customers with a wide range of products featuring our own images or customer supplied images/artwork in small minimum quantities."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Aurora World Ltd,102,,http://www.auroraworld.co.uk,,,,,,,,,"Aurora World, a global leader of top-quality plush toys. We are renowned for our expertise in manufacturing with our wholly owned fully compliant factories.  We have an extensive range of plush toys ranging from life-like animals to fashion sparkly items."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Babbacombe Pottery Collection / BLP,208,,http://www.babbacombepottery.co.uk,,,,,,,,,"Devon Violet Perfume made in Torquay for 99 Years by LOWNDS-PATEMAN, Hand decorated LOCAL VIEW THIMBLES,  Handmade & Hand painted  ENGLISH CERAMICS made in  TORQUAY - BIRDS & ANIMALS"
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Baileys Pewter,851,,http://,,,,,,,,,"Handcrafted in Cornwall using finest quality leadfree English pewter. Our jewellery and gift-ware includes piskies, tinmines, animals, pasties, celtic crosses, fantasy figures, celtic and animal brooches, pendants, charms, bracelets, earrings, cuff links, keyrings, bookmarks, scarf rings and angel and shell ranges."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Batik Indah,119,,http://www.batikindah.co.uk,,,,,,,,,Ethically sourced giftware and accessories from Indonesia. Batik Indah are based in Cornwall and have been trading for 26 years. We operate a van sales service and would love to see you on our  stand to show you our range.
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Baytree Candies,241,,http://www.baytreecandies.co.uk,,,,,,,,,"Baytree Candies is a small family run business as established manufacturers of quality confectionery since 1967. They supply confectioneries of fudge, honeycomb, nut brittle, nougat and chocolates to independent businesses across the West Country and beyond."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Beach Art Glass,650,,http://www.beachartglass.com,,,,,,,,,"Handmade glass and silver jewellery, inspired by the sea."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Berserks Glass Works,740,,http://www.berserks.co.uk,,,,,,,,,"Berserks Glass are showcasing their vibrant contemporary range of fused glass home accessories and gift-ware. Designed/handcrafted in-house from their Devon workshop, a complete collection, perfect for coastal or country interiors. New designs launching Giving and Living 2020."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Betty Hula,643,,http://www.bettyhula.co.uk,,,,,,,,,"Natural / vegan friendly / Hawaiian inspired skincare / perfect gifts /  made in Britain. An award-winning range.  Great wooden unit starter sets. Eye-catching on shelf, great price points, no minimum order."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Billy Belt,508,,http://www.billybelt.com,,,,,,,,,Trendy men's accessories and luggage from brothers Quentin and Jean Baptiste Gaveau from Lille in France.
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Black Dog,746,,http://www.blackdogtiles.com,,,,,,,,,We design an innovative range of decorative relief wall plaques. Our intricate range of terracotta tiles are handmade in Bath. Designs are based on historical and traditional sources and make ideal gifts. Why not try our products in your outlet?
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Bluelily925silver,616,,http://www.bluelily925silver.com,,,,,,,,,"We pride ourselves with a simple compact range of 925 sterling silver, boxed and ready to sell. With a low minimum carriage paid order, it makes sense just to try our lovely range of studs,earrings and pendants."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Boyce & Company Packaging Ltd,720,,http://www.boycepackaging.co.uk,,,,,,,,,Suppliers of environmentally friendly printed packaging. Paper bags/paper carriers with tape/twisted/rope handles. Natural jute/cotton carriers. Compostable/biodegradable vest/flat carriers & a full range of other packaging materials printed & plain.
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Bramble Foods Ltd,821,,http://www.bramblefoods.com,,,,,,,,,"Producer and distributor of fine foods and confectionery. Supplying to gift shops, tourist attractions, garden centres, farm shops & independent retailers."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Brett & Leni Handrafted Jewellery,848,,http://www.brettandleni.com,,,,,,,,,"Small family run business - all items handmade in Cornwall.  Prices start from £6, no miminum order,  freepost for orders over £300 and 10% for orders placed at the show."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,British Fossils,539,,http://www.britishfossils.co.uk,,,,,,,,,The UK's leading rock and mineral wholesaler to the gift trade.
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Broadlands Pottery,649,,http://www.broadlandspottery.co.uk,,,,,,,,,"Broadlands Pottery is a handmade ceramic gift company based in Gloucestershire, with our small dedicated team we create gifts that you and your customers will love. We like working with small independent shops on ranges that we know sell."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Business Mentors South West,814,,http://www.businessmentorssouthwest.co.uk,,,,,,,,,Providers of volunteer business mentoring services across the South West for smaller developing businesses across all sectors.
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Cap Marine,508,,http://www.jeromepugh.com,,,,,,,,,"Ribbed fleeces and sweats from this highly successful French brand, first full season in the UK."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Casa Grande Ltd,724,,http://www.casagrande.co.uk,,,,,,,,,Suppliers of quality impulse gifts on spinners for 30 years. Recommended retail prices start at only £1.50. Importer of Nostalgic Art and Wikholm.
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Catherine Kleeli Cards,749,,http://www.catherinekleeli.co.uk,,,,,,,,,"Catherine Kleeli Cards publishes craftily collaged, beautifully designed blank greetings cards. Being proudly designed and printed in the UK onto a superior board makes this a range that stands out amongst the plethora of animal cards on the market."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Celtic and Welsh Jewellery,618,,http://www.celticandwelshjewellery.co.uk,,,,,,,,,"A comprehensive range of silver and pewter jewellery in assorted collections. Celtic music,crosses and contemporary designs. These include sterling silver with a rose gold finish, abalone and marcasite. Complete with box and chain. Price from £3 to £30."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,CGB Giftware,824,,http://www.cgbgiftware.co.uk,,,,,,,,,"Established in 1967 CGB, a family-run business based in Bude North, Cornwall, has been serving the gift trade for over 50 years."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Charles Taylor Trading Ltd,550,,http://www.charlestaylortrading.com,,,,,,,,,"All our garden furniture is delivered ready assembled. No tools required! All our furniture is also handcrafted in the UK, using only quality timber from sustainable sources."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Chris Cayne Menswear,620,,http://www.chriscayne.com/,,,,,,,,,"Chris Cayne is for the man who loves to wear casual clothes with an appeal of class. A style where sportiness, elegance and quality go hand in hand. The Chris Cayne man is always perfectly dressed for any occasion. Chris Cayne colours your day!"
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Clarence & Bean Ltd,345,,http://www.clarenceandbean.co.uk,,,,,,,,,"Your number 1 choice for holiday confectionery. Whether it is quality fudge handmade in the West Country or traditional postcard fudge and shortbread boxes through to rock & novelties, we deliver the finest quality, with excellent service at unbeatable value."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Cloverzone,644,,http://www.cloverzone.co.uk,,,,,,,,,"CloverZone make beautiful pewter giftware and jewellery, which is designed by us and handcrafted in Shropshire.  The range includes brooches, pins, key rings and earrings. They come in a variety of finishes, often inspired by nature or have Celtic roots."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Coastal Accessories,320,,http://www.coastaluk.com,,,,,,,,,"The definitive guide to Coastal UK's  latest products, offering an even greater choice than ever before."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Cornish Bird in the Sticks,844,,http://www.cornishbirdinthesticks.co.uk,,,,,,,,,"Digital artwork by Cornwall based artist, Kate Pearson, available as cards, prints, gifts and homewares.  Bright, happy designs for all occasions."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Cornish Magpie,850,,http://www.cornishmagpie.co.uk,,,,,,,,,Cornish Magpie - contemporary gifts and homewares influenced by the coast and landscape of the South West.
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Delight Imports Ltd,610,,http://,,,,,,,,,"We deal in some of the finest and luxurious handcrafted decorations that can be used for various occasions - Christmas, Easter & Valentine's Day. We have a souvenirs range and make customised designs as per customer's choice of designs, colours and work type."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Dolphin Minerals,721,,http://www.dolphinminerals.com,,,,,,,,,"Exquisite natural gemstone & Siberian jewellery, all set in 925 sterling silver."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Dorrigo,347,,http://www.dorrigo.co.uk,,,,,,,,,"Dorrigo are the new owners of the famous Salmon Favourite Recipe Books series. A collection of over 85 retro, nostalgic and local titles at really affordable prices. We also publish the popular dinky map range – designed just for you!"
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Dunoon,304,,http://www.dunoonmugs.co.uk,,,,,,,,,"Dunoon - Fine Bone China. Made in England. Lots of new beautiful designs for 2020 and our new 'Braemar' shape fine bone china mug.
New coastal designs.  All our mugs are made from West Country clay."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Eggnogg Colour-in,209,,http://www.eggnogg.co.uk,,,,,,,,,"Fun-filled colouring-in craft activities for all ages and all occasions.  Designed in Bristol and printed locally, Eggnogg’s award-winning colour-in tablecloths, posters, card books and pillowcases combine competitive pricing with quality materials and innovative, quirky design."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Elgate Products Ltd,520,,http://www.elgate.co.uk,,,,,,,,,"Designers and importers of a wide range of new souvenirs collections, including Devon and Cornwall and Wales, and seasonal and garden gifts."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Elran Ltd,731,,http://www.avivsilver.co.uk,,,,,,,,,"The perfect gift for any occasion or just a treat for yourself, Aviv’s beautiful collection of handmade 925 silver jewellery’s range is extensive and includes; pendants, earrings, bracelets, anklets, rings and watches set with blue Opals and semi-precious stones."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Emagination Store,404,,http://www.emaginationstore.com,,,,,,,,,"Commercialise your product through personalisation, or retailers fine the next bestseller (wholesale / online). Exhibiting Cadbury, Toblerone and Warner Bros – come and see us!"
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Emmeline Simpson,654,,http://www.emmelinesimpson.co.uk,,,,,,,,,Emmeline Simpson is a designer creating homewares and gifts celebrating cities and landscapes of the UK.  All her products are made in the UK. She specialises in creating bespoke artwork ranges of your visitor attraction or location.
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,EYELEVEL SUNGLASSES,220,,http://www.eyelevel-uk.com,,,,,,,,,EYELEVEL Sunglasses have been a leading supplier of sunglasses and reading glasses for over 20 years. We will be showing our latest collections of sunglasses and reading glasses offering quality and style at unbeatable prices. Display stands available!
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,F&J Collection,318,,http://www.fjcollection.co.uk,,,,,,,,,"F&J Collection are an established scarf and accessories wholesaler based in Cornwall.
Our brands are:  Hazel&Pip - Original designs, Poppy Accessories - fast selling favourites, Lucky Pair - fun socks."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Farrah's of Harrogate Ltd,536,,http://www.farrahs.com,,,,,,,,,"Farrah's of Harrogate specialise in own label confectionery including sweets, biscuits, chocolate, fudge, toffee, preserves, cakes and nougat. We also offer a delightful range of embossed tins for the gift market. Free own label service, minimum orders only £250."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Fashion X Factor Ltd,819,,http://www.xfactorwholesale.co.uk,,,,,,,,,"Manufacturer and wholesalers of ethnic, hippy, medieval, gothic clothing, bags, scarves, costume jewellery, incense, handicrafts and much more."
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Gift Time Ltd,712,,http://www.gift-time-products.co.uk,,,,,,,,,"Gift Time stock the world's largest range of quality miniature clocks! On show will be a small selection from this range. We also supply desk gifts, natural wood pens, alarm clocks, golf gifts, gent's gifts and more!"
Giving & Living,01/16/2022,2022,http://givingliving.co.uk,DM,Gifted Wholesale,730,,http://,,,,,,,,,"Following on from 2019's amazing collapsible pet bowl success, we have even more exciting new concepts for 2020. Come and see them on stand 730."
