ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
HD Expo,04/26/2022,2022,https://hdexpo.hospitalitydesign.com/,DM,Babmar Modern Outdoor Furniture,5349,,http://www.babmar.com,,,,"San Diego, CA United States",United States,Planters | Umbrellas | Carts | Casual | Occasional | Outdoor | Barstools | Cushions | Outdoor/Casual | Rattan/Wicker/Natural Fiber | Stacking | Table Seating/Metal/Wood | Upholstered | Outdoor/Casual Tables | Rattan/Wicker/Natural Fiber | Table Bases/Tops,,,"Babmar Modern Outdoor Furniture provides the highest level of quality, comfort and style of outdoor furniture for the commercial market. With over 18 years experience in the casual market Babmar will ensure your next project will run smooth, on-time and on budget."
HD Expo,04/26/2022,2022,https://hdexpo.hospitalitydesign.com/,DM,Amisco Contract,3049,,http://www.amiscocontract.com,,,,"L'Islet, QC Canada",Canada,Headboards | Banquettes/Benches | Barstools | Conference | Table Seating/Metal/Wood | Upholstered | Banquet/Conference Tables | Glass/Metal/Wood/Stone | Table Bases/Tops,,,"At the time of its foundation in 1954, Amisco was already dedicated to the institutional market as its main field of business was school furnishings made of steel tube. Quickly, the company added woodworking and upholstery to its expertise. Over time, Amisco diversified its product offer to serve hospitality clients, and kept providing furniture for the institutional market."
HD Expo,04/26/2022,2022,https://hdexpo.hospitalitydesign.com/,DM,Architectural Grille,2735,,http://www.archgrille.com,,,,"Brooklyn, NY United States",United States,Awnings/Canopies | Ceilings/Columns/Millwork | Doors | Walls/Partitions | Hardware | Glass/Metal/Wood/Stone | Table Bases/Tops,,,"Architectural Grille is a full-service manufacturer located within 60,000 square feet in Brooklyn, NY, specializing in custom HVAC grilles, perforated metal & design solutions. We design & fabricate high quality products in a wide range of materials by utilizing state of the art machinery incorporating CNC Punch, Laser & Waterjet technologies. We are proud to be a member of the US Green Building Council & support sustainability by offering recycled aluminum products. Archtiectural Grille offers architects & designers the power to translate their ideas and creativity into reality."
HD Expo,04/26/2022,2022,https://hdexpo.hospitalitydesign.com/,DM,Arhaus,5835,,https://www.arhaus.com/,,,,"Boston Heights, OH United States",United States,Seasonal | Tabletop Products | Armoires/Bureaus | Bookcases/Desks/Endtables | Cabinets | Casegoods | Casual | Occasional | Outdoor | Chandeliers/Pendants | Lamps | Sconces | Green Products | Recycled materials,,,
HD Expo,04/26/2022,2022,https://hdexpo.hospitalitydesign.com/,DM,Andaaz Manufacturing,5255,,http://www.andaazmfg.com,,,,"Houston, TX United States",United States,"Mirrors/Lighted Mirrors | Doors | Headboards | Sofabeds/Wallbeds | Armoires/Bureaus | Bookcases/Desks/Endtables | Cabinets | Casegoods | Casual | Occasional | Cabinet, Furniture, Display | Chandeliers/Pendants | Fluorescent | Lamps | LED | Sconces | Banquettes/Benches | Barstools | Conference | Rattan/Wicker/Natural Fiber | Stacking | Table Seating/Metal/Wood | Upholstered | Banquet/Conference Tables | Gaming | Glass/Metal/Wood/Stone | Rattan/Wicker/Natural Fiber | Table Bases/Tops",,,"Custom Casegoods, Seating and Lighting for Hospitality."
HD Expo,04/26/2022,2022,https://hdexpo.hospitalitydesign.com/,DM,Aonehospitality,4462,,http://www.aonechina.cn,,,,"Guangzhou, China",China,,,,
HD Expo,04/26/2022,2022,https://hdexpo.hospitalitydesign.com/,DM,Amtrend Corporation,3435,,http://www.amtrend.com,,,,"Fullerton, CA United States",United States,Outdoor/Casual | Table Seating/Metal/Wood | Upholstered | Banquettes/Benches | Barstools | Conference | Cushions | Glass/Metal/Wood/Stone | Outdoor/Casual Tables | Table Bases/Tops | Bookcases/Desks/Endtables | Casegoods,,,Amtrend is America’s leading
HD Expo,04/26/2022,2022,https://hdexpo.hospitalitydesign.com/,DM,AJ Logistics,2862,,http://www.ajlog.com,,,,"Ft Wayne, IN United States",United States,Install/Transport,,,"Local off-site warehousing, delivery, and installation of FF&E and food service equipment.  One point contact for service throughout US and Canada."
HD Expo,04/26/2022,2022,https://hdexpo.hospitalitydesign.com/,DM,Akula Living,5009,,http://www.akulaliving.com,,,,"Wetherby, West Yorkshire United Kingdom",United Kingdom,Planters | Umbrellas | Casual | Outdoor | Barstools | Outdoor/Casual | Rattan/Wicker/Natural Fiber | Stacking | Table Seating/Metal/Wood | Upholstered | Glass/Metal/Wood/Stone | Outdoor/Casual Tables | Rattan/Wicker/Natural Fiber | Table Bases/Tops,,,"Serving the global hospitality & contract market for over a decade, Akula Living are leaders in the manufacture of hospitality Marine-Grade outdoor furniture."
HD Expo,04/26/2022,2022,https://hdexpo.hospitalitydesign.com/,DM,ADAHotelSigns.com,5560,,http://www.adahotelsigns.com,,,,"Prescott, AZ United States",United States,Signage,,,is the industry leader in wayfinding. From boutique/custom interior signage to corporate approved programs at
HD Expo,04/26/2022,2022,https://hdexpo.hospitalitydesign.com/,DM,American Leather,3255,,http://www.americanleatherhospitality.com,,,,"Dallas, TX United States",United States,Headboards | Sofabeds/Wallbeds | Outdoor/Casual | Upholstered | Green Products,,,"American Leather Hospitality is a design leader & innovator in the manufacturing of upholstered furniture. With manufacturing facilities in both North Carolina and Texas, American Leather Hospitality now offers a full spectrum of upholstered furniture for every level of hotel, resort and cruise ship."
HD Expo,04/26/2022,2022,https://hdexpo.hospitalitydesign.com/,DM,American Atelier Inc.,5107,,http://aaihospitality.com,,,,"Allentown, PA United States",United States,Casual | Occasional | Armoires/Bureaus | Bookcases/Desks/Endtables | Carts | Casegoods | Banquettes/Benches | Barstools | Conference | Stacking | Table Seating/Metal/Wood | Upholstered | Ceilings/Columns/Millwork | Moulding/Rail | Accessories | Sinks/Vanities/Plumbing | Headboards | Sofabeds/Wallbeds | Upholstery | Gaming | Banquet/Conference Tables | Glass/Metal/Wood/Stone | Table Bases/Tops,,,"American Atelier Inc. is a custom furniture manufacturer, specializing in the hospitality and institutional markets. Every order is custom made to architectural or interior designer's specifications in the United States.We have expanded to our new 200,000 square foot facility, still centrally located in Allentown PA. We are a fourth-generation family-owned enterprise employing approximately 240 skilled craftsmen in our workforce. We are ""AWI Certified"" for ""Premium Grade"" manufacturing."
HD Expo,04/26/2022,2022,https://hdexpo.hospitalitydesign.com/,DM,Aesthetic Mirror,5325,,http://www.aestheticmirror.com,,,,"Los Angeles, CA United States",United States,Clocks | Decorative Glass | Picture Frame Moulding | Prints/Reproductions/Photography | Accessories,,,Decorative mirror manufacture and production. Custom sizes and finishes. Timesaving online quote function. Special Designer Portal featuring five design categories. Manufactured in the United States.
HD Expo,04/26/2022,2022,https://hdexpo.hospitalitydesign.com/,DM,Aceray LLC,3647,,http://www.aceray.com,,,,"Wheat Ridge, CO United States",United States,Outdoor | Banquettes/Benches | Barstools | Outdoor/Casual | Stacking | Table Seating/Metal/Wood | Upholstered | Glass/Metal/Wood/Stone | Outdoor/Casual Tables | Table Bases/Tops,,,"Discover THE LOOK of Seating Presenting design professionals with unique, contemporary seating designs, Aceray's strength lies in uncovering hidden talent from around the world. Built by experienced craftsmen for quality and long-lasting durability, these commercial grade, contemporary seating designs are exclusively distributed by Aceray. Our impressive collection includes styles that give you, the design professional, the opportunity to design interiors like no other -- interiors that stand out."
HD Expo,04/26/2022,2022,https://hdexpo.hospitalitydesign.com/,DM,"ACO, Inc.",5809,,https://acoshowerdrain.us/,,,,"Casa Grande, AZ United States",United States,Accessories | Sinks/Vanities/Plumbing | Spa Equipment,,,ACO ShowerDrain bathroom drainage solutions inspire creative bathroom planning. Shower channels and ShowerPoint area drains are suitable for traditional curb shower design or allow for the elimination of physical barriers within the bathroom floor for a more contemporary look or to comply with universal design concepts.
HD Expo,04/26/2022,2022,https://hdexpo.hospitalitydesign.com/,DM,Waterworks,5129,,http://www.waterworks.com,,,,"Danbury, CT United States",United States,Mirrors/Lighted Mirrors | Accessories | Sinks/Vanities/Plumbing | Tile/Marble/Stone/Mosiac | Marble/Stone/Tile | Chandeliers/Pendants | Sconces,,,"Co-founded in 1978 by Barbara and Robert Sallick, Waterworks is based firmly upon a foundation and committement to design authenticity and excellence."
