ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,The Milford Collection,A2,A,www.milfordcollection.com,david@milfordcollection.com,01686 629 919,,Unit G Vastre Industrial Estate Newtown Powys SY16 1DZ 01686 629 919,,,,ANIMO GLASS | ,"Seasonal scented pine cones in attractive organza bag, Animo Glass in Christmas Designs, mouth blown recycled glass gifts and hand painted ceramic tiles."
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,Ascalon Design Ltd.,M12,M,www.ascalon.co.uk,sales@ascalon.co.uk,01432 340 929,,704 Chapel Road Rotherwas Ind. Estate Hereford Herefordshire HR2 6LD 01432 340 929,,,,,"Established, traditional quality led decorations featuring hedgerow mice, robins, berry red, aurora and gold, and leading collections of wreaths/garlands, candle rings and tree decorations."
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,The English Soap Company,A40,A,www.theenglishsoapcompany.com,oliver@theenglishsoapcompany.com,01435 813412,,Silveroaks Farm Hawkhurst Lane Waldron East Sussex TN21 0RS 01435 813412      ,,,,,
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,Floralsilk Ltd.,B2,B,www.floralsilk.co.uk,sales@floralsilk.co.uk,01778 425 205,01778 420 457,Meadow Drove Bourne Lincolnshire PE10 0BQ 01778 425 205 01778 420 457     ,,,,,"The Fabulous Floralsilk 2020 collection has arrived.  Come see our traditional and contemporary themed ranges of tree trim, wreaths, garlands, foliage, flowers and trees."
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,Festive Productions Ltd.,C1,C,www.festive.co.uk,jonathan.hughes@festive.co.uk,01633 627300,01633 627301,Otters Brook Ty Coch Way Cwmbran Gwent NP44 7EZ Wales 01633 627300 01633 627301   ,,,,Duracell Batteries | ,"Festive is one of the UK's leading suppliers of seasonal decorations, lighting trees and tinsel. Visit us in Hall C."
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,DCUK,C21,C,www.dcuk.com,craig@dcuk.com,01803 866316,,Devoncraft UK Ltd Diptford Totnes Devon TQ9 7NG 01803 866316    ,,,,DCUK | ,"The Original Wooden Duck Company's ducks and feathered friends are lovingly carved from sustainable bamboo and hand-painted, making every bird a true individual."
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,Gibson Plus Ltd,C10,C,www.gibsonplus.co.uk,susan@gibsonplus.co.uk,028 91818801,,158 Movilla Road Newtownards County Down BT23 8RL Northern Ireland 028 91818801,,,,,
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,Hogewoning,B1,B,www.hogewoning.com,daan@hogewoning.com,+31 71 402 85 01,+31 71403 20 55,P.O. box 265 Rijnsburg 2230 AG The Netherlands +31 71 402 85 01 +31 71403 20 55   ,,,,Hogewoning Christmas | Hogewoning Essentials | House of Nature | Natural Pine Collection | ,
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,Gisela Graham Ltd.,"M14,",M,www.giselagraham.co.uk,sales@giselagraham.co.uk,020 7708 4956,020 7703 9859,12 Colworth Grove Browning Street London SE17 1LR 020 7708 4956 020 7703 9859      ,,,,Gisela Graham London | ,For 2020 Europe's leading designer Christmas company unveils 16 new co-ordinated themes; market-leading Easter ranges; unscary Halloween; hundreds of new Everyday gifts.
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,Suki Gifts International Ltd.,A36,A,www.sukigifts.com,happytohelp@sukigifts.com,01733 842 431,01733 304 340,Stirling House Stirling Way Bretton Peterborough Cambridgeshire PE3 8YD United Kingdom 01733 842 431 01733 304 340,,,,,Suki Gifts is a plush and giftware manufacturer best known for our gorgeous soft toys ranges and  Personalised Girl and Boy Christmas Ornament programmes.
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,Trend Mania Ltd.,Q36,Q,www.trendmania.co.uk,info@trendmania.co.uk,01617230108,,78 Chorley new road Bolton Lancashire BL1 4BY 01617230108   ,,,,,"Established since 1989. Innovative, quirky clearance products supplying and purchasing products from around the world."
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,Sagedecor,M6,M,www.sagedecor.com,sales@sagedecor.com,01298 813 001,01298 813 015,Williams (HS) Ltd. Sage House Bowden Hey Road Chapel-en-le-Frith High Peak SK23 0QZ United Kingdom 01298 813 001 01298 813 015   ,,,,Sagedecor | Williams (HS) | ,"Innovative collections of artificial flowers and Christmas decorations. Original designs, prompt delivery and reliable service. Created and curated in the High Peak since 1968."
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,Jeno Floral Imports,A16,A,www.jenofloral.com,john@jenofloral.com,0754 0801 362,,Mutual Mills Aspinal Street Heywood Lancashire OL10 4HP 0754 0801 362,,,,,"Importers of Christmas artificial Pine wreaths, garlands, bouquets and everyday flowers."
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,HELLMANN - VERSAND GmbH,B25,B,www.hellmann-versand.de,vertrieb@hellmann-versand.de,0049 9131 324410,,Kriegenbrunner Str. 50 Erlangen Bavaria 91056 Germany 0049 9131 324410,,,,,
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,Smart Garden Products Ltd.,Q1,Q,www.sgpuk.com,sales@sgpuk.com,01235 424 100,01235 533 148,2 Pentagon South Barton Lane Abingdon Oxon OX14 3PZ England 01235 424 100 01235 533 148     ,,,,Eureka Lighting | Smart Garden | Three Kings | ,"A festive range of decor for home and garden, complemented by  decorative lighting for use indoors and outdoors, at Christmas and all year round."
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,Sparkle and Light Ltd. - Christmas 3D Glasses,C4,C,www.christmasglasses.co.uk,info@christmasglasses.co.uk,01344 299 628,01344 299 628,3 Onslow Ascot Berkshire SL5 7UL England 01344 299 628 01344 299 628,,,,,"Magical Christmas 3D Glasses! Transforms Christmas fairy lights (actually any point of light) into Snowmen, Reindeer, Santa and Gingerbread men."
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,Lesser & Pavey Ltd.,A6,A,www.leonardo.co.uk,sales@leonardo.co.uk,01322 279 225,,Leonardo House Fawkes Avenue Dartford Trade Park Dartford Kent DA1 1JQ 01322 279 225   ,,,,The Leonardo Collection | The Macneil Studio | ,"Established in 1971, we're a leading UK trade supplier of giftware & homeware with our brand �The Leonardo Collection"" renowned worldwide. Our ranges include aroma lamps, wax melt & oil warmers, fragrance gifts, home decor, tableware, kitchenware, figurines, ornaments and occasions - Christmas, Mother�s Day, birthdays, wedding and baby gifts."
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,Walton & Co Ltd.,A35,A,www.waltonsofyorkshire.co.uk,sales@waltonsofyorkshire.co.uk,01423 326 332,,Castle Mills Bar Lane Roecliffe York North Yorkshire YO51 9LS UK 01423 326 332    ,,,,Walton Baby | Walton Lifestyle | ,"Creators of beautiful table linens, cushions & throws, rugs, toys and hanging decorations for Christmas. Plus new 2020 Spring Summer Collections for indoor/outdoor living."
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,National Tree Company / Norfolk Leisure,B15,B,www.norfolkleisure.com,debbie@norfolkleisure.co.uk,01553 811717,,Garage Lane Setchey Kings Lynn Norfolk PE33 0AX 01553 811717     ,,,,National Tree Company | ,"Norfolk Leisure is the exclusive distributor in the UK and Ireland for National Tree Company, a leading brand in artificial Christmas Trees, wreaths, and garlands. A wide range of shapes styles and sizes based on the look and feel of real trees, both lit and unlit with exceptional unrivalled quality."
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,Heaven Sends,C37,C,www.heavensends.com,sales@heavensends.com,0121 351 7457,0121 313 3234,One Maybrook Business Park Maybrook Road Minworth Sutton Coldfield West Midlands B76 1AL 0121 351 7457 0121 313 3234    ,,,,,"Heaven Sends has fast become one the UK's leading wholesaler of fabulously quirky gifts, stylish home accessories and seasonal decorations!"
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,RSW International Ltd.,B14,B,www.rswinternational.co.uk,lashworth@rswint.co.uk,+44,,Unit 4 Cown Top Business Park Cown Top Lane Rochdale Lancashire OL11 2PU +44 (0)1706 764460,,,,Harvey & Mason | RSW International | ,"Our Christmas designs encompass the joy of the season, with a wide range to suit every home and budget."
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,N. Smith & Co Ltd.,Q20,Q,www.nsmithbox.co.uk,sales@nsmithbox.co.uk,0121 5571891,,Hainge Road Oldbury West Midlands B69 2NZ 0121 5571891,,,,,
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,Premier Halloween,H2,H,,sales@premierdec.com,020 8624 5555,020 8624 5678,Premier Halloween Premier House Braintree Road Ruislip Middlesex HA4 0EJ 020 8624 5555 020 8624 5678,,,,,The buyers one stop Halloween shop. It is the BEST RANGE in the Halloween UK and Irish market. Come and see us in Hall
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,Sincere UK Ltd.,A18,A,www.sincerefloral.co.uk,sincereukltd@aol.com,01200 422 488,,Unit 6 Deanfield Way Link 59 Business Park Clitheroe Lancashire BB7 1QU 01200 422 488,,,,Sincere Floral | ,"Christmas Grave Pots, Wreaths, Garlands and Picks. New 2022 ranges of Flowering Trees with interchangeable branches, Everyday Grave Pots and beautiful Flowering Bouquets."
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,Global Journey Ltd.,A34,A,www.global-journey.com,isamuels@global-journey.com,0161 872 0333,,Unit 3 Boston Court Salford Quays Manchester M50 2GN 0161 872 0333,,,,Christmas Hand Sanitisers | Christmas Jigsaws | Christmas Wish Pearls | ,
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,Florelle Import Co.,A29,A,www.florelle.co.uk,sales@florelle.co.uk,01484 353 000,,Albany Works Albany Road Kirkheaton Huddersfield West Yorkshire HD5 9UL 01484 353 000  ,,,,,"For over 30 years Florelle has been a leading importer of artificial flowers, potted arrangements, trees and Christmas decorations; supplying to UK, Ireland, Europe."
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,Vivid Arts Ltd.,QS1,,www.vividarts.co.uk,sales@vividarts.co.uk,01244 659 911,01244 670 860,Viscount House River Lane Saltney Chester CH4 8RH 01244 659 911 01244 670 860,,,,Petpals | Real Life | ,"VIVID ARTS : award winning, market leading ornaments and decoration for indoor and outdoor. MANY NEW PRODUCTS TO BE LAUNCHED AT THE SHOW!!"
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,PolarX Ornament & Gift,B13,B,www.polarxornaments.co.uk,charlotte@pxornaments.com,07581 216 362,,SPX Brands UK PVT Ltd Unit 3 Plant Lane Business Park Burntwood Staffordshire WS14 0JS UNITED KINGDOM 07581 216 362 / 0154 322 4111 ,,,,PolarX Ornaments | ,"PolarX specialises in unique Christmas decorations, stockings and table toppers, that can be personalised by hand or by a laser printer or vinyls, Visit"
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,Konstsmide (UK) Ltd.,M22,M,www.konstsmide.co.uk,sales@konstsmide.co.uk,01246 852 140,01246 854 297,Hardwick View Road Holmewood Industrial Estate Holmewood Chesterfield Derbyshire S42 5SA 01246 852 140 01246 854 297    ,,,,Konstsmide | ,"Europe's largest Christmas lighting specialist, exhibiting a quality range of branded party and decoration lighting with many unique designs."
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,Bollywood Christmas,C25,C,www.bollywoodchristmas.co.uk,enquiries@bollywoodchristmas.co.uk,01453 842 493,,J.C. Household Ltd Station Road Charfield Wotton-Under-Edge Gloucestershire GL12 8SR 01453 842 493 ,,,,Bollywood Christmas | ,"Handmade Christmas Decorations from India. From Hand Painted Christmas Baubles, to Hand Blown Glass from Artisans near Agra."
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,Fountasia International Ltd.,QS2,,www.fountasia.com,info@fountasia.com,01892 838 888,,"Unit 1, Orchard Business Park Badsell Road FIVE OAK GREEN Kent TN12 6QU 01892 838 888",,,,,"Fountasia home and garden products are colourful, fun and quirky. See the new range of interesting and innovative design led gifts on stand QS02."
Harrogate Christmas & Gift,01/16/2022,2022,https://www.harrogatefair.com/,DM,Keel Toys Ltd.,A37,A,www.keeltoys.com,steve.cox@keeltoys.com,01233 506 363,,Ashford Business Park Barrey Road Ashford Kent TN24 0SG United Kingdom 01233 506 363   ,,,,Animotsu | Pippins | ,"New Recycled/Sustainable options for 2020 enhance the leading soft toy range available in the UK. Bespoke toys, project managed from design to delivery."
