ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
"Hearth, Patio, & BBA Expo",03/03/2022,2022,https://www.hpbexpo.com/show-info/,DM,A.W. Perkins Co.,2135,,http://www.awperkins.com,,,,"Rutland, VT United States",United States,Brushes | Fire Lighters | Gloves & Mitts | Thermometers | Tools | Fire Suppressant | Firestarters/ Fatwood | Pellet Starters | Ash Removal Vacuums | Gloves & Mitts | Thermometers | Barbecue & Grill Paint | Brushes & Rods | Creosote & Soot Cleaner | Gaskets | Glass Cleaner | Hearth Paint | Masonry/Stone Cleaner | Mortar | Polish | Sealants & Sealers | Silicone | Stove Cement | Stove Insulation | Stove Paint | Surrounds & Facings Paint | Touch-Up Paint | Fire Brick,,"ButtonLok, Rovac, Perkins, Magicolor, BigStick, Slick Rods, Medusa, PterodacTILE","A.W. Perkins Company, best in class chimney cleaning tools."
"Hearth, Patio, & BBA Expo",03/03/2022,2022,https://www.hpbexpo.com/show-info/,DM,Buck Stove,1735,,http://www.buckstove.com,,,,"Spruce Pine, NC United States",United States,Gas Vent-Free | Wood | Gas Vented | Gas Vent-Free | Gas Vent-Free | Wood | Mantels,,,
"Hearth, Patio, & BBA Expo",03/03/2022,2022,https://www.hpbexpo.com/show-info/,DM,Big Green Egg,759,,http://www.biggreenegg.com,,,,"Atlanta, GA United States",United States,,,,"Big Green Egg is the world’s largest producer and international distributor of ceramic outdoor cookers. From one original single product, the Big Green Egg has grown to include seven sizes of EGGs and over one hundred accessories and related products. Often copied, never equaled, the Big Green Egg is the Ultimate Cooking Experience."
"Hearth, Patio, & BBA Expo",03/03/2022,2022,https://www.hpbexpo.com/show-info/,DM,Blaze,1459,,http://www.blazegrills.com,,,,"Baton Rouge, LA United States",United States,Cabinets | Carts | Griddles | Grill Covers | Rotisseries | Sideburners | Smoker Trays | Charcoal | Electric | Infrared | Natural Gas | Portable | Propane | Smokers | Pizza Ovens | Gas Vented | Electric | Decorative Glass & Stones | Gas Vented | Gas Hose,,"Blaze Outdoor Products, Firenado","We understand how important it is to have a high quality, outdoor living space that people of all ages can truly enjoy. To many, the ultimate summer entertainment activity is a big picnic with family and friends while cooking great food on the grill. That is why we have poured thousands of hours into developing our line of grills and other outdoor living products. Our engineers work tirelessly to make the perfect grill for each person’s cooking situation. Whether you need to feed your family or the entire neighborhood, we have the perfect grill for you. In the same regard, it doesn’t matter if you are new to grilling or a seasoned expert. We make a grill that will fit your skill set so that you can truly get the most out of your cooking."
"Hearth, Patio, & BBA Expo",03/03/2022,2022,https://www.hpbexpo.com/show-info/,DM,BBQ King,1659,,http://bbqking.mx,,,,"Cuauhtemoc, Chihuahua Mexico",Mexico,Charcoal | Fireplace | Infrared | Propane | Smokers | Gas Cookstoves | Gas/Propane Cookstoves | Outdoor,,"bbq king,","Welcome to BBQ King, we are a leading manufacturer in Mexico"
"Hearth, Patio, & BBA Expo",03/03/2022,2022,https://www.hpbexpo.com/show-info/,DM,BBQ Butler,2247,,http://www.thebbqbutler.com,,,,"Clearfield, UT United States",United States,"Aprons | Cookware | Gloves & Mitts | Grill Covers | Spices, Sauces, & Seasonings | Tools",,BBQ Butler offers a great selection of unique and affordable BBQ/Grilling accessories.,"Bear Paws are THE ORIGINAL dedicated pork pulling tool! Bear Paws are ergonomically designed to fit your hands, and act as an extension of your arms. The claws are strategically spaced so that you can quickly and finely pull the perfect pork or chicken without meat getting caught between them. Bear Paws are made out of Nylon, making them MUCH stronger & more heat resistant than plastic. While Bear Paws were originally designed for pulling pork, they are the perfect tool for lifting, shredding, pulling or assisting in carving any meat. They are also excellent for tossing salads."
"Hearth, Patio, & BBA Expo",03/03/2022,2022,https://www.hpbexpo.com/show-info/,DM,Bad Dog Tools,2429,,http://www.BadDogTools.com,,,,"Bristol, RI United States",United States,,,"Rover, Biter, Versa, HDII, Saw Dog, Iron Dog, Handi Disc,",Tools with less bark - MORE BITE!
"Hearth, Patio, & BBA Expo",03/03/2022,2022,https://www.hpbexpo.com/show-info/,DM,"Berlin Gardens, LLC",741,,http://www.berlingardensllc.com,,,,"Berlin, OH United States",United States,Gazebos | Adirondack Chairs | Bar Stools | Chaises | Fire Pits | Gliders & Swings | Islands/Enclosures | Picnic Tables/Benches | Tables | Umbrella Bases | Umbrellas,,,
"Hearth, Patio, & BBA Expo",03/03/2022,2022,https://www.hpbexpo.com/show-info/,DM,Associated Energy Systems,2149,,http://www.aes4home.com,,,,"Kent, WA United States",United States,Charcoal | Electric | Natural Gas | Propane | Chimney Liner | Direct-Vent Kits | Flashing | Stove Pipe | Wood Cookstoves | Electric | Gas Vented | Gas Vent-Free | Pellet | Wood | Electric | Gas Vented | Gas Vent-Free | Outdoor | Pellet | Wood | Charcoal | Coal Hods | Decorative Glass & Stones | Firebacks | Floor Protectors | Gas Log Lighters | Gloves & Mitts | Grates | Hearth Pads | Log Bags | Log Baskets | Log Carriers | Log Lighters | Log Racks | Pine Cones | Remote Controls | Scents & Oils | Smoke Guards | Stove Fans | Stove Handles | Thermometers | Thermostats | Wall Protectors | Electric | Gas Vented | Gas Vent-Free | Stove Cement | Stove Paint | Stove Parts | Surrounds & Facings Paint | Touch-Up Paint | Adapters/Fittings | Burners | Ceramic Briquettes | Ceramic Grills and Smokers | Controls/Valves | Cooking Grids | Gas Hose | Gas Valve Conversion Kits | Handles | Hinges/Hardware | Ignitors | Lava Rock | Auger Assemblies | Blower Fans | Ceramic Fiber Logs | Fire Brick | Flexible Gas Piping | Gas Burners | Gas Connectors | Gas Tubing | Infrared Burners | Manifolds | Pilot Assemblies | Pressure Regulators/Valves | Refractory Panels | Screws | Thermocouples | Thermopiles | Fire Pits | Patio Heaters | Refrigerators | Electric | Infrared | Corn | Gas Vented | Pellet | Wood,,"American Fyre Designs, AOG, Barbara Jean, Big Green Egg, Dimplex, Duravent, Empire, Enervex, Enviro, Everdure, Firegear, Fire Magic, Graysen Woods, Hargrove, ICC, Infratech, Kingsman Marquis, Modern Flames, Pacific Energy, Real Fyre, Renaissance, RH Peterson, RSF, Rutland, Skytech, Stove Bright, Town & Country, True North, Urbana, Z Flex",
"Hearth, Patio, & BBA Expo",03/03/2022,2022,https://www.hpbexpo.com/show-info/,DM,"ZGRILLS, INC.",2509,,http://www.zgrills.com,,,,"Ontario, CA United States",United States,Flavored Wood Pellets | Grill Covers | Hybrid Grilling System | Pellet | Portable | Wood | Pellets | Pellet,,Z Grills,Welcome to Z Grills! Your last pellet grill you will buy!
