ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
"Hearth, Patio, & BBA Expo",03/03/2022,2022,https://www.hpbexpo.com/show-info/,DM,A.W. Perkins Co.,2135,,http://www.awperkins.com,,,,"Rutland, VT United States",United States,Brushes | Fire Lighters | Gloves & Mitts | Thermometers | Tools | Fire Suppressant | Firestarters/ Fatwood | Pellet Starters | Ash Removal Vacuums | Gloves & Mitts | Thermometers | Barbecue & Grill Paint | Brushes & Rods | Creosote & Soot Cleaner | Gaskets | Glass Cleaner | Hearth Paint | Masonry/Stone Cleaner | Mortar | Polish | Sealants & Sealers | Silicone | Stove Cement | Stove Insulation | Stove Paint | Surrounds & Facings Paint | Touch-Up Paint | Fire Brick,,"ButtonLok, Rovac, Perkins, Magicolor, BigStick, Slick Rods, Medusa, PterodacTILE","A.W. Perkins Company, best in class chimney cleaning tools."
"Hearth, Patio, & BBA Expo",03/03/2022,2022,https://www.hpbexpo.com/show-info/,DM,"Coyote Outdoor Living, Inc.",4225,,http://www.coyoteoutdoor.com,,,,"Carrollton, TX United States",United States,Refrigerators | Aluminum (Cast) Furniture | Aluminum (Tubular) Furniture | Aluminum (Wrought) Furniture | Awnings/Canopies/Sunscreens | Bar Stools | Bartending Centers | Cabinetry | Coolers | Fire Pits | Tables | Torches | Cabinets | Carts | Griddles | Grill Covers | Sideburners | Charcoal | Cookers | Electric | Hybrid Grilling System | Infrared | Natural Gas | Portable | Propane,,"Coyote Outdoor Living, RTA by Coyote Outdoor Living, Azure Home Products",Please stop by and see our new product at booth # 3013.
"Hearth, Patio, & BBA Expo",03/03/2022,2022,https://www.hpbexpo.com/show-info/,DM,Copperfield Academy,2416,,,,,,"Scranton, PA United States",United States,,,,
"Hearth, Patio, & BBA Expo",03/03/2022,2022,https://www.hpbexpo.com/show-info/,DM,CSA Group Testing & Certification Inc.,1325,,http://www.csagroup.org,,,,"Toronto, ON Canada",Canada,,,,Testing and Certification that Evolves with your Industry
"Hearth, Patio, & BBA Expo",03/03/2022,2022,https://www.hpbexpo.com/show-info/,DM,Dampney Company Inc.,1223,,http://www.stovepaint.com,,,,"Everett, MA United States",United States,Barbecue & Grill Paint | Sealants & Sealers | Silicone | Stove Paint | Touch-Up Paint | Coatings,,"Thurmalox, Lab-metal",Dampney Company Inc. has been producing heat resistant
"Hearth, Patio, & BBA Expo",03/03/2022,2022,https://www.hpbexpo.com/show-info/,DM,Championship LLC,427,,,,,,"Bensonville, IL United States",United States,,,,
"Hearth, Patio, & BBA Expo",03/03/2022,2022,https://www.hpbexpo.com/show-info/,DM,Central Boiler,1535,,https://centralboiler.com,,,,"Greenbush, MN United States",United States,Biomass | Boilers | Corn | Furnaces | Boilers | Furnaces,,"Central Boiler, Classic Edge, E-Classic, Classic, Maxim, ThermoPEX, Central PEX, FireStar, Forge, Stryker, Comfort-Tech","Central Boiler was established in 1984 and is the premier manufacturer of quality wood, coal and multi-fuel outdoor furnaces. A few of its many industry-leading accomplishments were the production of the first EPA qualified outdoor furnace in 2007 and the first EPA certified outdoor furnace in 2015. With the onset of the digital era, innovative features like the industry exclusive FireStar combustion controller which provides real-time data, remote monitoring and text alerts, gives Central Boiler the competitive edge. They currently export their patented technology to sixteen foreign countries. Central Boiler has a sales and dealer network established throughout the United States, Canada and Europe."
"Hearth, Patio, & BBA Expo",03/03/2022,2022,https://www.hpbexpo.com/show-info/,DM,Canterbury Enterprises,1115,,http://www.blueflamestore.com,,,,"Corona, CA United States",United States,Aprons | Brushes | Gloves & Mitts | Griddles | Grill Covers | Propane Tank Covers | Tools | Charcoal | Hybrid Grilling System | Natural Gas | Portable | Propane | Camp Cookstoves | Gas/Propane Cookstoves | Wood | Firestarters/ Fatwood | Andirons | Ash Buckets | Bellows | Fireplace Screen Blanket | Gas Log Lighters | Gloves & Mitts | Grates | Log Bags | Log Carriers | Log Lighters | Screens | Tool Sets | Giftware | Gas Keys | Gas Valve Flanges | Gas Valves | Flexible Gas Piping | Gas Burners | Fire Pits,,"Blue Flame, Earth's Flame, GrillnGlow","Welcome to Blue Flame, home of the original Log Lighter!"
"Hearth, Patio, & BBA Expo",03/03/2022,2022,https://www.hpbexpo.com/show-info/,DM,Cook-Off Pavilion,4625,,,,,,"New Orleans, LA United States",United States,,,,
"Hearth, Patio, & BBA Expo",03/03/2022,2022,https://www.hpbexpo.com/show-info/,DM,Chimney Safety Institute of America,1425,,http://www.csia.org,,,,"Plainfield, IN United States",United States,,,"CSIA Certified Chimney Sweep, CSIA Certified Dryer Exhaust Technician (C-DET), CSIA Master Chimney Sweep, CSIA Accepted Products",
