ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
heimtextil,01/13/2022,2022,https://heimtextil.messefrankfurt.com,DM,A+A Design Studio S.r.l.,G12,4.0,www.aadesignstudio.it,,,,,Italy,Textile Design,,,
heimtextil,01/13/2022,2022,https://heimtextil.messefrankfurt.com,DM,Aalto University / PatternLab,H12,4.0,www.patternlab.aalto.fi,,,,,Finland,"Textile Design | Associations, institutes, publishers",,,
heimtextil,01/13/2022,2022,https://heimtextil.messefrankfurt.com,DM,ABC Tekstil Sanayi ve Ticaret A.S.,E24,12.1,www.abctekstil.com,,,,,Turkey,Bed & Bath,,,"High quality towels with different range of designs. we provide good service, quality and fast response to our customers..."
heimtextil,01/13/2022,2022,https://heimtextil.messefrankfurt.com,DM,ABERTEX,G55,4.2,www.abertex.com,welcome@abertex.com,+33 (0)4 42 10 98 88,,,France,Decorative & Furniture Fabrics,,,"ABOUT US50 years of experience25 countries500 000 m of fabrics soldExhibit at Heimtextil, Maison & ObjetProduction, design..."
heimtextil,01/13/2022,2022,https://heimtextil.messefrankfurt.com,DM,A.B. Export Pvt. Ltd.,B62,10.1,www.ab.com.pk,,,,,Pakistan,,,,
heimtextil,01/13/2022,2022,https://heimtextil.messefrankfurt.com,DM,Abida International,A50,6.1,www.abidarugs.com,,,,,India,,,,
heimtextil,01/13/2022,2022,https://heimtextil.messefrankfurt.com,DM,Abinaya Grineters,A41,10.1,www.abinayaindia.com,raviselvan@abinaya.in,04324 274467,,,India,Beautiful Living,,,Abinaya Grineters is among one of the oldest and reputable textile manufacturer with uncompromising quality. Established...
heimtextil,01/13/2022,2022,https://heimtextil.messefrankfurt.com,DM,ABN Pazarlama Konfeksiyon Tekstil San. ve Tic. Ltd. Sti.,B44,12.1,www.abntekstil.com,emre.sengul@abntekstil.com,0090 258 371 2240,,,Turkey,Bed & Bath,,,PRODUCING HOME TEXTILE PRODUCTS FOR WELL KNOWN EUROPEAN BRANDS AND COMPANIES UNDER OEKO-TEX QUALITY STANDART. OUR FACTORIES...
heimtextil,01/13/2022,2022,https://heimtextil.messefrankfurt.com,DM,Ace Buying Agency Pvt. Ltd.,A30,10.1,,MAYANK@ACE-INDIA.IN,+919899688867,,,India,Retail Services,,,"We are an order management, Sourcing & inspection company based in New Delhi ( NCR ). We are one of the very few ISO 9001..."
heimtextil,01/13/2022,2022,https://heimtextil.messefrankfurt.com,DM,ACG Nowo Textile Machinery OU,E69,12.0,,,,,,Estonia,,,,
heimtextil,01/13/2022,2022,https://heimtextil.messefrankfurt.com,DM,Achille Valera Lissoni Srl,E45,4.2,,,,,,Italy,,,,
heimtextil,01/13/2022,2022,https://heimtextil.messefrankfurt.com,DM,"ACL Impex, Lda.",B27,12.1,www.aclimpex.com,,,,,Portugal,,,,"A legacy of almost 100 years on bedding
	
	ACL’s roots can be traced four generations, back to 1922. Since then has been..."
heimtextil,01/13/2022,2022,https://heimtextil.messefrankfurt.com,DM,Acquitaine Ltd.,F57,4.1,www.acquitaine.co.uk,,,,,Great Britain and Northern Ireland,,,,
heimtextil,01/13/2022,2022,https://heimtextil.messefrankfurt.com,DM,ACS Textiles (Bangladesh) Limited,A01,10.2,www.acstextiles.com,,,,,Bangladesh,Bed & Bath,,,"Housed across a massive 550,000 square ft., our cutting edge manufacturing facility employs over 6000 people, and averages..."
heimtextil,01/13/2022,2022,https://heimtextil.messefrankfurt.com,DM,Adamjee Textile Mills (Pvt) Ltd.,A69,10.1,www.adamjee.com.pk,hasnain.raza@adamjee.com.pk,+922132568536,,,Pakistan,Decorative & Furniture Fabrics | Bed & Bath,,,"Adamjee Textile Mills (Pvt) Ltd is as one of the leading composite Textile Processing Mills, based in the port City of Karachi..."
heimtextil,01/13/2022,2022,https://heimtextil.messefrankfurt.com,DM,Adatex Fabbricazione Tessuti S.r.l.,E45,4.2,,,,,,Italy,,,,
heimtextil,01/13/2022,2022,https://heimtextil.messefrankfurt.com,DM,ADAWALL Wallcovering and More,E78,8.0,www.adawall.com.tr,deniz@adawall.com.tr,+905497978752,,,Turkey,Wall Decoration | Decorative & Furniture Fabrics,,,AdaWall Wallcoverings & More  ;We are the biggest wallpaper factory of Turkey. We export our products to more than 120 countries...
heimtextil,01/13/2022,2022,https://heimtextil.messefrankfurt.com,DM,adeko - Dizayn Ev Tekstil Sanayi ve Tic. Ltd. Şti.,C21,8.0,www.adekodesign.com,coskunaytac@adekodesign.com,,,,Turkey,,,,"As Adeko family with all of its members, from manufacturing to design, marketing and visual design. We create collections..."
heimtextil,01/13/2022,2022,https://heimtextil.messefrankfurt.com,DM,Adenteks Dizayn Tekstil San. Ve Tic. Ltd .Sti.,A64,4.2,www.design-colors.com,cem@design-colors.com,,,,Turkey,Decorative & Furniture Fabrics,,,Design&Colors is dedicated to offering the highest level of customer service and closely observing and researching the changing...
heimtextil,01/13/2022,2022,https://heimtextil.messefrankfurt.com,DM,Adoksan Tekstil San. ve Tic. A.S.,F39,4.2,www.adoksan.com.tr,sales2@adoksan.com.tr,00902242414242,,,Turkey,Decorative & Furniture Fabrics,,,"Our company, which started its activities under the name of Adıgüzeller in 1986 for the sale of upholstery fabrics, started..."
heimtextil,01/13/2022,2022,https://heimtextil.messefrankfurt.com,DM,ADVANSA Marketing GmbH,D77,12.0,www.advansa.com,ekaterina.yarokhovich@advansa.com,023888402315,,,Germany,"Fibres and Yarns, Textile Materials, Finishing",,,"ADVANSA, a leading European supplier of polyester fibres, combines its expertise in the use of state of the art technology..."
heimtextil,01/13/2022,2022,https://heimtextil.messefrankfurt.com,DM,Adwaith Lakshmi Industries Pvt. Ltd.,A91,10.1,www.adwaithnaman.in,,,,,India,,,,"“We commit and stay committed”

	In a nut shell, these words sum up Adwaith Lakshmi’s whole attitude and vision.

	From..."
heimtextil,01/13/2022,2022,https://heimtextil.messefrankfurt.com,DM,A. E. Fabrics (Pvt.) Ltd.,B45,10.0,www.aefabrics.com,ameer@aefabrics.com,92-41-8403636,,,Pakistan,Window & Interior Decoration | Decorative & Furniture Fabrics | Smart Bedding | Bed & Bath | Beautiful Living,,,We M/s A. E. FABRICS PRIVATE LIMITED previously known as AMEER Enterprises are more than two decade experienced company growing...
heimtextil,01/13/2022,2022,https://heimtextil.messefrankfurt.com,DM,Affabre Design,F14,4.0,www.affabre.at,,,,,Austria,Textile Design,,,
