ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
High Point Market - Sprint,02/04/2022,2022,https://www.highpointmarket.org/,DM,14 Karat Home Inc.,"Market Square Tower - 350, Floor 3",Market Square & Elm,www.14karathome.com,,212.532.2463,,,,,,,"Lifestyle collection -  A unique collection curated exclusively for you. Beautiful color combinations, unexpected design interpretations."
High Point Market - Sprint,02/04/2022,2022,https://www.highpointmarket.org/,DM,Accent Touch LLC,"Suites At Market Square - M-6042, Mezzanine",Market Square & Elm,www.myaccenttouch.com,,678.847.1718,,,,,,,"At Accent Touch we believe that creation has no boundaries. That is the vision shared by Isabelle Domkam, the founder of Accent Touch based in Atlanta, Georgia. We want to provide unique home décor accessories. If you look for avant-garde designs, then you came to the right place. Our trendy Accent Touch pillow redefine the traditional cushion by combining faux-fur, custom-made buckles and fashion zippers. We also bring centuries of traditions to wall décor with stunning handmade Bamiléké Juju Hats from Cameroon. We added Juju Hats to the collection because of the connection Isabelle has with those artful pieces.  Isabelle was born and raised in France, with her roots in Cameroon. In January 2016, she intended a traditional ceremony in Cameroon for her late grandmother. Close family members worn the Juju Hat for the traditional dances. She describes the ceremony as a beautiful homage to her grandmother. When she returned to Atlanta, she decided to include those artful pieces that represent her heritage to the Accent Touch collection. She is originally from the region in Cameroon where Juju Hats are handcrafted. We work passionately with amazing artisans to bring the best Juju Hats to you. We support local artisans by practicing fair price business. Our Mission is to provide the world with the highest quality of Juju Hats through accomplished artisans and improve lives. In return, we receive high quality arts. Juju Hats beauty have reached homes beyond Cameroon’s borders. Bami"
High Point Market - Sprint,02/04/2022,2022,https://www.highpointmarket.org/,DM,"Accents Beyond, Inc.","Suites At Market Square - M-1001, Mezzanine",Market Square & Elm,www.accentsbeyond.com,,336.882.0246,,,,,,,"Accents Beyond is a to the trade resource for accent, occasional and casual dining furniture. AB is primarily a traditional line but we do have transitional product available. We inventory at our facility in High Point and usually have 80% of the line in stock."
High Point Market - Sprint,02/04/2022,2022,https://www.highpointmarket.org/,DM,Acacia,"Resource Center - 329 S. Wrenn St., Floor 2",Centennial Wrenn South,,,,,,,,,,
High Point Market - Sprint,02/04/2022,2022,https://www.highpointmarket.org/,DM,Acquisitions Limited,"Suites At Market Square - M-7023, Mezzanine",Market Square & Elm,www.acqltd.com,,919.755.1110,,,,,,,
High Point Market - Sprint,02/04/2022,2022,https://www.highpointmarket.org/,DM,AC Pacific,520 N. Hamilton St.,Hamilton Wrenn,www.acpacific.com,,909.980.6262,,,,,,,"Since its founding in Los Angeles in 1995, AC Pacific Corporation has become one of the best up and coming furniture importers in the industry. The company expanded from a small selection of mattresses to a full-scale collection of home furnishings. Through it all, their principle for importing and design has remained the same: to provide the best in home furnishings for today’s growing families, at the most affordable prices."
High Point Market - Sprint,02/04/2022,2022,https://www.highpointmarket.org/,DM,ACIMA,"Plaza Suites - 1-527, #11, Floor 1,Area: HFA Retailer Resource Center",Downtown Main,www.ACIMA.com,,877-435-7193,,,,,,,"At Acima, we believe the methods that traditional banks and credit unions use to make underwriting decisions are outdated. We knew we could do better. So we did. We utilize modern technology and alternative data sources to identify lease worthy consumers – regardless of their traditional credit histories. Simply put, we enrich lives through quick and easy point-of-sale leasing."
High Point Market - Sprint,02/04/2022,2022,https://www.highpointmarket.org/,DM,Abroad – A Wholesale Home Furnishings Company,"The Wright Place - 121 N. Wrenn St. & 134 N. Main St., Floor 1",Downtown Main,www.abroadhomefurnishings.com,,877.322.7623,,,,,,,"Abroad, headquartered in Southside Virginia, is a Wholesale Home Furnishings Company specializing in the direct importation of fine, custom-designed home furnishings from many respected manufacturing firms & unique artisans from the Far East & South & Southeast Asia. Abroad offers a world of unique designs & top-quality imported furniture & decorative accessories. Our fine furniture & broad accessory line include over 1,100 different products.  Abroad’s seasoned buyers & designers comb the countrysides of England, Vietnam, India, China, the Philippines, & many more nations to bring our customers the very best in value & quality, while offering outstanding service. Abroad offers products that are handcrafted, & hand painted by skilled craftsman. Our accessories are custom-designed pieces that feature unique hammered metals, wood carvings, solid ceramics, & other beautifully fashioned accents and embellishments. Our furniture is crafted from a wide array of solid U.S. hardwoods (maple, oak, pine) and exotic plantation timbers native to the Orient such as gemelina, mango, & acacia. These crafted pieces are finished in a variety of fine imported veneers, Italian leathers, hand-casted hardware, & unique finishes, or feature delicately hand-painted décor.  Abroad offers many styles from traditional & elegant to transitional, contemporary & trendy."
High Point Market - Sprint,02/04/2022,2022,https://www.highpointmarket.org/,DM,Abner Henry,214 E. Martin Luther King Jr. Dr.,Hamilton Wrenn,www.abnerhenry.com,,330.674.0836,,,,,,,Click the following link...
High Point Market - Sprint,02/04/2022,2022,https://www.highpointmarket.org/,DM,Adagio Water Features/Dock to Door LTL,"Showplace - 3329, Floor 3",Commerce Concourse,www.adagiowaterfeatures.com,,801.255.9484,,,,,,,
High Point Market - Sprint,02/04/2022,2022,https://www.highpointmarket.org/,DM,Furniture Marketing Group (FMG),333 S. Wrenn St.,Centennial Wrenn South,www.fmgbuyinggroup.com,,336.885.0866,,,,,,,
High Point Market - Sprint,02/04/2022,2022,https://www.highpointmarket.org/,DM,ACASA Decoracion,"812 Millis, Floor 2",Shuttle Stop: 0 (Go Anywhere Shuttle),Pascal-studio.com,,+523331566645,,,,,,,Hola
High Point Market - Sprint,02/04/2022,2022,https://www.highpointmarket.org/,DM,Z-Wovens - Sunbelievable,"312 S. Hamilton St. - 1st Fl, Ste. 101",Centennial Wrenn South,www.z-wovens.com,,,,,,,,,"Z-Wovens,®, a world-class manufacturer of luxurious performance fabrics is the US-based operation for Zhongwang Holding Group, one of China’s largest manufacturers. It prides itself on crafting beautiful and practical products at highly competitive prices."
High Point Market - Sprint,02/04/2022,2022,https://www.highpointmarket.org/,DM,ZUO,"Showplace - 2308, Floor 2",Commerce Concourse,www.zuomod.com,,(510) 877-4087,,,,,,,"At ZUO, we pride ourselves in creating indoor and outdoor furniture, lighting and home décor products for residential and commercial application. With more than 5000 + items we celebrate our 15 year history of working designers and stagers, retailers, decor and gift stores, and the hospitality industry - whom offer our products in a variety of ways. With a showroom presence in ten cities, throughout US, Canada and Mexico, ZUO delivers our uniquely diverse product collections from Mid-century modern or industrial chic, traditional to transitional - reaching end users across the globe.  From New York to Russia, Canada to Brazil and Japan to Dubai we offer fashionable and affordable furniture to any destination! www.zuomod.com"
High Point Market - Sprint,02/04/2022,2022,https://www.highpointmarket.org/,DM,Acrylix & Kanvas/JaxAbstracts,"Suites At Market Square - M-5021, Mezzanine",Market Square & Elm,www.JaxAbstracts.com,,980.292.0120,,,,,,,"Original Art and Giclees, providing services to retailers, interior designers, hospitality and healthcare industry professionals. Our goal is to ensure our clients have access to high quality artwork at an affordable price."
High Point Market - Sprint,02/04/2022,2022,https://www.highpointmarket.org/,DM,Accentrics Home,"220 Elm - 200, Level 2",Market Square & Elm,accentricshome.com/,,,,,,,,,"Accentrics Home provides fashion-influenced / fashion-centric furniture to the marketplace. Accentrics Home provides home furnishings inspired by current lifestyle trends, offering an eclectic, design-focused product mix for today's evolving consumer. Accentrics Home is a division of Hooker Furnishings."
High Point Market - Sprint,02/04/2022,2022,https://www.highpointmarket.org/,DM,Night and Day Furniture,"IHFC - C503, Commerce, Floor 5",Commerce Concourse,www.nightanddayfurniture.com,,360.573.3309,,,,,,,
