ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
NY Textiles Market - Fall,10/04/2021,2021,https://www.hometextilestoday.com/,DM,Al-Karam USA Inc,,,www.alkaram.com,irfan@alkaramus.com,9176895645,,295 Fifth Avenue Suite 1111 New York NY 10016 US,,,,,
NY Textiles Market - Fall,10/04/2021,2021,https://www.hometextilestoday.com/,DM,Allergy Standards Ltd,,,,tracycullen@allergystandards.com,+ 353 1 675 5678,,"The Tower Trinity Enterprise Campus, Grand Canal Quay Dublin  2 IE",,,,,
NY Textiles Market - Fall,10/04/2021,2021,https://www.hometextilestoday.com/,DM,American Textile Company,,,www.americantextile.com,pseiffert@americantextile.com,412-948-1084,,10 N Linden St Duquesne PA 15110 US,,,,,
NY Textiles Market - Fall,10/04/2021,2021,https://www.hometextilestoday.com/,DM,AQ Textiles,,,,larryqueen@gmail.com,2122972137,,230 Fifth Ave New York NY 10001 US,,,,,
NY Textiles Market - Fall,10/04/2021,2021,https://www.hometextilestoday.com/,DM,Arroya Studio,,,arroyasleep.com,stevemcgee@arroyastudio.com,9418072815,,91 Leonard Street 7C New York NY 10013 US,,,,,
NY Textiles Market - Fall,10/04/2021,2021,https://www.hometextilestoday.com/,DM,Avanti Linens,,,https://www.avantilinens.com/,jkaufman@avantilinens.com,201-641-7766,,234 Moonachie Road Moonachie NJ 07074 US,,,,,"Avanti Linens, established in 1969, is the world’s leading designer and manufacturer of embellished towels, with a focus on the better independent, specialty and department stores. Avanti also designs and markets an extensive collection of fully coordinated bath accessories, as well as the Spode Christmas Tree collection for kitchen, table and bath."
NY Textiles Market - Fall,10/04/2021,2021,https://www.hometextilestoday.com/,DM,"Beatrice Home Fashions, Inc.",,,www.beatricehf.com,sam.gindi@beatricehf.com,9085617370,,151 Helen Street South Plainfield NJ 07080 US,,,,,
NY Textiles Market - Fall,10/04/2021,2021,https://www.hometextilestoday.com/,DM,Berkshire Blanket,,,,smaddalene@berkshireblanket.com,4139675964,,44 E. Main St. Ware MA 01082 US,,,,,
NY Textiles Market - Fall,10/04/2021,2021,https://www.hometextilestoday.com/,DM,Better Trends,,,,nitish@bettertrends.com,7322104127,,23 Roosevelt Ave Suite 15 Somerset NJ 08873 US,,,,,
NY Textiles Market - Fall,10/04/2021,2021,https://www.hometextilestoday.com/,DM,Blue Ridge Home Fashions,,,,Ning.He@blueridgehome.com,540-463-1646,540-464-5764,15761 Tapia Street Irwindale CA 91706 US,,,,,"Down and Down Alternative comforters and pillows, including Royal Velvet line. Duvets, featherbeds and fiberbeds."
NY Textiles Market - Fall,10/04/2021,2021,https://www.hometextilestoday.com/,DM,Brentwood,,,,lsbrent99@yahoo.com,212-684-7320,, US,,,,,
NY Textiles Market - Fall,10/04/2021,2021,https://www.hometextilestoday.com/,DM,Caro Home,,,Carohome.com,John@carohome.com,2129204868,,583 Pacific st 583 Pacific St Stamford  CT 06902 US,,,,,
NY Textiles Market - Fall,10/04/2021,2021,https://www.hometextilestoday.com/,DM,Commonwealth Home Fashions,,,http://www.commonwealthhomefashions.com/,barryg@comhomfash.com,5143848290,5143827998,39 Myers Way   P.O. Box 339 Willsboro NY 12996 US,,,,,"A family operated business since 1946, specializing in ready made curtains, draperies, and related accessories. Brand names that are merchandising include Thermalogic insulated curtains, Outdoor Decor, and water repellent outdoor curtains. Headquartered in Montreal, Canada, our distribution and warehouse facilities are based in upstate New York."
NY Textiles Market - Fall,10/04/2021,2021,https://www.hometextilestoday.com/,DM,Down & Feather Co.,,,www.downandfeather.com,david@downandfeather.com,8883696263,,9595 Six Pines Drive Suite 8210 Woodlands TX 77380 US,,,,,
NY Textiles Market - Fall,10/04/2021,2021,https://www.hometextilestoday.com/,DM,Down Inc.,,,,dmclin@downinc.com,"",,635 Evergreen SE Grand Rapids MI 49507 US,,,,,
NY Textiles Market - Fall,10/04/2021,2021,https://www.hometextilestoday.com/,DM,Franco Manufacturing,,,http://www.franco-mfg.com/,davidl@francomfg.com,732-623-9497,,555 Prospect Street Metuchen NJ 8840 US,,,,,"Through consistent year to year growth and partnerships with top brands such as Disney, Nickelodeon, Warner Brothers, Hasbro, Paul Frank and Speedo, Franco Manufacturing has become one of the top ten USA based home textiles companies."
NY Textiles Market - Fall,10/04/2021,2021,https://www.hometextilestoday.com/,DM,"Himatsingka America, Inc.",,,,261 Fifth Avenue Suite 1400,1234567890,,New York NY 10016 US ,,,,,"Himatsingka America is the leading designer, manufacturer and distributor of luxury home textile brands in North America.  Our portfolio features top-tier labels like Kate Spade, Calvin Klein and Barbara Barry.  Our product assortment includes top of bed, sheeting, bedding accessories, towels and bath accessories. As a division of the Himatsingka Group, a leading textile manufacturer in India, we are North America’s premier source for exceptional home collections."
NY Textiles Market - Fall,10/04/2021,2021,https://www.hometextilestoday.com/,DM,Hollander Sleep Products,,,http://www.hollander.com/,bmack@hollander.com,561-997-6900,561-997-8738,901 Yamato Rd. Ste. 250 Boca Raton FL 33431 US,,,,,"Hollander Sleep Products has developed and sold basic bedding for over 50 years and is the world's largest producer of bed pillows. Other products include down and down alternative comforters and mattress pads. We have world wide sourcing teams and 8 distribution facilities throughout the US and Canada. We pride ourselves on quality, having our own in house quality control laboratory. Hollander helps you live comfortably."
NY Textiles Market - Fall,10/04/2021,2021,https://www.hometextilestoday.com/,DM,Home Textiles Today,,,http://www.homeandtextilestoday.com/,jmarks@homeandtextilestoday.com,9172088733,,500 7th Avenue 12th Floor New York NY 10018 US,,,,,"Founded in 1979, Home & Textiles Today is the voice of the home textiles industry, providing news and information about leading home textiles retailers and vendors as well as product categories, trends and key executives. In addition to 17 print issues (also available digitally), HTT publishes HTT Extra, a free global daily e-newsletter bringing executives up to the minute news."
NY Textiles Market - Fall,10/04/2021,2021,https://www.hometextilestoday.com/,DM,Indo Count Global,,,www.indocount.com,kklalpuria@indocount.com,1-646-416-7000,,"295 Fifth Avenue, Suite 621 New York NY 10016  US",,,,,
NY Textiles Market - Fall,10/04/2021,2021,https://www.hometextilestoday.com/,DM,"JLA Home- E & E Co., Inc.",,,,joan.scotto@jlahome.com,5165287829,,11 E 26th Street  2nd Floor New York NY 11561 US,,,,,
NY Textiles Market - Fall,10/04/2021,2021,https://www.hometextilestoday.com/,DM,Keeco,,,,cgrassi@lkeeco.com,212-685-9077,,295 5th Ave Suite 406 New York NY 10016 US,,,,,
NY Textiles Market - Fall,10/04/2021,2021,https://www.hometextilestoday.com/,DM,Klear Vu Corporation,,,www.klearvu.com,Ben.Cooper@klearvu.com,5086745723,,600 Airport Road Fall River MA 02720 US,,,,,
NY Textiles Market - Fall,10/04/2021,2021,https://www.hometextilestoday.com/,DM,Laural Home,,,Lauralhome.com,Don@LauralHome.com,2012648020,,210 Knickerbocker Road Cresskill NJ 07626 US,,,,,
NY Textiles Market - Fall,10/04/2021,2021,https://www.hometextilestoday.com/,DM,LDB Interior Textiles,,,http://ldbinteriortextiles.com/,LDBadvPhilippa@aol.com,212-661-1516,,5255 Zelzah Avenue  #117 Encino CA 91316 US,,,,,
