ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
NY Textiles Market - Spring,03/21/2022,2022,https://www.hometextilestoday.com/,DM,Al-Karam USA Inc,,,www.alkaram.com,295 Fifth Avenue Suite 1111,Fax:,,New York NY 10016 US,,,,,
NY Textiles Market - Spring,03/21/2022,2022,https://www.hometextilestoday.com/,DM,Avanti Linens,,,https://www.avantilinens.com/,jkaufman@avantilinens.com,201-641-7766,,"234 Moonachie Road, Moonachie NJ 07074 US",,,,,"Avanti Linens, established in 1969, is the world’s leading designer and manufacturer of embellished towels, with a focus on the better independent, specialty and department stores. Avanti also designs and markets an extensive collection of fully coordinated bath accessories, as well as the Spode Christmas Tree collection for kitchen, table and bath."
NY Textiles Market - Spring,03/21/2022,2022,https://www.hometextilestoday.com/,DM,"Beatrice Home Fashions, Inc.",,,www.beatricehf.com,sam.gindi@beatricehf.com,9085617370,,"151 Helen Street, South Plainfield NJ 07080 US",,,,,
NY Textiles Market - Spring,03/21/2022,2022,https://www.hometextilestoday.com/,DM,Berkshire Blanket,,,,smaddalene@berkshireblanket.com,4139675964,,"44 E. Main St., Ware MA 01082 US",,,,,
NY Textiles Market - Spring,03/21/2022,2022,https://www.hometextilestoday.com/,DM,Brentwood,,,,joys@brentwoodoriginals.com,310-667-8713,,US,,,,,
NY Textiles Market - Spring,03/21/2022,2022,https://www.hometextilestoday.com/,DM,Commonwealth Home Fashions,,,http://www.commonwealthhomefashions.com/,barryg@comhomfash.com,5143848290,5143827998,"39 Myers Way   P.O. Box 339, Willsboro NY 12996 US",,,,,"A family operated business since 1946, specializing in ready made curtains, draperies, and related accessories. Brand names that are merchandising include Thermalogic insulated curtains, Outdoor Decor, and water repellent outdoor curtains. Headquartered in Montreal, Canada, our distribution and warehouse facilities are based in upstate New York."
NY Textiles Market - Spring,03/21/2022,2022,https://www.hometextilestoday.com/,DM,Dito Lifestyles Inc.,,,www.ditohome.com,matt@ditohome.com,212-219-8680,,"70 Bowery Suite 504, New York NY 10013 US",,,,,
NY Textiles Market - Spring,03/21/2022,2022,https://www.hometextilestoday.com/,DM,Down Décor,,,,travis@downdecor.com,1-206-595-8629,,"1 Kovach Drive, Cincinnatti OH 45215 US",,,,,"A manufacturer and importer of private label down bedding, decorator pillow inserts and offer contract cut and sew services. We also sell bulk fill to other manufacturers."
NY Textiles Market - Spring,03/21/2022,2022,https://www.hometextilestoday.com/,DM,Franco Manufacturing,,,http://www.franco-mfg.com/,davidl@francomfg.com,732-623-9497,,"555 Prospect Street, Metuchen NJ 8840 US",,,,,"Through consistent year to year growth and partnerships with top brands such as Disney, Nickelodeon, Warner Brothers, Hasbro, Paul Frank and Speedo, Franco Manufacturing has become one of the top ten USA based home textiles companies."
NY Textiles Market - Spring,03/21/2022,2022,https://www.hometextilestoday.com/,DM,"Himatsingka America, Inc.",,,,trishala.kataria@himatsingka.com,1234567890,,"261 Fifth Avenue Suite 1400, New York NY 10016 US",,,,,"Himatsingka America is the leading designer, manufacturer and distributor of luxury home textile brands in North America.  Our portfolio features top-tier labels like Kate Spade, Calvin Klein and Barbara Barry.  Our product assortment includes top of bed, sheeting, bedding accessories, towels and bath accessories. As a division of the Himatsingka Group, a leading textile manufacturer in India, we are North America’s premier source for exceptional home collections."
