ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,AMEFA,E02b,9P,http://www.amefa.fr,amefa@amefa.fr,0033 33477977475,0033 477973396,"NOIRETABLE, 12-14 RUE DE L'AUVERGNE",France,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,AMBIENTI GLAMOUR SRL,C02 D09,11P,www.ambientiglamour.com,amministrazione@ambientiglamour.com,0039 0761 527077,0039 0761 527348,"ROMA (RM), VIA DELLA STAZIONE SAN PIETRO 65",Italy,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,AMBIENTE EUROPE B.V.,K12,11P,http://www.ambiente.eu,info@ambiente.eu,0031 243570440,0031 243570450,"DS BEUGEN, LAAN DE WIJZE 19",Netherlands,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,ALL ONE ITALIA SRLS,,,,info@alloneitaliasrl.com,0813386942,,"POGGIOMARINO (NA), VIA PIANO DEL PRINCIPE N242/A",Italy,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,AIT DESK LCC,M24,9P,https://aitdesks.it/,pcassina@nwita.it,0036703917981,,"Budapest, Farras Str. 3",Hungary,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,AGAREN SRL,D22,9P,http://www.agaren.it,amministrazione@agaren.it,0039 373 5047790,,"CALTAGIRONE (CT), C.DA POGGIARELLI SNC",Italy,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,4YOU DESIGN SRL,,,www.wildmsg.com,info@4youdesign.it,0039 02 9746295,,"LEGNANO (MI), CORSO MAGENTA 28",Italy,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,13 RICREA SAS DI A. MENSI & C.,,,http://www.13ricrea.com,13ricrea@13ricrea.com,0039 0142940471,0039 0142940499,"SERRALUNGA DI CREA (AL), VIA CASALE 3/BIS",Italy,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,24Bottles SocietÃ  Benefit S.r.l. a socio unico,N09,9P,http://www.24bottles.com,alice@24bottles.com,0039 051 0330500,,"VILLANOVA DI CASTENASO (BO), VIA TOSCANINI 9",Italy,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,AUTHENTIC MODELS BV,A18 B19,11P,http://www.authenticmodels.com,sales.eu@authenticmodels.com,0031 365219191,0031 365219170,"ZEEWOLDE, AMBACHTSWEG 37",Netherlands,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,ATLANTE,C20 D19,11P,http://www.atlantesrl.it,info@atlantesrl.it,0039 051 0959800,0039 051 758708,"CASALECCHIO DI RENO (BO), VIA 2 GIUGNO 1946 8",Italy,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,ATELIER CARTA BIANCA,N19,9P,http://www.ateliercartabianca.it,info@ateliercartabianca.it,0039 339 6751337,,"ALESSANDRIA (AL), VIA ROMERA 4",Italy,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,ARTINFIORE di Boschetti Maurizio,N22,9P,http://www.artinfiore.com,info@artinfiore.com,0039 347 9630047,,"FORLI' (FC), VIA CONSOLARE 44",Italy,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,ARTEINOLIVO SRL,D20,9P,http://www.arteinolivo.com,info@arteinolivo.com,0039 339 1563524,,"SAN GIORGIO MORGETO (RC), CONTRADA CAVALIERE 10",Italy,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,ART ARTI DELLA TAVOLA E DEL REGALO,B17,9P,http://www.art-tavolaregalo.it,segreteria@art-tavolaregalo.it,0039 02 7750254,0039 02 76013825,"MILANO (MI), CORSO VENEZIA 47",Italy,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,ARCUCCI TRADE SRL,,,http://www.arcuccitrade.it,info@arcuccitrade.it,0039 0572 318288,0039 0572 319490,"BUGGIANO (PT), VIA DELLE PADULETTE 4/6",Italy,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,ARTE FINO S.L.,L06 L10,11P,http://www.arte-fino.com,artefinomed@yahoo.es,0034630571764,0034962201803,"VALENCIA, CALLE ASSAGADOR DE LA TORRE 67B",Spain,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,ANTIK ARS SRL UNIPERSONALE,F01,9P,http://www.antikars.it,stella@antikars.it,0039 030 8900650,0039 030 8900430,"SAREZZO (BS), VIA ANTONINI 111",Italy,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,ANAMNESIA,,,https://anamnesia.gr,vassilisp@anamnesia.gr,0039 3280239892,,"METAMORPHOSI - ATTIKA, 20 ARTEMIDOS ST",Greece,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,"AMENITY CO., Ltd",,,https://www.fwoodworking.com,shop@fujiwarawoodworking.com,+81792932277,,"HIMEJI (PREFETTURA DI HYŌGO), 3-11 NISHIYASHIRO-CHO",Japan,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,CERAMICHE CONDO' di Condò Antonio Salvatore,F16,9P,www.ceramichecondo.it,info@ceramichecondo.it,0039 347 5175906,,"GERACE (RC), PIAZZA TRIBUNA",Italy,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,CERAMICHE BUCCI SRL,,,http://www.ceramichebucci.com,hello@ceramichebucci.com,0039072127127,,"PESARO (PU), STRADA DELLA ROMAGNA 143",Italy,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,CERAMICA ND DOLFI,H22,9P,http://www.nddolfi.it,info@nddolfi.it,0039 0571 541204,,"MONTELUPO FIORENTINO (FI), VIA DERUTA Z. ART. PRATELLA",Italy,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,CENTURY CO.,,,https://www.marumo1887.com/,century@plum.ocn,0081572245353,,"TAJIMI-CITY (GIFU), 1-12-3 ICHINOKURA-CHO",Japan,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,CENTRO DEL MUTAMENTO di Meregalli Maristella,N17,9P,http://www.arteinlegno.it,arteinlegno@arteinlegno.it,0141764141,0141763549,"BRUNO (AT), VIA MARCONI 15",Italy,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,BRIANTINA PROFESSIONAL,,,http://www.briantina.it,info@briantina.it,0039 0375 59628,0039 0375 59602,"VIADANA (MN), VIA GIUSEPPE VERDI 15",Italy,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,CARIOCA SPA,T09,11P,http://www.carioca.it,marketing@carioca.it,0039 011 8962411,0039 011 4785150,"SETTIMO TORINESE (TO), VIA G. VERGA 40TER",Italy,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,CASA Y MENAJE 2015 S.L.,,,http://www.casamenaje.com,import@casamenaje.com,0034962200838,0034962200558,"L'OLLERIA, POL. IND. EL CARRASCOT, C/FUNDIDORS S/N",Spain,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,BRAVO 1997 SRL,U22 V21,11P,,bravo1997.it@gmail.com,3664977911,,"MILANO (MI), VIA A. FIORAVANTI 28",Italy,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,BOLZONELLA SRL,M02 N03,11P,http://www.bolzonella.it,info@bolzonella.it,0039 0429 709665,0429707079,"STANGHELLA (PD), VIA STATALE 37",Italy,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,BLUESIDE EMOTIONAL DESIGN,E12 F11,9P,http://www.blueside-design.com,info@blueside-design.com,0039 075 3725094,,"PERUGIA (PG), VIA ROMANO DI SOPRA 2&#47;C - SAN MARTINO IN CAMPO",Italy,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,BLOMUS GMBH,G02 H01,9P,http://www.blomus.com,info@blomus.com,0049 29338310,,"SUNDERN, ZUR HUBERTUSHALLE 4",Germany,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,BLIND BARBER DISTRIBUTION,M09,9P,www.blindbarber.net,info@blindbarber.net,0039 342 7005024,,"UDINE (UD), VIA MALBORGHETTO 28",Italy,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,BIZZ TECHNOLOGY SRL,C21,9P,http://www.cassigolieditions.com,l.bindi@cassigolieditions.com,0039 050 49490,,"PISA (PI), VIA CHIASSATELLO 100 - CORTE SANAC",Italy,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,BINNEY & SMITH EUROPE LTD,P20 R19,11P,http://www.crayola.it,giofresi@libero.it,0543720997,0543721075,"FORLI (FC), VIA FIGLINE 13",Italy,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,BAUMALU S.A,B02 B10 C01 C09,9P,https://www.baumalu.fr,info@baumalu.fr,0039 02 6686294,,"BALDENHEIM, 20, ROUTE DE SCHWOBSHEIM",France,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,DAITOU SHINGU,,,https://daitoushingu.com/,info@daitoushingu.com,,,"KYOTO (KYOTO), 66-2 YAMADEN",Japan,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,DAC SRL,,,http://www.dacsrl.net,dac.info@dacsrl.net,0039 0375820611,0039 0375785840,"CAVRIAGO (RE), VIA LIBERO GRASSI 4",Italy,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,Cutting brothers,P07,9P,www.cuttingbrothers.de,wiebe.textil@gmx.de,0049 91 5233959387,,"BIELEFELD, APFELSTRASSE 245",Germany,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,CREAZIONI CERAMICHE di Guastaveglie A. & C. SNC,M09,11P,http://www.presepiterracotta.it/,info@presepiterracotta.it,0039 075 9711635,0759711635,"DERUTA (PG), VIA DELL'ENGOBBIO 4",Italy,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,CREATION GROSS,,,http://www.creation-gross.de,info@creation-gross.de,0049 6825 92547110,004968069514925,"HEUSWEILER-WAHLSCHIED, AUF HIRTENWIES 8",Germany,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,CREA SRL,N08,9P,www.ideacrea.it,info@ideacrea.it,0039 0574 1581439,,"FIRENZE (FI), VIA PIER CAPPONI 69",Italy,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,COZY LIVING,D22 E21,11P,http://www.cozyliving.dk,sales@cozyliving.dk,004578772080,,"ALLEROD, SOLVANG 6",Denmark,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,CORDERO GIANCARLO,K10,11P,http://www.tessilia.it,gcordero47@gmail.com,0039 335 6049499,,"CHIVASSO (TO), VIA TORINO 69",Italy,,,,
Homi Milano,03/11/2022,2022,http://www.bilbaomueble.com/,DM,COOKUT,B02 B10 C01 C09,9P,www.cookut.com/it,info@mainocarlo.it,0039 02 6686294,,"CHAPONOST, 1 ROUTE DES TROQUES",France,,,,
