ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,09 Cuines,,,,,,,"Calle Cirer I Pont, 3, 2. 07500, Manacor (illes Balears). España., Manacor",Illes Balears,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Muebles Abaco Domart,,,,,,,"Calle Granada, 45, Parcela. 34004, Palencia (palencia). España., Palencia",Palencia,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Abo Line,,,,,,,"Calle Finca Son Rosiñol Porcela, 358, Poligono 7. 07430, Llubi (illes Balears). España., Llubi",Illes Balears,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Gracias Mama,,,http://www.gracias-mama.com,,,,"Calle Mayor, 32. 28013, Madrid (madrid). España., Madrid",Madrid,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,A Valencia E Hijos,,,https://www.ebanisteriaavalencia.es/,,,,"Camino Palomares Calle, 1, 13. 47011, Valladolid (valladolid). España., Valladolid",Valladolid,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Disseny Cuina,,,http://www.dissenycuina.com/,,,,"Calle Pantano, 117, 123. 08221, Terrassa (barcelona). España., Terrassa",Barcelona,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,L'eix,,,http://www.leix.es,,,,"Calle Strauss, 7, 11. 08191, Rubi (barcelona). España., Rubi",Barcelona,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Merca 100,,,,,,,"Calle Conde Aranda, 106, Lo. 50003, Zaragoza (zaragoza). España., Zaragoza",Zaragoza,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,3h Cocinas,,,http://www.cocinas3h.com,,,,"Calle 4, S/n, 4. 45217, Ugena (toledo). España., Ugena",Toledo,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,123 Cocinas Kuchen,,,http://cocinas-tenerife.com,,,,"Avenida Marques De Villanueva Del Prado, S/n, Local 89 Ccial La Cupula. 38400, Puerto De La Cruz (santa Cruz De Tenerife). España., Puerto De La Cruz",Santa Cruz De Tenerife,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,2000 Cuinem,,,,,,,"Rambla 42 P, 2, P 2. 08302, Mataro (barcelona). España., Mataro",Barcelona,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Cocinas Castro,,,http://www.cocinas castro.es,,,,"Carretera Higueron, S/n. 11300, Linea De La Concepcion (la) (cadiz). España., Linea De La Concepcion (la)",Cadiz,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Aceros Mecanizados Del Queiles,,,,,,,"Calle Virgen, 5. 50510, Novallas (zaragoza). España., Novallas",Zaragoza,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Acci Cocinas,,,,,,,"Calle Moraima Tres Plt, 1, Pta A. 18500, Guadix (granada). España., Guadix",Granada,,,,
