ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Antonio Garcia Gb Grup,,,http://www.gbgrup.net,,,,"Poligono Coll Estret Nave, 2. 25180, Alcarras (lleida). España., Alcarras",Lleida,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Anepol System,,,http://www.anepol.net,,,,"Calle Aragon Esquina A Calle Cataluña Plgno In, S/n. 03640, Monovar (alicante). España., Monovar",Alicante,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Amiced 2014,,,,,,,"Calle Concepcion, 7, 2º. 30510, Yecla (murcia). España., Yecla",Murcia,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Almohadas Retaco,,,http://www.almohadasretaco.es/,,,,"Avenida Francisc Parc, 8, 6 Plind. 30840, Alhama De Murcia (murcia). España., Alhama De Murcia",Murcia,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Alvaflex,,,http://www.alvaflex.com/,,,,"Carretera Alcacer A Picasent S N, S/n. 46220, Picassent (valencia). España., Picassent",Valencia,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Amaro Descanso,,,,,,,"Poligono Miguel Servet Nave, 2. 50008, Zaragoza (zaragoza). España., Zaragoza",Zaragoza,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Ada Descanso Y Confort,,,,,,,"Avenida Benalmadena, 43, Puerta 111. 29620, Torremolinos (malaga). España., Torremolinos",Malaga,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Alcazara,,,,,,,"Calle Veintitres De Abril, 26, Polig El Pilar. 50014, Zaragoza (zaragoza). España., Zaragoza",Zaragoza,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Almohadas Plax,,,http://www.plax.es,,,,"Calle Obispo Miro, 20. 46880, Bocairent (valencia). España., Bocairent",Valencia,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Splendor,,,http://www.colchonsplendor.com,,,,"Avenida Conde Duque, 26, Plind La Postura. 28340, Valdemoro (madrid). España., Valdemoro",Madrid,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Arteflek,,,,,,,"Calle Rebata, 4. 45216, Carranque (toledo). España., Carranque",Toledo,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Arval System,,,http://www.arvalsystem.com,,,,"Calle Isla Cabrera, 28. 46026, Valencia (valencia). España., Valencia",Valencia,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Futon Line,,,http://www.futonline.com/,,,,"Calle Parla, 4, Polig Ind Ventorro Del Cano. 28925, Alcorcon (madrid). España., Alcorcon",Madrid,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Disma,,,,,,,"Calle Via Portugal 20, 17, 19 Bajos. 07500, Manacor (illes Balears). España., Manacor",Illes Balears,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Aristokratik,,,,,,,"Calle Aguabajo, 4, Bajo B. 41400, Ecija (sevilla). España., Ecija",Sevilla,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Bed S,,,,,,,"Calle Mas De Gaminde, 17, Bj. 35006, Palmas De Gran Canaria (las) (las Palmas). España., Palmas De Gran Canaria (las)",Las Palmas,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Bs Buensueño-solber,,,http://www.buensueno.es,,,,"Calle Le A Parcela, S/n, Plind El Semolilla. 30640, Abanilla (murcia). España., Abanilla",Murcia,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Besa Buen Colchon,,,,,,,"Avenida Sequia Reial Del Xuquer, 4. 46460, Silla (valencia). España., Silla",Valencia,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Bio Vital Sort,,,,,,,"Calle Industria, 8, P I La Rosa 1. 18330, Chauchina (granada). España., Chauchina",Granada,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Mismo Que Razon Social,,,http://www.biocolchon.com,,,,"Avenida Paz, 214. 30510, Yecla (murcia). España., Yecla",Murcia,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Beoart,,,,,,,"Paseo Tarajal, S/n, Local 339 B Ccial C. 38640, Arona (santa Cruz De Tenerife). España., Arona",Santa Cruz De Tenerife,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Aspol,,,http://www.colchonesasapol.com,,,,"Calle 4, S/n, Pol. Ind. Sanciabrao Das Viñas. 32901, San Cibrao Das Viñas (ourense). España., San Cibrao Das Viñas",Ourense,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Bedline,,,http://www.bedline.es,,,,"Carretera Ajalvir, S/n, Km 2 200 Calle Argelia. 28806, Alcala De Henares (madrid). España., Alcala De Henares",Madrid,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Bedroom,,,,,,,"Calle Valencia, 15, 3 6. 46960, Aldaia (valencia). España., Aldaia",Valencia,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Ayr Salud Descanso,,,,,,,"Calle Ramon Y Cajal, 19, 1. 41920, San Juan De Aznalfarache (sevilla). España., San Juan De Aznalfarache",Sevilla,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Balimu Gestion De Comercio,,,,,,,"Calle P I Oeste C/ Costa Rica, S/n, Parcela C Costa Rica. 30820, Alcantarilla (murcia). España., Alcantarilla",Murcia,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Astral Descanso,,,,,,,"Calle Informatica, 35. 19200, Azuqueca De Henares (guadalajara). España., Azuqueca De Henares",Guadalajara,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Biorest,,,http://biorestsystem.com/,,,,"Plaza Lealtad, 3, Planta 5ª. 28014, Madrid (madrid). España., Madrid",Madrid,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Bioenergy Dreams,,,https://www.bioenergydreams.es/,,,,"Calle Capa Negra, 6, Bl 5 4ª A. 28522, Rivas Vaciamadrid (madrid). España., Rivas Vaciamadrid",Madrid,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Biodess Burgos,,,,,,,"Calle Montes Obarenes, S/n, Plgno Villalonquejar. 09001, Burgos (burgos). España., Burgos",Burgos,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Colchon Laxy,,,,,,,"Carretera Zaragoza, 16, - Recajo. 26160, Agoncillo (la Rioja). España., Agoncillo",La Rioja,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Bostezos Espumas,,,,,,,"Calle Mueble, 56. 46469, Beniparrell (valencia). España., Beniparrell",Valencia,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Bogar Dos Mil Seis,,,,,,,"Calle Folch I Torres, 7, Bajos. 25008, Lleida (lleida). España., Lleida",Lleida,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,La Premier,,,http://www.la-premier.es/,,,,"Calle Dels Fusters, 8, 9 - 10 - 11 Poligono Indust. 46290, Alcasser (valencia). España., Alcasser",Valencia,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Cesar Bauset,,,,,,,"Calle Duque De Gaeta, 53, 1º Bajo. 46022, Valencia (valencia). España., Valencia",Valencia,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,C I Salud Relax Y Descanso,,,,,,,"Calle Batalla Del Salado, 34, Escalera Izquierda 1º B. 28045, Madrid (madrid). España., Madrid",Madrid,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Cedisa Asturias,,,http://www.cedisa-asturias.es,,,,"Avenida Valentin Masip, 5, Bj. 33013, Oviedo (asturias). España., Oviedo",Asturias,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Ceache Goma Espuma,,,https://ceacheweb.com/,,,,"Avenida Tio Pepe, 27. 11407, Jerez De La Frontera (cadiz). España., Jerez De La Frontera",Cadiz,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Casadouro Del Descanso,,,http://www.casadouro.com,,,,"Lugar De Espasande, 84, Parroquia De Luou. 15886, Teo (coruña (a)). España., Teo",Coruña (a),,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Carriches Colchonerias,,,https://www.carrichescolchonerias.es/es/,,,,"Calle Albacete, 22. 28903, Getafe (madrid). España., Getafe",Madrid,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Capsula R. E. M. Internacional,,,,,,,"Calle Cine, 34, Local 40. 28024, Madrid (madrid). España., Madrid",Madrid,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,El Rincon Del Abuelo,,,,,,,"Rambla General Del Franco, 15. 38006, Santa Cruz De Tenerife (santa Cruz De Tenerife). España., Santa Cruz De Tenerife",Santa Cruz De Tenerife,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Canapes Colchones Y Dormitorios,,,,,,,"Avenida Industria, 72, Nave. 28970, Humanes De Madrid (madrid). España., Humanes De Madrid",Madrid,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Canap Descanso,,,,,,,"Paseo Misionero Luis Fontes Servet, 14, Esc 2 4 C. 30007, Murcia (murcia). España., Murcia",Murcia,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Cliniconfort Salud,,,,,,,"Calle Ciudad Dario, 45, Plind La Creu. 46250, Alcudia (l) (valencia). España., Alcudia (l)",Valencia,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Colchon Hr,,,,,,,Murcia,Murcia,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Colchon Lince,,,,,,,Beniparrell,Valencia,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Colchon Dupen,,,,,,,Alginet,Valencia,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Colchon C R Rafael Martinez Martinez,,,,,,,Llosa De Ranes (la),Valencia,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Colchon Star,,,,,,,Vinalesa,Valencia,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Colchon Elaxtil Iberica,,,,,,,Murcia,Murcia,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Colchon De Cuna Dulces Sueños,,,,,,,Molina De Segura,Murcia,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Colchon Comodon,,,,,,,Mula,Murcia,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Colchollo,,,,,,,Bilbao,Bizkaia,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Codiconfort,,,,,,,Bollullos De La Mitacion,Sevilla,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Colchoneria Moderna,,,,,,,Granada,Granada,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Colchoneria Tordera,,,,,,,Tordera,Barcelona,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Codecol,,,,,,,Elche,Alicante,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Colchoneria Marco,,,,,,,Vigo,Pontevedra,,,,
iberinform,02/28/2022,2022,https://www.iberinform.es/informacion-de-empresas/directorio-cnae/310/fabricacion-de-muebles,DM,Colchonera Valenciana,,,,,,,Beniparrell,Valencia,,,,
