ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
imm cologne,01/17/2022,2022,https://www.imm-cologne.com/,DM,ABIMÓVEL - Associacao Brasileira das Indústrias do Mobiliário,Stand B022g | Stand B030gA031g,Hall 10.1,,comercial@brazilianfurniture.org,+55 1138178711,,"ABIMÓVEL - Associacao Brasileira das Indústrias do Mobiliário Av. Brigadeiro Faria Lima, 1234 - 11 floor, room 116 01451-913 Sao Paulo",Brazil,,,,
imm cologne,01/17/2022,2022,https://www.imm-cologne.com/,DM,Aromas Del Campo S.L.,Stand D002,Hall 11.1,www.aromasdelcampo.com,a.gascon@aromasdelcampo.com,+34 96 2737953,,Aromas Del Campo S.L. P.I. L'HORTA VELLA - STREET 7 - WAREHOUSE 13 46117 BÉTERA,Spain,Domestic lighting | Decorative contract lighting | Lighting for hotels and restaurants | LED lighting technology | Lighting concepts,,AROMAS DEL CAMPO,
imm cologne,01/17/2022,2022,https://www.imm-cologne.com/,DM,2020 Technologies GmbH,Stand B005 | Stand B003,Hall 4.2,www.2020spaces.de,peter.klaene@2020spaces.com,+49 15118011140,,2020 Technologies GmbH Winkelhausenstr. 13 49090 Osnabrück,Germany,Planning systems | E-Commerce | Virtual Reality,,2020 Fusion Live | 2020 Ideal Spaces | 2020 Insight,
imm cologne,01/17/2022,2022,https://www.imm-cologne.com/,DM,3g resins lda,Stand A021,Hall 10.1,www.3gresins.com,comercial@3gresins.com,+351 9253647914,,3g resins lda Parque Ind. Das Cerdeirinhas 379 Tabuacas 4850-429 Vieira Do Minho,Portugal,"Stackable chairs | Chairs, stools, benches",,,
imm cologne,01/17/2022,2022,https://www.imm-cologne.com/,DM,Acapulco Design (Einzelunternehmen),Stand N051,Hall 11.2,www.acapulcodesign.eu,info@acapulcodesign.eu,+49 163 4016172,,Acapulco Design (Einzelunternehmen) Am Glockenbach 9 80469 München,Germany,,,,
imm cologne,01/17/2022,2022,https://www.imm-cologne.com/,DM,2tec2,Stand M031 L030,Hall 11.2,2tea2.com,mail@letissage.com,+32 56854747,,2tec2 Boulevard Industriel 98 7700 Mouscron,Belgium,Tiles | Floor coverings,,,
imm cologne,01/17/2022,2022,https://www.imm-cologne.com/,DM,ACTONA GROUP A/S,Stand C031a | Stand C031 | Stand C021,Hall 7.1,www.actonagroup.com,info@actonagroup.com,+45 96135111,,ACTONA GROUP A/S Smedegaardvej 6 7500 Holstebro,Denmark,Table nests and side tables | Writing desks | Glass cases | Single sofas | Function sofas | Stools | Armchairs | Single furniture units for dining rooms | Dining rooms | Home Office Furniture | Kitchen furniture,,Actona Company,
imm cologne,01/17/2022,2022,https://www.imm-cologne.com/,DM,Nikolaidis Bros SA,Stand C051,Hall 8.1,www.nikotex.gr,nikotex@nikotex.gr,+30 231 0684400,,Nikolaidis Bros SA Anthokipi Neas Efkarpias 564 29 Thessaloniki,Greece,Floor coverings | Carpeting,,,
imm cologne,01/17/2022,2022,https://www.imm-cologne.com/,DM,AKANTE,Stand H013,Hall 10.1,www.akante.com,info@akante.com,+33 3 20903418,,AKANTE Avenue de Flandre 45 59290 WASQUEHAL,France,"Table nests and side tables | Writing desks | Sofa and armchair tables | Swivel chairs, chairs with castors | Dining and extending tables | Writing desks | Stackable chairs | Chairs, stools, benches",,AKANTE,
imm cologne,01/17/2022,2022,https://www.imm-cologne.com/,DM,Christine Kröncke Interior Design GmbH,Stand L041,Hall 11.2,www.christinekroencke.net,frank.stohlmeyer@christinekroencke.net,+49 892188910,,Christine Kröncke Interior Design GmbH Thierschstr. 37 80538 München,Germany,"Single sofas | Function sofas | Stools | Armchairs | Upholstered suites | Upholstered beds | Bedsteads | Double beds, single beds | Lath grids | Mattresses | Sofa and armchair tables | Corner benches | Dining and extending tables | Chairs, stools, benches | Shelves | Living room wardrobes | Home Office Furniture | Carpeting | Domestic lighting | Lighting for hotels and restaurants | LED lighting technology | Lighting concepts | Hotel, gastronomy | Lounge, reception | Office, administration | Educational institutions | Residence for elderly people | Selling rooms, store construction",,Christine Kröncke Interior Design,
