ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,( r e )x,N7342,,,,,,,,,,,"( r e )x (pronounced re-to-the-x), an eco-design company founded by Los Angeles-based designer Paulina Quintana, has launched a revolutionary fully recyclable hanger made from 100% recycled plastics that is gathered from the ocean or intercepted before entering it.   Quintana’s mission is to create sustainable solutions for everyday products and turn them into an opportunity to remove plastic waste from the environment.  “We need a vast array of sustainable solutions to consumer products in order to help heal the planet. The environmental impact of single-use plastics is well documented as one of the most vexing issues we face. There are over 8 billion plastic hangers discarded every year. Our new hanger represents a step in closing the circular economy."
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,3DP Company Limited,S3815,,,,,,,,,,,
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,3KEE VENTURES PRIVATE LIMITED,S3763,,,,,,,,,,,
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,A1 Solution Inc.,S138,,,,,,,,,,,
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,"Ablue Co., ltd",L13333,,,,,,,,,,,"We, ablue, are a manufacturer of"
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,Acco Brands,L12043,,,,,,,,,,,
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,Aeris by iRobot,L12023,,,,,,,,,,,
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,"Aesthetic Home Designs, Inc.",S1249,,,,,,,,,,,
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,AGILE APPLIANCES,S3764,,,,,,,,,,,
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,Airgle Corporation,L11223,,,,,,,,,,,"Since 1999, Airgle Corp. has been an industry leader with worldwide distribution of air purification systems, both stand alone and HVAC compatible. Our professional-grade purification solutions are engineered to combat airborne pathogens, ultra-fine particulates and VOCs in all indoor settings."
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,Al-Ahram Cookware,S4719,,,,,,,,,,,"The dream started in 1963 in the city of Alexandria, Egypt with a small factory producing bright aluminium cookware initiated by Ahmed El-Ashmawy. Starting modestly by using only two pieces of old manual spinning lathe metal, the dream has grown more and more over half a century. Today, Al-Ahram is one of the biggest Egyptian factories in the production of cookware. ‘Al-Ahram’ is the Arabic word for ‘Pyramids’ and has been now the company’s name for more than 59 years reflecting 7000 years of Egyptian civilization.With a capital of 5 million dollars, 4 production lines and 9 Al-Ahram stores around Egypt, we are the leaders in the world of cookware. And on top, we offer our customers besides our wide range of products with different designs and colors, a large variety of complementary products for the kitchen and the dining table."
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,AL-CO ALUMINYUM BAKIR VE MADENCILIK SANAYI TICARET A.S.,S2250,,,,,,,,,,,
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,Alpha Display Tech,S1052,,,,,,,,,,,
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,Alphaitalia S.p.A.,N6142,,,,,,,,,,,
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,Aluminio Oliveira,N7333,,,,,,,,,,,"Our Policy is to satisfy our customers and partners, offering products with high quality standards that provide economy, durability and innovative design."
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,and! Sales,S614,,,,,,,,,,,and! Sales is a female-owned business that got kicked off in 2010. We recognized that the industry and Midwestern territory were cluttered with order-takers and lacked skilled sales professionals to implement new methods of business for the betterment of business and the idea of creating success.
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,ANINDA FURNITURE,S1261,,,,,,,,,,,
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,"Apollo Industrial Co., Ltd.",S3957,,,,,,,,,,,
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,"Arcos Hermanos, S.A.",S220,,,,,,,,,,,"ARCOS HERMANOS S.A. is the first Spanish company and one of the most important at an international level in producing high quality cutlery for professional and housewares use. Founded in 1875, the company owns several plants in the province of Albacete (Spain) with an important human team of more than 500 people and a total surface around 30.000 square meters. We produce more than 600 different items and more than 70.000 pcs. per day. Besides, we have the most modern machinery and equipment, including the highest technology in robots for the cutlery production, up-dating them continuously. The objectives of ARCOS are clear: quality, design, service to our customers and environment protection. ARCOS has a market share in Spain of 40% and from the total turnover 60% goes to the export market and 40% to the local market."
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,Ardent Life Inc.,L11926,,,,,,,,,,,"Black woman-owned company, Ardent, brings luxury herbal DIY experiences to any space with an outlet. In a world where customization is everything, Ardent’s patented technology liberates the individual patient or consumer to make custom dosed, flavored, and portioned products in the comfort of almost any space."
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,Aricia India,S4447,,,,,,,,,,,ARICIA INDIA INTERNATIONAL PVT. LTD.
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,Arovo,S1019,,,,,,,,,,,Arovo
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,ART CLASSIC INTERNATIONAL,S1260,,,,,,,,,,,"ART CLASSIC is brand and a manufacturer of high quality kitchen and dining room accessories, furniture and home decoration made from Teak and other woods."
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,Artovida,N8527,,,,,,,,,,,Our tagline is our story...a partnership with artists around the world.
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,ARYASENA,S1259,,,,,,,,,,,
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,Asber Inc.,L11022,,,,,,,,,,,
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,Aspen Appliance Inc,L12041,,,,,,,,,,,
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,ASUDE PLASTIK SANAYI VE TICARET ANONIM SIRKETI,N7556,,,,,,,,,,,
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,Aveine,,,,,,,,,,,,"Aveine was born in France. It is the result of the meeting of three entrepreneurs with very different backgrounds: an engineer, grandson of a winegrower, Nicolas Naigeon, a designer Matthieu Robert, and a business developer expert, Miranda Delmotte. Gathered by their passion for wine and new technologies, it is naturally around a bottle of wine that the idea of a product that reinvents wine tasting is born. These three glasses clinking mark the beginning of the Aveine adventure."
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,"Axis International Marketing, Ltd.",N6211,,,,,,,,,,,"Axis has successfully developed a line of home storage and organizational solutions, most of which are USA Patented/Patent Pending and manufactured with only the highest quality materials yet at popular price points!If you're looking for a depth of product line with unique patented features, produced in wood, chromed steel as well as plastic, Axis is your one stop source with the right answers at the right price for all sorts of organizational solutions!Already available in most mail order catalogs, major hi-end retailers, as well as seen on TV, in the USA, Canada, UK, Europe and Australia.Isn't it time for you too to add our proven successful line of goods?Also see our unique area of inventors products we are bringing to market, all unique one of a kind items!"
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,Backley Homes,N8517,,,,,,,,,,,"With Backley, we select only the finest timber from sustainable forests worldwide that are recognized by renowned NGOs, including the Forest Stewardship Council. To ensure longevity and durability, our products are hand-made one at a time by trained artisans and are finished with USFDA approved food-grade butcher block oil. It is then hand buffed to bring out the natural grains of the wood."
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,BAGER PLASTIK SAN. VE TIC. LTD. STI.,S2651,,,,,,,,,,,
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,"BAJA Unlimited, LLC",N6515,,,,,,,,,,,
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,BAMBOO ART INDONESIA,S1359,,,,,,,,,,,
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,BASTONLU ZÜCCACIYE TICARET SANAYI LTD. STI.,S2650,,,,,,,,,,,
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,Benross Marketing Ltd,L13312,,,,,,,,,,,"Tors + Olsson was launched in 2019 and announced its arrival with a range of air coolers and fans, including the stunningly designed Air Pod bladeless fan.  The Tors + Olsson product range combines unique Scandinavian-inspired style design excellence with high quality performance."
International Housewares Association (IHA),03/05/2022,2022,https://www.housewares.org/,DM,Best Buy Imports,S3619,,,,,,,,,,,
