ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
International Housewares Association (IHA),01/03/2022,2022,https://www.housewares.org/,DM,A1 Solution Inc.,S138,,,,,,,,,,,
International Housewares Association (IHA),01/03/2022,2022,https://www.housewares.org/,DM,"Ablue Co., ltd",L13333,,,,,,,,,,,"We, ablue, are a manufacturer of"
International Housewares Association (IHA),01/03/2022,2022,https://www.housewares.org/,DM,Acco Brands,L12043,,,,,,,,,,,
International Housewares Association (IHA),01/03/2022,2022,https://www.housewares.org/,DM,Aeris Health Inc.,L12023,,,,,,,,,,,
International Housewares Association (IHA),01/03/2022,2022,https://www.housewares.org/,DM,"Aesthetic Home Designs, Inc.",S1468,,,,,,,,,,,
International Housewares Association (IHA),01/03/2022,2022,https://www.housewares.org/,DM,Airgle Corporation,L11655,,,,,,,,,,,"Airgle purifies the air in hospitals, clinics, dentist offices, schools, fire and EMT vehicles. Anywhere that precisely pure air is needed is where Airgle needs to be. Filtering to 100x smaller than HEPA-level filtration, we remove 99.999% of particles larger than 0.003 microns - that is 10x smaller than even the smallest virus."
International Housewares Association (IHA),01/03/2022,2022,https://www.housewares.org/,DM,and! Sales,S614,,,,,,,,,,,and! Sales is a female-owned business that got kicked off in 2010. We recognized that the industry and Midwestern territory were cluttered with order-takers and lacked skilled sales professionals to implement new methods of business for the betterment of business and the idea of creating success.
International Housewares Association (IHA),01/03/2022,2022,https://www.housewares.org/,DM,"Arcos Hermanos, S.A.",S220,,,,,,,,,,,"ARCOS HERMANOS S.A. is the first Spanish company and one of the most important at an international level in producing high quality cutlery for professional and housewares use. Founded in 1875, the company owns several plants in the province of Albacete (Spain) with an important human team of more than 500 people and a total surface around 30.000 square meters. We produce more than 600 different items and more than 70.000 pcs. per day. Besides, we have the most modern machinery and equipment, including the highest technology in robots for the cutlery production, up-dating them continuously. The objectives of ARCOS are clear: quality, design, service to our customers and environment protection. ARCOS has a market share in Spain of 40% and from the total turnover 60% goes to the export market and 40% to the local market."
International Housewares Association (IHA),01/03/2022,2022,https://www.housewares.org/,DM,Ardent Life Inc.,L11926,,,,,,,,,,,
International Housewares Association (IHA),01/03/2022,2022,https://www.housewares.org/,DM,Aricia India,S4447,,,,,,,,,,,ARICIA INDIA INTERNATIONAL PVT. LTD.
International Housewares Association (IHA),01/03/2022,2022,https://www.housewares.org/,DM,Arovo,S1019,,,,,,,,,,,
International Housewares Association (IHA),01/03/2022,2022,https://www.housewares.org/,DM,Artovida,N8735,,,,,,,,,,,Our tagline is our story...a partnership with artists around the world.
International Housewares Association (IHA),01/03/2022,2022,https://www.housewares.org/,DM,Asber Inc.,L11022,,,,,,,,,,,
International Housewares Association (IHA),01/03/2022,2022,https://www.housewares.org/,DM,ashortwalk ltd,N8526,,,,,,,,,,,"At Circular&Co. we reduce global waste and protect our finite natural resources through pioneering Circular Design. For 17 years we have been transforming today's waste into tomorrow’s new and useful products. Our collection is designed to last as long as possible, be easily recycled and increase the waste materials value each time it’s reused to drive a sustainable, closed loop economy."
International Housewares Association (IHA),01/03/2022,2022,https://www.housewares.org/,DM,Backley Homes,N8517,,,,,,,,,,,"With Backley, we select only the finest timber from sustainable forests worldwide that are recognized by renowned NGOs, including the Forest Stewardship Council. To ensure longevity and durability, our products are hand-made one at a time by trained artisans and are finished with USFDA approved food-grade butcher block oil. It is then hand buffed to bring out the natural grains of the wood."
International Housewares Association (IHA),01/03/2022,2022,https://www.housewares.org/,DM,Bear Down Brands,L12958,,,,,,,,,,,"Bear Down Brands is a network of consumer brands that each focus on premium home, health, and personal care products. It is our mission is to create elegant, practical, and innovative products that enhance the way you care for yourself and the world around you.  Since 2010, Bear Down's focus has been on developing award-winning product designs with world-class engineering, renowned customer support, and strong brand relationships with our consumers.  Our growing brand portfolio includes Pure Enrichment, Bentgo, Verilux, Brusheez and Easy Lunchboxes."
