ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Istanbul Furniture Fair,01/25/2022,2022,https://www.istanbulfurniturefair.com,DM,312 DESİGN METAL MOBİLYA AKSESUAR FUNDA ÖZGÜR,931,9,www.312dizayn.com.tr,,+90 542 348 9291,,saray mah. 1501 sok. 9/3-4 kahramankazan / ANKARA / KAHRAMANKAZAN / ANKARA / TÜRKİYE,,,,,
Istanbul Furniture Fair,01/25/2022,2022,https://www.istanbulfurniturefair.com,DM,32 C.M.S MOBİLYA OR. ÜR. HIRD. İNŞ. NAK. SAN. VE TİC. LTD. ŞTİ.,826/A,8,www.renimobilya.com,,+90 536 318 0821,,FATİH MAH. 59 CD. NO:5 SAV KÖY BELDESİ / ISPARTA / MERKEZ / ISPARTA / TÜRKİYE,,,,,
Istanbul Furniture Fair,01/25/2022,2022,https://www.istanbulfurniturefair.com,DM,A VE C MOBİLYA SAN. TİC. LTD. ŞTİ.,825/A,8,www.avecmobilya.com,,+90 352 240 3004,,MOBİLYACILAR SİTESİ OYMAAĞAÇ MAH. 5082 SOAK 3/J / KOCASİNAN / KAYSERİ / TÜRKİYE,,,,,
Istanbul Furniture Fair,01/25/2022,2022,https://www.istanbulfurniturefair.com,DM,A.T.D. AHMET TALAT DURAN DIŞ TİC LTD ŞTİ,1132/B,11,,,+90 352 321 3031,,KAYSERİ O.S.B. 24. CADDE NO:23 / MELİKGAZİ / KAYSERİ / TÜRKİYE,,,,,
Istanbul Furniture Fair,01/25/2022,2022,https://www.istanbulfurniturefair.com,DM,ACTIVE MOBİLYA SAN.VE TİC.LTD.ŞTİ.,901,9,www.activemobilya.com,,+90 535 610 1699,,Masko Mobilyacılar Sitesi 15/A Blok 18/20 Başakşehir/İstanbul / Başakşehir / İSTANBUL / TÜRKİYE,,,,,
Istanbul Furniture Fair,01/25/2022,2022,https://www.istanbulfurniturefair.com,DM,ACTİVEDESİNG MOBİLYA-METİN ATAMAN,545/B,5,,,+90 224 713 4409,,Mahmudiye mah. Tabakhane cad. No: 2/1 / inegöl / BURSA / TÜRKİYE,,,,,
Istanbul Furniture Fair,01/25/2022,2022,https://www.istanbulfurniturefair.com,DM,AÇIKEL MOBİLYA AKSESUAR GIDA İTH. İHR. SAN. VE TİC. LTD. ŞTİ.,955,9,www.acikelmobilya.com.tr,,+90 536 263 2888,,GÜZELBURÇ MAH. SANAYİ SİTESİ 14. CAD. NO: 2/1 / antakya / HATAY / TÜRKİYE,,,,,
Istanbul Furniture Fair,01/25/2022,2022,https://www.istanbulfurniturefair.com,DM,ADAR MOBİLYA İNŞ.OTOM.SAN.TİC.LTD.ŞTİ.,603/B,6,www.mertmobilya.com,,+90 532 574 2200,,MAHMUDİYE MAH. GAZCILAR SOK. NO: 2/A / İNEGÖL / BURSA / TÜRKİYE,,,,,
Istanbul Furniture Fair,01/25/2022,2022,https://www.istanbulfurniturefair.com,DM,ADİL ÖZKAN MOBİLYA İTH. İHR. SAN. VE TİC. LTD. ŞTİ.,634/A,6,,,+90 532 730 6014,,SHOWROOM:YENİ SANAYİ SİTESİ 3.İNİŞ 5.CADDE NO:16 ANTAKYA/HATAY FABRİKA:AÇIKDERE MAHALLESİ MOBİLYACILAR SİTESİ CADDESİ NO:19/1 ANTAKYA/HATAY / ANTAKYA / HATAY / TÜRKİYE,,,,,
Istanbul Furniture Fair,01/25/2022,2022,https://www.istanbulfurniturefair.com,DM,ADLERO MASA SANDALYE,943,9,www.adlero.com.tr,,+90 312 353 3330,,Diriliş Mah. Turgut Özal 2 bulvarı no:214 Mamak Ankara / MAMAK / ANKARA / TÜRKİYE,,,,,
Istanbul Furniture Fair,01/25/2022,2022,https://www.istanbulfurniturefair.com,DM,AES ELEKTRONİK MAKİNA SANAYİ VE TİCARET A. Ş.,F1,Fuaye/Foyer,www.aesgroup.com.tr,,+90 224 443 3390,,NOSAB Şeftali Cd. 118. Sk. No4 / nilüfer / BURSA / TÜRKİYE,,,,,
Istanbul Furniture Fair,01/25/2022,2022,https://www.istanbulfurniturefair.com,DM,AKABE MOB.İML.VE MLZ.İNŞ.İTH.İHR.SAN.VE TİC.LTD.ŞT,941,9,www.akabeaksesuar.com,,+90 530 289 6189,,Açıkdere Mah. Mobilyacılar Sitesi (İhtisas Sanayi Sitesi) No:70 / ANTAKYA / HATAY / TÜRKİYE,,,,,
Istanbul Furniture Fair,01/25/2022,2022,https://www.istanbulfurniturefair.com,DM,AKAY MOBİLYA SAN.TİC.A.Ş.,224,2,www.allegrohome.com,,+90 543 330 7011,,Yeniceköy Mah. Mobilya Cad. No: 32 / İnegöl / BURSA / TÜRKİYE,,,,,
Istanbul Furniture Fair,01/25/2022,2022,https://www.istanbulfurniturefair.com,DM,AKC MOBİLYA ORMAN ÜRÜN.TUR.İNŞ. İTH. İHR.SAN.TİC.LTD.ŞTİ.,206,2,www.livello.com.tr,,+90 541 442 3442,,SÜLEYMANİYE OSB 1. CAD. NO: 27 / inegöl / BURSA / TÜRKİYE,,,,,
Istanbul Furniture Fair,01/25/2022,2022,https://www.istanbulfurniturefair.com,DM,AKÇALAR GÜNCEL MOBİLYA İNŞ. SAN. TİC. LTD. ŞTİ.,215,2,,,+90 224 714 1470,,HAMZABEY OSB MAH. 5.CADDE NO.18/1 BURSA - İNEGÖL / İNEGÖL / BURSA / TÜRKİYE,,,,,
