ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,BESTSELLER WHOLESALE SPAIN S.L.,8D01,,http://www.bestseller.com,,+34 952 05 50 11,,"MÁLAGA, CL ARGELIA, 2, 29140",ESPAÑA,Productos,,,"BESTSELLER es uno de los mayores grupos de distribución de moda a nivel mundial. Somos propietarios de más de 20 marcas, con presencia en más de 70 países en los 5 continentes. Ofrecemos moda y accesorios para todo tipo de consumidores.
Vistita nuestra web."
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,ANTON MILAZZO UNIPESSOAL LDA,8C19,,http://www.polita-moda.com,,+34 628 94 72 38,,"RUA DO BRASIL, S/N",PORTUGAL,Productos,,,
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,NAF NAF,8D08,,http://www.nafnaf.es,nafnaf@nafnaf.es,+34 972 59 68 00,,"GIRONA, Pol. Ind. Pont Xetmar, Calle D S/N, 17844",ESPAÑA,Productos,,,"NAFNAF es una marca de referencia tanto en Francia, su lugar de origen, como en España. Lleva más de 45 años en el mercado posicionándose como una marca joven, moderna, chic y con un toque de sofisticación. Urbana, muy activa la mujer NAFNAF tiene de 25 a 45 años y busca en NAFNAF la prenda más adecuada para todos los momentos de su vida."
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,ANGA BISUTERIA,4B41E,,http://www.angabisuteria.com,,+34 971 36 46 06,,"ILLES BALEARS, AV. CAP DE CAVALLERIA, 25 - POIMA, 07714",ESPAÑA,Productos,,,
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,ANISA,8A14,,http://www.anisastore.es,info.anisastore@gmail.com,+34914389141,,"MADRID, CALLE LA BAÑEZA 25 B, 28947",ESPAÑA,Productos,,,Empresa familiar con más de 20 años en el sector textil. Diseño & Fabricación.
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,IFEMA MADRID,,,https://www.ifema.es/,,,,,,Productos,,,Institución ferial de Madrid
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,ANGELO MORETTI,4B29,,,,0032-476777858,,"MEIRBRUG, 1",BÉLGICA,Productos,,,
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,AMRIT INTERNATIONAL,4A25,,http://www.amritinternational.com,,009111-22043310,,2/131 GEETA COLONY,INDIA,Productos,,,
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,ANEKKE,4F04,,http://www.azzargroup.com,,96-6299139,,"ALICANTE, C/APARADORAS 1 (P.I. LES PEDRERES), 03610",ESPAÑA,Productos,,,"Azzar Group es un grupo empresarial español dedicado a la fabricación de bolsos y complementos de moda. Su crecimiento a nivel internacional durante los últimos años ha situado a la empresa como actor referente en el sector. 
Uno de los mayores éxitos del grupo ha sido la creación de la marca ANEKKE que se ha convertido en un icono para las mujeres de más de 60 países. Anekke es la protagonista de la firma que recibe su propio nombre, dando vida a las diferentes historias que inspiran cada colección. Se nutre de valores como la superación personal, el empoderamiento de la mujer y la ilusión por perseguir los sueños .
 Azzar Group fue fundada en 1996, acunada bajo la tradición en marroquinera de una familia de emprendedores de Petrer (Alicante). Hoy en día, liderada por la tercera
generación, es una empresa dinámica en constante crecimiento, con un equipo
joven y comprometido, que sigue manteniendo vivos los valores que iniciaron
aquel proyecto hace más de 20 años: pasión, dedicación y calidad."
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,ANA CABELLO ORTIZ,3D17,,http://www.karaventura.com,,957-684616,,"CÓRDOBA, CL RABADANES, 5 LOCAL, 14540",ESPAÑA,Productos,,,"Kara Ventura es un estudio de creación e impresión decorativa de papel pintado, murales lienzos y Pantallas para Lámparas
Partiendo de nuestros diseños, creamos colecciones decorativas de papel de pared, lienzos, papeles autoadhesivos, lámparas etc. que combinan perfectamente entre ellos, para que consigas tu espacio exclusivo, reflejo de tu personalidad."
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,ANARTXY,4C02,,,,+34 960 06 07 45,,"VALENCIA, C/ DOCTOR FLEMING 2, 46185",ESPAÑA,Productos,,,"Desde 2009 elaborando joyas con esencia mediterránea. La filosofía de Anartxy se basa en la creación de piezas inspiradas en la luz y el color que caracterizan a esta tierra, Valencia.   
Cada temporada conformamos una propuesta tan diversa como impredecible para mujeres
que quieren llevar piezas para el día a día.  Defendemos que la calidad es posible a precios asequibles ."
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,AMALIA HOME COLLECTION,5A20,,,,+34 351912453465,,RUA MONTE DE CIMA 314,PORTUGAL,Productos,,,
