ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,AINES,4C13,,http://www.ainesjoyas.com,,943-283505,,"GUIPÚZCOA CAMINO MUNDAIZ, 10 20012",ESPAÑA,"PRODUCTOS DECORACIÓN | GALERÍA DE NOVEDADES | PRODUCTOS REGALO | PRODUCTOS JOYERÍA Y RELOJERÍA | PRODUCTOS BISUTERÍA Y COMPLEMENTOS | PRODUCTOS CONFECCIÓN TEXTIL, CALZADO Y AUXILIARES",,,
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,ADOC ESPACIO CONTEMPORANEO,6G01A,,,,+34 639 14 93 70,,MADRID AMOR DE DIOS 4 28014,ESPAÑA,"PRODUCTOS DECORACIÓN | GALERÍA DE NOVEDADES | PRODUCTOS REGALO | PRODUCTOS JOYERÍA Y RELOJERÍA | PRODUCTOS BISUTERÍA Y COMPLEMENTOS | PRODUCTOS CONFECCIÓN TEXTIL, CALZADO Y AUXILIARES",,,
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,AGUILAR MALAGA S.L.,5C08,,http://www.aguilarmalaga.com,info@aguilarmalaga.com,+34 607 76 18 87,,"MÁLAGA GERALD BRENAN 1, POL. IND. GUADALHORCE 29004",ESPAÑA,"PRODUCTOS DECORACIÓN | GALERÍA DE NOVEDADES | PRODUCTOS REGALO | PRODUCTOS JOYERÍA Y RELOJERÍA | PRODUCTOS BISUTERÍA Y COMPLEMENTOS | PRODUCTOS CONFECCIÓN TEXTIL, CALZADO Y AUXILIARES",,,
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,ADAPELL,4E06,,http://www.adapellbcn.com,adapell@telefonica.net,+34933882473,,"BARCELONA CL SARDENYA, 59-61 BAJOS 08918",ESPAÑA,"PRODUCTOS DECORACIÓN | GALERÍA DE NOVEDADES | PRODUCTOS REGALO | PRODUCTOS JOYERÍA Y RELOJERÍA | PRODUCTOS BISUTERÍA Y COMPLEMENTOS | PRODUCTOS CONFECCIÓN TEXTIL, CALZADO Y AUXILIARES",,,"Adapell es una marca española dedicada al diseño y creación de marroquinería en piel, que nace en el año 2004 con Ada Fernández Escudero, siendo la segunda generación de una empresa apasionada por el diseño en piel. El conocimiento de la piel, la calidad y el detalle, han hecho que sigamos innovando con nuestras colecciones que reflejan las últimas tendencias de moda cada temporada.
Nuestros productos están diseñados y fabricados bajo la supervisión de profesionales altamente experimentados y cualificados. Las pieles que utilizamos cumplen 
 estrictamente con las normas europeas y medioambientales, cuidando al máximo su calidad y textura.
Esperamos que disfruten de nuestras nuevas colecciones."
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,AFRA EUROPA,4A08,,www.afra.es,pedidos@afra.es,+34 971 75 04 37,,"ILLES BALEARS CARRER LICORERS, 252 07141",ESPAÑA,"PRODUCTOS DECORACIÓN | GALERÍA DE NOVEDADES | PRODUCTOS REGALO | PRODUCTOS JOYERÍA Y RELOJERÍA | PRODUCTOS BISUTERÍA Y COMPLEMENTOS | PRODUCTOS CONFECCIÓN TEXTIL, CALZADO Y AUXILIARES",,,"Fábrica de cadenas fundada en 1981, AFRA es una empresa que ha crecido en los principales mercados del mundo. En la actualidad exporta sus productos a FRANCIA, BELGICA, ITALIA, INGLATERRA, GRECIA, PAISES ARABES, EEUU, SUDAMERICA, PORTUGAL y al complicado y sutil mercado del JAPON. 
La continua evolución de sus diseños mejora constantemente sus modelos. La calidad de estas cadenas se inicia con el uso de un hilo con alto contenido en cobre. Prosigue su fabricación mediante una maquinaria totalmente automática y de elevadísima precisión. Sus baños galvánicos ya no utilizan níquel, que como es sabido es el causante de las  alergias. Por todo ello las cadenas chapadas y antialérgicas AFRA son conocidas y apreciadas por su esmerada calidad. (Las cadenas son CHAPADAS EN ORO)  ."
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,ACERTIJO,4B20,,http://www.acertijo925.com,,+34 981 81 92 33,,A CORUÑA Lgar de Castro 11 Illobre 15885,ESPAÑA,"PRODUCTOS DECORACIÓN | GALERÍA DE NOVEDADES | PRODUCTOS REGALO | PRODUCTOS JOYERÍA Y RELOJERÍA | PRODUCTOS BISUTERÍA Y COMPLEMENTOS | PRODUCTOS CONFECCIÓN TEXTIL, CALZADO Y AUXILIARES",,,
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,AGATHA RUIZ DE LA PRADA - PERTEGAZ,4D14,,http://www.karambake.com,info@karambake.com,+34 34931933377,,"BARCELONA Gran Bretanya, 64 08917",ESPAÑA,"PRODUCTOS DECORACIÓN | GALERÍA DE NOVEDADES | PRODUCTOS REGALO | PRODUCTOS JOYERÍA Y RELOJERÍA | PRODUCTOS BISUTERÍA Y COMPLEMENTOS | PRODUCTOS CONFECCIÓN TEXTIL, CALZADO Y AUXILIARES",,,"KARAMBAKE nace en 2005 para desarrollar productos de moda, acompañando a grandes marcas españolas a posicionarse en el mundo de la joyería, bisutería, relojería y otros complementos.
Hoy, colaboramos con Agatha Ruiz de la Prada y Pertegaz como licenciatarios y con otras compañías españolas desarrollando productos para ellas.
Nos apasiona la joyería y la bisutería de moda, y estas dos marcas nos permiten plasmarlo en cada diseño.
Nuestro equipo de diseño, en Barcelona, adapta el ADN de estas marcas con las tendencias actuales, desarrollando nuevas colecciones cada temporada.
 
Puedes encontrar nuestros productos en los mejores puntos de venta de tu lugar de residencia, o aquí, en nuestra tienda on-line.
 
Si tienes una tienda y quieres vender nuestros productos contacta con nosotros y te informaremos. Distribuimos nuestras marcas nosotros mismos o a través de nuestro distribuidor oficial MONPERRAT GROUP, S.L."
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,AETA,6G21,,http://www.tasadoresjoyas.com,info@tasadoresjoyas.com,91- 5596866,,"MADRID CL ACADEMIA, 8 28014",ESPAÑA,"PRODUCTOS DECORACIÓN | GALERÍA DE NOVEDADES | PRODUCTOS REGALO | PRODUCTOS JOYERÍA Y RELOJERÍA | PRODUCTOS BISUTERÍA Y COMPLEMENTOS | PRODUCTOS CONFECCIÓN TEXTIL, CALZADO Y AUXILIARES",,,"Quienes somos.
¿Sabe usted cual es el valor de mercado de sus alhajas? ¿Le gustaría conocer la antigüedad y autenticidad de unas joyas heredadas?.
En AETA le ofrecemos la posibilidad de inventariar y certificar sus joyas y alhajas a través de alguno de nuestros tasadores asociados (Gemólogos y Tasadores titulados) y le daremos presupuesto sin compromiso, siempre de una forma profesional y seria. Además de nuestra experiencia de más de 25 años, ofrecemos seminarios y jornadas sobre joyería, gemología y cursos en colaboración con el HRD (Consejo Superior del Diamante de Amberes) y la Universidad de Granada. Su confianza en nosotros es su seguridad.
¿Qué es AETA?
Es una Asociación independiente creada para dar un servicio técnico, objetivo y profesional a sus clientes, a través de sus tasadores asociados. Somos una entidad sin ánimo de lucro para la promoción y divulgación de tasaciones de alhajas, prestando atención a sus valores histórico-artísticos, artesanales y comerciales. Como apoyo para ello ofrece la Asociación las siguientes actividades:
1º.- La promoción de actividades culturales, docencia y apoyo a la enseñanza, celebración de seminarios y conferencias, excursiones culturales, publicación de artículos, boletines, libros, exposiciones, etc.
2º.- Establecer relaciones de cooperación con personas, entidades y asociaciones similares que persigan los mismos objetivos y fines.
3º.- Promover el desarrollo cultural y científico de los asociados, dentro de unas normas de ética profesional y objetividad en sus actuaciones.
AETA tiene ámbito nacional y desarrolla sus actividades dentro del marco territorial de ESPAÑA. La Asociación funciona en régimen de autonomía-administrativa y patrimonial propias y se rige por representantes libremente elegidos.
NO COMPRAMOS NI VENDEMOS - SOMOS PROFESIONALES DE LA TASACIÓN."
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,A. BRITO - MOBILIARIO S.A.,3E03,,http://www.aabrito.com,,+34 351224447300,,RUA DA ZONA INDUSTRIAL N. 844,PORTUGAL,"PRODUCTOS DECORACIÓN | GALERÍA DE NOVEDADES | PRODUCTOS REGALO | PRODUCTOS JOYERÍA Y RELOJERÍA | PRODUCTOS BISUTERÍA Y COMPLEMENTOS | PRODUCTOS CONFECCIÓN TEXTIL, CALZADO Y AUXILIARES",,,
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,AD ANKARA DISEÑOS,4B15,,http://www.ankaradisenos.es,,+34 34926550350,,"CIUDAD REAL San Antón, 15 13600",ESPAÑA,"PRODUCTOS DECORACIÓN | GALERÍA DE NOVEDADES | PRODUCTOS REGALO | PRODUCTOS JOYERÍA Y RELOJERÍA | PRODUCTOS BISUTERÍA Y COMPLEMENTOS | PRODUCTOS CONFECCIÓN TEXTIL, CALZADO Y AUXILIARES",,,
