ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,DOSFER CUADROS Y ESPEJOS,3E14,,http://www.dosfer.com,,+34 637 44 96 02,,"GUIPÚZCOA, ORIA ETORBIDEA 4/1, 20160",ESPAÑA,Productos,,,"Enmarcaciones Dósfer somos una empresa con varias décadas de experiencia en el sector de la decoración. Empezamos con un pequeño negocio de enmarcación y crecimos hasta abarcar diferentes sectores. Ahora mismo, gracias a nuestros diferentes catálogos con sus más de 6.000 referencias, estamos orgullosos de trabajar con grandes decoradores, múltiples tiendas de decoración, distribuidores internacionales y grandes superficies. En Enmarcaciones Dósfer también nos hemos encargado de la fabricación de los cuadros en múltiples residencias, hoteles, museos y edificios institucionales. Los cuadros de Enmarcaciones Dósfer decoran las paredes de residencias de empresas como Geriatros, Caser, Fundosa o Lamorous. También en hoteles de las cadenas Radisson, Elba, Los Jándalos, Barceló o Aránzazu entre otros.
Uno de los puntos fuertes de nuestra empresa es que, además de las miles de referencias ya disponibles en nuestros catálogos, tenemos la posibilidad de diseñar e imprimir nuestras láminas. En Enmarcaciones Dósfer tenemos la posibilidad de proporcionar cuadros con tamaños y motivos adecuados para cada instalación, adaptándonos a los gustos, demandas y necesidades del cliente.
Imprimimos sobre canvas, papel recubierto, papel fotográfico o papel artesano, siempre con tintas UV que garantizan la conservación de los colores. Disponemos de un amplio catálogo de molduras y montajes –con cristal, arraglas, barnizado sobre tabla, en lienzo con bastidor– para poder adaptarnos a cualquier requisito estético o norma de seguridad. Así mismo ponemos a disposición del cliente la posibilidad de encargarnos de la instalación y colocación de los cuadros en destino."
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,DECO HOME AND GARDEN,5D10,,http://www.decohg.com,,+34 683 15 99 31,,"BARCELONA, OSONA, Nº 9 BIS, 08551",ESPAÑA,Productos,,,"Somos una empresa distribuidora de productos de decoración
de la casa, del jardín y en especial decoración de la mesa. Tenemos más de 20
años de experiencia en el sector y ofrecemos las últimas tendencias
adaptándonos a las necesidades de nuestros clientes. Estamos siempre orientados
a su satisfacción y de entre las firmas que distribuimos destaca la empresa
holandesa Ambiente Europe."
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,EXCLUSIVAS CAMACHO,5C01,,http://www.e-camacho.com,,95-2322900,,"MÁLAGA, AVDA. ORTEGA Y GASSET,309-P.I. SAN LUIS, 29006",ESPAÑA,Productos,,,"Empresa española dedicada a la importación y distribución  de artículos de regalo y decoración. Fundada en 1964. 
Disponemos de unas modernas instalaciones  con una superficie util de 18.000 m2, y almacenes con capacidad de carga de 16.000 europalets, gestionados con un avanzado sistema logístico .
Ademas de nuestro Show-room, contamos con una extensa red comercial que comprende diversos mercados como España, Portugal e Italia."
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,FOIMPEX,3C16,,http://www.foimprex.com.es,ventas@foimpex.es,93-2968882,,"Barcelona, Crom 25, 08940",España,Productos,,,"Con 40 años de experiencia, en Foimpex imaginamos, diseñamos y seleccionamos los mejores artículos de cada temporada para crear cada colección. Nuestro objetivo es compartir, sorprender, vivir con nuestros clientes las nuevas tendencias en decoración y las últimas novedades en regalo.
  Nos gusta mimar los detalles en cada uno de los productos, desde que nacen hasta que llegan al cliente. Nos esforzamos en avanzarnos y reinventarnos para ofrecer tendencias acogedoras, diferentes y especiales. El maravilloso mundo de la decoración, cada vez más exigente, valora la innovación continua y la creación constante.
  Agradecemos a nuestros clientes su confianza y que nos permitan compartir con ellos nuestra pasión por este mundo."
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,COORDONNE,1D04,,http://www.coordonne.com,,+34933227314,,"BARCELONA, Bajo, 08004",ESPAÑA,Productos,,,"Editor of wallpapers, fabrics and decorative paints from Barcelona since 1978."
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,DECORAGLOBA,5E10,,http://www.decoragloba.com,info@decoragloba.com,96-3381717,,"Valencia, PASAJE DR. BARTUAL MORET , 5 B, 46010",España,Productos,,,"Mayorista de velas decorativas perfumadas, difusores mikado y ambientadores para el hogar. Suministramos productos de decoración relacionados con la iluminación natural. Para personalizar y diseñar ambientes con estilo e identidad.Fabricamos artesanalmente nuestras fragancias del hogar, con materias primas naturales, cera 100% vegetal y mecha de algodón natural. Aromas que transmiten sensaciones y que te hacen viajar a otros lugares, e incluso a tus recuerdos, a través de la memoria olfativa. Descubre nuestras colecciones de fragancias.Le invitamos a visitar nuestra web para conocer más sobre Decoragloba."
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,CRISAL DECORACION,3A05,,http://www.crisaldecoracion.com,,95-2040038,,"MÁLAGA, CALLE PARIS, NUM. 31  POL. SAN LUIS, 29006",ESPAÑA,Productos,,,"Crisal Decoracion
Crisal Decoracion nace en los años 90 apostando con fuerza por la belleza y la calidad en el mundo de la decoración. Durante todo este tiempo, nos hemos distinguido por el buen servicio ofrecido y por la gran experiencia tanto en el sector residencial como el de ""contract"". Nuestro mobiliario se encuentra presente en instalaciones decoradas por interiorista de primera línea. 
Además, les ofrecemos muebles de última tendencia y disponibilidad inmediata en la mayoría de los casos, debido al volumen de stocks disponible. Nuestros muebles son elaborados de forma artesanal, con maderas macizas y acabados naturales, aportando a nuestros productos un carácter especial y único.
En nuestra web podrán visualizar todos nuestros productos y consultar todo tipo de detalles y características de los mismos."
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,FISURA,7B05,,http://www.fisura.com,,659-093590,,"LEÓN, CTRA. GIJÓN-SEVILLA PK 154 NAVE 2, 24231",ESPAÑA,Productos,,,"ELIGE QUÉ Y CÓMO QUIERES VIVIR...

En Fisura siempre miramos hacia delante con firmeza y optimismo. En estos últimos meses hemos aprendido que la esencia de la vida está en sentirse a gusto en cualquier lugar y ante cualquier circunstancia. La búsqueda de ese sentimiento es lo que nos ha animado más aún a trabajar para inundar nuestra nueva colección de luz, color, aroma, asertividad, diversión y para haceros experimentar estas buenas sensaciones.

En esta colección AW2021 continuamos con la misma tendencia alegre, original y canalla que nos define. Ampliamos líneas de productos y presentamos novedades con las que nuestros clientes se sentirán realmente identificados con nuestra marca. Además te presentamos colecciones formadas por distintas lineas de producto basadas en la misma temática para ponerte más fácil crear distintos ambientes.

CHOOSE WHAT AND HOW YOU WANT TO LIVE......

At Fisura we’re always looking forward with firmness and optimism. During last months we have learnedthat the essence of life is to feel at ease in any place and in any circumstance. The search for this feeling is what has encouraged us to work even harder to flood our new collection with light, colour, scent, assertiveness, fun and to make you experience these good feelings.

In this AW2021 collection we continue with the same cheerful, original and scoundrel trend that defines us. We are extending our product lines and presenting new products with which our customers will feel truly identified with our brand. We also present collections made up of different product lines based on the same theme to make it easier for you to create different atmospheres.

CHOISISSEZ CE QUE VOUS VOULEZ VIVRE...

Chez Fisura, nous regardons toujours vers l’avenir avec fermeté et optimisme. Ces derniers mois, nous avons appris que l’essence de la vie est de sentir à l’aise en tout lieu et en toute circonstance. C’est la recherche de ce sentiment qui nous a incités à travailler encore plus dur pour inonder notre nouvelle collection de lumière, de couleurs, d’arômes, d’affirmation de soi, de plaisir et pour vous faire vivre ces bonnes sensations.

Dans cette collection AW2021 nous continuons avec la même tendance joyeuse, originale et voyou qui nous définit. Nous élargissons nos lignes de produits et présentons de nouveaux produits avec lesquels nos clients se sentiront vraiment identifiés à notre marque. Nous présentons également des collections composées de différentes lignes de produits basées sur le même thème afin de vous permettre de créer plus facilement différentes atmosphères. 

Página web de FISURA"
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,CAIMANA S.A.,3C03,,http://www.caimana.es,,91-6420319,,"MADRID, GUADALQUIVIR, 7. - P.I. COBO CALLEJA, 28947",ESPAÑA,Productos,,,
Intergift,02/02/2022,2022,https://www.ifema.es/en/intergift,DM,#AUM - Popat Store Lda,5A16,,http://www.aum.pt,popatstore@hotmail.com,+351937260332,,"RUA QUINTA DOS ALAMOS, LT30,, 2625-577",PORTUGAL,Productos,,,"A Popat Store Importação e Exportação Lda é uma empresa  sediada em Portugal, com uma experiencia 25 anos no mercado europeu, sobretudo ibérico, e com o objetivo principal de satisfazer os seus clientes e pareceiros com os variados produtos alimentares, aromáticos e decoração, especialmente orientais.A AUM Fragrances é uma das marcas especializadas na destinção dos produtos aromáticos de alta qualidade e amigos do ambiente. Incensos, Velas, Difusores, Óleos e muitos outros aromatizantes estão incluidos no leque das ofertas.Representamos também as marcas melhor conceituadas e bem conhecidas a nível mundial de incenso e óleos aromáticos, como a Goloka, HEM, Cycle, Flute, Satya, Parimal."
