ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,4 SEASONS OUTDOOR BV,A14,Esplanade,http://www.4seasonsoutdoor.fr,,,,,nl,"Building & landscaping, Outdoor living",,,One again 4 Seasons Outdoor furniture collections excels in quality and design. With guarantees up to 10 years we stand for quality. The extensive range is an addition for every store specializing in garden furniture.
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,8 SEASONS DESIGN GMBH,K23,Hall 1,http://WWW.8-SEASONS-DESIGN.DE,,,,,de,"Building & landscaping, Services, Outdoor living",,,"8 Seasons Design, an interior / exterior lighting specialist, manufactures its models in its own factory. The brand is synonymous with conscientious production in Germany, we also use recyclable polyethylene."
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,AB SAFETY,V22,Hall 2,http://www.ab-safety.eu,,,,,be,"Gardening, Outdoor living",,,AB-Safety specializes in providing personal protective equipment to dealers and retailers in Europe. AB-Safety has been active in the wholesale distribution “Business to Professional” and “Business to Consumer” for over 25 years.
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,AEROSPRING HYDROPONICS,P21,Hall 2,http://,,,,,sg,,,,
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,AGARIS,P05,Hall 2,http://www.agaris.com,,,,,fr,Gardening,,,"Agaris creates growing media for different sales segments. Professional growers from all over the world can daily count on our specialized substrates for a sustainable and performant cultivation. Our substrates are essential for the cultivation of mushrooms, fruits & vegetables&nbsp;(...)"
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,AGRIVER,R26,Hall 2,https://www.tonusol.com/,,,,,fr,Gardening,,,"FERTILISERS, TOP SOILS, MULCHES and  MANURE all organically certified by ECOCERT. Our high quality products are specifically tailored to each plant need and care. All the properties including Lombric Compost, seaweed, micro-nutrients and organic materials 100% natural garantee."
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,AIC INTERNATIONAL,A93,Esplanade,https://www.aic-international.net,,,,,fr,"Gardening, Building & landscaping, Outdoor living",,,"AIC International designs and provides outdoor decoration and solar lighting products for over 15 years marketed under the brand ORIUM Jardin, a pioneer in ecological lighting, we have built a complete range according to current trends."
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,AJS BLACKFOX,N20,Hall 2,http://blackfox-group.com,,,,,fr,Gardening,,,"AJS is a French company, specialized in gardening footwear, in garden centers and DIY stores in France and all Europe."
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,ALLIANCE SCP PARTENAIRES,P45,Hall 2,http://,,,,,fr,,,,
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,ALTONA FORESTA,A52,Esplanade,http://www.foresta.fr,,,,,fr,"Gardening, Building & landscaping, Outdoor living",,,"Our company produce garden products for chainstores. we have 3 factories in Europe who produce wooden sheds , pergolas and carports and others products for the garden. Our head office is the leader for injection and extrusion products for garden and&nbsp;(...)"
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,AMSCAN EUROPE GMBH,D34,Hall 1,http://www.amscan-europe.com,,,,,de,Outdoor living,,,"Amscan produces partygoods, latex & foil balloons and dress up items. Our large selection of products covers all occasions and all ages: birthday, baby shower, wedding,... We have products for Everyday and Seasonal campaigns: Valentine’s Day, Halloween, Christmas, NY. Licensed &&nbsp;(...)"
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,ANDERMATT FRANCE,N34,Hall 2,https://www.andermatt.fr/,,,,,fr,Gardening,,,
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,ANDREA BIZZOTTO SPA,D33,Hall 1,http://www.bizzotto.com,,,,,it,"Gardening, Building & landscaping, Outdoor living, Services",,,"The company was founded by Andrea Bizzotto in 1946. Initially bound to local craftsmanship, with wicker accessories and furnishings, over the years the company grew in its search for products until it reached the far East. Outdoor furniture, indoor furniture, home&nbsp;(...)"
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,ANDRONI GIOCATTOLI S.R.L,I03,Hall 1,http://www.andronigiocattoli.it,,,,,it,Outdoor living,,,"Italian manufacturer for the last 46 years, Androni Giocattoli is specialized in the production of plastic toys : Gardening toys, Lawn Mowers, Wheel Barrows, Gardening Tools, Swings, Outdoor Beach, Sport...  2021 : NEW RANGE made out of sugar cane - 100 %&nbsp;(...)"
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,ANTICOMESTIERE  GARDEN SERVICE SRL,B28,Hall 1,http://WWW.ANTICOMESTIERE.COM,,,,,it,"Building & landscaping, Gardening",,,"We are producers of terracotta and plastic pots. The brand AnticoMestiere has become a leader on the national and international scene of terracotta.Our production represent the typical Tuscan tradition, the high quality products are made with Galestro clay, one of&nbsp;(...)"
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,AQUALUX - CF GROUP,F07,Hall 1,https://www.edg-by-aqualux.com/accueil/,,,,,fr,Building & landscaping,,,"Subsidiary one of the European leaders in the swimming pool, spa and pond market (CF Group), we offer a complete innovative range for the maintenance, renovation and valorisation of swimming pools and water gardens:  Our main manufactured products  Chemistry,  Filtration,&nbsp;(...)"
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,ARCHE DIFFUSION,C03,Hall 1,http://www.archediffusion.fr,,,,,fr,"Services, Building & landscaping, Outdoor living",,,"Arche Diffusion is specialized in artificial flowers. From imported flowers, we create our own floral arrangements in our workshop (based in the Sout-west of France). We give priority to the quality of our products and our French craftmanship, thanks to&nbsp;(...)"
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,ARDEA,B02,Hall 1,http://www.ardeagroupe.fr,,,,,fr,"Gardening, Building & landscaping",,,"ARDÉA develops and markets cleaning, DIY and ignition products for the general public. The company is currently the leader in France in the distribution of chemicals and solvents. Its activities are deployed through brand worlds such as: Onyx: solvents and DIY&nbsp;(...)"
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,ARETA SRL,A20,Esplanade,http://www.areta.com,,,,,it,Outdoor living,,,"Since 1987 Areta has been leader in the production of plastics furniture. It is one of the symbols of Italian quality design. The products are conceived to be multifunctional, quality recognisable, long–lasting and suitable for indoor and outdoor contract sector."
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,ARLUX LIGHTING,H25,Hall 1,https://arlux-lighting.fr/,,,,,fr,Building & landscaping,,,"CREATIVE DESIGN & SMART SOLUTION FOR LIGHTING ARLUX is a continuation of a decades of experience in the domestic and professional lighting: from creating originaux designs to production, through compliance controls and performance."
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,ARMOSA,S33,Hall 2,https://www.armosa.eu/fr/,,,,,fr,Gardening,,,"Armosa is the new name for all the activities of the Aedes-Protecta / Belgagri / Biosix group. With this new name, we are moving more than ever before towards becoming a market leader in solutions for the protection against, and&nbsp;(...)"
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,AROZ,R08,Hall 2,http://,,,,,fr,Gardening,,,
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,ART PLAST S.P.A.,B19,Hall 1,https://www.artplast.it/,,,,,it,"Building & landscaping, Outdoor living",,,"Art Plast is an Italian production Company, founded in 1981 We have a wide range of products: from plastic cabinets, to shelves, and tiles of different sizes and models. This year we propose a range of innovative pots,  made with 100%&nbsp;(...)"
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,ATELIER DES TROIS MONDES,G33,Hall 1,http://https://atelierdestroismondes.wordpress.com/,,,,,fr,"Building & landscaping, Outdoor living, Services",,,
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,AZURIO,C04,Hall 1,https://www.azurio-gazon.fr,,,,,fr,"Building & landscaping, Outdoor living",,,"Azurio, French manufacturer of synthetic turf for 15 years, offers ultra-realistic, high-end and competitive products. A manufacturer who protects its partners thanks to a flawless business ethic, offering adapted marketing supports, internal and efficient logistics ..."
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,BAHCO,U32,Hall 2,http://www.bahco.com/fr,,,,,fr,Gardening,,,"Tool manufacturer since more than 150 years with 11 factories in Europe including 2 in France, Bahco offers a large range of tools for the passionate gardener as well as for the following applications : landscaping, horticulture, viticulture, pomology and&nbsp;(...)"
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,BARBECOOK (LIVWISE),L26,Allée/Alley,http://www.barbecook.com,,,,,be,Outdoor living,,,"Barbecook has since its creation in 1985 one mission: respond to innovation what makes barbecuing nicer and easier. Today Barbecook offers different barbecue models, ranging from charcoal and gas to smokers, but also the most extensive range of accessories on&nbsp;(...)"
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,BARENBRUG FRANCE,P32,Hall 2,http://semer-gazon.fr/barenbrug-france/,,,,,fr,Gardening,,,"Branding, production and trading of turf seeds"
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,BATIMEX SAS - LUMISKY,H19,Hall 1,http://www.lumisky.com,,,,,fr,"Building & landscaping, Gardening, Outdoor living",,,"Lumisky is a BATIMEX’s brand, specialized in ambient lighting, for indoor and outdoor use. Historically manufactured in China, we are developing our production in Europe since 2015. We are proud to be able to say ’Made in EU’ for more&nbsp;(...)"
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,BAUDOU,P29,Hall 2,http://www.baudou.fr,,,,,fr,Gardening,,,"Our story started in 1910, and since then we have never stopped innovating. Today, we are at many professionals¹ feet Farming, Construction, Heavy, Duty, Health, Food Processing, Transport of Dangerous Products, Industry and Artisans you name their trade and we will&nbsp;(...)"
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,BAYROL FRANCE,F11,Hall 1,http://www.bayrol.com,,,,,fr,Building & landscaping,,,BAYROL is the pool & spa water expert. BAYROL products are available throughout Europe. Choosing BAYROL : A complete range of products Innovative products The guarantee of qualitative and compliant products. Accurate and reliable advice.
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,BELLAMOLI GRANULATI SPA,A62,Esplanade,http://www.bellamoli.it/,,,,,it,Building & landscaping,,,"The story of an enterprise is often linked to that of a family,it started back in 1927. Nowadays the company boasts three transformation sites, a significant production capacity, their own quarries(the best guarantee for colour uniformity of their materials), one&nbsp;(...)"
JDC,03/29/2022,2022,https://www.journeesdescollections.com/en/,DM,BELLI SAS,A05,Esplanade,http://www.belli-france.com,,,,,fr,"Gardening, Building & landscaping, Outdoor living",,,"French Manufacturer, we are specialized in the design, manufacture and market of garden and home equipments. The products manufactured are the following:. Watering can, Water storage,. Dustbins; . Composters,. Parasol base, Containers for plants etc."
