ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
January Furniture Show,01/23/2022,2022,https://januaryfurnitureshow.com,DM,AC Furniture,,,,,,,,,,,,
January Furniture Show,01/23/2022,2022,https://januaryfurnitureshow.com,DM,B4 Living spa,2-C20,2-C20,https://www.bontempi.it/,,,,"Ancona, Italy",Italy,,,,
January Furniture Show,01/23/2022,2022,https://januaryfurnitureshow.com,DM,AWS Trading Ltd,4-F36,4-F36,,,,,"Salford, United Kingdom",United Kingdom,,,,
January Furniture Show,01/23/2022,2022,https://januaryfurnitureshow.com,DM,Aspire European Living Ltd,,,www.aspireeu.net,,,,"Maidstone, United Kingdom",United Kingdom,,,,"Aspire European Living Ltd, dedicated to sourcing product specifically for the UK market, from around the world."
January Furniture Show,01/23/2022,2022,https://januaryfurnitureshow.com,DM,Art Marketing Ltd,3-K43,3-K43,artmarketing.co.uk,,,,"Hertford, United Kingdom",United Kingdom,,,,
January Furniture Show,01/23/2022,2022,https://januaryfurnitureshow.com,DM,Ascott Ltd,3-M62,3-M62,https://www.ascott-ltd.co.uk/,,,,United Kingdom,United Kingdom,,,,"Ascott specialise in supplying and handmaking artificial trees, artificial plants, artificial flower bouquets and artificial hedging. Our beautifully handcrafted range will make any space come alive, presenting you with the beauty of nature without the commitment and care of maintaining living greenery. Our in house creative team are experts in all aspects of artificial greenery, with no project too small or too large - from an individual bouquet to a full design fit out."
January Furniture Show,01/23/2022,2022,https://januaryfurnitureshow.com,DM,Ashwood Designs,1-D30,1-D30,,,,,"Aberdare, United Kingdom",United Kingdom,,,,
January Furniture Show,01/23/2022,2022,https://januaryfurnitureshow.com,DM,Arte-n Furniture Ltd,,,,,,,,,,,,
January Furniture Show,01/23/2022,2022,https://januaryfurnitureshow.com,DM,Ancient Mariner Furniture Co Ltd,3-P20,3-P20,https://www.ancientmarinerfurniture.co.uk/,,,,"Blackburn, United Kingdom",United Kingdom,,,,"Ancient Mariner Furniture is a family-run business responsible for the manufacture and wholesale of handmade furniture and accessories, personally selected and sourced from around the globe. The journey started in 1945, when our Grandad returned home from WW2. He decided to take his furniture from the front room, put it in the shop window and start trading. We have come a long way since then – the business evolved into a wholesaler 25 years ago and it is currently being run by the 3rd generation of the Ellis family. Our love of travel and exploration took us to Indonesia 25 years ago. It was there that we started working with Indonesian artisan suppliers, eventually forming a network of trusted suppliers. We cherish these relationships; for us it is the true definition of fair trade and expressed in a discreet brass plaque on our furniture. Ethics Ancient Mariner has created many jobs for communities in Indonesia. Working closely with local craftsmen and women, our aim is to partner directly with the makers and support traditional ways of life. We are invested in helping to improve education standards and skills within the local villages we work with, as well as providing steady long-term employment for all of our employees. Sustainability As we continue to grow as a company, we are aware of the increasing strain on the environment caused by the depletion of natural resources such as forests and woodlands. With this in mind, we source all of our materials from government-sanctioned plantations, using only the highest quality recycled Mango, Mahogany and Teak. Keeping the Quality None of this commitment to tradition means we cut corners on quality and consistency. All our suppliers are overseen by highly skilled professionals ensuring the finish of our furniture is kept to the same high standard. We keep the village handmade production with the factory quality. Making unique furniture Like anything natural, Ancient Mariner Furniture has a distinctive character and this will only get better with age. Every piece has gone through a lengthy process in construction and is purposefully aged to give it even more character. We don’t try to hide irregularity in our furniture; in fact we think this gives each piece its distinctive character. Find us Our UK base is in the small village of Ribchester, nestled in the heart of the beautiful Ribble Valley. Here we have an extensive warehouse, as well as a newly-refurbished showroom with lifestyle room sets."
January Furniture Show,01/23/2022,2022,https://januaryfurnitureshow.com,DM,Archibold Beckers - excellent relax group,,,www.archiboldbeckers.co.uk,,,,"Batley, United Kingdom",United Kingdom,,,,"As a family business with over 100 years of manufacturing experience, we are justifiably proud of our hard- earnt reputation."
January Furniture Show,01/23/2022,2022,https://januaryfurnitureshow.com,DM,Alstons,1-C60,1-C60,www.alstons.co.uk,,,,"Colchester, United Kingdom",United Kingdom,,,,"The Alstons family were in the furniture trade for 150 years and were very proud of their heritage. Back in 1860, two brothers, William and Ambrose Alston, opened a furniture shop in Sudbury’s North Street instead of following the family line into the weaving trade. Master cabinet-makers by trade, the brothers’ shop quickly prospered, with loyal customers spreading the word about the brothers’ charming, well-made cabinets. Towards the end of the century they were able to move to Sudbury’s bustling Old Market Place, where they opened up a larger shop with cabinet and upholstery making workshops located behind. In 1950 Leslie decided to establish an upholstery manufacturing business on the back of success he had had with upholstery in their original Old Market Place workshop in Sudbury. The factory moved three times within Colchester before settling in Gosbecks Road. Over the next three decades the business expanded under Alan’s leadership. During that period it established itself as a major producer of well-engineered upholstery. The business grew steadily and by 1980 it was occupying a number of satellite factories in addition to its Colchester base which was run by the fifth generation of Alston brothers, John and David Alston. Today the business continues to thrive under the same values and ethos that the Alstons family created within the TCM Living portfolio. Their values are still the same as they always were: excellent quality, British-made products and steadfastly impeccable service."
January Furniture Show,01/23/2022,2022,https://januaryfurnitureshow.com,DM,Alpha Designs,,,,,,,United Kingdom,United Kingdom,,,,
January Furniture Show,01/23/2022,2022,https://januaryfurnitureshow.com,DM,A.L.F. UNO S.P.A.,2-D20,2-D20,www.alf.it,,,,Italy,Italy,,,,
January Furniture Show,01/23/2022,2022,https://januaryfurnitureshow.com,DM,Alfrank Designs Ltd,,,,,,,Ireland,Ireland,,,,
January Furniture Show,01/23/2022,2022,https://januaryfurnitureshow.com,DM,Aimmp – Associação Das Indústrias De Madeira E Mobiliário De Portugal,,,,,,,,,,,,
January Furniture Show,01/23/2022,2022,https://januaryfurnitureshow.com,DM,Akante,1-E71,1-E71,https://www.akante.com/en/home,,,,"Wasquehal, France",France,,,,
January Furniture Show,01/23/2022,2022,https://januaryfurnitureshow.com,DM,CrazyPriceBeds & Solo Home Delivery,,,,,,,,,,,,
January Furniture Show,01/23/2022,2022,https://januaryfurnitureshow.com,DM,Baker Furniture Ltd,1-F60,1-F60,https://www.bakerfurniture.co.uk/,,,,"Middlesbrough, United Kingdom",United Kingdom,,,,
January Furniture Show,01/23/2022,2022,https://januaryfurnitureshow.com,DM,Core Products,4-A40,4-A40,www.coreproducts.co.uk,,,,United Kingdom,United Kingdom,,,,
January Furniture Show,01/23/2022,2022,https://januaryfurnitureshow.com,DM,Complete Colour Ltd,3-K22,3-K22,,,,,"London, United Kingdom",United Kingdom,,,,
January Furniture Show,01/23/2022,2022,https://januaryfurnitureshow.com,DM,Collins & Hayes Furniture Ltd,1-C20,1-C20,,,,,United Kingdom,United Kingdom,,,,
January Furniture Show,01/23/2022,2022,https://januaryfurnitureshow.com,DM,CIMC Home,3-E20,3-E20,www.cimchome.com,,,,"Kirkcaldy, United Kingdom",United Kingdom,,,,"Established in 1988, CIMC has a proven track record as one of the leading providers of furniture, lighting, and home accessories. Our designers continue to develop timeless product lines which are globally sourced by us. We strive to deliver fashion-led products to design-conscious retailers worldwide. Our mission is to deliver a wide range of products with continuity and commitment to ranges at an honest trade price. We have a catalogue of over 3000 designed products, updated seasonally; making it easy for you to order the right products every time. In addition to furniture and lighting, we also supply textiles, home fragrances, wall art, and giftware to the trade all across the globe. You can apply for a trade account by registering your details in the link below"
January Furniture Show,01/23/2022,2022,https://januaryfurnitureshow.com,DM,Chasco Furniture/Coricraft,1-B66,1-B66,,,,,United Kingdom,United Kingdom,,,,
January Furniture Show,01/23/2022,2022,https://januaryfurnitureshow.com,DM,Carlton Furniture and Vintage Sofa Company,1-B30,1-B30,www.carltonfurniture.co.uk,,,,"Nottingham, United Kingdom",United Kingdom,,,,
