ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
KBB,03/06/2022,2022,https://www.eisenwarenmesse.com/,DM,Compusoft,M84,,https://www.compusoftgroup.com,,,,"United Kingdom, Ash Tree House, Norman Court,, Ashby de la Zouch, LE65 2UZ",United Kingdom,Technology / Software,,,"We power the sales of KBB retailers by making it easy to create designs that are both stunning and accurate.Our software uses the most comprehensive and up-to-date catalogue data in the market to ensure that designs don't just look true-to-life but will be the right price and size to deliver on your promises. This gives our customers the confidence to design, present and quote while with their customers so that they can close more deals in less time."
KBB,03/06/2022,2022,https://www.eisenwarenmesse.com/,DM,20-20 Technologies Limited,M80,,,,,,United Kingdom,United Kingdom,,,,
KBB,03/06/2022,2022,https://www.eisenwarenmesse.com/,DM,4WARDROBES - THE WARDROBE SPECIALISTS,M108,,https://4wardrobes.co.uk/,,,,"United Kingdom, 397 Archway roadHighgate, London, N64EY",United Kingdom,,,,"Quality, elegance and innovation are the cornerstones of our brand. By staying true to these three principles we’ve developed three wardrobe ranges. These are namely F, K and M. All three ranges have been innovatively designed and manufactured in Italy, a country renowned for its design aesthetic and craftsmanship. These ranges of wardrobes offer a vast array of options to cater to all spaces, no matter how awkward or tricky, we have an ingenious solution. Our goal is not to merely meet our customer’s needs but surpass them and fulfil their dreams."
KBB,03/06/2022,2022,https://www.eisenwarenmesse.com/,DM,Abode,K70,,http://www.abodedesigns.co.uk,,,,"United Kingdom, Unit L Zenith Park, Whaley Road, Barnsley, S75 1HT",United Kingdom,,,,"Abode is a market-leading designer of kitchen sinks, taps, bathroom brassware and showering. Part of Norcros Group (Holdings) Limited, the Abode brand has a reputation for innovative design, contemporary styling and high quality.We are truly passionate about the design and development of sinks and taps that not only perform in the style stakes but on functionality too. That's why many products in our portfolio have been recognised in various industry awards, the latest been an SBID win for our patented Swich product for it's innovative design and sustainability driving credentials.Our"
KBB,03/06/2022,2022,https://www.eisenwarenmesse.com/,DM,Acquabella,E30,,https://www.acquabella.com/en/,,,,"Spain, Pol. Ind Belcaire, Calle C, Parcela 1201, Castellón, Vall D´Uixo, 12600",Spain,,,,"Acquabella presents an innovative and avant-garde decorative concept of the shower space. Acquabella was born with the vision of giving life to your bathing environment. Our creations continue to arouse emotions and allow you to experience to the full their elegance and beauty. This new concept allows users to design their bathroom using elements such as bespoke shower trays in different textures and colours, as well as panels, worktops, furniture, etc."
KBB,03/06/2022,2022,https://www.eisenwarenmesse.com/,DM,Agoform GmbH,S102,,,,,,Germany,Germany,,,,
KBB,03/06/2022,2022,https://www.eisenwarenmesse.com/,DM,AGT Agac Sanayi ve Tic. A.S.,H114,,,,,,Turkey,Turkey,,,,
KBB,03/06/2022,2022,https://www.eisenwarenmesse.com/,DM,Akva-Rodos Ltd,C62,,,,,,Ukraine,Ukraine,,,,
KBB,03/06/2022,2022,https://www.eisenwarenmesse.com/,DM,Alanod Ltd,V82,,,,,,United Kingdom,United Kingdom,,,,
KBB,03/06/2022,2022,https://www.eisenwarenmesse.com/,DM,Alku by Getley,M90,,http://www.alku.co.uk,,,,"United Kingdom, Units 3a & 3b Carver Road,, Astonfields Industrial Estates, Stafford, ST16 3HR",United Kingdom,,,,"Alku, a fantastic new brand by long-established UK manufacturer Getley UK.  Conceived with a simple notion, to be easy for designers to use, but still retaining the flexibility that Getley UK is synonymous with.  Alku features a comprehensive range of modern, contemporary, traditional, and In-Frame kitchens.  No matter the customers’ requirements Alku will fulfil the needs. "
KBB,03/06/2022,2022,https://www.eisenwarenmesse.com/,DM,Alyse Ankastre Ihracat Ithalat Ltd. Sti,L102,,,,,,Turkey,Turkey,,,,
KBB,03/06/2022,2022,https://www.eisenwarenmesse.com/,DM,Anthill Software,P102,,https://anthill.co.uk/,,,,"United Kingdom, 46 The Calls, Leeds, LS27EY",United Kingdom,Technology / Software | Software,,,"“Our mission is to help companies provide a consistent Customer Experience across teams, channels and locations.""Every company in the world works differently, so we have built a platform to work around and support your individual operations and way or working.Plan your unique Customer Journey into customisable workflow streams by allocating actions to teams (Sales, Admin and Support etc), then monitor performance via live and interactive role-based dashboards.Improve efficiency and productivity by triggering personalised notifications at any stage to customers and teams"
KBB,03/06/2022,2022,https://www.eisenwarenmesse.com/,DM,Aqualla Brassware Ltd,E70,,,,,,United Kingdom,United Kingdom,,,,
KBB,03/06/2022,2022,https://www.eisenwarenmesse.com/,DM,ARISTODOORS,R110,,,,,,"United Kingdom, Unit 9, Hawthorn centre, Elmgrove road, London, HA12RF",United Kingdom,,,,
KBB,03/06/2022,2022,https://www.eisenwarenmesse.com/,DM,Armac Martin,M110,,,,,,"United Kingdom, 160 Dollman Street., Birmingham, Birmingham, B7 4RS",United Kingdom,,,,
KBB,03/06/2022,2022,https://www.eisenwarenmesse.com/,DM,ArtiCAD Ltd,J 60,,,,,,United Kingdom,United Kingdom,,,,
KBB,03/06/2022,2022,https://www.eisenwarenmesse.com/,DM,ArtiCAD Ltd,N60,,https://www.articad.com,,,,"United Kingdom, 3-5 Rickmansworth Road, Watford, WD18 0GX",United Kingdom,Technology / Software,,,"From start-ups to corporates, ArtiCAD's stunning CAD software, VR and unique online tech for kitchens, bedrooms, bathrooms and interiors help professionals win sales, manage installations and also deliver an exceptional customer experience: online, in-store and in-home.Celebrating our 30th year of software innovation, the ArtiCAD team is showcasing six new product launches at kbb 2022 and we look forward to welcoming you to our stand.Serving design professionals across the globe, our desktop and cloud-based CAD software is geared for your success. KBB sees a new version with enhanced"
KBB,03/06/2022,2022,https://www.eisenwarenmesse.com/,DM,Atlanta Bathrooms,D80,,https://atlantabathrooms.com/,,,,"United Kingdom, 19/34 Bedesway, Bede Industrial Estate, Jarrow, NE32 3BE",United Kingdom,Bathroom | Furniture,,,
KBB,03/06/2022,2022,https://www.eisenwarenmesse.com/,DM,Atlasplan by The Surface Collection,P70,,,,,,United Kingdom,United Kingdom,,,,
KBB,03/06/2022,2022,https://www.eisenwarenmesse.com/,DM,autokitchen UK Ltd,M60,,https://www.autokitchen.co.uk/,,,,"United Kingdom, 48, Bethel House, Heronsgate Rd, Chorleywood, WD3 5BB",United Kingdom,CAD | Technology / Software | Kitchen | Bedroom | Bathroom,,,"autokitchen design softwareautokitchen 22 PRO is the flagship kitchen, bedroom and bathroom design software that sits above autokitchen STUDIO which is a program for kitchen design only. Both are .DWG based programs making collaboration between architects and other professionals easier.Its stand out features are that it has the technical tools to design bespoke cabinets of any style and then give the user technical specifications, workshop drawings and digital cut lists for manual or CNC machining via its export function. autokitchen contains extensive catalogues"
KBB,03/06/2022,2022,https://www.eisenwarenmesse.com/,DM,BA,N70,,,,,,"United Kingdom, Derryloran Industrial Estate, Cookstown, BT80 9LU",United Kingdom,,,,
KBB,03/06/2022,2022,https://www.eisenwarenmesse.com/,DM,Banks and Lloyd (Shipping) Ltd,N102,,,,,,United Kingdom,United Kingdom,,,,
KBB,03/06/2022,2022,https://www.eisenwarenmesse.com/,DM,Bathroom Origins,C54,,,,,,United Kingdom,United Kingdom,,,,
