ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
KBIS 2022,02/08/2022,2022,https://kbis.com/,DM,InSinkErator,544,,http://www.insinkerator.com,,,,"Mt. Pleasant, WI United States",United States,Kitchen Accessories | Garbage Disposals | Faucets | Water Filtration,,,"Headquartered in Racine, Wisconsin, InSinkErator, a business unit of Emerson Electric Co., is the worlds largest manufacturer of food waste disposers and instant hot water dispensers for home and commercial use. For more information about InSinkErator products, call 1-800-558-5700 or visit the companys website at www.insinkerator.com"
KBIS 2022,02/08/2022,2022,https://kbis.com/,DM,Beko US Inc.,1657,,https://www.beko.com/us-en/,,,,"Bolingbrook, IL United States",United States,Cooking | Dishwashers | Laundry | Refrigeration | Healthy Home/Wellness,,,"Beko Home Appliances, the U.S. subsidiary of Arçelik, is a global appliance manufacturer with a product presence in 400 million homes in more than 140 countries. Beko is the leading freestanding home appliances brand in Europe and the No. 1 large home appliances brand in the UK, France and Poland.  This year, it makes its largest KBIS presence ever with the reveal of the"
KBIS 2022,02/08/2022,2022,https://kbis.com/,DM,Bad Dog Tools,6020,,http://www.baddogtools.com,,,,"Bristol, RI United States",United States,Power Tools and Machinery,,,"Since 1988 we've been making specialty & multi-purpose tools so good we guarantee 'em for life! Always the right tool for the job: Multi-purpose and specialty tools drill, cut, grind the hardest and softest metals along with carbon fiber, wood, PVC and more. Choose from Drill Bits from 3/32”, HDII Endless cutting/grinding wheel in 9 sizes, Biter Sheet Material Cutter turns hand drill into nibbler."
KBIS 2022,02/08/2022,2022,https://kbis.com/,DM,Ballerina-Küchen H.-E. Ellersiek GmbH,5625,,http://www.ballerina-kitchens.eu,,,,"Roedinghausen, Germany",Germany,Kitchen Accessories | Full-Custom,,,"A trendsetter among German kitchen manufacturers, Ballerina-Küchen is a medium-sized enterprise based in Rödinghausen (Bünde/Westphalia) which produces 30,000 individual top-quality kitchens each year with the characteristic ""quality made in Germany""."
KBIS 2022,02/08/2022,2022,https://kbis.com/,DM,Bemis Manufacturing Company,1273,,http://toiletseats.com,,,,"Sheboygan Falls, WI United States",United States,Bathroom Accessories | Bidets | Faucets | Toilet Seats | Toilets | Business-To-Business | Consumer,,,
KBIS 2022,02/08/2022,2022,https://kbis.com/,DM,BACA Systems,5809,,https://bacasystems.com,,,,"Lake Orion, MI United States",United States,Power Tools and Machinery,,,
KBIS 2022,02/08/2022,2022,https://kbis.com/,DM,Baldwin Hardware,2013,,http://www.baldwinhardware.com,,,,"Lake Forest, CA United States",United States,,,,
KBIS 2022,02/08/2022,2022,https://kbis.com/,DM,"Atotech USA, LLC.",4277,,http://www.atotech.com/,,,,"Rock Hill, SC United States",United States,Cleaners/Caulks/Adhesives/Polishes | Other,,,
KBIS 2022,02/08/2022,2022,https://kbis.com/,DM,Asterisk Lighting,6030,,http://www.asterisklighting.com,,,,"Brooklyn, NY United States",United States,Kitchen Accessories | Shelving/Storage Systems | Other | Decorative Fixtures | Dimming and Lighting Controls,,,
KBIS 2022,02/08/2022,2022,https://kbis.com/,DM,BACA Systems,5807,,https://bacasystems.com,,,,"Lake Orion, MI United States",United States,Power Tools and Machinery,,,
KBIS 2022,02/08/2022,2022,https://kbis.com/,DM,Belwith-Keeler Décor Solutions®,872,,http://www.belwithkeeler.com,,,,"Grandville, MI United States",United States,Decorative | Functional,,,
KBIS 2022,02/08/2022,2022,https://kbis.com/,DM,"Ashley Norton, Inc.",254,,http://www.ashleynorton.com,,,,"Pompton Plains, NJ United States",United States,Bathroom Accessories | Kitchen Accessories | ADA Compliant | Decorative | Functional,,,"Ashley Norton offers a complete line of solid bronze and solid brass architectural hardware including door handlesets, cabinet knobs/pulls, door pulls, cabinet pulls, and other decorative accessories.  Our hardware is offered in wide choice of finishes and hand applied patinas. Also presenting 'Manzoni', an extensive line of cabinet hardware encompassing contemporary, transitional and ornate styles available in multiple finishes."
KBIS 2022,02/08/2022,2022,https://kbis.com/,DM,Atlas Plan,5407,,https://www.atlasplan.com/en/,,,,"Spezzano di Fiorano, Italy",Italy,Natural Stone and Tile | Other | Tile | Hardscapes | Sinks | Vanities | Wall Coverings,,,"Atlas Plan is a global specialist in premium porcelain slabs for countertops, workrtops and furniture applications. Porcelain slabs are suitable for every style and application in residential, commercial and public architecture."
