ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
KBIS 2022,"02/08/2022",2022,https://kbis.com/,DM,"Brown Wood, Inc",5241,,http://www.brownwoodinc.com,,,,"Lincolnwood, IL United States",United States,,,,
KBIS 2022,"02/08/2022",2022,https://kbis.com/,DM,BSH Home Appliances,1637,,http://www.boschappliances.com,,,,"Irvine, CA United States",United States,Cooking | Dishwashers | Laundry | Refrigeration | Smart Appliances | Range Hoods,,,
KBIS 2022,"02/08/2022",2022,https://kbis.com/,DM,BOCCHI,3821,,http://www.bocchiusa.com,,,,"Alpharetta, GA United States",United States,Bathroom Accessories | Kitchen Accessories | ADA Compliant | Faucets | Sinks | Toilet Seats | Toilets | Universal Design/Aging in Place,,,Italian by birth. Turkish by design. American by demand.
KBIS 2022,"02/08/2022",2022,https://kbis.com/,DM,"Bodelair, Inc.",5438,,http://www.bodelair.com,,,,"Los Angeles, CA United States",United States,Bathroom Accessories | Kitchen Accessories | Concrete | Natural Stone and Tile | Decorative | Functional | Faucets | Sinks,,,
KBIS 2022,"02/08/2022",2022,https://kbis.com/,DM,Bonotti,5667,,http://www.bonotti.com,,,,"Massa, Massa and Carrara Italy",Italy,,,,
KBIS 2022,"02/08/2022",2022,https://kbis.com/,DM,Brizo,1413,,http://www.brizo.com,,,,"Indianapolis, IN United States",United States,Bathroom Accessories | Kitchen Accessories | Decorative | Faucets | Showers,,,
KBIS 2022,"02/08/2022",2022,https://kbis.com/,DM,Brondell Inc,241,,http://www.brondell.com,,,,"San Francisco,, CA United States",United States,Healthy Home/Wellness | Consumer Electronics | Bidets | Faucets | Showers | Toilet Seats | Universal Design/Aging in Place | Water Filtration,,,"Brondell’s healthy home innovations bring a unique perspective to the kitchen and bath industry. In their mission to bring the hi-tech bidet market to the American consumer, they’ve managed to develop some of the most innovative and bestselling products in their class while expanding into the markets of smart air purification and efficient water filtration."
KBIS 2022,"02/08/2022",2022,https://kbis.com/,DM,...,5881,,http://www.Jk-burnersystems.com,,,,"Henderson, NV United States",United States,,,,
KBIS 2022,"02/08/2022",2022,https://kbis.com/,DM,Blum Inc,714,,http://www.blum.com,,,,"Stanley, NC United States",United States,Functional | Universal Design/Aging in Place,,,"Blum, Inc. is a leading manufacturer of functional hardware for the kitchen cabinet and commercial casework industries specializing in lift, concealed hinge, and drawer runner systems. Virtually all the hardware needed to make cabinets functional are available within the wide range of quality Blum products. Blum supports the U.S. market with a network or more than 150 dependable distributors, 50+ knowledgeable Blum sales and customer service people."
KBIS 2022,"02/08/2022",2022,https://kbis.com/,DM,Blaze Outdoor Products,4218,,http://www.blazegrills.com,,,,"Baton Rouge, LA United States",United States,Grills/Outdoor Cooking | Outdoor Appliances/Refrigeration | Outdoor Cabinetry | Faucets | Sinks,,,"Blaze Outdoor Products started because grilling and outdoor living is a passion that we all share. Our founding team has a combined 45 years of experience in the outdoor living and grilling industry, and we’ve used the experience to develop, test and make our products fantastic – because we all love what we do each and every single day. The same passion that we bring to the company is transferred to our customers through every product that we manufacture."
KBIS 2022,"02/08/2022",2022,https://kbis.com/,DM,Bluefish Plumbing Supply Inc,5483,,https://www.rainlex-store.com,,,,"Santa Clara, CA United States",United States,Bathroom Accessories | Kitchen Accessories | Faucets,,,Rainlex- Your E-commerce bathroom brand parnter.
KBIS 2022,"02/08/2022",2022,https://kbis.com/,DM,Bestview International,4432,,http://www.bestviewintl.com,,,,"Glenview, IL United States",United States,Mirrors | Natural Stone and Tile | Quartz | Solid Surface | Marble | Tile | Faucets | Vanities,,,
KBIS 2022,"02/08/2022",2022,https://kbis.com/,DM,Binli,4678,,http://www.binli-bathroom.com,,,,"Chaozhao, Guangdong China",China,Bathroom Accessories | Full-Custom | Quartz | Bathtubs | Faucets | Showers | Sinks | Toilets,,,"Binli, pursuing the spirit of “being attentive and professional and keep moving”, located in Chaozhou, founded in2007, it has been engaged in the R&D, manufacture and marketing of sanitary ware products. The cabinet factory has various modern whole-set processing lines, become a professional hi-tech factory in the sanitary ware industry. The ceramics factory has two computer automatically controlled shuttle kilns and a modern R&D center laboratory."
KBIS 2022,"02/08/2022",2022,https://kbis.com/,DM,BNK Bathroom and Kitchen INC,4465,,http://www.bnk-global.com,,,,"Doral, FL United States",United States,Bathroom Accessories | Kitchen Accessories | Dimming and Lighting Controls | Faucets | Showers | Sinks | Toilets | Vanities,,,"BNK is a direct importer of home improvement products, Here we do stock and distribute our mid to high-end products lines to wholesales and dealers nationwide, including vanities , LED lights, Prefabricated stone, toilets, faucets and more. We have over ten years of experience in bath & Kitchen products wholesale and constructions, provide customers with all-round services on the basis of strong support by 1 million sqf manufacturing plant around the world."
KBIS 2022,"02/08/2022",2022,https://kbis.com/,DM,Zip Water,5132,,https://us.zipwater.com,,,,"Rosemont, IL United States",United States,Kitchen Accessories | Cooking | Water Conservation | Smart Appliances | Faucets | Water Filtration,,,Zip Water’s history is rooted in innovation and we remain committed to advancing and perfecting drinking water technology.
KBIS 2022,"02/08/2022",2022,https://kbis.com/,DM,Bestbath,5468,,http://www.bestbath.com,,,,"Caldwell, ID United States",United States,Bathroom Accessories | ADA Compliant | Bathtubs | Enclosures | Showers | Surrounds | Walk-In Bathtubs | Universal Design/Aging in Place,,,
KBIS 2022,"02/08/2022",2022,https://kbis.com/,DM,"ZBOM Cabinets Co., Ltd.",4321,,http://www.zbomcabinets.com,,,,"Azusa, CA United States",United States,Full-Custom | Ready to Assemble | Semi-Custom | Stock,,,"ZBOM is one of the largest cabinetry manufacturer leading the industry. ZBOM has 3 major factoies at Europe and Asia, with over 20,000 employees globally. In the past 12 years, ZBOM has completed hundreds of projects all over the world. With our professionism and expertise, we continue to provide the high standard quality products at the best value to our customers."
