ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Las Vegas Market - Summer,08/22/2021,2021,https://www.lasvegasmarket.com/,DM,Anne McGilvray & Company,"C1078,C1080,C1090","Building C,Building C,Building C",http://www.annemcgilvray.com,mgilmore@annemcgilvray.com,(214) 393-6010,(214) 638-4535,2332 Valdina Dallas,Montserrat,Accent Furniture | Candles and Holders | educational items | Gift Wrap & Packaging | Holiday/Seasonal | Housewares | Kitchen Textiles | Licensed Product | Personal Care / Spa | Religious Gifts | Rug / Floor Coverings | Souvenir / Novelties | Stationery/Paper Goods | Tech Accessories | Wind Chimes & Wind Bells,,,"We represent over 90 product lines that include book, gift & toy."
Las Vegas Market - Summer,08/22/2021,2021,https://www.lasvegasmarket.com/,DM,Bashian,B300,Building B,http://www.bashianrug.com,ralph@bashianrug.com,(201) 330-1001,(201) 330-0878,New Jersey - NJ 65 Railroad Avenue - Unit #8 Ridgefield,United States,Home Textiles | Pillows | Rug / Floor Coverings,,,"Since 1931, Bashian has been an importer and creator of fine handmade rugs and has evolved into a modern lifestyle brand. Commitment to excellence and innovation, along with decades of experience, comes though in each of their unique design creations"
Las Vegas Market - Summer,08/22/2021,2021,https://www.lasvegasmarket.com/,DM,Kathleen Milne Company,C1072,Building C,http://www.kathleenmilneco.com,hugh@kathleenmilne.com,(800) 349-9541,(800) 461-3380,California - CA 2233 Santa Clara Ave. Suite 5 ALAMEDA,United States,"Decor, Baby & Kids | Fashion Accessories/Jewelry | Games & Toys, Baby & Kids | Handbags | Stationery/Paper Goods",,,"A magical collection of smart, sophisticated, gifts, toys, accessories and decor, both classic and contemporary. Fresh, fun shopping!"
Las Vegas Market - Summer,08/22/2021,2021,https://www.lasvegasmarket.com/,DM,Karastan,"C312,D443","Building C,Market Square Suites",https://www.karastanrugs.com,jeff_seagle@mohawkind.com,(800) 848-2020,(706) 624-4695,"Georgia - GA PO Box 130, 3032 Sugar Valley NW Sugar Valley",United States,Rug / Floor Coverings,,,"First introduced in 1928, Karastan’s legacy was built on innovative visions, creative craftsmanship, time-tested quality, and Made in America pride. We continue to combine technology with fashion to strengthen our position as the leading manufacturer of the highest quality carpets and rugs.  Using only the finest quality of New Zealand wool to our own synthetic proprietary manufacturing processes sets us apart from the others.  We continue to move forward searching for new ideas, colors, and fibers as we propel our brand into the future."
Las Vegas Market - Summer,08/22/2021,2021,https://www.lasvegasmarket.com/,DM,Screen Gems & Teton Home,B105,Building B,http://www.myscreengems.com,screengems77@msn.com,(310) 545-9091,(310) 787-8687,California - CA 21160 S. Figueroa Street Carson,United States,Accent Furniture | Antique/Vintage | Bar Accessories | Decorative Accessories | Housewares | Lighting | Mirrors | Ottomans & Poufs | Outdoor/Casual Furniture | Screens/Room Dividers | Table Lamps | Tabletop | Trunks | Upholstery | Wall Decor,,,"Screen Gems - Unique Company - Unlimited Creative Possibilities! With our distinctive designs, synergies, robust production ability and outstanding customer service, our mission is to provide the best accent pieces to you!
Screen Gems boasts a full line of home accents with the most extensive selection of decorative room dividers available."
Las Vegas Market - Summer,08/22/2021,2021,https://www.lasvegasmarket.com/,DM,Cyan Design,"A236,C258","Building A,Market Square Suites",http://www.cyan.design,jalopez@quorumintl.com,(817) 626-5483,(888) 371-3073,Texas - TX 201 Railhead Rd. Fort Worth,United States,Accent Furniture | Chandeliers | Decorative Tabletop | Fixtures | Lighting | Mirrors | Outdoor/Casual Furniture | Sofas | Table Lamps | Tabletop | Upholstery | Wall Decor,,,"Beautiful Objects for Beautiful Lives. Cyan Design is the source for unique decorative objects. Decorative accessories for the most vibrant interior design. Over 2,100 designer accessories that are in stock and typically ship within 24 hours."
Las Vegas Market - Summer,08/22/2021,2021,https://www.lasvegasmarket.com/,DM,CMA,C691,Building C,http://www.cmagifts.com,maggie@cmagifts.com,(800) 874-6716,(213) 452-7010,"Nevada - NV 455 S. Grand Central Parkway Building C, Showroom 691 Las Vegas",United States,Books & Publications | Calendars & Planners | Decorative Accessories | Greeting Cards | Handbags | Outdoor/Casual Furniture | Personal Care / Spa | Rug / Floor Coverings | Tabletop | Wall Decor,,,"CMA was founded in 1981 as a way to offer our valued customers a complete buying experience for all their fashion, gift, and home décor needs. 
Our Lines compliment unique styles, casual moods, and independent tastes. We understand the retail market is constantly evolving and we welcome changing trends as an opportunity to bring new and exciting products, as well as tried-and-true best sellers, to our retail customers. 
 Let CMA show you more than you imagined…"
Las Vegas Market - Summer,08/22/2021,2021,https://www.lasvegasmarket.com/,DM,"Sales Producers, Inc.",C1044,Building C,http://www.salesproducersinc.com,bonnieg@salesproducersinc.com,(800) 346-9613,(800) 750-0944,California - CA 860 South Los Angeles Street Suite 209 Los Angeles,United States,Childrens Apparel & Access. | Decorative Accessories | Fashion Accessories/Jewelry | Fine Jewelry | Holiday/Seasonal | Home Office | Home Textiles | Outdoor/Garden Gift | Outdoor/Patio accessories & décor | Personal Care / Spa | Pet | Souvenir / Novelties | Stationery/Paper Goods | Toys / Games / Plush | Youth & Baby Lifestyle & Gifts,,,"Proudly representing many premier, well-known and respected brands with a wide variety of products and categories including Paper & Stationery, Fashion Accessories, Home Decor, Baby & Kids, & Personal Care."
Las Vegas Market - Summer,08/22/2021,2021,https://www.lasvegasmarket.com/,DM,Melrose International,C932,Building C,http://www.melroseintl.com,Marketing@melroseintl.com,(217) 222-2144,(888) 219-4577,Illinois - IL 1400 N. 30th Street Suite 22 PO Box 3441 Quincy,United States,"Candles and Holders | Clocks | Decorative Accessories | Decorative Tabletop | Fixtures | Floral & Foliage | Holiday/Seasonal | Home Textiles | Lighting | Mirrors | Outdoor/Casual Furniture | Picture Frames & Custom Framing | Pillows | Pottery & Ceramics | Statuary, Pottery & Planters | Tabletop | Wall Decor",,,"Melrose International is a leading wholesaler for Giftware, Holiday, Home Decor, Silk Florals and more! From our Midwest beginnings as a pioneer producer of dried flowers to a national wholesaler of silk florals and home decor, Melrose has continued to provide our customers with the same high quality products and customer service that brings them back season after season."
Las Vegas Market - Summer,08/22/2021,2021,https://www.lasvegasmarket.com/,DM,"Peter Pauper Press, Inc.",C865,Building C,http://www.peterpauper.com,CGandolfi@peterpauper.com,(914) 681-0144,(914) 681-0389,New York - NY 202 Mamaroneck Ave Suite 400 White Plains,United States,"Books & Publications | Calendars & Planners | Fashion Accessories/Jewelry | Games & Toys, Baby & Kids | Greeting Cards | Holiday/Seasonal | Music | Notecards | Stationery/Paper Goods",,,"In 1928, at the age of twenty-two, Peter Beilenson began printing books on a small press in the basement of his parents home in Larchmont, NY. Peter and later, his wife, Edna sought to create fine books that sold at prices even a pauper could afford.

We specialize in intricate journals, stationery, boxed holiday cards, art supply, children's activity books, calendars, gift books, organizers, bookmarks, and more!"
Las Vegas Market - Summer,08/22/2021,2021,https://www.lasvegasmarket.com/,DM,Mierco Inc.,E-917,The EXPO at World Market Center,http://www.mierco.com,info@mierco.com,(888) 277-8838,,Minnesota - MN 128 4th St N Cannon Falls,United States,Decorative Accessories | Holiday/Seasonal | Home Textiles | Housewares | Kitchen Textiles | Table Linens,,,"Mierco's signature --  Fine European Tea Towels -- in dozens of designs suitable for Gourmet Food Retailers, Wine and Olive Oil Tasting Rooms, Linens and Home Furnishings Stores,  European & French Goods Retailers, General Gift Stores, Lavender and Herb Farms, Museum Shops.   Also find European totes, sachets, and a Provence Kitchen collection.  Find us on  instagram.com/mierco_inc/    Our website: www.mierco.com"
Las Vegas Market - Summer,08/22/2021,2021,https://www.lasvegasmarket.com/,DM,Safavieh,"A101,117,120,121","Building A,Market Square Suites,Market Square Suites,Market Square Suites",http://www.safavieh.com,Alexis.kmitis@safavieh.com,(702) 380-3224,(702) 383-0772,"Nevada - NV 495 S. Grand Central Pkwy, Suite A101 Las Vegas",United States,"Accent Furniture | Benches | Chairs, Dining | Headboards | Home Textiles | Lighting | Mattresses | Mattresses | Outdoor/Casual Furniture | Pillows | Rug / Floor Coverings | Upholstery | Wall Decor | Window Treatments",,,"Safavieh is a market leader in the manufacture and distribution of luxurious area rugs and finely crafted furniture and accessories. Established in 1914, our meticulous observation of progressive fashion and contemporary lifestyles has provided us with exceptional insight and inspiration in producing exquisite decor that reflects and celebrates the individuality and creative aesthetic of the modern consumer. 
Safavieh products are an exhibition of our focus on offering complete, cohesive looks at price points that engage every taste and decor style. Our luxurious area rugs, finely crafted furniture, lighting and fashionable home accent accessories add distinctive, contemporary elegance to home decor. Each collection is a marvelous display of fashionable colors and high-touch textures and finishes, all created to accentuate today’s exciting decor preferences. 
For more than 100 years, Safavieh has been the trendsetter in bringing timeless interior design to homes the world over."
Las Vegas Market - Summer,08/22/2021,2021,https://www.lasvegasmarket.com/,DM,Tony International Co.,E-665,The EXPO at World Market Center,http://www.promisingco.cn,tonyshiau@yahoo.com,(415) 970-2291,(415) 970-2292,California - CA 1683 Jerrold Ave San Francisco,United States,,,,
Las Vegas Market - Summer,08/22/2021,2021,https://www.lasvegasmarket.com/,DM,Next Step Reps,"C884,C888,C891","Building C,Building C,Building C",http://www.nextstepreps.com,jackie.moon@nextstepreps.com,(702) 202-1024,(702)921-0444,Nevada - NV 10170 W. Tropicana Ave. #156-292 Las Vegas,United States,appliances/cooking equipment | Body & Bath Products | Decorative Tabletop | Fashion Accessories/Jewelry | Handbags | Holiday/Seasonal | Housewares | Kitchen Textiles | Lighting | Outdoor/Casual Furniture | Personal Care / Spa | Table Lamps | Tabletop | Wall Decor,,,"Multi line rep agency focused on general gift, gourmet entertaining, garden, glam & lifestyle decor representing over 25 of our industries leading vendors. We are focused on growing our retailers' business through dedication to customer's overall success! Our showrooms have been treated by ServisMed mechanical kill that uses a nano technology to adhere and create a germ free barrier for 30 days."
Las Vegas Market - Summer,08/22/2021,2021,https://www.lasvegasmarket.com/,DM,LumiSource,A322,Building A,http://www.lumisource.com,franklinas@lumisource.com,(847) 699-8988,(847) 699-8869,Illinois - IL 2950 Old Higgins Road Elk Grove Village,United States,"Accent Furniture | Bar Furniture | Benches | Chairs, Accent | Chairs, Dining | Chairs, Upholstered | Dinettes | Floor Lamps | Lighting | Table Lamps | Tables, Accent | Tables, Dining | Upholstered Chairs, Dining | Upholstery",,,"Emphasizing style and design, we're committed to lead trends and innovation. Specializing in Mid-Century, Industrial, and Modern living, LumiSource constantly refreshes product offerings in bar, dining, occasional, office, and lighting."
Las Vegas Market - Summer,08/22/2021,2021,https://www.lasvegasmarket.com/,DM,Vertuu Design,B365,Building B,http://www.vertuu.com,tyler@vertuu.com,(604) 451-1818,(604) 451-1818,British Columbia - BC 3560 190th Street #107 Surrey,Canada,Accent Furniture | Chandeliers | Clocks | Decorative Accessories | Lighting | Mirrors | Pottery & Ceramics | Table Lamps | Upholstery | Vases | Wall Art | Wall Decor,,,Vertuu Design provides beautifully designed furniture and accessories to the home furnishings industry worldwide.
Las Vegas Market - Summer,08/22/2021,2021,https://www.lasvegasmarket.com/,DM,Moonglow Jewelry,E-413,The EXPO at World Market Center,https://www.moonglow.com/pages/wholesale,julien@moonglow.com,(888) 707-9083,,Florida - FL 5183 NW 74th Ave Miami,United States,"Antique/Vintage | Fashion Accessories/Jewelry | Jewelry, Vintage",,,"Pick any date of significance and we encase an image of the moon exactly as it appeared that night in the sky, it that gathers light during the day; at night, it softly glows. How does you Moonglow?"
Las Vegas Market - Summer,08/22/2021,2021,https://www.lasvegasmarket.com/,DM,Marlene Vanbeek Jewelry,E-434,The EXPO at World Market Center,http://www.marlenevanbeek.com,marlene@marlenevanbeek.com,(360) 398-1431,(360) 398-1581,Washington - WA 5874 Mertz Rd. Bellingham,United States,Fashion Accessories/Jewelry,,,"Handmade in USA Jewelry created with Czech and Italian Glass Beads. $5 - $25, affordable, fun, and easy to wear pieces!"
Las Vegas Market - Summer,08/22/2021,2021,https://www.lasvegasmarket.com/,DM,Badash Crystal,C151,Building C,http://www.badashcrystal.com,markb@badash.us,(631) 242-9101,(631) 242-9112,New York - NY 44 W Jefryn Blvd Ste G Deer Park,United States,"Crystal | Decorative Tabletop | Judaica | Ornaments | Serveware | Tables, Accent",,,"We at Badash continually work to improve everything we do. From our exquisitely handcrafted crystal products to our simple yet elegant gift boxing, our focus is to strive to provide you with the best quality product and service in the marketplace. We are consistently introducing new gift, award and decor ideas in new colors shapes and patterns. Our latest acquisition of Robert M. Weiss Presents brings us into new categories of serving trays, tissue boxes, wall mirrors, coasters, boxes and waste baskets all produced by very talented artisans in Peru using the age old reverse painting on glass technique. For years we have offered and continue to bring the latest and greatest in crystal and products for awards, gifts, decor etc. including bowls, vases, decanters, barware, serve ware, perfume bottles, bottle stoppers, Murano style art glass figurines, candy dishes etc."
Las Vegas Market - Summer,08/22/2021,2021,https://www.lasvegasmarket.com/,DM,Glory Wisdom Corp,E-1813,The EXPO at World Market Center,https://glorywisdom.com/,info@glorywisdom.com,909-373-1880,(909) 373-1886,California - CA 10220 Philadelphia Ct Rancho Cucamonga,United States,Blankets & Throws | Pillows | Rug / Floor Coverings,,,"Glory Wisdom Corp is a California(USA) based wholesaler & distributor, with 20 years of experiences in wholesaling imported sheepskins & leather, mainly as material supply to all categories. By expanding product lines into furnishings and fashion, Glory Wisdom Corp nowadays carries many more than its iconic sheepskins and leather. We are thrilled to introduce THE MOOD, our flagship home decor & textiles brand, to all designers and resellers. Featuring in area rugs, decorative pillows and throw blankets, THE MOOD provides exquisite selections in high quality and trendy styles. [SPECIAL NOTE] Private labels and Drop-shipping friendly!"
Las Vegas Market - Summer,08/22/2021,2021,https://www.lasvegasmarket.com/,DM,"NEST, inc, New Era Sales Team",C824,Building C,http://www.newerareps.com,newerareps@gmail.com,(800) 876-2334,(303) 297-2455,Colorado - CO 6732 W Coal Mine Ave #410 Littleton,United States,Accent Furniture | Books & Publications | Decorative Accessories | Eyeglasses & Sunglasses | Fashion Accessories/Jewelry | Floral / Botanicals | General Gift | Gourmet Food | Greeting Cards | Holiday/Seasonal | Personal Care / Spa | Pet | Souvenir / Novelties | Stationery/Paper Goods | Toys / Games / Plush,,,"NEST, inc.- Welcome to our showroom, where our goal is to provide you with positively outrageous service! View our array of GIFTbeat ranked lines in gift, jewelry, fashion, home, souvenir, garden, seasonal, coloring books, stationery & greeting cards."
Las Vegas Market - Summer,08/22/2021,2021,https://www.lasvegasmarket.com/,DM,Empire Art Direct,A329,Building A,http://www.EmpireArtDirect.com,gary@empireartdirect.com,(954) 385-3626,(954) 385-6365,Florida - FL 550 Coconut Circle Weston,United States,"Accent Furniture | Antique/Vintage | Chairs, Accent | Clocks | Decorative Accessories | Home Textiles | Mirrors | Pillows | Tables, Accent | Wall Art | Wall Coverings | Wall Decor",,,"We constantly travel the world to expand our offerings from our PETS ROCK™ exclusive distribution in North America, to our one of a kind designs on Tempered Art Glass by the talented Jodi P., to our amazing Metal Wall Sculptures, to the incredible Dimensional Art Collage by Alex Zeng, to our Exotic Occasional Leather Furniture and Mirrors Collection and much more. Be sure to follow us on FB and to visit our site for more EAD ""WOW"" collections!"
Las Vegas Market - Summer,08/22/2021,2021,https://www.lasvegasmarket.com/,DM,Howard Elliott Collection,"A224-05,A332,H224","Building A,Building A,Market Square Suites",http://www.howardelliott.com,cheryl@howardelliott.com,(630) 871-1122,(630) 871-1258,Illinois - IL 200A S Mitchell Ct Addison,United States,"Accent Furniture | Blankets & Throws | Chairs, Accent | Decorative Accessories | Home Textiles | Mirrors | Ottomans & Poufs | Pillows | Pottery & Ceramics | Tables, Accent | Upholstery | Vases | Wall Art | Wall Decor",,,"Committed Partnerships | Customized Programs | Distinct Home Decor
Our distinct collection of home decor is designed to inspire your creativity while reflecting your personality."
Las Vegas Market - Summer,08/22/2021,2021,https://www.lasvegasmarket.com/,DM,Fusion Designs,B201-02,Building B,http://www.fusiondesign.us,sales@fusiondesign.us,(574) 642-0209,(574) 642-2657,Indiana - IN 62870 C.R. 43 Goshen,United States,"Accent Furniture | Armoires | Bar Furniture | Benches | Bookcases | Chairs, Accent | Chairs, Dining | Daybeds | Entertainment Centers | Headboards | Tables, Accent | Tables, Dining | Upholstered Chairs, Dining",,,"Fusion Designs is a solid wood manufacturer based out of Indiana and specializes in Dining, Bedroom, Living and Office. Fusion prides itself with top quality and on time deliveries."
Las Vegas Market - Summer,08/22/2021,2021,https://www.lasvegasmarket.com/,DM,SKYROS DESIGNS,C101,Building C,http://www.skyrosdesigns.com,diana@skyrosdesigns.com,(901) 762-0377,(901) 762-0378,Tennessee - TN 211 Cumberland Street Memphis,United States,Cookware & Bakeware | Decorative Accessories | Glassware | Home Textiles | Housewares | Pottery & Ceramics | Serveware | Stemware | Table Linens | Tabletop,,,"Skyros Designs produces all of our ceramics, glassware & linens in the beautiful country of Portugal where some of the finest tableware in the world is manufactured. We are committed to design, quality and the best customer service in our industry."
Las Vegas Market - Summer,08/22/2021,2021,https://www.lasvegasmarket.com/,DM,Wyldeflower Studio,E-1318,The EXPO at World Market Center,http://www.wyldeflowerstudio.com,wyldeflowerstudio@gmail.com,9195396814,,North Carolina - NC PO BOX 25025 RALEIGH,United States,Art | Botanicals | Clocks | cutting boards | Fashion Accessories/Jewelry | Souvenir / Novelties | Wall Art,,,"Wyldeflower Studio    -Botanical Photography by Beck Waehner
All of my products are handcrafted in my alternative printing and photography studio. I print all of my own work using a specialized printer and dye. When the dye image and blank product are placed in a commercial heat press the magic happens. The high heat and intense pressure vaporizes the dye and fuses it permanently into the surface of the piece. This process creates a waterproof and scratch resistant work of art. I use this process to make my mugs, zippered pouches, jewelry, cutting boards, light switch plates, and wall art."
