ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Las Vegas Market - Winter,01/23/2022,2022,https://www.lasvegasmarket.com/,DM,Yatas Bedding,C1507,Building C,https://www.yatasbeddingusa.com,ryan.christensen@yatas.us,(336)-307-4503,,North Carolina - NC PO BOX 1727  High Point,United States,Adjustable Beds | Bedding | Blankets & Throws | Box Springs & Foundations | Home Textiles | Linens & Bedding | Mattress | Mattress Accessories | Mattresses | Pillows | Top-of-Bed,,,"YATAS BEDDING is part of Enza Home with premium Yatas beds offering non-compromised quality for years, home textile products adding elegance to your bedroom decoration and box spring varieties serving as an alternative to the bed frame you choose.  Yatas Bedding provides mattresses, white bedding products, home textiles, and storage beds and headboards. We offers mattresses, including pocket spring series and compressed roll pack mattresses; and white bedding products, such as quilts, pillows, mattress protectors, and sleeping pads.www.yatasbeddingusa.com"
Las Vegas Market - Winter,01/23/2022,2022,https://www.lasvegasmarket.com/,DM,Vertuu Design,B365,Building B,http://www.vertuu.com,tyler@vertuu.com,(604) 451-1818,(604) 451-1818,British Columbia - BC 3560 190th Street #107 Surrey,Canada,Accent Furniture | Chandeliers | Clocks | Decorative Accessories | Lighting | Mirrors | Pottery & Ceramics | Table Lamps | Upholstery | Vases | Wall Art | Wall Decor,,,Vertuu Design provides beautifully designed furniture and accessories to the home furnishings industry worldwide.
Las Vegas Market - Winter,01/23/2022,2022,https://www.lasvegasmarket.com/,DM,Screen Gems & Teton Home,B105,Building B,http://www.myscreengems.com,screengems77@msn.com,(310) 545-9091,(310) 787-8687,California - CA 21160 S. Figueroa Street  Carson,United States,Accent Furniture | Antique/Vintage | Bar Accessories | Decorative Accessories | Housewares | Lighting | Mirrors | Ottomans & Poufs | Outdoor/Casual Furniture | Screens/Room Dividers | Table Lamps | Tabletop | Trunks | Upholstery | Wall Decor,,,"Screen Gems - Unique Company - Unlimited Creative Possibilities! With our distinctive designs, synergies, robust production ability and outstanding customer service, our mission is to provide the best accent pieces to you!
Screen Gems boasts a full line of home accents with the most extensive selection of decorative room dividers available."
Las Vegas Market - Winter,01/23/2022,2022,https://www.lasvegasmarket.com/,DM,Empire Art Direct,A329,Building A,http://www.EmpireArtDirect.com,gary@empireartdirect.com,(954) 385-3626,(954) 385-6365,Florida - FL 2645 Executive Park Drive Suite #225  Weston,United States,"Accent Furniture | Antique/Vintage | Chairs, Accent | Clocks | Decorative Accessories | Home Textiles | Mirrors | Pillows | Tables, Accent | Wall Art | Wall Coverings | Wall Decor",,,"We constantly travel the world to expand our offerings from our PETS ROCK™ exclusive distribution in North America, to our one of a kind designs on Tempered Art Glass by the talented Jodi P., to our amazing Metal Wall Sculptures, to the incredible Dimensional Art Collage by Alex Zeng, to our Exotic Occasional Leather Furniture and Mirrors Collection and much more. Be sure to follow us on FB and to visit our site for more EAD ""WOW"" collections!"
Las Vegas Market - Winter,01/23/2022,2022,https://www.lasvegasmarket.com/,DM,Tripp's Tents,C1188,Building C,https://www.americasmart.com/,Not@nemail.com,,444-444-4444,North Carolina - NC 209 S Main St  Test FL 14 HIGH POINT,United States,Accent Furniture | Bar Furniture,,,"TENTS! Tripp's tents is a test account, please ignore. Tripp has tents for sale and they are the best test. Tripp has tents for sale and they are the best test. Tripp has tents for sale and they are the best test. Tripp has tents for sale and they are the best test. Tripp has tents for sale and they are the best test. Tripp has tents for sale and they are the best test. Tripp has tents for sale and they are the best test"
Las Vegas Market - Winter,01/23/2022,2022,https://www.lasvegasmarket.com/,DM,"Sales Producers, Inc.",C1044,Building C,http://www.salesproducersinc.com,bonnieg@salesproducersinc.com,(800) 346-9613,(800) 750-0944,California - CA 860 South Los Angeles Street Suite 209 Los Angeles,United States,Childrens Apparel & Access. | Decorative Accessories | Fashion Accessories/Jewelry | Fine Jewelry | Holiday/Seasonal | Home Office | Home Textiles | Outdoor/Garden Gift | Outdoor/Patio accessories & décor | Personal Care / Spa | Pet | Souvenir / Novelties | Stationery/Paper Goods | Toys / Games / Plush | Youth & Baby Lifestyle & Gifts,,,"Proudly representing many premier, well-known and respected brands with a wide variety of products and categories including Paper & Stationery, Fashion Accessories, Home Decor, Baby & Kids, & Personal Care."
Las Vegas Market - Winter,01/23/2022,2022,https://www.lasvegasmarket.com/,DM,Ivystone,"C676,C684,C696","Building C,Building C,Building C",http://www.ivystone.com,info@ivystone.com,(877) 466-7895,(877) 232-6563,Pennsylvania - PA 301 Commerce Dr  Exton,United States,Accent Furniture | Art | Childrens Apparel & Access. | Decorative Accessories | Fashion Accessories/Jewelry | Gourmet Food | Holiday/Seasonal | Home Textiles | Housewares | Outdoor/Casual Furniture | Outdoor/Garden Gift | Outdoor/Patio accessories & décor | Personal Care / Spa | Tabletop | Wall Decor,,,"Founded in 1960, Ivystone is a professional sales agency that calls on independent and national wholesale accounts.Our combination of experience and expertise have established us as a trusted curator within the gift and home industry, including a refreshing assortment of merchandise in gift, home, garden, fragrance, personal care, fashion, and seasonal categories.Our mission is to form a business partnership that offers you authenticity. Whether it’s our devotion to teamwork, our passion for in-demand styles, or guiding you on the brands with bold options for your customers, we strive to be true collaborators that help you achieve business success.Our business is based upon the values, best practices, and integrity needed to create a culture of excellence. Your success is what drives Ivystone to form a true partnership that instills the utmost trust in us for years to come.Ivystone captures the best in top-selling gift and home accents, showcasing exceptional products and offering merchandising concepts to fulfill your buying needs. The Ivystone Las Vegas showroom is open during all gift and home markets and by appointment only at other times of the year."
Las Vegas Market - Winter,01/23/2022,2022,https://www.lasvegasmarket.com/,DM,Road Runners,"C1039,C1040","Building C,Building C",https://roadrunnersllc.com/,angela@roadrunnersllc.com,(888) 674-6349,,New York - NY 2406 Prince St.  Bellmore,United States,Books & Publications | Candles and Holders | Childrens Apparel & Access. | Decorative Accessories | Eyeglasses & Sunglasses | Fashion Accessories/Jewelry | Floral / Botanicals | General Gift | Gourmet Food | Handbags | Party Accessories | Personal Care / Spa | Religious Gifts | Stationery/Paper Goods | Tabletop,,,"Road Runners is a multi-line rep agency for industry leading manufacturers of home, gift, fashion, personal care and paper. In store, at market, or online, our independent sales reps are ready to help retailers source the best products for their store."
Las Vegas Market - Winter,01/23/2022,2022,https://www.lasvegasmarket.com/,DM,Howard Elliott Collection,"A224,A332","Building A,Building A",http://www.howardelliott.com,cheryl@howardelliott.com,(630) 871-1122,(630) 871-1258,Illinois - IL 200A S Mitchell Ct  Addison,United States,"Accent Furniture | Blankets & Throws | Chairs, Accent | Decorative Accessories | Home Textiles | Mirrors | Ottomans & Poufs | Pillows | Pottery & Ceramics | Tables, Accent | Upholstery | Vases | Wall Art | Wall Decor",,,"Committed Partnerships | Customized Programs | Distinct Home Decor
Our distinct collection of home decor is designed to inspire your creativity while reflecting your personality."
Las Vegas Market - Winter,01/23/2022,2022,https://www.lasvegasmarket.com/,DM,"NEST, inc, New Era Sales Team",C824,Building C,http://www.newerareps.com,newerareps@gmail.com,(800) 876-2334,(303) 297-2455,Colorado - CO 6732 W Coal Mine Ave #410  Littleton,United States,Accent Furniture | Books & Publications | Decorative Accessories | Eyeglasses & Sunglasses | Fashion Accessories/Jewelry | Floral / Botanicals | General Gift | Gourmet Food | Greeting Cards | Holiday/Seasonal | Personal Care / Spa | Pet | Souvenir / Novelties | Stationery/Paper Goods | Toys / Games / Plush,,,"NEST, inc.- Welcome to our showroom, where our goal is to provide you with positively outrageous service! View our array of GIFTbeat ranked lines in gift, jewelry, fashion, home, souvenir, garden, seasonal, coloring books, stationery & greeting cards."
