ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Light+Building,03/13/2022,2022,https://light-building.messefrankfurt.com/frankfurt/en.html,DM,100% LIGHT bvba,F42,1.2,www.100percentlight.be,,,,"8800, Roeselare, Krommebeekpark 41",Belgium,,,,"Founded in 2004, 100%LIGHT has profiled itself as the perfect partner in the production of your lighting architecture. We..."
Light+Building,03/13/2022,2022,https://light-building.messefrankfurt.com/frankfurt/en.html,DM,3B Profiles S.r.l.,A45,8.0,,laura.caiola@3bpro.com,03321610520,,"21020, Casciago, Via della Fontana 6",Italy,,,,3B Profiles is a leading player operating in multiple international markets thanks to its innovative knowledge in the extrusion...
Light+Building,03/13/2022,2022,https://light-building.messefrankfurt.com/frankfurt/en.html,DM,2N Telekomunikace a.s.,D10,11.1,www.2n.com,,,,"14301, Prague 4, Modranska 621/72",Czech Republic,Electrical installation equipment / systems | Information and communication equipment | Safety systems / devices,,,"2N is the global leader in IP access control systems.2N has been in the vanguard of innovation in the sector, developing..."
Light+Building,03/13/2022,2022,https://light-building.messefrankfurt.com/frankfurt/en.html,DM,ABB AG,A51,12.0,https://new.abb.com/de,,,,"68309, Mannheim, Kallstadter Str. 1",Germany,,,,"ABB is a pioneering technology leader that works closely with utilities, industry, transportation and infrastructure customers..."
Light+Building,03/13/2022,2022,https://light-building.messefrankfurt.com/frankfurt/en.html,DM,ABB E-mobility GmbH,A51,12.0,,,,,"68309, Mannheim, Kallstadter Str. 1",Germany,,,,
Light+Building,03/13/2022,2022,https://light-building.messefrankfurt.com/frankfurt/en.html,DM,ABB Stotz - Kontakt GmbH,C25,9.1,www.new.abb.com/low-voltage/products/building-automation,,,,"69123, Heidelberg, Eppelheimer Str. 82",Germany,Electrical installation equipment / systems,,,"ABB STOTZ-KONTAKT GmbH develops, manufactures and sells products for the electrical equipment and automation of buildings..."
Light+Building,03/13/2022,2022,https://light-building.messefrankfurt.com/frankfurt/en.html,DM,ABB STRIEBEL &amp; JOHN GmbH,C25,9.1,www.striebelundjohn.com,,,,"77880, Sasbach, Am Fuchsgraben 2-3",Germany,Electrical installation equipment / systems | IT systems for the electrical trade | Power distribution equipment | Safety systems / devices,,,We are a leading manufacturer of electrical distribution systems and see ourselves as a partner to the electrical trade...
Light+Building,03/13/2022,2022,https://light-building.messefrankfurt.com/frankfurt/en.html,DM,ABLE Power Products Inc.,J17,8.0,www.AblePowerProducts.com,clay@ABLEpowerproducts.com,7037208450,,"20110, Manassas, 8618 Phoenix Drive",United States,Technical lighting and accessories | Electrical installation equipment / systems | Miscellaneous electrical engineering equipment and components | Energy management and controlling,,,ABLE Power Products designs and manufacturers surge protection and over/under voltage cutoff devices for LED lighting applications...
Light+Building,03/13/2022,2022,https://light-building.messefrankfurt.com/frankfurt/en.html,DM,ABL SURSUM Bayerische Elektrozubeh&ouml;r GmbH &amp; Co. KG,E81,12.0,www.abl.de,,,,"91207, Lauf, Albert-Büttner-Straße 11",Germany,,,,ABL is one of the pioneers in electric mobility. The independent family-owned company produces wallboxes and charging poles...
Light+Building,03/13/2022,2022,https://light-building.messefrankfurt.com/frankfurt/en.html,DM,ABN GmbH,D56,11.1,www.abn-electro.com,,,,"74196, Neuenstadt am Kocher, Daimlerstr. 10-12",Germany,,,,
Light+Building,03/13/2022,2022,https://light-building.messefrankfurt.com/frankfurt/en.html,DM,3Brothers for Engineering and Electrical Manufacturing,J10,4.1,www.3-brothers.com,ahmed.reda@3-brothers.com,,,"Cairo, 21 El Mahed El Eshtraki, Heliopolis",Egypt,Technical lighting and accessories,,,3Brothers is considered to be one of the greatest specialized companies in the field of lighting units manufacturing all...
Light+Building,03/13/2022,2022,https://light-building.messefrankfurt.com/frankfurt/en.html,DM,ABUS August Bremicker S&ouml;hne KG,F90,8.0,www.abus.com,,,,"58300, Wetter, Altenhofer Weg 25",Germany,,,,"Safe, reliable, stable: this is what the ABUS brand stands for. Founded in 1924, ABUS is today a globally active family..."
Light+Building,03/13/2022,2022,https://light-building.messefrankfurt.com/frankfurt/en.html,DM,&quot;ACA&quot; APOSTOLIDIS S.A.,H71,4.1,www.acalight.gr,exports1@acalight.gr,+30 2321077020,,"62100, Serres, Industrial Area of Serres",Greece,Decorative lighting and accessories | Electric lamps,,,"Apostolidis-ACA Lighting is a renowned leader in Professional - architecturallighting, and in electrical equipment.Aca Lighting..."
Light+Building,03/13/2022,2022,https://light-building.messefrankfurt.com/frankfurt/en.html,DM,"ACB Iluminacion, S.L.",C11,6.1,www.acbiluminacion.com,calbarracin@acbiluminacion.com,+34 962779166,,"46190, Ribarroja del Turia (Valencia), C/ Camino de Valencia 104",Spain,,,,
Light+Building,03/13/2022,2022,https://light-building.messefrankfurt.com/frankfurt/en.html,DM,ACCLAIM LIGHTING LLC,K50,4.1,www.acclaimlighting.com,,,,"6468 EW, Kerkrade, Junostraat 2",Netherlands,,,,"Acclaim Lighting was founded 2003 in Los Angeles, California and immediately made an impact on the market with an impressive..."
Light+Building,03/13/2022,2022,https://light-building.messefrankfurt.com/frankfurt/en.html,DM,Accord Lighting,C60,6.1,www.accordlighting.com,adrian@accordlighting.com,+55 41 99894-8113,,"85660-000, Dois Vizinhos, PR 281 Road, KM 516,2",Brazil,Decorative lighting and accessories,,,ACCORD was born in the countryside of southern Brazil from the dream of three brothers to work together with the legacy...
Light+Building,03/13/2022,2022,https://light-building.messefrankfurt.com/frankfurt/en.html,DM,ACO Sp. z o.o. Sp. Komandytowa,A07,11.1,https://www.aco.com.pl/,,,,"62002, Suchy Las, Diamentowa 7",Poland,,,,We are a manufacturer of intercoms and videophones with 30 years of experience in the industry. Our head office is in Poland...
Light+Building,03/13/2022,2022,https://light-building.messefrankfurt.com/frankfurt/en.html,DM,ACRILUX S.r.l.,C07,8.0,www.acrilux.com,commercialservices@acrilux.com,+393393354851,,"62019, Recanati (MC), S.P. 571 Km 10+983",Italy,Technical lighting and accessories,,,Acrilux was founded 1966 and has developed in this cultural and industrial context: a wealth of experience is what has led...
Light+Building,03/13/2022,2022,https://light-building.messefrankfurt.com/frankfurt/en.html,DM,ACT-LUX GmbH,A28,3.0,,,,,"10587, Berlin, Helmholtzstr. 2/-9",Germany,,,,
Light+Building,03/13/2022,2022,https://light-building.messefrankfurt.com/frankfurt/en.html,DM,Adatis GmbH &amp; Co. KG,K80,8.0,www.adatis.com,,,,"90425, Nürnberg, Forchheimerstr. 6",Germany,Safety systems / devices,,,"3D facial recognition based on Deep Learning and Artificial Intelligence.
	Smartphone-like user experience for your entrance..."
Light+Building,03/13/2022,2022,https://light-building.messefrankfurt.com/frankfurt/en.html,DM,ADURO Technologies Europe B.V.,A64,4.2,,,,,"7775 AC, Lutten, Dedemsvaartseweg-Zuid 59",Netherlands,,,,"EIN VOLLSTÄNDIGES BELEUCHTUNGSKONZEPTWir sehen die Möglichkeiten von Beleuchtung. Gute Beleuchtung erleichtert, entlastet..."
Light+Building,03/13/2022,2022,https://light-building.messefrankfurt.com/frankfurt/en.html,DM,Advanced Fiber Optics S.L.,F09,4.1,www.afo.es,,,,"08041, Barcelona, Escornalbou 1",Spain,,,,AFO was founded in Barcelona in 1998 as a company specialized in innovative lighting solutions with fibre optics and LED...
Light+Building,03/13/2022,2022,https://light-building.messefrankfurt.com/frankfurt/en.html,DM,AEC Illuminazione S.r.l.,A71,4.0,www.aecilluminazione.com,,,,"52010, Subbiano (AR), Via Righi 4, Z.I. Castelnuovo",Italy,,,,"With over 60 years of experience, AEC Illuminazione is an Italian company based in Tuscany, leader in the outdoor lighting..."
