ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,BRIGHT LED,439,LF,www.brightledtx.com,,(281) 601-1133,,TX Missouri City 13746 Pike Rd.,USA,,,,
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,BILL BROWN SALES,1905,LF,www.billbrownsales.com,,800-621-1348,,IL Niles 6333 Gross Point Road,USA,,,,"Established in 1955, Bill Brown Sales is the leading component sales agency to North American lighting OEMs.  Represented lines include A.L.P. Lighting Components (LexaLite, Reflek, and Steel Craft brands), Bridgelux, Genesis Plastics Technologies, Inventronics, IR-TEC America, Lynk Labs, RLR Industries, Roytec Industries, Tripar, and Wald Wire."
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,BOCK LIGHTING,1026,LF,www.bocklighting.com,,(216) 912-7050,,OH Twinsburg 2476 Edison Blvd,USA,,,,
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,BEST LIGHTING PRODUCTS,2165,LF,www.bestlighting.net,,740-964-1198,,OH Pataskala 1213 Etna Parkway,USA,,,,"Best Lighting is the leader in the design, manufacturing and delivery of Life Safety Lighting in the USA market. With manufacturing facilities in various locations in Asia and two office and warehouse facilities in Ohio we supply our customers over 1,000 various Emergency, Exit, Inverter and Battery Pack products."
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,BEYOND LED TECHNOLOGY,1357,LF,www.beyondledtechnology.com,,1 866-786-1117,,GA Stone Mountain 1939 Parker Court,USA,,,,"Founded in 2008, Beyond LED Technology designs and manufactures a wide array of LED lighting products.  Based in Atlanta Georgia.  Product line includes Led retrofit, indoor, outdoor, signage and solar led lighting.  We support our customers with aggressive pricing, exceptional product quality, continuous LED product innovation and strong customer service."
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,B-K LIGHTING,1238,LF,www.bklighting.com,,(559) 438-5800,,CA Madera 40429 Brickyard Drive,USA,,,,
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,BLACKJACK LIGHTING,939,LF,www.blackjacklighting.com,,(847) 941-0588,,IL Buffalo Grove 1547 Barclay Blvd.,USA,,,,
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,BEELIGHTING INC,538,LF,www.beelite-led.com,,(937) 554-0511,,OH Dayton 347 Leo Street,USA,,,,
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,BARTCO LIGHTING,1166,LF,www.bartcolighting.com,,7144656532,,CA Huntington Beach 5761 Research Dr,USA,,,,
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,BENJAMIN ELECTRIC COMPANY,1037,LF,www.benjaminelectric.com,,2137138232,2137473904,CA Los Angeles 1615 Staunton Avenue,USA,,,,
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,ZOHNSON LIMITED,1075,LF,www.zohnson-led.com,,+86 13631427687,,HK Hong Kong 7/F,China,,,,
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,BASELITE CORPORATION,1454,LF,www.baselite.com,,(909) 548-4554,,CA Chino 12260 East End Ave,USA,,,,
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,"BENDER & WIRTH, INC.",1153,LF,www.bender-wirth.com,,(603) 225-6725,,NH Concord 210 Pleasant St. Unit 1,USA,,,,
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,"B PLUS L TECHNOLOGIES, INC.",1149,LF,www.bplusl.com,,(408) 269-7884,,CA San Jose 3570 Charter Park Drive,USA,,,,
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,BIOS,1456,LF,www.bioslighting.com,,8587740489,,California Carlsbad 2796 Loker Ave W Suite#111,USA,,,,
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,ZHAGA CONSORTIUM,2959,LF,www.zhagastandard.org,,+1-732-562-5404,,NJ Piscataway 445 Hoes Lane,USA,,,,"We are a global lighting-industry organization that aims to standardize interfaces of components of LED luminaires, including LED light engines, LED modules, LED arrays, holders, electronic control gear (LED drivers), connectors and sensing/communication modules.

Smart standards. Smarter lighting."
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,BRANDON INDUSTRIES,2340,LF,www.brandonindustries.com,,972-542-3000,,TX McKinney 1601 Wilmeth Road,USA,,,,
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,BOCA FLASHER,1262,LF,www.bocaflasher.com,,561.982.8327,,FL Deerfield 508 South Military Trail,USA,,,,"For over 26-Years, Boca Flasher, a leading LED solution provider, has dedicated itself to advancing the safety, quality, reliability, and sustainability of LED lighting technology. Together within our 45,000 square-foot facilities in Southeast Florida, our in-house team of Engineers, Inventors, and Developers are committed to meeting the highest design and manufacturing standards. Our broad selection of lighting and control products provides designers with the high-quality solutions necessary to turn their conceptual visions into experienced reality."
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,"WILGER TESTING CO., INC.",1041,LF,www.wilgertesting.com,,(941) 925-2049,,FL Sarasota 5654 Sarah Ave,USA,,,,
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,ZLED LIGHTING,330,LF,www.zled-lighting.com,,(800) 679-9243,,NJ Mount Laurel 20-B Roland Avenue,USA,,,,
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,"YML - SHANGHAI YUANMING LIGHTING TECHNOLOGY CO., L",3056,LF,www.china-yml.com,,+86 13917366888,,"shanghai Fengxian District, Shanghai No. 1251 South Hangnan Road",China,,,,
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,WAVE LIGHTING,2616,LF,www.wavelighting.com,,(877) 870-9283,,MO St. Louis 6333 Etzel Ave.,USA,,,,
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,WAGNER ARCHITECTURAL SYSTEMS,457,LF,www.wagnerarchitectural.com,,(414) 716-8430,,WI Milwaukee 10600 W. Brown Deer Rd,USA,,,,
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,WAC LIGHTING,415,LF,www.waclighting.com,,(800) 526-2588,,NY Port Washington 44 Harbor Park Drive,USA,,,,"A second generation owner-operated company founded in 1984, WAC designs and builds a wide range of advanced LED luminaires across renowned brands such as dweLED decorative sconces, vanity lights, pendants and chandeliers, and WAC architectural lighting and smart ceiling fans. The company’s strengths in original design, emerging technologies, solution-oriented innovations, and vertical manufacturing infrastructures, helped achieve a position of leadership in the industry."
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,VITREK,2612,LF,www.vitrek.com,,(858) 689-2755,,CA Poway 12169 Kirkham Road,USA,,,,
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,"VODE LIGHTING, LLC.",1163,LF,www.vode.com,,707-800-9016,,CA Sonoma 21684 8th Street,USA,,,,"Vode’s LED products are designed to distribute controlled light through modest forms that don’t detract from the architectural spaces they illuminate. The results are lighting systems with modular and interchangeable parts that reduce size, weight and waste. They’re engineered for simple installation and maintenance-free lives."
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,VAOPTO,1148,LF,www.vaopto.com,,(702) 517-5789,,NV Las Vegas 5178 West Patrick Lane,USA,,,,
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,VISTA PROFESSIONAL OUTDOOR LIGHTING,2949,LF,www.vistapro.com,,8055270987,888-670-8478,CA Simi Valley 1625 Surveyor ave.,USA,,,,
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,VISION3 LIGHTING,1649,LF,www.vision3lighting.com,,(559) 834-5749,,CA Fowler 2850 San Antonio Drive,USA,,,,"Vision3 Lighting manufactures specification grade architectural LED lighting products. Our philosophy is to deliver unique and configurable solutions for the specification-grade marketplace; an industry where standard designs are often not enough to solve everyday challenges. At Vision3, we truly believe in the power of lighting & design and their ability to create beautiful spaces, elevate experiences, and engage people everywhere."
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,"VIRIBRIGHT LIGHTING, INC.",1331,LF,www.viribright.us,,(951) 268-7095,,CA Corona 355 E Rincon Street STE 219,USA,,,,
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,"Venas Co., Limited",2064,LF,www.jamesindustry.com,,9739601877,,CA Rancho Dominguez 2369 Pacifica Place,USA,,,,
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,Veroboard Tech Inc,961,LF,http://www.veroboard.com,,7788388070,,British Columbia vancouver 1470 Kootenay St,Canada,,,,
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,VERIZON,2760,LF,http://www.verizonenterprise.com/products/internet-of-things/smart-cities/,,408-438-6179,,CA San Jose 397 W. Trimble Road,USA,,,,
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,USAI LIGHTING,2215,LF,www.usailighting.com,,(845) 271-9322,,NY New Windsor 1126 River Road,USA,,,,
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,UL,1049,LF,www.ul.com,,(877) 854-3577,,IL Northbrook 333 Pfingsten Rd,USA,,,,
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,VISUAL LIGHTING TECHNOLOGIES (VLT),957,LF,www.vltcorp.com,,(949) 581-9398,,TX Cedar Park 1809 Hur Industrial Blvd,USA,,,,
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,USA LED,1829,LF,www.usaled.com,,(203) 768-3622,,CT Southbury 330 Main St S,USA,,,,
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,"TRASTAR, INC.",556,LF,www.trastarusa.com,,(972) 480-0888,,TX Richardson 860 N. Dorothy Drive,USA,,,,LED Street & Highway Lighting Manufacture
Lightfair,10/27/2021,2021,https://www.lightfair.com/,DM,TSR LED LIGHTING,1768,LF,tsrgrow.com,,(401) 388-0533,,RI Warwick 60 Alahamra Road,USA,,,,
