ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,CENTRSVET,2267,LF,www.velumdesign.com,,+17868999682,,FL Sunny Isles Beach 17100 Collins Ave,United States of America,,,,
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,BRIGHT LED,2321,LF,www.brightledtx.com,,(281) 601-1133,,TX Missouri City 13746 Pike Rd.,USA,,,,"Bright LED designs and manufactures a wide range of LED lighting products. We are based in Missouri City TX. Product line includes Led retrofit, indoor, outdoor, signage and Pole & Pole Accessories. We support our customers with innovation and strong customer service."
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,CARL STAHL ARC GMBH,2357,LF,www.x-led.de,,497162-948150310,,Baden-Wuerttemberg Suessen Siemensstrasse 2,Germany,,,,"Manufacturer of standard and customized LED-Modules for Architectural Illumination. Scope of supply: Feasability study, preliminary design, planning/engineering, static analysis of primary structure, development and delivery of all system components, supervision. Applications: Media facades, color dynamic light ceilings, facade illumination, light sculptures and more."
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,CARCLO TECHNICAL PLASTICS,2347,LF,www.carclo-optics.com,,(724) 539-1833,,PA Latrobe 600 Depot Street,USA,,,,"Carclo Technical Plastics specializes in injection molding and contract manufacturing services. Manufacturing includes cleanroom environments, automation, and assembly services for the medical device industry as well as standard and custom design LED optics. The company operates out of the United States, United Kingdom, Europe, and Asia with ISO 9001 and ISO 13485 certifications."
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,BOCK LIGHTING,1534,LF,www.bocklighting.com,,(216) 912-7050,,OH Twinsburg 2476 Edison Blvd,USA,,,,
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,CABA,2433,LF,www.caba.org,,613-744-7833,,"Ontario Ottawa 1173 Cyrvilled Road, Suite 210",Canada,,,,"The Continental Automated Buildings Association (CABA) is a leading international, not-for-profit, industry organization promoting advanced technologies in homes and buildings since 1988."
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,BOCA FLASHER,2111,LF,www.bocaflasher.com,,561.982.8327,,FL Deerfield 508 South Military Trail,USA,,,,
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,"CABLE GRIPPERS, INC.",1730,LF,www.cablegrippers.com,,(702) 869-0755,,NV Las Vegas 6647 Schuster Street,USA,,,,
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,BIOS,1939,LF,www.bioslighting.com,,8587740489,,California Carlsbad 2796 Loker Ave W Suite#111,USA,,,,
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,BRANDON INDUSTRIES,1713,LF,www.brandonindustries.com,,972-542-3000,,TX McKinney 1601 Wilmeth Road,USA,,,,
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,ZLED LIGHTING,1361,LF,www.zled-lighting.com,,(800) 679-9243,,NJ Mount Laurel 20-B Roland Avenue,USA,,,,"Our goal is to provide the highest quality and most diverse line of LED products in the United States today. From our retrofit lamps to Magnilumen Plus products and customer specific solutions, we are able to design and produce unlimited LED products to meet any project requirement or lighting designer’s concepts. We deliver value, differentiation, and product and service improvement each and every day."
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,BEYOND LED TECHNOLOGY,1357,LF,www.beyondledtechnology.com,,1 866-786-1117,,GA Stone Mountain 1939 Parker Court,USA,,,,"Founded in 2008, Beyond LED Technology designs and manufactures a wide array of LED lighting products.  Based in Atlanta Georgia.  Product line includes Led retrofit, indoor, outdoor, signage and solar led lighting.  We support our customers with aggressive pricing, exceptional product quality, continuous LED product innovation and strong customer service."
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,BILL BROWN SALES,1920,LF,www.billbrownsales.com,,800-621-1348,,IL Niles 6333 Gross Point Road,USA,,,,"Established in 1955, Bill Brown Sales is the leading component sales agency to North American lighting OEMs.  Represented lines include A.L.P. Lighting Components (LexaLite, Reflek, and Steel Craft brands), Bridgelux, Genesis Plastics Technologies, Inventronics, IR-TEC America, Lynk Labs, RLR Industries, Roytec Industries, Tripar, and Wald Wire."
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,BLACKJACK LIGHTING,1433,LF,www.blackjacklighting.com,,(847) 941-0588,,IL Buffalo Grove 1547 Barclay Blvd.,USA,,,,
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,B-K LIGHTING,1631,LF,www.bklighting.com,,(559) 438-5800,,CA Madera 40429 Brickyard Drive,USA,,,,
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,BUILDING SERVICES MANAGEMENT MAGAZINE,2465,LF,https://www.bsmmag.com/,,2059822536,,"AL Birmingham 114 Trade Center Drive, Suite B",,,,,"The goal of Building Services Management magazine is to be the primary source of information for today ’s facility maintenance professional. Each month, we take a whole-building approach to covering the industry, offering our readers techniques and equipment that increase productivity and efficiency, while emphasizing workplace safety. We continuously strive to meet the information needs of facility maintenance managers and contractors with decision-making and purchasing power in a variety of commercial , industrial and institutional settings thereby offering manufacturers and service providers a unique audience for their products."
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,ZHAGA CONSORTIUM,2325,LF,www.zhagastandard.org,,+1-732-562-5404,,NJ Piscataway 445 Hoes Lane,USA,,,,"We are a global lighting-industry organization that aims to standardize interfaces of components of LED luminaires, including LED light engines, LED modules, LED arrays, holders, electronic control gear (LED drivers), connectors and sensing/communication modules.

Smart standards. Smarter lighting."
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,ZOPOISE TECHNOLOGY (ZHUZHOU) CO. LTD.,1460,LF,www.zopoise.com,,86 -15914172513,,"Hunan Tianyuan District No.8, Jinlong Road Zhuzhou",China,,,,
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,BEST LIGHTING PRODUCTS,2161,LF,www.bestlighting.net,,740-964-1198,,OH Pataskala 1213 Etna Parkway,USA,,,,"Best Lighting is the leader in the design, manufacturing and delivery of Life Safety Lighting in the USA market. With manufacturing facilities in various locations in Asia and two office and warehouse facilities in Ohio we supply our customers over 1,000 various Emergency, Exit, Inverter and Battery Pack products."
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,"VODE LIGHTING, LLC.",2109,LF,www.vode.com,,707-800-9016,,CA Sonoma 21684 8th Street,USA,,,,
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,WORLD CONSTRUCTION TODAY,2413,LF,www.worldconstructiontoday.com,,919885027529,,"Telangana Hyderabad 301, 3rd floor, Manbhum Jade Tower, Raj Bhavan Road",India,,,,
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,"YML - SHANGHAI YUANMING LIGHTING TECHNOLOGY CO., L",2441,LF,www.china-yml.com,,+86 13917366888,,"shanghai Fengxian District, Shanghai No. 1251 South Hangnan Road",China,,,,
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,WAVE LIGHTING,2308,LF,www.wavelighting.com,,(877) 870-9283,,MO St. Louis 6333 Etzel Ave.,USA,,,,"The Wave lighting market covers residential and light commercial with a focus on strip centers, medium to large residential communities, multi-family and hotel projects.  Our product offerings include decorative entry and patio lighting to commercial decorative post top luminaires for walkways, parking lots and residential streets.  Wave also manufactures USA made 3” and 4” poles from direct burial to decorative bases."
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,VERIZON,2430,LF,http://www.verizonenterprise.com/products/internet-of-things/smart-cities/,,408-438-6179,,CA San Jose 397 W. Trimble Road,USA,,,,
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,WAC LIGHTING,1620,LF,www.waclighting.com,,(800) 526-2588,,NY Port Washington 44 Harbor Park Drive,USA,,,,
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,WAGNER ARCHITECTURAL SYSTEMS,2029,LF,www.wagnerarchitectural.com,,(888) 243-6914,,WI Milwaukee 10600 W. Brown Deer Rd,USA,,,,
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,"WILGER TESTING CO., INC.",2221,LF,www.wilgertesting.com,,(941) 925-2049,,FL Sarasota 5654 Sarah Ave,USA,,,,
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,UL,1811,LF,www.ul.com,,(877) 854-3577,,IL Northbrook 333 Pfingsten Rd,USA,,,,
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,"VENAS COMPANY, LTD.",1962,LF,www.venas.com,,9739601877,,"KLN Tsim Sha Tsui 1026, Beverley Commercial Centre",Hong Kong (China),,,,"Venas Lighting manufactures Commercial indoor / outdoor LED lights, Industrial LED lights, varies retrofit kits and completed lighting fixture, Explosion Proof Lights, and Grow Lights. We also keep a plenty of inventory in the States to ship out immediately."
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,VAOPTO,1568,LF,www.vaopto.com,,(702) 517-5789,,NV Las Vegas 5178 West Patrick Lane,USA,,,,"VaOpto is a U.S. Citizen owned LED Manufacturing Company that was originally founded in the State of Virginia in 2005 and then relocated to Las Vegas, Nevada in 2010. VaOpto specializes in LED R&D Manufacturing with OEM and ODM wholesale services. Our world class Manufacturing Facilities are ISO14001/ISO9001/TS16949/OHSAS18001 certified and RoHS compliant. VaOpto offers component, lighting, and application systems for LED related industries with high quality, superior performance, and competitive pricing."
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,USA LED,2157,LF,www.usaled.com,,2032626420,,CT Southbury 238 Reservoir Rd,USA,,,,Top Quality LED Lighting Technology For Indoor And Outdoor Purposes. Shop Online Today! Shop From The Fastest Growing Online LED Lighting Distributor. Free Shipping Available! Locally Owned & Operated. Limited Warranty. Price Match Guarantee.
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,"VIRIBRIGHT LIGHTING, INC.",1739,LF,www.viribright.us,,(951) 268-7095,,CA Corona 355 E Rincon Street STE 219,USA,,,,
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,"VEROBOARD TECH, INC.",1663,LF,http://www.veroboard.com,,1 (604) 559-5744,,British Columbia vancouver 1470 Kootenay St,Canada,,,,
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,VISTA PROFESSIONAL OUTDOOR LIGHTING,2324,LF,www.vistapro.com,,8055270987,888-670-8478,CA Simi Valley 1625 Surveyor ave.,USA,,,,
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,VISION3 LIGHTING,1747,LF,www.vision3lighting.com,,(559) 834-5749,,CA Fowler 2850 San Antonio Drive,USA,,,,"Vision3 Lighting manufactures specification grade architectural LED lighting products. Our philosophy is to deliver unique and configurable solutions for the specification-grade marketplace; an industry where standard designs are often not enough to solve everyday challenges. At Vision3, we truly believe in the power of lighting & design and their ability to create beautiful spaces, elevate experiences, and engage people everywhere."
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,THE LIGHTING QUOTIENT,2113,LF,www.thelightingquotient.com,,2039314455,2039314464,CT West Haven 114 Boston Post Road,United States of America,,,,
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,"TRC ELECTRONICS, INC.",1366,LF,www.trcelectronics.com,,(267) 705-2282,,PA Doylestown 4171 Stony Lane,USA,,,,TRC Electronics supplies businesses in the electronics industry the power to succeed.  Give our office a call at 1-888-612-9514
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,"TIOSL TECHNOLOGY (SHENZHEN) CO., LTD.",2332,LF,http://www.tiosl.com/,,0086-0755-29553310,,"Guangdong Shenzhen 10th F, Bldg 5, Gate 2, Area A, Huafeng No.1 Science and Technology Park",China,,,,
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,TOGGLED,2320,LF,toggled.com,,844-864-4533,,MI Troy 1820 E. Big Beaver Rd.,United States,,,,
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,"TRASTAR, INC.",2128,LF,www.trastarusa.com,,(972) 480-0888,,TX Richardson 860 N. Dorothy Drive,USA,,,,
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,"TUV SUD AMERICA, INC.",2042,LF,www.tuvsud.com/en-us,,9785732500,,MA Wakefield 401 Edgewater Place,USA,,,,"TÜV SÜD is a trusted partner of choice for safety, security and sustainability solutions. As a single source for testing and certification compliance of all lighting types, our comprehensive capabilities simplify the process, allowing manufacturers to bring new and advanced products to market quickly and efficiently. For more information visit www.tuvsud.com/en-us."
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,TELINK SEMICONDUCTOR,2330,LF,https://www.telink-semi.com/,,408-320-2197,,CA Santa Clara 2975 Scott Blvd #120,United States,,,,
Lightfair,10/25/2021,2021,https://www.lightfair.com/,DM,TSR LED LIGHTING,1866,LF,tsrgrow.com,,(401) 388-0533,,RI Warwick 60 Alahamra Road,USA,,,,
