ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
41 Madison (New York Tabletop) - Spring,04/05/2022,2022,https://41madison.com/,DM,IVV Glassmakers – Italia,,Floor 22,www.IVVnet.it,william.follett@ivvnet.it,203-253-7390,,,,,,,"IVV is one of the main and very few remaining glassworks that still produce in Italy. Its core-business is tabletop (glasses, plates, serving accessories) and furnishing complements, made in high-end, both mouth-blown and machine made, glass."
41 Madison (New York Tabletop) - Spring,04/05/2022,2022,https://41madison.com/,DM,Certified International Corp.,,Floor 13,www.CertifiedInternational.com,debb@certifiedinternational.com,212-685-1098,,,,,,,"Certified International is proud to offer the finest ceramic, melamine and bamboo fiber dinnerware and serveware products, along with acrylic drinkware. Featuring beautiful year round, seasonal and holiday collections designed by talented artists."
41 Madison (New York Tabletop) - Spring,04/05/2022,2022,https://41madison.com/,DM,Orrefors,,Floor 9,www.Orrefors.us,emon@orrefors.us,800-433-4167,,,,,,,"The Orrefors range offers everything from glass tableware and homeware items to art. All created by our well-known designers and skilled craftsmen. At Orrefors you will find everything from dishwasher-safe crystal glasses to hand-made crystal vases. Whether you are looking for everyday glass tableware or an exclusive gift for a special occasion, you are sure to find the perfect item in Orrefors’ extensive range. Orrefors represents quality and Scandinavian design combined with contemporary style and ease of use."
41 Madison (New York Tabletop) - Spring,04/05/2022,2022,https://41madison.com/,DM,Gourmet Settings Inc.,,Floor 22,www.GourmetSettings.com,info@gourmetsettings.com,800-551-2649,,,,,,,We do one thing and we do it very well. We make the best flatware you’ll ever use.
41 Madison (New York Tabletop) - Spring,04/05/2022,2022,https://41madison.com/,DM,Lee’s Group International,,Floor 19,www.LeesGroupInternational.com,Jderrick@cmsales.com,253-874-0275,,,,,,,"Lee’s Group International was originally founded in Taiwan by owner Jack and Millie Su in 1989. While our origin started as a Trading Company, today we are much more than that. Lee’s Group designs and develops over 300 new products a year in a wide array of products for some of the leading retailers in North America, South America, Europe, and Japan."
41 Madison (New York Tabletop) - Spring,04/05/2022,2022,https://41madison.com/,DM,Denby USA Limited,,Floor 10,www.DenbyUSA.com,dkelhart@denbyusa.com,800-374-6479,,,,,,,"Denby, Styled by life – Versatile, beautiful and durable ceramics and homeware designed for modern life."
41 Madison (New York Tabletop) - Spring,04/05/2022,2022,https://41madison.com/,DM,Bormioli Rocco,,Floor 16,www.BormioliRocco.com,salesusa_tableware@bormiolirocco.com,212-719-0606,,,,,,,Tabletop & Housewares
41 Madison (New York Tabletop) - Spring,04/05/2022,2022,https://41madison.com/,DM,Degrenne North America,,Floor 15,www.DegrenneNorthAmerica.com,jfagan@degrenneparis.com,732-565-0820,,,,,,,"Since inception in 1948, DEGRENNE Paris has evolved as the leading French manufacturer & supplier of Commercial Foodservice tableware & buffet-ware serving discriminating hotels, restaurateur’s and caterers worldwide. Passion, know-how, excellence and the love of well-done work characterize the brand."
41 Madison (New York Tabletop) - Spring,04/05/2022,2022,https://41madison.com/,DM,Iittala,,Floor 23,www.iittala.com,michele.nidoy@fiskars.com,212-532-5950,,,,,,,"Life changes, Iittala stays  – lasting design against throwawayism."
41 Madison (New York Tabletop) - Spring,04/05/2022,2022,https://41madison.com/,DM,Puiforcat,,Floor 22,www.Puiforcat.com,adltshowroom@hermesofparis.com,855-240-9740,,,,,,,"This family cutler, founded in Paris in 1820 by Emile Puiforcat and his two cousins, owes most of its renown to Jean Puiforcat, from the fourth generation of the family, who established the company in the avant-garde of modern silverwork."
41 Madison (New York Tabletop) - Spring,04/05/2022,2022,https://41madison.com/,DM,Royal Albert,,Floor 23,www.RoyalAlbert.com,michelle.richards@fiskars.com,212-532-5950,,,,,,,"Inspired by English gardens, Royal Albert has been passionate about pretty florals for over 100 years."
41 Madison (New York Tabletop) - Spring,04/05/2022,2022,https://41madison.com/,DM,Royal Doulton,,Floor 23,www.RoyalDoulton.com,michelle.richards@fiskars.com,212-532-5950,,,,,,,"From its first origins, Royal Doulton designs are inspired by the cosmopolitan culture and eclectic style of London, it is contemporary on a trend lifestyle brand."
41 Madison (New York Tabletop) - Spring,04/05/2022,2022,https://41madison.com/,DM,Royal Copenhagen,,Floor 23,www.RoyalCopenhagen.us,michele.nidoy@fiskars.com,212-532-5950,,,,,,,A passion for blue…since 1775.
41 Madison (New York Tabletop) - Spring,04/05/2022,2022,https://41madison.com/,DM,Saint-Louis,,Floor 22,www.Saint-Louis.com,adltshowroom@hermesofparis.com,855-240-9740,,,,,,,"Cristalleries de Saint-Louis is one of the most revered crystal manufacturers in the world. Its artisans have been practicing the ancient glass-blowing and handcrafting skills for centuries, dating back to 1586. In 1767, Louis XV appointed it as “The Royal Glassworks of Saint-Louis.”"
41 Madison (New York Tabletop) - Spring,04/05/2022,2022,https://41madison.com/,DM,Wedgwood,,Floor 23,www.Wedgwood.com,michelle.richards@fiskars.com,212-532-5950,,,,,,,"Wedgwood is a luxury lifestyle brand whose 260 year heritage is characterized by its commitment to producing iconic collections for the home. It retains global prominence as the epitome of distinctive British design and exceptional quality. Today, Wedgwood has evolved a contemporary aesthetic which is relevant and inspiring for modern day life."
41 Madison (New York Tabletop) - Spring,04/05/2022,2022,https://41madison.com/,DM,Waterford,,Floor 23,www.Waterford.com,michelle.richards@fiskars.com,212-532-5950,,,,,,,Waterford is an Irish premium lifestyle brand that enables people to celebrate conviviality. With a vision to enhance your quality of life through the Irish way of living and the belief that life is better when shared.
41 Madison (New York Tabletop) - Spring,04/05/2022,2022,https://41madison.com/,DM,REVOL USA,,Floor 19,www.Revol-Pro.com,alexandra.jacques@revol-usa.com,678-456-8671,,,,,,,"Discover the pleasure of cooking with a noble material made from carefully selected natural minerals without chemical additives nor heavy metals. Revol makes a point that each product, made by hand in our workshop in the village of St Uze in France, meets the highest demands and displays extreme performance: non- porous, does not absorb liquids or fats, nor odors, nor bacteria, guaranteeing a perfect hygiene."
