ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Maison & Objet,03/24/2022,2022,https://www.maison-objet.com/en/paris/exhibitors,DM,COMPASS Desk,E10 - F9,7,,,,,,France,,,DRUGEOT MANUFACTURE,"Thanks to its sliding panel, Ortho TV makes it possible to conceal a television. Graphic and aerial, Ortho is more than just a TV stand, it becomes a major element of the decoration of an interior. Its niches allow to highlight books and objects, to receive box and multimedia boxes. The location reserved for the TV can be adapted to all dimensions.
Colors of the backgrounds and the drawer customizable.
Solid French oak from sustainably managed French forests. Door and back oak veneered solid way. Made in Anjou (France)."
Maison & Objet,03/24/2022,2022,https://www.maison-objet.com/en/paris/exhibitors,DM,Sculptures,F87,7,,,,,,France,,,THIERRY MARTENON,Walnut
Maison & Objet,03/24/2022,2022,https://www.maison-objet.com/en/paris/exhibitors,DM,Heiki & Branch Bowl,E105,7,,,,,,Finland,,,UTOPIA & UTILITY,"Inspired by the ingenious repair of the old handle of a bucket in a Finnish sauna, HEIKI (named after the man who developed the repair) is a mouth-blown vase with flowing curves. Each piece is unique and comes with a wooden handle.

BRANCH BOWLS are round, mouth-blown vases whose 'lid' is formed from the knot of a tree trunk. 

Heiki and Branch Bowls are all unique pieces, blown by an English craftsman, with the wood part adjusted in Finland and Germany."
Maison & Objet,03/24/2022,2022,https://www.maison-objet.com/en/paris/exhibitors,DM,"KINTSUGI BOWL, BOWL, JEWELRY HOLDER, WHITE PORCELAIN AND GOLD LEAF",D78,7,,,,,,France,,,MAISON GALA,"The Mira decoration, with its clean lines in white porcelain from Limoges, sublimates a small defect with gold. 
Maison Gala offers its version of the art of Kintsugi, which means in Japanese “gold joint”: Our craftsmen, inspired by this traditional Japanese method of repairing broken ceramics, use a 22-carat gold foil to treat every bowl or plate that comes out of their oven.
Bowl can be used as a storage room, decoration plate on a table, wedding rings or jewellery or in the larger version as picture backgrounds."
Maison & Objet,03/24/2022,2022,https://www.maison-objet.com/en/paris/exhibitors,DM,Christoph Broich Home Project: Rainbow Crush Throws,B54 - C53,7,,,,,,Belgium,,,CHRISTOPH BROICH HOME PROJECT,"Christoph Broich Home Project offers a contemporary take on interior design. Each cushion, plaid and sports towel is crafted by hand, using a continuously evolving and instinctive artistic process, for a truly unique finish. Unpredictable and wayward, these collector’s items are a visual medicine for the soul.
This statement piece is the result of a continuously evolving and instinctive art process. A distinctive play of layers, pleats and colours creates this unique finish. The dyes meet the highest OEKO-TEX standards, which assures this home accessory to be safe for your health."
Maison & Objet,03/24/2022,2022,https://www.maison-objet.com/en/paris/exhibitors,DM,ANNET wall lamp,D185,7,,,,,,Belgium,,,TEKNA,"Brass wall lamp with transparent or frosted glass exterior mounting. Spring-loaded closure.
Dimensions: width 133 mm - height 357 mm - projection 140 mm.
Lummi LED lamp E27 220-240 V 5 W 2200 K 400 lm (dimmable) included.
Main power: 230 V - 50 Hz. (United States on request)
Use: indoor and outdoor (IP44)

Part of the Nautic collection."
Maison & Objet,03/24/2022,2022,https://www.maison-objet.com/en/paris/exhibitors,DM,Dining chair KROSS,B197,7,,,,,,France,,,SIFAS,"Dining armchair in forged aluminium with character thanks to its traditional lines but ultra comfortable and functional (ultra light, removable cushion). Ideal inside and outside. Sunbrella fabrics.
Also exists the dining chair."
Maison & Objet,03/24/2022,2022,https://www.maison-objet.com/en/paris/exhibitors,DM,SHEEP,D24,7,,,,,,France,,,POP CORN,"JUMPING SHEEP.
Several sizes available _ 

Here is another very unexpected companion for the House! Designed by HANNS-PETER KRAFFT in 1982 and handcrafted in Germany, SHEEP is a superb sheep made of solid wood, coated with thick natural fur, fluffy and soft. Her ears are made of leather.
SHEEP is strong enough to serve as a seat for young and old alike.
As a unique work, SHEEP is present in several major galleries from New York to Paris, Tokyo and London."
Maison & Objet,03/24/2022,2022,https://www.maison-objet.com/en/paris/exhibitors,DM,lampshades 7 Branches,F72,7,,,,,,France,,,EDITION LIMITEE PARIS,"Wrought iron hammered by a master ironworker.

7 white opal glass lampshades

French manufacture."
Maison & Objet,03/24/2022,2022,https://www.maison-objet.com/en/paris/exhibitors,DM,Fabric Fabrik: CARPET - STOOL RUGS - FRAMED WORKS,B54 - C53,7,,,,,,Belgium,,,FABRIC FABRIK,"Katrijn's tufted works are like a common thread in her work. Playful and colorful designs, picked up from everyday life, are transformed into vibrant, colorful carpets. All Tapit’s, Stool Rugs and Framed works are tufted and finished by hand in Katrijn's studio in Ghent."
Maison & Objet,03/24/2022,2022,https://www.maison-objet.com/en/paris/exhibitors,DM,Emea Table,C50 - D49,7,,,,,,France,,,ALKI,"The Emea collection, featuring oak wood, showcases the company's technical expertise. An archetypical chair if there ever was one, this piece requires all the skills of the Alki team in terms of craftsmanship, assembly and precision. It is a perfect illustration of the idea of solid wood. Its different components appear to be carved from a single block."
Maison & Objet,03/24/2022,2022,https://www.maison-objet.com/en/paris/exhibitors,DM,Console Cabinet “Black Bottom”,F89,7,,,,,,France,,,THIERRY LAUDREN,"This console is made with high-quality solid oak.
I use the wood carving technique to work the façade of the console.
I also realize in this collection: chest of drawers, wardrobe, desk...
Can be made to measure."
Maison & Objet,03/24/2022,2022,https://www.maison-objet.com/en/paris/exhibitors,DM,Table Abacus - Pierre-Emmanuel Vandeputte,B54 - C53,7,,,,,,Belgium,,,PIERRE-EMMANUEL VANDEPUTTE,"From design to production, Pierre-Emmanuel Vandeputte (°1991) succeeds in combining surrealism and craft through noble materials. Each piece has a unique identify and an emotional power. Together they appeal to curiosity without preconceptions; they invite us to new experiences unconstricted by our usual expectations. 
Abacus table shakes up convention. Without constraints, the tops slide and move freely along the structure and leave the user to decide on their arrangement. Gradually, the tops disappear and the structure is revealed and becomes a graphic element that takes shape in the space."
Maison & Objet,03/24/2022,2022,https://www.maison-objet.com/en/paris/exhibitors,DM,"Throw ""Luisa""",F167,7,,,,,,Italy,,,MASSERANO CASHMERE,"A 100% cashmere throws made in Biella - Italy. 
Available in around 80 different colours."
Maison & Objet,03/24/2022,2022,https://www.maison-objet.com/en/paris/exhibitors,DM,IRIDE floor coverings,A86 - B85,7,,,,,,Italy,,,MONITILLO 1980,"Like a stretch of precious pearls, Iride presents
an elongated pattern made of bridged marble spheres
by tiny triangular inlays in treated steel
an innovative PVD coating."
Maison & Objet,03/24/2022,2022,https://www.maison-objet.com/en/paris/exhibitors,DM,Pendant lamp “UPSIDE DOWN”,D50,7,,,,,,France,,,MAGIC CIRCUS ÉDITIONS,"Suspension in brass and mouth-blown glass, handcrafted."
