ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,Dreambeds s. r. o.,Pavilion F,006,,radek@dreambeds.cz,+420 724 760 305 ,,"Vinohradská 1420/3, 120 00, Brno, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,DOPPLER CZ spol. s r.o.,Pavilion F,014,,doppler@doppler.cz,+420 386 301 611 ,,"Trocnovská 70, 374 01, Trhové Sviny, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,"DOLCE VITA SOFA, s.r.o.",Pavilion F,001,,info@dolcevitasofa.cz,+420 603 599 980 ,,"Pod Skalkou 489/2a, 751 24, Přerov, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,České vysoké učení technické v Praze,,,,,+420 224 357 280 ,,"Technická 2, 166 27, Praha 6, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,"Ceiba, s. r. o.",Pavilion F,037,,tumova@ceiba.cz,+420 727 952 111 ,,"Jana Opletala 1265, 250 01, Brandýs nad Labem - Stará Boleslav, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,"DELSO INTERIÉRY, s.r.o.",Pavilion F,024,,delso@delso.cz,+420 775 580 680 ,,"Na Harfě 3, 190 00, Praha 9, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,Darré,Pavilion F,049,,info@darre.cz,+420 721 414 141 ,,"Smiřických 1120, 547 01, Náchod, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,"Cech čalouníků a dekoratérů a truhlářů, z. s.",Pavilion F,002,,cech_cal@volny.cz,+420 541 159 350 ,,"Výstaviště 405/1, 603 00, Brno, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,BS-textil s.r.o.,Pavilion F,005,,bstextil@volny.cz,+420 567 300 700 ,,"Strojírenská 9, 586 01, Jihlava, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,"ALPHA - křesla CZ, s.r.o.",Pavilion F,056,,info@masaznikresla.cz,+420 604 234 341 ,,"V Zahrádkách 860, 330 21, Líně, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,Aksamite nábytek s.r.o.,Pavilion F,015,,nabytek.brno@aksamite.cz,+420 777 124 238 ,,"Svratecká 989, 664 42, Brno - Modřice, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,BitterMan s.r.o.,Pavilion F,055,,bradac@bradackv.cz,+420 608 980 677 ,,"Křenova 438/7, 162 00, Praha 6, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,Biokamin EU s.r.o.,Pavilion F,060,,info@biokamin-eu.com,+421 917 521 427 ,,"Panónska cesta 34, 851 04, Bratislava, Slovakia",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,Bibetus s.r.o.,Pavilion F,040,,info@bibetus.cz,+420 544 214 627 ,,"Loosova 262/1, 638 00, Brno, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,Bohumil Šťastný,Pavilion F,059,,info@houpejse.cz,+420 604 161 104 ,,"Nové Domky 47, 588 21, Velký Beranov, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,Gessler,"Pavilion F,  Pavilion F","073, 053",,petrakostka@seznam.cz,+420 776 667 655 ,,"Nám. 14. října, 150 00, Praha, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,Firma DOLEJŠÍ - AUTOTRAKČNÍ LEHÁTKA s.r.o.,Pavilion F,061,,kontakt@lehatko.cz,+420 465 582 242 ,,"Englerova 316/2, 196 00, Praha 9, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,LIVING GLOBAL INTERIO s.r.o.,Pavilion F,026,,ostrava@global-interio.cz,+420 734 443 818 ,,"Čs. armády 360, 735 51, Bohumín - Pudlov, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,Li-Go Light,Pavilion F,035,,chmelik@li-go.cz,+420 604 602 244 ,,"Na Maninách 1590/29, 170 00, Praha 7, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,Eurotest s.r.o.,Pavilion F,057,,info@spacisystemy.cz,+420 387 410 087 ,,"Na Návsi 84, 370 08, Staré Hodějovice, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,"ESYST, s.r.o.",Pavilion F,039,,esyst@esyst.cz,+420 541 233 424 ,,"Vídeňská 101/119, 619 00, Brno, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,Magniflex,Pavilion F,025,,info@magniflex.cz,+420 739 492 220 ,,"Šaldova 219/1, 186 00, Praha 8 – Karlín, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,Fa KOPA s.r.o.,Pavilion F,009,,kopa@fakopa.cz,+420 412 545 092 ,,"Ústecká 95, 405 02, Děčín, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,KOODUU,Pavilion F,030,,info@kooduu.sk,+421 904 352 881 ,,"Tupého 27A, 831 01, Bratislava, Slovakia",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,MOBIREF DESIGN S.R.L.,Pavilion F,044,,mobirefdesign@yahoo.com,+40 722 316 998 ,,"Laminorului, nr. 46, 130089, Targoviste, Romania",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,Mistrovství České republiky oboru truhlář,,,,info@furniturecluster.cz,+420 774 113 529 ,,"Kozí 26/4, 602 00, Brno, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,MAX-FURNITURE BT,Pavilion F,036,,info@maxpelle.hu,+36 306 347 597 ,,"Farkasvermi út 40, 8000, Székesfehérvár, Hungary",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,MARELL s.r.o.,Pavilion F,011,,jindra@marell.cz,+420 608 040 513 ,,"Herčíkova 246/1a, 612 00, Brno, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,Koneli Design,Pavilion F,041,,info@koneli-design.com,+420 774 034 642 ,,"č. p. 213, 594 53, Osová Bítýška, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,Mendelova univerzita v Brně,,,,jaroslav.svoboda@mendelu.cz,+420 545 134 175 ,,"Zemědělská 3, 613 00, Brno, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,"Klastr českých nábytkářů, družstvo",Pavilion F,029,,info@furniturecluster.cz,+420 774 113 529 ,,"Kozí 26/4, 602 00, Brno, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,JV POHODA s.r.o.,Pavilion F,016,,obchod@jvpohoda.com,+420 377 328 302 ,,"Nádražní 14, 301 00, Plzeň, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,JURA Petraco,Pavilion F,069,,info@petraco.cz,+420 549 244 232 ,,"Kounicova 271/13, 602 00, Brno, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,TANATEX s.r.o.,Pavilion F,071,,tanatex@tanatex.cz,+420 608 700 383 ,,"č. p. 1, 434 01, Skršín, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,Tomáš Velek,Pavilion F,042,,pronajmy2019@seznam.cz,+420 704 079 760 ,,"Krále Václava IV. 2/8, 148 00, Praha 4, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,Timbermakers s.r.o.,Pavilion F,028,,info@timbermakers.cz,+420 608 283 148 ,,"Zelinova 7012, 760 05, Zlín, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,SWISS BEDS s.r.o.,Pavilion F,017,,prikryl@grandbeds.com,+420 602 501 877 ,,"Benešova 605/18, 602 00, Brno, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,Střední uměleckoprůmyslová škola hudebních nástrojů a nábytku,,,,hnn@hnn.cz,+420 494 946 010 ,,"17. listopadu 1202, 500 03, Hradec Králové, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,světspánku.cz,Pavilion F,020,,obchod@svetspanku.cz,+420 543 212 855 ,,"Vídeňská 112, 619 00, Brno, Czech Republic",,,,,
Mobitex,02/23/2022,2022,https://www.ibvv.cz/en/,DM,"Střední škola umění a designu a Vyšší odborná škola Brno, příspěvková organizace",,,,,+420 543 421 370 ,,"Husova 10, 602 00, Brno, Czech Republic",,,,,
