ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
National Hardware Show,04/05/2022,2022,https://www.nationalhardwareshow.com/,DM,21st Century Inc,W3445,,https://www.21centuryinc.com,sales@21centuryinc.com,12157950401,,,en-US,Point of Sale/Impulse Items | Heaters/Fans & Accessories | Grills/Barbecues/BBQs | Lawn & Garden Products | BBQ Tools & Accessories,,V&O | Globrite & 21st Century,"We  specialize in the following:
BBQ Grill accessories.
Kerosene Heaters and accessories.
Oil lamps and Hurricane lanterns...both glass & metal.
Propane hoses & fittings.
Insect zappers.
Insect control sticks.
Lamp oil
Lamp wicks - burners - glass globes"
National Hardware Show,04/05/2022,2022,https://www.nationalhardwareshow.com/,DM,A & I Products,W3513,,https://www.aiproducts.com,NASsales@aiproducts.com,888-882-7602,,,en-US,Lawn & Garden Products,,XHT | Predator | Sunbelt,We are a manufacturer and distributor of Aftermarket Ag and Turf parts globally.
National Hardware Show,04/05/2022,2022,https://www.nationalhardwareshow.com/,DM,A&E Balm Company,W1027,,http://www.udderbalmonline.com,mokeefe@thehappycow.net,5152254415,,,en-US,Hand Tools & Accessories,,A& E Balm | Happy Cow Udder Balm,"We sell Happy Cow Moisturizing Udder Balm is held to the strictest standards of quality control. When working with distributors and Udder Balm suppliers, the company ensures that all balms meet consistency and quality standards. Also note that all products are shipped in a timely manner so that balms are fresh from the manufacturer ensuring the highest level of results for customers. In a highly competitive environment, having access to the best in a moisturizing balm product is absolutely essential."
National Hardware Show,04/05/2022,2022,https://www.nationalhardwareshow.com/,DM,A-ipower Corp,W2037,,http://a-ipower.com,support@a-ipower.com,909-923-2068,,,en-US,Hand Tools & Accessories,,A-iPower,"A-iPower Corp Manufactures and Distributes Generators, Pressure Washers, Water Pumps , and Lawn &Garden equipment for the North American Market"
National Hardware Show,04/05/2022,2022,https://www.nationalhardwareshow.com/,DM,A.A.C. Forearm Forklift Inc,W2028,,http://strapsrus.com/index.html,ML@StrapsRUs.com,888-334-1133 or 626-962-2990,,,en-US,Hand Tools & Accessories,,MovXing Cradle Moving Harness | Forearm Forklift Lifting Straps | LoopHolz Soft Loops,"We manufacture the best quality moving straps on Earth!  We're also their intellectual property owners.  That's important because only we can legitimately insure our products which means your company won't have to assume liability if...  Over the years, we've also produced more than a few television commercials.  To date, our ads have aired more across North America than all of our competitor's COMBINED which is why ours are the most popular, best selling brands of moving straps too.  In fact, our resellers sell more of our products than any other brand in our category."
National Hardware Show,04/05/2022,2022,https://www.nationalhardwareshow.com/,DM,AC Group USA Inc.,W1030,,http://www.acgroupusa.com,info@acgroupusa.com,1-6304610031,,,en-US,"Tools - Pitch Forks, Shovels, Rakes, Post Hole Diggers | Automotive Accessories | Chain & Chain Accessories | DIY Products | Door Accessories & Hardware | Hand Tools & Accessories | Material Handling | Rope, Cordage, Twine, Tie-downs",,Lifstar,"AC group own 6 factories and manufacture link chains, accessories, hoists, forging products, wire ropes, marine products and ropes. We focus on good quality products and we have rich experience for DIY markets, retail markets and industrial markets. We have suppied directly to hardware stores like Lowe's, The Home Depot over 10 years with high quality and good customer service."
National Hardware Show,04/05/2022,2022,https://www.nationalhardwareshow.com/,DM,Accusharp Int'l/Fortune Products Inc,W1205,,,,,,,en-US,Hand Tools & Accessories,,AccuSharp | ShearSharp | GardenSharp | ParaForce,
National Hardware Show,04/05/2022,2022,https://www.nationalhardwareshow.com/,DM,Aervoe Industries Pacific,W917,,https://www.aervoe.com,,775-783-3100,,,en-US,Painting Tools & Accessories,,,
National Hardware Show,04/05/2022,2022,https://www.nationalhardwareshow.com/,DM,AFA Polytek North America,W4237,,http://www.afadispensing.com,pmessacar@afadispensing.com,7087526680,,,en-US,"Air Purification | Bathroom & Shower Accessories | Cleaning Products, Supplies, Chemicals | Floor & Carpet Care | Home Healthcare, Personal Care | Kitchen Appliances, Accessories & Gadgets | Laundry Aids | Pet Products | Skincare Products",,Flairosol,"Flairosol® delivers a better-than-aerosol spray quality that sets brands apart. It’s a next generation trigger-based dispensing technology that eschews conventional propellant gases and pressurized containers. The product is also completely isolated, which means a superior overall product experience is achieved.

Delivering a remarkable spray quality, Flairosol® is engineered with multi-patented technologies. Its very fine mist combined with continuous spray functionality covers large areas quickly, evenly and in all directions from first to last drop.

Superior ergonomics and 360° dispensing"
National Hardware Show,04/05/2022,2022,https://www.nationalhardwareshow.com/,DM,Ahlborn Equipment Inc,W3634,,http://www.ahlbornequipment.com,james@ahlbornequipment.com,1-800-472-7600,,,en-US,"Lawn & Garden Products | Safety Products | Outdoor Power Equipment, Replacement Parts | Protective Clothing (disposable) | Safety Glasses",,Forester | Lawn & Leaf | Timber Savage | Mad Dog | Vallorbe | Shadetek,Ahlborn Equipment has been providing chainsaw and lawn and garden accessories as well as Personal Protective Equipment to our customer base for more than 45 years has given us the experience and expertise to understand the needs of our customers. We are continually adding new product lines to meet your needs. We thank you for the opportunity to work with you and your company.
