ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
NeoCon 2021,10/04/2021,2021,https://neocon.com//,DM,ERP Success Partners,7-3079,7,https://www.erpsuccesspartners.com/,dan@erpsuccesspartners.com,,,,Global Coverage,TECHNOLOGY > Technology: Integrated Solutions | TECHNOLOGY > Technology: Software,,,"We’re a consulting and technology firm specializing in Oracle-NetSuite. We advise, implement, and support our clients with an experienced team of industry leaders that bring a history of building and running businesses, as well as a deep understanding of the platform."
NeoCon 2021,10/04/2021,2021,https://neocon.com//,DM,Moss Inc.,7-4019,7,http://www.mossinc.com,,,,,Global Coverage,INTERIOR PRODUCTS & SOLUTIONS > Architectural Products,,,"Moss partners with brands around the world to tell their story through compelling experiences. Across three continents, we continue to sustainably blend materials, technology and technique for these brand presentation endeavors. Through global sourcing, fabrication, printing and technical design, Moss is a proven partner for every brand presentation possibility."
NeoCon 2021,10/04/2021,2021,https://neocon.com//,DM,Vestaboard,7-4063,7,https://www.vestaboard.com/,zulema@vestaboard.com,,,,United States,INTERIOR PRODUCTS & SOLUTIONS > Signage & Wayfinding,,,"Vestaboard is a beautiful smart messaging display that can be controlled from anywhere. Customers use Vestaboard at work and at home to create more inspiring environments. Winner of Red Dot Award 2021 and finalist for IDEA.

Founded in 2015, Vestaboard engaged Bould Design and Lead Product Designer Faiza Moore to design and build the first Vestaboard. After five years of research and development, Vestaboard was created. Vestaboard is an Internet-connected display that is controlled by phone, tablet or computer. Vestaboard is used in offices, restaurants, cafes, healthcare settings, design studios, schools, boutiques, homes and more to create delightful moments of connection among colleagues, clients, customers and family members."
NeoCon 2021,10/04/2021,2021,https://neocon.com//,DM,Spacestor,11-113,11,https://spacestor.com/en-us/,amanda.jay@spacestor.com,,,,Global Coverage,ACOUSTICS AND PRIVACY > Panels / Partitions / Screens / Space Dividers | ACOUSTICS AND PRIVACY > Work Pods | FURNITURE > Benching | FURNITURE > Case Goods | FURNITURE > Collections for Collaboration | FURNITURE > Conference Room Furniture | FURNITURE > Furniture Systems & Enhancements | FURNITURE > Seating: Auditorium Seating / Fixed | FURNITURE > Storage | FURNITURE > Tables: Communal | FURNITURE > Tables: Conference | FURNITURE > Tables: Height-Adjustable | FURNITURE > Tables: Task | FURNITURE > Work From Home Solutions | FURNITURE > Workplace Accessories | INTERIOR PRODUCTS & SOLUTIONS > Architectural Products | INTERIOR PRODUCTS & SOLUTIONS > Demountable Walls | TECHNOLOGY > Technology: Integrated Solutions,,,"Spacestor are the creators of workplace furniture that blends California cool and London design. With a legacy spanning three decades, Spacestor first  established themselves as a key innovator of workspace furniture and design thinking in the United Kingdom, then brought that expertise to the United States over ten years ago. Today, the company holds offices in London, Los Angeles, and New York City—giving them a unique position to observe and learn from the companies that are driving culture change. With their experience working for a variety of clients including Google, Apple and Jaguar Land Rover, Spacestor knows how the workplace environment can drive employee engagement and build culture. Especially in a post-pandemic society that is defined by spontaneity and ever-evolving behaviors, Spacestor is programmed to respond to culture-shifts to better prepare the workforce of tomorrow."
NeoCon 2021,10/04/2021,2021,https://neocon.com//,DM,MIO Culture,7-4086,7,http://www.mioculture.com,trade@mioculture.com,,,,"Americas (North, South, Central)",ACOUSTICS AND PRIVACY > Panels / Partitions / Screens / Space Dividers | ACOUSTICS AND PRIVACY > Work Pods | FURNITURE > Seating: Stools | INTERIOR PRODUCTS & SOLUTIONS > Surfacing Materials & Finishes | LIGHTING > Lighting: Decorative,,,"We design sustainable furnishings for creative work and living places. Our range of products includes highly flexible acoustic finishes and room dividers, support furniture and accent lighting. All of our products can be customized to fit your needs."
NeoCon 2021,10/04/2021,2021,https://neocon.com//,DM,B+N Industries,7-3055,7,http://www.bnind.com,,,,,,,,,
NeoCon 2021,10/04/2021,2021,https://neocon.com//,DM,My Resource Library & the NAIRC,10-164,10,,,,,,,,,,
NeoCon 2021,10/04/2021,2021,https://neocon.com//,DM,Mateo Goods,7-9049,7,http://www.hellomateogoods.com,briana@hellomateogoods.com,,,,United States,FURNITURE > Furniture Systems & Enhancements,,,Thoughtfully Designed Office & Home Furniture
NeoCon 2021,10/04/2021,2021,https://neocon.com//,DM,Artepiso 3D Wall Tiles,7-4017,7,https://instoneco.com/artepiso/,,,,,United States,"INTERIOR PRODUCTS & SOLUTIONS > Architectural Products | INTERIOR PRODUCTS & SOLUTIONS > Wall Treatments | KITCHEN, BATH, BUILDING PRODUCTS",,,"Add dimension to any room with architectural tile. Fresh designs and raised profiles allow you to create one of a kind striking interiors. Creativity has never been simpler. Show your bold side. Artepiso 3D Architectural Tiles.

Bold, Artistic &amp; Individualistic
8 Shapes
Paint To Customize Color
Simple Installation

Light and easy to install, Artepiso 3D architectural tile can be adhered to most surfaces with a simple and inexpensive installation. And for the utmost versatility and customization Artepiso tiles can be painted.
Artepiso maintains its commitment to the environment by reusing all water and using no artificial light during the production process.&nbsp;In addition, the materials used avoid waste during construction and prevent the exploitation of natural raw material."
NeoCon 2021,10/04/2021,2021,https://neocon.com//,DM,Quell Acoustics LLC,7-1018,7,http://quellacoustics.com,doc744@aol.com,,,,United States,ACOUSTICS AND PRIVACY > Acoustic Solutions | ACOUSTICS AND PRIVACY > Panels / Partitions / Screens / Space Dividers,,,"IF YOU HAVE A NOISY HARD-SURFACE ENVIRONMENT, WE CAN QUICK-SHIP AND QUELL IT.

Quell is a unique, patented acoustics-baffling system. Our designs are made of tested fire-resistant felt that absorbs reflective sound in hard surface environments such as restaurants, gymnasiums, open deck offices and warehouse spaces. Our light-weight systems are very cost-effective, easy to order, and simple to install. Quell offers several ways to install on ceilings and walls using a system of chains with magnets or wire rods, and it is guaranteed for 5 years."
