ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
New York Now Winter,02/06/2022,2022,https://nynow.com/future-market/,DM,ANHAD,1531,,http://www.anhadcraft.com,,,,"NEW DELHI, DELHI India",India,Apparel/Clothing | Environmentally Friendly/Natural/Recycled Products | Handmade/Craft | Home Textiles,,,"Anhad is a story of sustainability. Identified with Khadi, hand spun, hand woven, hand block printed and hand stitched home textiles, Anhad integrates ancient techniques and sustainable practices to create contemporary products."
New York Now Winter,02/06/2022,2022,https://nynow.com/future-market/,DM,and the moon will rise design studio,2974,,andthemoonwillrise.com,,,,"Encinitas, CA United States",United States,,,,
New York Now Winter,02/06/2022,2022,https://nynow.com/future-market/,DM,Art by any Means Jewelry,1149,,https://www.facebook.com/artbyanymeansjewelry,,,,"Rockport, MA United States",United States,Jewelry - Fashion,,,
New York Now Winter,02/06/2022,2022,https://nynow.com/future-market/,DM,Andrews McMeel Publishing,2640,,http://www.andrewsmcmeel.com,,,,"Kansas City, MO United States",United States,Books/Publications/Media,,,"Andrews McMeel is a home for world-class comic creators, artists and innovative thinkers who entertain and connect with audiences through humorous and inspirational content."
New York Now Winter,02/06/2022,2022,https://nynow.com/future-market/,DM,"Anatoli Jewelry, LLC",1237,,http://anatolijewelry.com,,,,"Woodstock, NY United States",United States,Jewelry - Fashion,,,"Inspired by art, travel and architecture, Cathleen and Kostas created Anatoli Jewelry.  Each piece is meticulously hand crafted, featuring sterling silver with vermeil and karat gold accents.  Intricate weaves in metal are complemented by hand selected pearls and semi-precious stones."
New York Now Winter,02/06/2022,2022,https://nynow.com/future-market/,DM,Angel Dear,2901,,http://www.angeldear.net,,,,"Union City, CA United States",United States,Children's/Baby Items,,,At Angel Dear we create classic baby clothing
New York Now Winter,02/06/2022,2022,https://nynow.com/future-market/,DM,Anna Whitham Co.,2871,,www.annawhitham.com,,,,"Somerville, MA United States",United States,,,,
New York Now Winter,02/06/2022,2022,https://nynow.com/future-market/,DM,Amy Kahn Russell,849,,http://www.amykahnrussell.com,,,,"Ridgefield, CT United States",United States,Jewelry - Fashion,,,Amy Kahn Russell is a forerunner in the world of jewelry design. Each design combines the brilliant hues of semi precious stones with mixed metals including sterling silver and 18kt gold telling a story of world travels while creating stunning bold designs transcending seasons and time.
New York Now Winter,02/06/2022,2022,https://nynow.com/future-market/,DM,2021co,3058,,http://2021co.com,,,,"Fall River, MA United States",United States,Apparel/Clothing | Stationery/Invitations/Greeting Cards,,,
New York Now Winter,02/06/2022,2022,https://nynow.com/future-market/,DM,Alixx,2224,,http://www.alixx.com,,,,"Key Largo, FL United States",United States,,,,"Alixx and Demilune- European inspired Fragranced Candles and Diffusers.  Using artisanal mouth blown glass and fabulous complex fragrances, these candles are made in US with a premium soy blended wax and all cotton wicks.  Our reusable vessels provide lasting beatiful to your home."
New York Now Winter,02/06/2022,2022,https://nynow.com/future-market/,DM,Alicia Niles,1023,,http://alicianiles.com,,,,"Hamilton, ON Canada",Canada,,,,
New York Now Winter,02/06/2022,2022,https://nynow.com/future-market/,DM,American Design Club,2019,,http://www.americandesignclub.com,,,,"Brooklyn, NY United States",United States,Candles | Jewelry - Fashion | Stationery/Invitations/Greeting Cards,,,Unique Designer Gifts
New York Now Winter,02/06/2022,2022,https://nynow.com/future-market/,DM,Amarah LLC,1352,,http://amaraxpressions.com,,,,"Tenafly, NJ United States",United States,Children's/Baby Items | Decorative Accessories | Outdoor Living/Garden,,,
New York Now Winter,02/06/2022,2022,https://nynow.com/future-market/,DM,Alice Sturzinger LLC,935,,http://www.alicesturzinger.com,,,,"Montclair, NJ United States",United States,Holiday/Seasonal | Religious/Inspirational | Wall Coverings,,,"Alice Sturzinger has been importing fine music boxes since 1963.  We are specialized in European quality MUSIC BOXES from Swizerland, Germany and Italy."
New York Now Winter,02/06/2022,2022,https://nynow.com/future-market/,DM,All Across Africa,2322,,http://www.kazigoods.com,,,,"National City, CA United States",United States,Decorative Accessories | Handmade/Craft | Tabletop,,,Craftsmanship that weaves a story.
New York Now Winter,02/06/2022,2022,https://nynow.com/future-market/,DM,ZPOTS,1218,,http://www.zpotsandvnoelle.com,,,,"Brookline, VT United States",United States,Collectibles | Environmentally Friendly/Natural/Recycled Products | Made in the USA | Stationery/Invitations/Greeting Cards | Tabletop,,,
