ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
"Pool, Spa, Patio Expo",11/16/2021,2021,https://www.poolspapatio.com/en/home.html,DM,Century Motors,2222,Exhibit Halls A-D,http://www.pool-motors.com,,+1 9376672437,,Ohio Tipp City 531 North 4th Street,United States,,,,
"Pool, Spa, Patio Expo",11/16/2021,2021,https://www.poolspapatio.com/en/home.html,DM,Clear Comfort,1756,Exhibit Halls A-D,https://clearcomfort.com,info@clearcomfort.com,7203863199,,Colorado Louisville 168 CTC Blvd.,United States,,,,"We believe that you shouldn’t have to compromise your health or time to enjoy your pool or spa. Clear Comfort’s award-winning Advanced Oxidation (AOP) treatment systems minimize your exposure to toxic pool and spa chemicals and harmful disinfection by-products – so you can Swim Happy™ in clean, clear water that’s kind to your skin, eyes and lungs. At Clear Comfort, we are committed to delivering the best, healthiest and most enjoyable swimming experience."
"Pool, Spa, Patio Expo",11/16/2021,2021,https://www.poolspapatio.com/en/home.html,DM,Chemtrol,1228,Exhibit Halls A-D,,,+1 8056838833,,California Goleta 5375 Overpass Road,United States,,,,
"Pool, Spa, Patio Expo",11/16/2021,2021,https://www.poolspapatio.com/en/home.html,DM,Cardinal Architectural,3824,Exhibit Halls A-D,www.newpatiocover.com,,+1 5029699302,,Kentucky Louisville 6910 Preston Highway,United States,,,,
"Pool, Spa, Patio Expo",11/16/2021,2021,https://www.poolspapatio.com/en/home.html,DM,CamerEye,1441,Exhibit Halls A-D,https://camereye.ai,info@camereye.ai,800.906.2810,,"California San Diego 4640 Cass Street, #91275",United States,,,,"CamerEye creates a safety and security ecosystem to help MONITOR your pool 24/7, DETECT distress or near-drowning behavior through AI powered overhead cameras, and receive an ALERT when distress is being detected. CamerEye keeps you connected to your backyard as a part of your smart home ecosystem while providing another ""eye"" on their pool for peace of mind."
"Pool, Spa, Patio Expo",11/16/2021,2021,https://www.poolspapatio.com/en/home.html,DM,Century Aluminum Railings,3624,Exhibit Halls A-D,https://www.centuryrailings.com/,sales@cendekrailings.com,1-888-493-1103,,British Columbia Summerland 9685 Agur Street,Canada,,,,"Century Aluminum Railings is a division of CenDek Railings Ltd. located in Summerland, British Columbia, Canada. Since our humble beginnings, Century has become an industry recognized leader as the ultimate railing solution for Pro Contractors and Commercial Developers across North America. From picket / baluster railings and glass railings to secondary pipe hand railings, Century has been manufacturing top-quality railing products for almost 20 years and recognized for the fasted installation times in its class.  
 
Century is seeking partnership opportunities with Multi Family Developers, Deck Builders and Pro-Contractors, as well as National and Regional one and two-step wholesale distributors. Stop by our booth for a live demo to see how easy it is to make your project a reality and why Century Aluminum Railings pre-packaged and retail ready products are the clear choice. 👍"
"Pool, Spa, Patio Expo",11/16/2021,2021,https://www.poolspapatio.com/en/home.html,DM,CCEI USA inc.,2223,Exhibit Halls A-D,www.ccei-pool.com,contact@ccei-pool.com,+1 4248002191,,California Inglewood 808 Hindry Ave Unit. G,United States,,,,Pool lighting manufacturer.
"Pool, Spa, Patio Expo",11/16/2021,2021,https://www.poolspapatio.com/en/home.html,DM,Cemen Tech,3145,Exhibit Halls A-D,http://www.cementech.com,,+1 5159617407,,Iowa Indianola 1700 North 14th Street,United States,,,,
"Pool, Spa, Patio Expo",11/16/2021,2021,https://www.poolspapatio.com/en/home.html,DM,BuildBlock ICFs,1229,Exhibit Halls A-D,http://www.buildblock.com,info@buildblock.com,4058403386,,Oklahoma Oklahoma City 9705 N Broadway Ext,United States,,,,"BuildBlock Building Systems is the manufacturer of BuildBlock Insulating Concrete Forms. BuildBlock ICFs are the most install-friendly Insulating Concrete Form available today. With a wide variety of ICF products and accessories (including curved forms and all-foam decking), BuildBlock is a full ICF construction solution creating energy-efficient and disaster-resilient pools, homes, and commercial structures.

ICF pools can help extend your swim season by a month or more. ICF pools are quick and easy to construct at a fraction of the price of traditional pool materials. BuildBlock ICF pools are easy to clean and maintain with a variety of finishing options. Stop by our booth to learn more and see our products and services."
"Pool, Spa, Patio Expo",11/16/2021,2021,https://www.poolspapatio.com/en/home.html,DM,Bradley Smoker USA Inc.,3848,Exhibit Halls A-D,www.bradleysmoker.com,sales@bradleysmoker.com,+1 604946384,,Illinois Galesburg 644 Enterprise Avenue,United States,,,,"Bradley Smoker designs and manufactures the world's finest and simplest food smoking systems bar none. Our smokers have been designed to set up in minutes and off our unique Cleansmoke Technology producing healthy, delicious smoked food."
"Pool, Spa, Patio Expo",11/16/2021,2021,https://www.poolspapatio.com/en/home.html,DM,BWT - Aquatron,3035,Exhibit Halls A-D,,,561-455-0252,,Central Afula PO Box 1088,Israel,,,,
"Pool, Spa, Patio Expo",11/16/2021,2021,https://www.poolspapatio.com/en/home.html,DM,Cable Bullet,3711,Exhibit Halls A-D,https://www.cablebullet.com/,cablebullet@cablebullet.com,+1 5747422737,,Indiana Warsaw 300 Eastlake Dr,United States,,,,"Clean, modern cable railing without all the complexity: universal ends, no turnbuckles & easy to install. 

Cable Bullet is a cable railing system that combines modern aesthetics with straight-forward engineering. A simple, yet beautiful, easy-to-understand, and affordable system, sure to wow any homeowner.

For easier installation, Cable Bullet ends are interchangeable and versatile. Our unique tensioning system is concealed inside each post, hidden from view, so your clients can enjoy a clearer, cleaner view.  

Say goodbye to complicated, time-consuming, and budget-breaking cable railing! A beautiful solution for any professional project, Cable Bullet is sure to save you time and impress your customers."
"Pool, Spa, Patio Expo",11/16/2021,2021,https://www.poolspapatio.com/en/home.html,DM,"C.L. Industries, Inc.",1357,Exhibit Halls A-D,,,8003332660,,Florida Orlando 8188 S. Orange Ave,United States,,,,
"Pool, Spa, Patio Expo",11/16/2021,2021,https://www.poolspapatio.com/en/home.html,DM,Bradford,1119,Exhibit Halls A-D,www.bradfordhome.com,info@bradfordproducts.com,910.791.2202,,North Carolina Leland 2101 Enterprise Drive NE,United States,,,,"Founded in 1982, Bradford is the worldwide leader in stainless steel aquatics, located in North Carolina, USA. With over 10,000 installations completed, Bradford products are featured in facilities and homes throughout the U.S. and abroad. We work with aquatic designers, architects, owners and developers, custom home builders, general contractors, pool builders, and designers to create sensational, long-lasting stainless steel aquatic vessels.

Stop by booth 1119 to see the latest residential creations from Bradford. Featured at the booth is the completely redesigned Signature residential spa series, featuring new jets, drains, finishes, equipment, and water treatment options. Be sure to talk with one of Bradford's representatives about the all new MPool - the first of its kind all stainless steel residential inground pool, available in both skimmer and perimeter overflow designs."
"Pool, Spa, Patio Expo",11/16/2021,2021,https://www.poolspapatio.com/en/home.html,DM,BSPOOL USA,1656,Exhibit Halls A-D,http://www.quicksaltusa.com,jrvalles@bsvelectronic.com,786.445.2875,,Florida MIAMI 1680 MICHIGAN AV SUITE 700,United States,,,,"We make and design saline chlorination equipment for private and public or commercial pools.

Our goal is to create products that get to keep the water in the pools in perfect state without the use of chemical products."
"Pool, Spa, Patio Expo",11/16/2021,2021,https://www.poolspapatio.com/en/home.html,DM,Bullfrog Spas,2610,Exhibit Halls A-D,http://www.bullfrogspas.com,eking@bullfrogspas.com,8015658111,,Utah Herriman 7017 w 11800 s,United States,,,,"At Bullfrog Spas, yes, we believe in our products, but we first believe in our people. It’s these important people, our team members, our family, who put you, our customer first. We are sincere in our commitment that we will do everything we can to create products, experiences, and backyard environments that create more peaceful moments in each of your lives."
