ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Sports Licensing and Tailgate Show,01/19/2022,2022,https://sportstailgateshow.com/,DM,Game Time,3001,,https://gametimewatch.com/,,,,"Tarrytown, NY United States",United States,Accessories | Apparel - Children's | Apparel - Men's | Apparel - Women's | Gifts & Novelties | Sports Equipment/Accessories - Licensed,,,GAME TIME - THE LEADER IN LICENSED SPORTS WATCHES!
Sports Licensing and Tailgate Show,01/19/2022,2022,https://sportstailgateshow.com/,DM,Changes,3132,,http://changesonline.com,,,,"Islandia, NY United States",United States,Accessories | Apparel - Men's | Apparel - Women's,,,"Changes is the official apparel licensee for the hit TV Show YELLOWSTONE, and the thrilling sport of PBR (PROFESSIONAL BULL RIDERS). We have lot's of other great licenses too, so please swing by and see us!"
Sports Licensing and Tailgate Show,01/19/2022,2022,https://sportstailgateshow.com/,DM,Cathay Sports,3023,,http://www.cathayhomesports.com,,,,"New York, NY United States",United States,Home Furnishings & Housewares,,,
Sports Licensing and Tailgate Show,01/19/2022,2022,https://sportstailgateshow.com/,DM,Camp David,5075,,http://www.campdavid.com,,,,"Overland Park, KS United States",United States,Apparel - Men's | Apparel - Women's | Headwear,,,
Sports Licensing and Tailgate Show,01/19/2022,2022,https://sportstailgateshow.com/,DM,Cards Plus,1034,,,,,,"Manalapan, NJ United States",United States,Accessories | Collectibles & Trading Cards | Gifts & Novelties | Imprinted/Embroidered Items | Sports Equipment/Accessories - Licensed,,,"We are full line Zippo distributors.  We carry the Complete Line Collection including NFL, MLB, NHL, Harley Davidson, Military, Patriotic, Music, Jack Daniels, Jim Beam,  etc.  Custom imprints can be made! Fluid, flint, wick, pouches and gift boxes available.  Free displays for qualifying purchases.  Stop by for the Show Specials we are offering!"
Sports Licensing and Tailgate Show,01/19/2022,2022,https://sportstailgateshow.com/,DM,Charles River Apparel,7113,,http://www.charlesriverapparel.com,,,,"Sharon, MA United States",United States,Apparel - Children's | Apparel - Men's | Apparel - Women's | Imprinted/Embroidered Items,,,Charles River Apparel is a 3rd generation family business with a focus on unique and exclusive apparel designed 100% in house. Come check out our booth and see our brand new spring line plus all of our best sellers!
Sports Licensing and Tailgate Show,01/19/2022,2022,https://sportstailgateshow.com/,DM,B-Unlimited,8103,,http://www.b-unlimited.com,,,,"FAYETTEVILLE, AR United States",United States,Accessories | Apparel - Children's | Apparel - Men's | Apparel - Women's | Headwear | Imprinted/Embroidered Items,,,B-Unlimited is a design and apparel company specializing in unique artwork and water based ink screen printing.  We hold various collegiate licenses and create unique designs with a hint of retro and vintage.
Sports Licensing and Tailgate Show,01/19/2022,2022,https://sportstailgateshow.com/,DM,Capri Designs,7097,,http://www.capridesigns.com,,,,"Lavonia, GA United States",United States,Accessories | Apparel - Women's | Gifts & Novelties | Imprinted/Embroidered Items | Stationery & School Supplies,,,Be in the Clear with Capri Designs licensed Game Day bags.
Sports Licensing and Tailgate Show,01/19/2022,2022,https://sportstailgateshow.com/,DM,BUMPBOXX,3117,,www.bumpboxx.com,,,,"Stockton, CA United States",United States,,,,
Sports Licensing and Tailgate Show,01/19/2022,2022,https://sportstailgateshow.com/,DM,Boxercraft/Russell Athletic,8019,,http://www.boxercraft.com,,,,"Mableton, GA United States",United States,Apparel - Children's | Apparel - Men's | Apparel - Women's | Imprinted/Embroidered Items,,,America's #1 Spiritwear Source
