ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Spring Fair,06/02/2022,2022,https://www.springfair.com/welcome,DM,PR Accessories Ltd,3F35,,http://www.praccessories.com,,,,"Nottingham, United Kingdom",United Kingdom,Summer collection,,,"PR Accessories Ltd are delighted to exhibiting at the Spring  Fair 2022 . Our Spring Summer collection will include fashion scarves , magnetic scarves , fashion jewellery and compact mirrors"
Spring Fair,06/02/2022,2022,https://www.springfair.com/welcome,DM,Pretty Little Props,3G32,,https://pretty-little-props.com/,,,,"Ammanford, United Kingdom",United Kingdom,,,,"Pretty Little Props is a fashion and accessory brand, we specialise in trendy headbands, handmade scrunchies, and embellished headbands. We also have a gorgeous range of hair clips, earrings and scarves."
Spring Fair,06/02/2022,2022,https://www.springfair.com/welcome,DM,Peony Scarves,3F34,,http://www.peonyonline.co.uk/,,,,"Watford, United Kingdom",United Kingdom,Nancy Print Collection,,,"Peony is a well established, reputable British brand. We have been supplying trend-led fashion accessories to independent retailers, department stores, garden centers and museums for almost 20 years. Our scarves and bags are designed in house and manufactured by selected specialist factories across Asia. A distinct flair for colour palette and pattern detail creates the unique Peony signature across a wide range of fabrics. We are a family run business and pride ourselves on our easy to wear styles, excellent quality and customer service. There is no minimum order and our collections are available on next day delivery with all stock being held in our Hertfordshire warehouse. We offer a bespoke service for customers that require it, please feel free to contact us if this is of interest. "
Spring Fair,06/02/2022,2022,https://www.springfair.com/welcome,DM,Elegance Beyond,6F20,,https://www.elegancebeyond.com,,,,"Norwich, United Kingdom",United Kingdom,Elegance Beyond - Furniture | Elegance Beyond - Lighting | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Accessories | Elegance Beyond - Lighting | Elegance Beyond - Lighting | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Furniture | Elegance Beyond - Lighting | Elegance Beyond - Lighting | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Lighting | Elegance Beyond - Lighting | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Accessories | Elegance Beyond - Lighting | Elegance Beyond - Lighting | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Furniture | Elegance Beyond - Lighting | Elegance Beyond - Lighting | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Lighting | Elegance Beyond - Lighting | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Accessories | Elegance Beyond - Lighting | Elegance Beyond - Lighting | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Furniture | Elegance Beyond - Lighting | Elegance Beyond - Lighting | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Furniture | Elegance Beyond - Lighting | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Furniture | Elegance Beyond - Lighting | Elegance Beyond - Lighting | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Furniture | Elegance Beyond - Furniture | Elegance Beyond - Lighting | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Lighting | Elegance Beyond - Lighting | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Furniture | Elegance Beyond - Lighting | Elegance Beyond - Lighting | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Furniture | Elegance Beyond - Lighting | Elegance Beyond - Lighting | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Lighting | Elegance Beyond - Lighting | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Furniture | Elegance Beyond - Lighting | Elegance Beyond - Lighting | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Furniture | Elegance Beyond - Lighting | Elegance Beyond - Mirrors | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Lighting | Elegance Beyond - Lighting | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Furniture | Elegance Beyond - Lighting | Elegance Beyond - Lighting | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Furniture | Elegance Beyond - Lighting | Elegance Beyond - Lighting | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Lighting | Elegance Beyond - Lighting | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Furniture | Elegance Beyond - Lighting | Elegance Beyond - Lighting | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Furniture | Elegance Beyond - Lighting | Elegance Beyond - Mirrors | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Lighting | Elegance Beyond - Lighting | Elegance Beyond - Wall DÃ©cor | Elegance Beyond - Wall DÃ©cor,,,"Elegance Beyond is a home décor wholesaler that brings you a range of carefully selected handicrafts created by some of the finest crafters in India. We personally curate all of our items from across the country to provide you with the latest designs available in the market today. At Spring Fair 2021 we are presenting our three brand new collections: The Classic Collection, The Vintage Collection and The Odyssey Collection for you to explore. "
Spring Fair,06/02/2022,2022,https://www.springfair.com/welcome,DM,Nour London Ltd,3F31,,http://www.nourlondon.com,,,,"Elstree, United Kingdom",United Kingdom,,,,"Formed in 1991, NOUR London has grown to become one of the most innovative costume jewellery design companies in the UK winning many awards for their values of sophisticated designs, unrivalled craftsmanship and use of the best quality materials which guarantees that their collections are the most unique, contemporary, elegant and timeless pieces at unexpectedly affordable prices.  Celebrating 31 years in the industry, today NOUR London is presented in over 20 countries."
Spring Fair,06/02/2022,2022,https://www.springfair.com/welcome,DM,my bollox,3D34,,https://www.mybollox.co.uk,,,,"Didcot, United Kingdom",United Kingdom,Men's underwear - Solid | Men's underwear & socks | Men's Underwear - Duo Colourway,,,"We passionatley belive in our brand statement  ‘A unquie blend of style, quality, comfort & care’ It embodies all we do and strive to deliver. Since the concept of raising men’s cancer awareness via a quality underwear brand 7 years ago  Bollox has been busy evoling, improving and offering greater quality & choice.  Customers love the cheekiness, the message and come back for more when they feel the fit, quality and durability. Our mission to donate 10% of our profits ensures we deliver a product that truley offers a feel good factor from supplier to customer.  "
Spring Fair,06/02/2022,2022,https://www.springfair.com/welcome,DM,Ping Ping Jewellery Ltd,3A14,,http://www.pingping.co.uk,,,,"Amesbury, United Kingdom",United Kingdom,,,,
Spring Fair,06/02/2022,2022,https://www.springfair.com/welcome,DM,"Park Lane, Accessories by",3G35,,https://www.parklaneonline.com/,,,,"CARLSHEAD BUSINESS CENTRE, PADDOCK HOUSE LANE, SICKLINGHALL, NORTH YORKSHIRE, LS22 4BJ, United Kingdom",United Kingdom,,,,"Accessories By Park Lane is a British family owned company that has built its reputation on sourcing an unparelled collection of fine costume jewellery,scarves and Italian made cashmere blend clothing We supply boutiques,department and lifestyle stores and a wide selection of aspiring  retailers who appreciate our quality and high level of customer service . If you would like to speak to us about supplying you we would love to hear from you.Please call us on 01423 868362 or by email on sales@parklaneonline.com"
Spring Fair,06/02/2022,2022,https://www.springfair.com/welcome,DM,Mimya,2E64,,https://www.mimya.com.tr/,,,,"Istanbul, Turkey",Turkey,,,,
Spring Fair,06/02/2022,2022,https://www.springfair.com/welcome,DM,MSS Watch Co.,3A34,,http://www.soamesclocks.co.uk,,,,"Manchester, United Kingdom",United Kingdom,Danish Design Rhine Watch | Howard Miller Baxter Tabletop Clock | Danish Design Tåge Blue Watch,,,Suppliers of Danish Design and Jacob Jensen Scandinavian style watches in both Titanium and steel We are the UK and European distributers for HOWARD MILLER clocks. The largests range of Floor Clocks In the UK. a large range of Wall clocks and Mantle Clocks to suite all pockets and styles 
Spring Fair,06/02/2022,2022,https://www.springfair.com/welcome,DM,Mag Mouch Sophos (Arnold Wilis),2J12-K13,,http://www.arnoldwills.co.uk,,,,"Uppingham, United Kingdom",United Kingdom,,,,"Sophos & The British Bag Company, being part of the Arnold Wills Group are one of the largest suppliers of gifts and accessories in the UK.   Their brands are Mag Mouch, Sophos, St. George, and The British Bag Company, selling from stock and forward orders.  Their collections encompass a wide variety of products including belts, braces, bags, wallets and small leather goods to shaving sets, manicure kits, hip flasks and handkerchiefs.  They also have one of the largest selections of dresswear including cufflinks, bow ties, dress gloves, cravats and pocket squares.  The British Bag Company brand uses a number of materials including leather and Harris Tweed to create a collection of luggage and accessories suitable in the great British countryside or on the Iconic city streets."
Spring Fair,06/02/2022,2022,https://www.springfair.com/welcome,DM,Moda Express Limited,2J33,,https://www.moda-express.com,,,,"Manchester, United Kingdom",United Kingdom,,,,"Suppliers of high quality Italian genuine leather bags and accessories, women's handbags, purses and belts."
Spring Fair,06/02/2022,2022,https://www.springfair.com/welcome,DM,Mala Leather,3E11,,http://www.malaleather.com,,,,"Tamworth, United Kingdom",United Kingdom,Mala Leather Goods | Gifts for Dog Lovers | Mens Wallets | Knitting Cats | Beaus pampering parlour,,,"Wholesaler of leather accessories including Handbags, Purses, Wallets and keyrings. Original design goods which are perfect for gifting. We also offer a manufacture service to develop your own brand product."
Spring Fair,06/02/2022,2022,https://www.springfair.com/welcome,DM,Meremiss,2J31,,https://www.mrmtextile.com/,,,,"Istanbul, Turkey",Turkey,,,,"With our experience in the sector, our importance to quality and keeping customer satisfaction above everything else enabled Mrm Textile to be one of the leading firms in the sector. We are emphasizing our R&D work to realise our targets to take a step further. In addition to our expert team and wide range of product portfolio, we are working hard to manufacture new quality piece as well as different weaving and printed patterns. With our technologic investments, we have reached 36,000,000+ meter per year shawl, scarf and textile fabric capacity in our 5,000 m² fully integrated closed area manufacturing facility. Adopting innovation and development as a principle has become the most important factor for our rapid development from yesterday up to this day; with our flexible structure that can match the changing world, we managed to make the connection with our customers permanent. Mrm Textile formed a gentlemanlike relationship based on mutual trust with business partners as well as the competitors in a competitive commerce sector and contributed to this sector with a quality service-oriented approach.   Service quality is settled as a natural reflects due to uncompromising customer satisfaction."
Spring Fair,06/02/2022,2022,https://www.springfair.com/welcome,DM,M Golunski & Co Ltd,2K31,,http://www.golunski.co.uk,,,,"Brierley Hill, United Kingdom",United Kingdom,,,,"Golunski offers exciting ranges , leathers, and designs at very compedative prices , a family run company that always put the customers needs first , a vaste collectiom of SLG's including keycases, wallet purses coin purses, something to suit everyone."
Spring Fair,06/02/2022,2022,https://www.springfair.com/welcome,DM,Lakshya Gems,3A36,,https://www.lakshyagems.com/,,,,"Jaipur, India",India,925 Sterlling Solid Silver Rings in natural Gemstones | Clearance Sale,,,"Lakshya Gems is a renowned company dealing in the wholesale export of all types of precious & semi-precious stones, gems and 92.5 Handmade, Casted & sterlling silver jewellery. Lakshya Gems promises to maintain its standards on qualitative and quantative basis. We always give utmost preferences to the customers and also expect that customers should always provide us feedback.  "
Spring Fair,06/02/2022,2022,https://www.springfair.com/welcome,DM,Kali Ma Designs Ltd,3D11,,http://www.kalimadesigns.com,,,,"Newton Abbot, United Kingdom",United Kingdom,,,,"Established within the jewellery trade for nearly 20 years supplying quality Sterling silver jewellery. Diverse ranges including CZ, marcasite, pearls, gold vermeil, or semi-precious stones...with 1000's of lines designed for high turnover within a variety of retail outlets."
Spring Fair,06/02/2022,2022,https://www.springfair.com/welcome,DM,Kingsley Ryan,3G30,,http://www.kingsleyryan.co.uk,,,,"Stockport, United Kingdom",United Kingdom,Stacking Rings and Layered Chains | Gold Plated Jewellery | Gemstone Jewellery | Sterling Silver Ear Jewellery,,,"The Kingsley Ryan philosophy focuses on supplying fresh, innovative designs and on-trend jewellery. We have been working with retailers for nearly 40 years, supplying jewellery to suit the customer who wants to create a customised look with versatile, mix and match pieces. Browse our extensive collection of Sterling Silver and Gold-Plated jewellery punctuated with pavé crystals, charms and semi-precious gemstones. Discover our ear studs and cuffs and pendant earrings, statement hoops and huggies, nose pins, stackable rings and necklaces for wearing alone or layered. We also supply body piercing jewellery which is suitable for an initial piercing. We strive to bring you latest fashion trends in piercing jewellery for the nose, lip and ear as well as belly bars, labrets, tongue and nipple bars."
Spring Fair,06/02/2022,2022,https://www.springfair.com/welcome,DM,MSS Watch Co.,3A34,,http://www.soamesclocks.co.uk,,,,"Manchester, United Kingdom",United Kingdom,,,,
Spring Fair,06/02/2022,2022,https://www.springfair.com/welcome,DM,Leslie Donn Ltd,3B20-C31,,http://www.donnsjewellery.co.uk,,,,"Manchester, United Kingdom",United Kingdom,,,,"Donns established in 1894 are a 4th generation supplier of 9ct, 18ct Gold & platinum diamond, coloured stone and semi-precious stone set jewellery. With over 1000 lines in our collection comprising engagement rings, eternity rings, dress rings, necklaces, pendants, earrings, bangles & bracelets.Combining fine qualtiy & competitive prices, supplying our customers through our dedicated nationwide Sales Directors. We offer special show discounts & extended monthly payment plans.Never miss that sale with our extensive special approval service, call our helpful & friendly sales team on 0161 773 0000. Trade prices from £30."
