ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Stockholm Furniture & Lighting Fair,02/08/2022,2022,https://www.stockholmfurniturelightfair.se/,DM,Bjelin,C05:23,,www.bjelin.se,sales@bjelin.com,020-51 50 10,,"Apelvägen 2, 263 62, Viken",Sverige,Carpets & flooring,,,
Stockholm Furniture & Lighting Fair,02/08/2022,2022,https://www.stockholmfurniturelightfair.se/,DM,BISLEY,A17:18,,www.bisley.com,nuno.esteves@bisley.com,+491728580289,,"Caswell Way, Reevesland Ind Est, NP194PW, Newport",Storbritannien,,,,
Stockholm Furniture & Lighting Fair,02/08/2022,2022,https://www.stockholmfurniturelightfair.se/,DM,Beslag Design,A23:11,,www.beslagdesign.se,info@beslagdesign.se,0431-784 80,,"Inre Kustvägen 32, 269 43, Båstad",Sverige,Interior fittings,,,
Stockholm Furniture & Lighting Fair,02/08/2022,2022,https://www.stockholmfurniturelightfair.se/,DM,BordBirger,B04:10,,www.bordbirger.se,info@bordbirger.se,+46 380 37 04 30,,"Industrigatan 15, 571 62, Bodafors",Sverige,Home furniture | Furniture public environment,,,
Stockholm Furniture & Lighting Fair,02/08/2022,2022,https://www.stockholmfurniturelightfair.se/,DM,Bench bench bench,C05:53,,,marc.hoogendijk@gmail.com,070 893 35 42,,"Lantvärnsgatan 1b, 414 51, Göteborg",Sverige,,,,
Stockholm Furniture & Lighting Fair,02/08/2022,2022,https://www.stockholmfurniturelightfair.se/,DM,Blond Belysning AB,A04:18,,www.blond.se,info@blond.se,+46 370 30 17 35,,"Box 503, 331 25, Värnamo",Sverige,Lighting contract market,,,
Stockholm Furniture & Lighting Fair,02/08/2022,2022,https://www.stockholmfurniturelightfair.se/,DM,BIARO AB,AG:16,,www.biaro.se,kundservice@biaro.se,+46 (0)481-24020,,"Kopparfly 111, 382 90, Örsjö",Sverige,Office contract market | Furniture public environment | Corporate / Public space - office | Corporate / Public space - furniture interior,,,
Stockholm Furniture & Lighting Fair,02/08/2022,2022,https://www.stockholmfurniturelightfair.se/,DM,Blå Station,C14:31,,www.blastation.se,mimi@blastation.se,+46 44 24 90 70,,"Box 100, 296 22, Åhus",Sverige,Furniture public environment | Corporate / Public space - furniture interior,,,
Stockholm Furniture & Lighting Fair,02/08/2022,2022,https://www.stockholmfurniturelightfair.se/,DM,Bellalite AB,A03:21,,www.bellalite.se,info@bellalite.se,010-470 02 00,,"Mörners väg 122, 352 46, Växjö",Sverige,Home lighting | Lighting contract market | Light source & Electrical materials,,,
Stockholm Furniture & Lighting Fair,02/08/2022,2022,https://www.stockholmfurniturelightfair.se/,DM,Baseco Golv,A26:21,,www.baseco.se,patrik@baseco.se,0952-550 10,,"Box 86, 924 31, Sorsele",Sverige,Furniture public environment | Corporate / Public space - furniture interior,,,
Stockholm Furniture & Lighting Fair,02/08/2022,2022,https://www.stockholmfurniturelightfair.se/,DM,Beckmans College of Design,C06:33,,www.beckmans.se,info@beckmans.se,+46 8 660 20 20,,"Brahegatan 10, 114 37, Stockholm",Sverige,Schools,,,
Stockholm Furniture & Lighting Fair,02/08/2022,2022,https://www.stockholmfurniturelightfair.se/,DM,Bargi AB,B06:21,,www.bargi.se,fg@bargi.se,+46 40 53 55 00,,"Limvägen 3, 232 37, Arlöv",Sverige,Carpets & flooring,,,
Stockholm Furniture & Lighting Fair,02/08/2022,2022,https://www.stockholmfurniturelightfair.se/,DM,Bang Paper Collection,C04:47,,www.banguniverse.se,theresia@banguniverse.se,+46 073 510 53 00,,"Åsögatan 144, 116 44, Stockholm",Sverige,,,,
Stockholm Furniture & Lighting Fair,02/08/2022,2022,https://www.stockholmfurniturelightfair.se/,DM,Belid Lighting,A07:11,,www.belid.se,info@belid.se,+46 340 62 30 00,,"Klasavägen 4, 432 95, Varberg",Sverige,Home lighting | Lighting contract market,,,
Stockholm Furniture & Lighting Fair,02/08/2022,2022,https://www.stockholmfurniturelightfair.se/,DM,FF Kakel x Mutina,AG:66,,www.ffkakel.se,caroline.andernell@ffkakel.se,0736-357486,,"Murmästarvägen 43, 12735, Stockholm",Sverige,,,,
Stockholm Furniture & Lighting Fair,02/08/2022,2022,https://www.stockholmfurniturelightfair.se/,DM,Balzar Beskow,A09:18,,www.balzar.se,info@balzar.se,+46 8 545 551 40,,"Birger Dahlérus väg 12, 176 69, Järfälla",Sverige,Furniture public environment | Corporate / Public space - furniture interior,,,
Stockholm Furniture & Lighting Fair,02/08/2022,2022,https://www.stockholmfurniturelightfair.se/,DM,Fermob,C13:41,,www.fermob.com,mdumont@fermob.com,+33427300110,,"Parc Actival, 01140, SAINT-DIDIER-SUR-CHALARONNE",Frankrike,,,,
Stockholm Furniture & Lighting Fair,02/08/2022,2022,https://www.stockholmfurniturelightfair.se/,DM,FDB Møbler,C11:29,,www.fdbmoebler.dk,,,,"Vallensbæk Torvevej 9, 2620, ALBERSLUND",Danmark,Furniture public environment,,,
