ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Surfaces,02/01/2022,2022,https://www.intlsurfaceevent.com/,DM,"Azumi Machinery (Jiangsu) Co., Ltd.",1157,Exhibit Hall - 2022,www.spcfloorline.com,,0519-87326698,,"Jiangsu, Jiangsu, Changzhou, Changzhou, Sugaoxin Nanda Innovation Park,Zhongguancun, Sugaoxin Nanda Innovation Park,Zhongguancun",China,,,,"Thanks to the technology originated from Japan and the dynamic evolving market, Azumi has grown into one of world's most reliable suppliers of post-processing machines and solutions for PVC flooring planks (LVT/WPC/SPC)."
Surfaces,02/01/2022,2022,https://www.intlsurfaceevent.com/,DM,Bartell Global,4265,Exhibit Hall - 2022,http://www.innovatechproducts.com,,425-402-1881,,"Washington, Washington, Lynnwood, Lynnwood, 5522 208th Street Southwest, Suite B, 5522 208th Street Southwest, Suite B",United States,,,,
Surfaces,02/01/2022,2022,https://www.intlsurfaceevent.com/,DM,BACA Systems,5833,Exhibit Hall - 2022,www.bacasystems.com,sales@bacasystems.com,+1 2487913060,,"Michigan, Michigan, Orion charter Township, Orion charter Township, 101 Premier Drive, 101 Premier Drive",United States,,,,
Surfaces,02/01/2022,2022,https://www.intlsurfaceevent.com/,DM,Anderson Tuftex,2647,Exhibit Hall - 2022,https://shawinc.com/,,+1 7062751765,,"Georgia, Georgia, Dalton, Dalton, 616 East Walnut Avenue, 616 East Walnut Avenue",United States,,,,
Surfaces,02/01/2022,2022,https://www.intlsurfaceevent.com/,DM,Armaly Brands,4361,Exhibit Hall - 2022,http://www.armalybrands.com,,+1 2486692100,,"Maine, Maine, Commerce Charter Township, Commerce Charter Township, 1900 Easy Street, 1900 Easy Street",United States,,,,
Surfaces,02/01/2022,2022,https://www.intlsurfaceevent.com/,DM,American OEM,3518,Exhibit Hall - 2022,http://www.americanoem.com/,,+1 4239944358,,"Tennessee, Tennessee, Burns, Burns, 1438 Tennessee 96, 1438 Tennessee 96",United States,,,,
Surfaces,02/01/2022,2022,https://www.intlsurfaceevent.com/,DM,Ashawa Bay Hardwood Floors,1346-E,Exhibit Hall - 2022,www.ashawabay.com,sam@hillwoodproducts.com,+1 2186665933,,"Minnesota, Minnesota, Cook, Cook, PO Box 398, PO Box 398",United States,,,,"Ashawa Bay prides itself in being an industry leader in project oriented ﬂooring. Our projects range from small eye catching entryways and amenity spaces to large scale luxury high rise residences. We understand the process. We are sensitive to the distinctive desires of each customer, and work with you to provide ideas, costs, and ﬁnally samples, to help your decision process. We have worked with some of the world’s leading architects and have placed Ashawa Bay ﬂoors in some of the most exclusive venues."
Surfaces,02/01/2022,2022,https://www.intlsurfaceevent.com/,DM,American Flooring Distributor,633,Exhibit Hall - 2022,www.afdfloor.com,,9513619410,,"California, California, MIRA LOMA, MIRA LOMA, 3401 ETIWANDA AVE SUITE 821 C, 3401 ETIWANDA AVE SUITE 821 C",United States,,,,
Surfaces,02/01/2022,2022,https://www.intlsurfaceevent.com/,DM,AM3 Stone,4723,Exhibit Hall - 2022,https://am3stone.com,gtelara@am3stone.com,(205) 481-0133,,"Alabama, Alabama, Bessemer, Bessemer, 301 21st Street North, 301 21st Street North",United States,,,,"Alabama Marble Mineral & Mining Co. “AM3” is the world’s leading distributor for Alabama Marble. Alabama Marble is an extremely strong marble varying in color from a true white to a warm and creamy hue with distinct medium to large sized grey veins. AM3 Stone strives to provide the highest quality products including block, slab, tile, and cut-to-size materials for construction and architectural design.
Our 50-acre quarry is set on the white marble belt on the southwestern edge of the Appalachian Mountains in Sylacauga, Alabama. AM3 is the sole owner and operator of this world-renowned dimensional white marble. Our quarry exhibits a minimum of five distinct colors of highly desirable and marketable stone. Our state-of-the-art processing facility is located 60 miles away in Bessemer, Alabama. From this site, we internationally export our stone.
With our updated and efficient high-end technology, our stone is offered and distributed per each customer’s request: tile, slabs, blocks, or cut-to-size products."
Surfaces,02/01/2022,2022,https://www.intlsurfaceevent.com/,DM,"Armstrong Flooring, Inc.",2913,Exhibit Hall - 2022,http://www.armstrongflooring.com,jeeno@armstrongflooring.com,1-800-233-3823,,"Pennsylvania, Pennsylvania, Lancaster, Lancaster, 1770 Hempstead Road, 1770 Hempstead Road",United States,,,,"Armstrong Flooring, Inc. is a leading global manufacturer of flooring products and one of the industry’s most trusted and celebrated brands. The company continually builds on its resilient, 150-year legacy by delivering on its mission to create a stronger future for customers through adaptive and inventive solutions. Headquartered in Lancaster, Pennsylvania, Armstrong Flooring safely and responsibly operates eight manufacturing facilities globally."
