ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Surfaces 2022,02/01/2022,2022,https://www.intlsurfaceevent.com/,DM,Brothers in Granite,4805,Exhibit Hall - 2022,http://www.brothersingranite.com,,310-742-6299,,"Espírito Santo Espírito Santo Serra Serra Rua E, 842, Galpao 1, Civit 1 Rua E, 842, Galpao 1, Civit 1",Brazil,,,,"We are proud to announce Brother's new warehouse in USA! Need any of our colors instantly? Please feel free to pick your bundles and we will deliver on a truck to you within a few days!

The main purpose of our warehouse is for unloading containers for customers who don’t want to go thru unloading and to supply quicker our regular customers, instead of waiting for the long shipping time from Brazil. 

Our prices shown here have shipping from Brazil included. You would only need to add whatever the trucking cost is to your door.

Minimum quantity for an order is of 1 bundle. Feel free to pick any quantity you want and we will get back to you with a quote for trucking to your door.

Feel free to reach out to us at contact@brothersingranite.com or call (262) 271-6428 and we’ll be ready to assist you!"
Surfaces 2022,02/01/2022,2022,https://www.intlsurfaceevent.com/,DM,BHW Floors / YongYu,2423,Exhibit Hall - 2022,bhwfloors.com,,,206-264-9365,"Georgia Georgia Atlanta Atlanta 4525 Frederick Drive Southwest , Suite B 4525 Frederick Drive Southwest , Suite B",United States,,,,
Surfaces 2022,02/01/2022,2022,https://www.intlsurfaceevent.com/,DM,"Bostik, Inc.",4547,Exhibit Hall - 2022,www.bostik.com/us,,1-800-726-7845,,Wisconsin Wisconsin Wauwatosa Wauwatosa 11320 W. Watertown Plank Rd. 11320 W. Watertown Plank Rd.,United States,,,,
Surfaces 2022,02/01/2022,2022,https://www.intlsurfaceevent.com/,DM,Breton,6033,Exhibit Hall - 2022,http://www.bretonusa.com,,+1 9419608757,,Florida Florida Sarasota Sarasota 1753 Northgate Boulevard 1753 Northgate Boulevard,United States,,,,"Breton USA began our mission of servicing Breton machinery in 2004 and today we hold the exclusive contract to service Breton S.p.A. equipment throughout North America, including the United States, Canada, Mexico and the Caribbean. Growing steadily since our first facility opened in Sarasota, Florida, we’ve expanded to add six North American Service Points. 

Our technicians have been meeting the needs of a robust client base for years, keeping their Breton machines running smoothly, and reinforcing Breton's brand reputation for performance and dependability."
Surfaces 2022,02/01/2022,2022,https://www.intlsurfaceevent.com/,DM,BMC Flooring,3767,Exhibit Hall - 2022,"www,bmcflooring.com",,+1 7062773311,,Georgia Georgia Dalton Dalton PO Box 2663 PO Box 2663,United States,,,,
Surfaces 2022,02/01/2022,2022,https://www.intlsurfaceevent.com/,DM,Blick Industries,6460,Exhibit Hall - 2022,http://www.blickindustries.com,,949-499-5026,949-499-1398,California California Laguna Beach Laguna Beach 2245 Laguna Canyon Road 2245 Laguna Canyon Road,United States,,,,
Surfaces 2022,02/01/2022,2022,https://www.intlsurfaceevent.com/,DM,Bridgesaw.com,6269,Exhibit Hall - 2022,www.bridgesaw.com,,4439555995,4436817268,Michigan Michigan Grand Blanc Township Grand Blanc Township 9226 Timberline Ct 9226 Timberline Ct,United States,,,,"At BridgeSaw.com, we want to be the bridge saw technicians you turn to for all your stone fabrication repair and maintenance needs. For the many years we’ve been in business, we have been striving to provide our clients the best quality service possible to gain their full satisfaction. And they’ve shown their appreciation by coming back to us repeatedly. We want nothing more than to keep your machines running and making you money.

Whether you own a machine built in Italy, China or right here in the USA, our technicians are ready to care for crucial technical repairs, out of warranty work, or even simple preventative maintenance.

In 2020, we’re proud to announce we are offering our own line of machines for stone fabrication. Using our over 10 years of service and repair experience, we developed a line of machines that are superior, more powerful, that cut better, faster, and last longer. We’re pairing our knowledge of service and repair with the best machines in the industry, backed by the best warranty in the industry. We’re offering a line of machines based on a machine we’ve installed and serviced for years. With over 1,000 machines operating in the U.S., our track record reflects quality machines that last."
Surfaces 2022,02/01/2022,2022,https://www.intlsurfaceevent.com/,DM,"Best Cheer Stone, Inc.",5110,Exhibit Hall - 2022,http://www.bestcheerstone.com,,+1 7143991588,,California California Anaheim Anaheim 3190 East Miraloma Avenue 3190 East Miraloma Avenue,United States,,,,
Surfaces 2022,02/01/2022,2022,https://www.intlsurfaceevent.com/,DM,Benchwick USA,3673,Exhibit Hall - 2022,www.benchwick.com,,+1 8006429929,,California California Sacramento Sacramento 7495 Reese Road 7495 Reese Road,United States,,,,
Surfaces 2022,02/01/2022,2022,https://www.intlsurfaceevent.com/,DM,Better Tools,4483,Exhibit Hall - 2022,http://www.better-tools.com,,9373845224,,Ohio Ohio MIAMISBURG MIAMISBURG 4475 INFIRMARY RD 4475 INFIRMARY RD,United States,,,,
Surfaces 2022,02/01/2022,2022,https://www.intlsurfaceevent.com/,DM,Beno J. Gundlach Co.,4375,Exhibit Hall - 2022,http://www.benojgundlachco.com,,+1 6182331781,,Illinois Illinois Belleville Belleville PO Box 544 PO Box 544,United States,,,,
Surfaces 2022,02/01/2022,2022,https://www.intlsurfaceevent.com/,DM,Bedford Limestone Suppliers Group,4721,Exhibit Hall - 2022,,,,,Indiana Indiana Bedford Bedford 1319 Breckenridge 1319 Breckenridge,United States,,,,
