ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Top Drawer Spring,01/16/2022,2022,https://www.topdrawer.co.uk/,DM,Atlantic Blankets,A64,,http://www.atlanticblankets.com/,,,, Perranporth TR6 0EQ United Kingdom,United Kingdom,Picnic Blankets | 100% Wool Blankets | Recycled Blankets,,,"COASTAL INSPIRED. BRITISH-MADE Atlantic Blankets is a family run business based by the sea in Cornwall; designing blankets to help create happy memories. Taking inspiration from ocean surroundings, all blankets are made using sustainable materials in Britain. Recycled Cotton - Made in England using offcuts of cotton from t-shirt making factories, that would have otherwise been sent to landfill; recycled and reused. The process involves no re-dyeing saving on extra water energy and chemical products which is a significant environmental benefit. The recycled cotton is spun and transformed into eco sustainable blankets. 100% Wool - Made in Britain from 100% wool; a natural fibre withstanding the test of time and fashion. With thermal qualities, the breathable wool can provide instant warmth and protection. Schedule"
Top Drawer Spring,01/16/2022,2022,https://www.topdrawer.co.uk/,DM,MOORES HOME & GARDEN,F61,,http://www.mooreshomeandgarden.com,,,, East Grinstead RH19 4LB United Kingdom,United Kingdom,,,,"WE OFFER OWN BRANDING OFTEN AT NO EXTRA CHARGE ACROSS OUR COMPLETE RANGE OF PRODUCTS. Dedicated to producing the finest quality home fragrances across a wide range of products, including candles, diffusers, hand & body washes and lotions, room sprays and much more. We specialize in own branding, often free of charge. We also stock hurricane lamps and many other candle accessories. Our wonderful team create our perfume collection by hand in our Sussex workshop using lovely ingredients made with great care. Over 74 stock fragrances , mostly available across our whole collection of products. NEW CANDLE PRODUCTS LAUNCHING @ THE HOME SHOW, NEW FRAGRANCES. LOTS OF NEW CANDLE CONTAINERS & VOTIVES"
Top Drawer Spring,01/16/2022,2022,https://www.topdrawer.co.uk/,DM,Niwaki Ltd,B18,,http://www.niwaki.com,,,, OSAKA 550-0002 Japan,Japan,,,,
Top Drawer Spring,01/16/2022,2022,https://www.topdrawer.co.uk/,DM,London Garden Design,B47,,http://www.londongardentrading.com,,,, The Valley RG145XF United Kingdom,United Kingdom,,,,
Top Drawer Spring,01/16/2022,2022,https://www.topdrawer.co.uk/,DM,Musango,A21,,http://www.loveitwantitbuyit.co.uk,,,, Hereford HR2 7RN United Kingdom,United Kingdom,Musango Eats | Demi Mugs | Espresso Cups | Musango Mugs,,,Unique and individual homeware products with emphasis on colour and texture.
Top Drawer Spring,01/16/2022,2022,https://www.topdrawer.co.uk/,DM,Niwaki,B18,,,,,,,,Hiba Sake Cups | Niwaki Work Shirt | Niwaki Pouch | Niwaki Tetsuhiro Knife Range | Niwaki Nashi Knife Range | Lucano Wide 2 Step | Lucano Slim Step | Niwaki Carbon Knife Range,,,
Top Drawer Spring,01/16/2022,2022,https://www.topdrawer.co.uk/,DM,Morgan Wright,I15,,,,,,,,MW Home's New Glass Range Products | Raine & Humble's Soap Range | ALSO Home's New Furniture Pieces | Raine & Humble's Premium Linen Range | ALSO Home's New Sea Green Linen | ALSO Home's Faux Sheepskin Range | ALSO Home's New Velvet colours! | Recycled Fibre Kitchen Textiles and Table Linens,,,"Morgan Wright are the proud partners of Raine & Humble and ALSO Home in the UK and Europe. We are a small family business with a conscience, passionate about preserving as much of this beautiful planet as possible and efforts to minimise our waste and impact on the earth. This year we joined the Get Mads program to offset our carbon emmissions as a business and to support climate positive projects around the globe. ALSO Home is a lifestyle brand based in the UK designing and producing an exclusive range of homewares inspired by the simplicity of Japanese and Scandinavian living with an aim to help create a calm and peaceful homewith simple style. Not only the home of velvet cushions, featuring a gorgeous range of colours and made from Indian cut velvet; ALSO Home also features beautiful linen cushions, bedding and table linens; mattelasse cushions and throws, baskets and pottery. Raine & Humble are an Australian brand featuring hand drawn designs and beautiful ethically produced textiles, a gorgeous home fragrance range and are introducing a stunning new soap range. Raine & Humble have developed a new fabric using a blend of recycled cotton to help reduce landfill waste and lessen their carbon footprint and have switched to paper wraps to prodect their beautiful textile products. We aso have our own brand of ceramics and glassware. We only work with small manufacturers, not large corporations; this way we can really see and feel the impact of working and growing together with our makers. It also gives our products the small batch look and feel that we know our customers love. Whilst we have travelled the planet to find our makers, we’ve taken the time to create great relationships with them, using the wonderful world of Facetime to stay in touch throughout the development process, helping us to keep our carbon footprint from travel to a minimum. "
Top Drawer Spring,01/16/2022,2022,https://www.topdrawer.co.uk/,DM,Lush Designs,C19,,,,,, London SE7 7NH United Kingdom,United Kingdom,Kitty Kitty Cushion | Winter Trees table mat | Seahorse mug | Tudor Village lampshade | Landscape Table Mat | Seahorse tea towel | Tudor Garden Lampshade | Kitty Cushion | Unicorn Mug | Lady Vase | Clown Planter | Game Bird Lampshade,,,"London-based story-telling, animal-loving artists Marie Rodgers and Maria Livings have been working together since 1982. They have developed a range of homewares and gifts featuring their idiosyncratic prints. Their signature lampshades and lamp bases are a vehicle for their drawn designs in delightful colours. Textiles and ceramics for the home, affordable, quirky gifts and paper goods. Useful, beautiful and fun."
Top Drawer Spring,01/16/2022,2022,https://www.topdrawer.co.uk/,DM,JWP Limited,C21,,http://www.jwpltd.co.uk,,,, Meyer Group Riverview Road Bromborough CH62 3RH United Kingdom,United Kingdom,,,,"Luigi Bormioli is a family brand , from the heart of Parma in Italy. Glassware's been in their blood since 1946 and they are as passionate about their craft as they are about our drinks . Bringing tradition and technology together with sustainable choices that help the wider world .,"
Top Drawer Spring,01/16/2022,2022,https://www.topdrawer.co.uk/,DM,Legnoart,J1,,http://www.cartershsa.co.uk,,,, Toddington LU5 6BS United Kingdom,United Kingdom,,,,
