ShowName,ShowDate,ShowYear,ShowWebsite,SubmittedBy,ExhibitorName,BoothNumber,HallLocation,Website,Email,Phone,Fax,Address,Country,Categories,Manufacturers,Brands,Description
Toy Fair NY,02/09/2022,2022,https://toyfairny.com/,DM,Barry and Jason - Games & Entertainment,6519,Level 1  Exhibit Hall,http://www.barryandjason.com/,barry@barryandjason.com,323-844-2267,,"CA, CA, Los Angeles, Los Angeles, 1835 S. Genesee Ave, 1835 S. Genesee Ave",United States of America,,,,
Toy Fair NY,02/09/2022,2022,https://toyfairny.com/,DM,Bananagrams,6329,Level 1  Exhibit Hall,www.bananagrams.com,,1-401-781-9649,,"RI, RI, Providence, Providence, 845 Allens Ave, 845 Allens Ave",United States of America,,,,
Toy Fair NY,02/09/2022,2022,https://toyfairny.com/,DM,Bachmann Trains,1230,Level 3 Exhibit Hall,https://www.bachmanntrains.com,,1-215-533-1600,,"PA, PA, Philadelphia, Philadelphia, 1400 East Erie Avenue, 1400 East Erie Avenue",United States of America,,,,
Toy Fair NY,02/09/2022,2022,https://toyfairny.com/,DM,Autruche,6718,Level 1  Exhibit Hall,www.autruche.ca,gillesstrauss@autruche.ca,450-670-2323,,"QC, QC, Longueuil, Longueuil, 715 Delage Street, 715 Delage Street",Canada,,,,
Toy Fair NY,02/09/2022,2022,https://toyfairny.com/,DM,Avocatt,5583,Level 1  Exhibit Hall,https://avocatt.com,,6267096214,,"CA, CA, Azusa, Azusa, 1330 Mountain View Cir, 1330 Mountain View Cir",United States of America,,,,
Toy Fair NY,02/09/2022,2022,https://toyfairny.com/,DM,Atlantis Toy and Hobby,5753,Level 1  Exhibit Hall,https://www.atlantis-models.com/,info@atlantis-models.com,631-486-9533,,"NY, NY, Deer Park, Deer Park, 435 Brook Avenue, 435 Brook Avenue",United States of America,,,,
Toy Fair NY,02/09/2022,2022,https://toyfairny.com/,DM,Bandai Namco (Bandai America / Bluefin),5302,Level 1  Exhibit Hall,www.bandai.com,venturap@bandai.com,1-714-816-9500,,"CA, CA, El Segundo, El Segundo, 2120 Park Place, 2120 Park Place",United States of America,,,,
Toy Fair NY,02/09/2022,2022,https://toyfairny.com/,DM,"Ball, Bounce and Sport Inc. - Hedstrom",2765,Level 3 Exhibit Hall,www.hedstrom-entertainment.com,,419-289-9310,,"OH, OH, Ashland, Ashland, 1 Hedstrom Drive, 1 Hedstrom Drive",United States of America,,,,
Toy Fair NY,02/09/2022,2022,https://toyfairny.com/,DM,Basic Fun!,2237,Level 3 Exhibit Hall,www.basicfun.com,,561-997-8901,,"FL, FL, Boca Raton, Boca Raton, 301 Yamato Road, 301 Yamato Road",United States of America,,,,
Toy Fair NY,02/09/2022,2022,https://toyfairny.com/,DM,Banana Panda,6368,Level 1  Exhibit Hall,bananapanda.com,,856-720-0580,646-607-3620,"NJ, NJ, Trenton, Trenton, 354 S Broad St., 354 S Broad St.",United States of America,,,,"We are committed to the relationship between parents and their children. We strongly believe that spending quality time with kids is extremely important for their future development, self-confidence and creating long-lasting connections with others. Our purpose is to enrich this special bond, as well as inspire and excite through educational play. Because we all deserve beautiful memories, meaningful relationships and the space for balanced personal growth.  

All our product ideas are born in a family-run studio, where a team of illustrators, designers, project managers, as well as educators work together to transform original concepts into innovative and inspiring products. We share our passion, creativity and knowledge so that Banana Panda’s educational cards, books and sets of puzzles help the youngest and their caregivers explore the world, develop their imagination, and above all – enjoy play like never before! 

Great graphic design and quality really matter to us because we believe they really matter to our customers. We want our products to be appealing to little ones with beautiful, funny illustrations and fresh, contemporary aesthetics. We always use the best, safe, top-quality materials and we double-check every element of our products before they are shipped to stores. 

We truly believe that exploring the world together with a baby as early as possible will give them the best start in life, and that’s why our toys are designed to stimulate babies’ brains from their very first days. Banana Panda supports the development of a child in many aspects, including emotional, social, motor, intellectual, and creative spheres.

We are more than happy that our toys can help parents and kids to learn about the world together, inspire each other and bring so much fun! We truly value long-term relationships with our little and adult customers. 

We love what we do."
Toy Fair NY,02/09/2022,2022,https://toyfairny.com/,DM,Baby Jack,6280,Level 1  Exhibit Hall,http://babyjackandcompany.com,,8667452491,8667452491,"WISCONSIN, WISCONSIN, Hales Corners, Hales Corners, 5300 S 108th Street, 5300 S 108th Street",United States of America,,,,"The Learning Lovey Collection by Baby Jack (http://babyjackco.com/)  features tag toys and security blankets that teach self regulation and basic learning concepts. The fabrics are made to be educational with images made of shapes, letters and numbers - creating a look and find design appealing to kids.  These fabrics are created by mom inventor Kelley Legler and her two kids Jack and Bailey, by turning their crayon drawings into fabric textiles.  

Baby Jack is known for being the only children’s brand with tag toys having ribbons sewn shut for added safety, after seeing her son get his finger intertwined in a looped ribbon tag blanket. This is an added safety feature keeping kids’ fingers, toes and even tongue ties safe from getting caught.  These Baby Jack sewn shut ribbon tags still provide sensory play and stimulation which helps the development of kids’ sense of touch, taste, smell, sight and sound.  Sensory play is essential for growth, meeting milestones and children grow cognitively, socially and emotionally with developmental toys that Baby Jack & Co. sells.

Recently, owner Kelley Legler debuted The Learning Lovey Travel Collection featuring top city landscapes and state fabric designs that educate kids about state capitals, birds, trees, etc. and encourage a love for travel."
Toy Fair NY,02/09/2022,2022,https://toyfairny.com/,DM,b4Adventure,3423,Level 3 Exhibit Hall,www.b4adventure.com,molly@b4adventure.com,303-339-0482,,"CO, CO, Denver, Denver, 4010 Holly St, Unit 16, 4010 Holly St, Unit 16",United States of America,,,,"b4Adventure offers a variety of products that encourage kids of all ages to play outdoors and stay active! Our family of brands, which includes Slackers, American Ninja Warrior, Playzone-fit and 4Fun; has something to offer every level of adventurer from toddler stage all the way through to adulthood. 
We believe great things happen when you stay active and play outdoors, which is why we are dedicated to building all the gear kids need to get outside and meet adventure head on!"
Toy Fair NY,02/09/2022,2022,https://toyfairny.com/,DM,Zoey Koko,5757,Level 1  Exhibit Hall,,,860-205-6712,,"MA, MA, Stoneham, Stoneham, 38 Montvale Ave, 38 Montvale Ave",United States of America,,,,
Toy Fair NY,02/09/2022,2022,https://toyfairny.com/,DM,"YOTTOY Productions, Inc.",6035,Level 1  Exhibit Hall,www.yottoy.com,,212-594-2202,,"NY, NY, New York, New York, 226 East 54th Street, 226 East 54th Street",United States of America,,,,
